Arm_unique,Cl13_unique,Arm-Cl13_common
Uhrf1,Ifngr1,Sell
Ifngr2,Cd74,Phf1
Cd226,Nt5e,Aff3
Btg2,Ppargc1b,Pa2g4
Sema7a,Hmmr,Tcf7
Kdm5b,Prmt1,Snrpd1
Klrc1,Klrb1c,Klrg1
E2f2,Espl1,Fasl
Dnmt1,Dach1,Scml4
Srrm1,Padi4,Klrd1
Sp100,Hmgb2,Klf3
Parp1,Tnfsf8,Cenpk
Il2ra,Crtam,E2f8
Wdhd1,Klra3,Slamf6
Ruvbl2,Cxcr6,
Csf1r,Trgv2,
Tnfsf4,Ebf1,
Nap1l1,Bmpr1a,
Havcr2,Ly86,
Mcm4,Itga2,
Padi2,Plaur,
Cd96,Il6ra,
Fli1,Vax2,
Timeless,H2-Ab1,
Klra1,Itga1,
Smyd2,Tox2,
Tfdp1,Itgb1,
Atf3,Selplg,
Irf4,Fosb,
Hells,Icos,
Itgal,Cxcr2,
Id2,Itgax,
Ezh2,Il1rl1,
Batf3,Zdhhc13,
Cd200r1,Prdm5,
Aurkb,Tnfaip3,
