All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
Tcf7,0.7410852570475736,Ccr7,0.8577684136800017,Hells,0.8043386353330895,Notch3,Kntc1,Il23r,Ikzf3,0.8072214126586914,0.9224036931991577,0.8703937530517578,2.9182698726654053,3.126352071762085,3.036156415939331,0.006133480182107847,-0.048817455768585205,
Hells,0.6308490197462929,Aff3,0.7896884009132298,Tcf7,0.7072633143114253,Cbx5,Cd300lf,Brip1,Cbx7,0.11583679914474487,0.17919650673866272,0.1480552852153778,0.04024390131235123,0.032320428639650345,0.036322761327028275,0.016624910664116987,-0.0010440307669341564,
Mcm4,0.6201841921416738,Tcf7,0.6613515080149246,Cenpk,0.6943791851200386,Kcnip3,Ythdc1,Ifngr1,Jarid2,0.2732999920845032,0.39154207706451416,0.33569392561912537,1.6557105779647827,2.299954414367676,1.9820845127105713,0.052878514986443505,0.7033896446228027,0.04432145482514003
Mcm3,0.5812304831190008,Dnmt1,0.5570067208479106,Atad2,0.6800347402834409,Id2,Tcerg1,Ikzf3,Ythdc1,1.3149893283843994,1.321397066116333,1.3231759071350098,1.9870370626449585,2.4441750049591064,2.2353429794311523,,0.08846225589513779,
Aff3,0.5734939284560252,Itgb1,0.548141491324514,Tnfsf8,0.6323886068307957,Zeb2,Smad1,Mcm8,Btg1,1.8736729621887207,2.263766050338745,2.069027900695801,0.037114180624485016,0.018702248111367226,0.028560670092701912,1.0940716847718566,-0.012505324557423592,0.13824391684631707
Mcm6,0.5454907442738849,Atad2,0.5116496965143618,Mcm3,0.6228844726609615,Il6ra,Trbc1,Jarid2,Gatad1,0.22772546112537384,0.1970306932926178,0.21388399600982666,0.27508285641670227,0.19882775843143463,0.23523612320423126,0.013879089239627058,-0.0358368381857872,0.02709384856061439
Dnmt1,0.5369076652860271,Cd226,0.49273325498642634,Mcm4,0.6195540572972301,Nrp1,Rbbp7,Kmt5b,Rad51,0.14599819481372833,0.074163056910038,0.10772459208965302,0.45972850918769836,0.3611889183521271,0.4004356861114502,0.011844849148341555,0.09578725695610046,0.01023563993977822
Icos,0.5155635084346275,Scml4,0.4854883088534139,Slamf6,0.6069860626099696,Stat4,Rel,Cxcr6,Trbc1,10.862054824829102,14.260394096374512,12.581549644470215,1.2781134843826294,1.8426728248596191,1.5818042755126953,,0.3693487048149109,1.3246967962420901
Nsd2,0.5052503864505747,Hells,0.4774493930812047,Uhrf1,0.6048250778591133,Cbx7,Atf1,Rad51,Rbbp7,2.226929187774658,1.7275619506835938,1.9713246822357178,0.6407512426376343,0.42061612010002136,0.5215743780136108,,-0.030501801520586014,-0.02298318530746111
Atad2,0.5018836890356098,Ighm,0.47690794745830734,Hmgb2,0.6032693108566705,Lef1,Polr2a,E2f8,E2f8,0.679519772529602,0.3404873311519623,0.5017078518867493,0.1866491734981537,0.10901139676570892,0.1436627358198166,0.031234424244839853,-0.02718362957239151,-0.013799711136527925
Slamf6,0.5017542813581454,Meis3,0.4724309057855826,Dnmt1,0.570957462915815,Zhx2,Taf1,Paxip1,Klra6,0.0074494369328022,0.00387771287932992,0.005331814754754305,0.0011369872372597456,0.0,0.0005542712169699371,0.0004514528620707693,0.0,0.0005678726681052862
Brca1,0.4994369754363578,Btg1,0.456113506310303,Brca1,0.5632411437837086,Foxp4,Taf3,Kdm7a,Paxip1,0.4754260182380676,0.3800818920135498,0.42438367009162903,0.23829618096351624,0.1575871855020523,0.19501543045043945,-0.020102727853040493,0.0013888211688026786,0.01209772511225225
Dek,0.49100020605030226,Tnfsf4,0.4508258176053882,Rbbp7,0.5603314860675175,Ctla4,Il1r2,Aurkb,Atf1,0.847423791885376,0.7631586790084839,0.8107943534851074,0.8339818120002747,0.8216035962104797,0.8242878913879395,,-0.003176831640303135,
Lgals3,0.48952841359172183,Zfp36l1,0.4491209400703658,Suz12,0.5558135309589141,Btg1,Psip1,Pecam1,Kdm7a,0.2557160556316376,0.39084139466285706,0.3276960253715515,0.5925291180610657,0.9785773754119873,0.7990173101425171,0.04313950038830205,0.17247739434242249,0.044037748759463896
Mcm7,0.48499892904035086,Kdm5b,0.44224168314509965,Actb,0.5555210367069794,Gatad1,Cebpg,Tox,Aurkb,0.7609115839004517,0.43631356954574585,0.5900883674621582,0.054011084139347076,0.034916140139102936,0.04372502863407135,-0.0020757681940111934,-0.005985533818602562,0.012967487375401876
Uhrf1,0.4755627549864331,Mcm7,0.43853769166139434,Snrpd1,0.5542602225036922,Jmy,Cd74,Hells,Taf3,0.5199586153030396,0.39769142866134644,0.46027302742004395,0.7507036924362183,0.5755504369735718,0.6599307060241699,,0.014870606362819672,0.016304216388572462
Tnfsf8,0.4627551291861535,Mcm6,0.43852546046370033,Mcm5,0.5463892870598056,Klf3,Foxm1,Phc2,Taf1,0.5353749394416809,0.39244696497917175,0.46173030138015747,1.1756256818771362,0.9305777549743652,1.0469766855239868,,0.03439196199178696,0.023015164197167856
Rbbp7,0.4627125519939072,Mcm4,0.4267824781805153,Aff3,0.5462051192048242,Ccr7,Wbp11,Prdm1,Ighm,0.7435703873634338,2.3432698249816895,1.5738542079925537,0.440458208322525,0.7755898833274841,0.6198033094406128,0.1182944300042022,0.16225434839725494,0.19115494317963003
Ezh2,0.44827229077338393,Il18r1,0.4211761216034848,Brip1,0.5323792897803096,Smarca2,Sin3a,Dnmt1,Polr2a,1.132481575012207,0.9651460647583008,1.0420477390289307,1.7565499544143677,1.5029298067092896,1.6242568492889404,,0.04478306323289871,
Hmgb2,0.44801956647370444,Cxcr5,0.4191373447047545,Hat1,0.5311067740696411,Tnfrsf9,Rere,E2f1,Il1r2,0.008531981147825718,0.02491477131843567,0.016046596691012383,0.06941242516040802,0.04045230895280838,0.05066676437854767,,0.03135040029883385,
Rfc1,0.44433654150470464,Nsd2,0.41881739850916005,Nsd2,0.521629826509168,Cd226,Actb,Hmgb2,Cebpg,0.5261033177375793,0.4462521970272064,0.49114990234375,0.19022196531295776,0.18196150660514832,0.1877981424331665,,0.07175365090370178,
Bard1,0.4435328758389951,Kdm7a,0.41280746852227523,Hnrnpab,0.51066995388735,Ar,Max,Tox2,Cd74,0.022497307509183884,0.04450473189353943,0.033971402794122696,0.01132374070584774,0.1105915755033493,0.06245335191488266,,0.008335137739777565,0.021725408329806385
Wdhd1,0.44247384305039755,Tox,0.40827091448145897,Rfc1,0.5100720010035087,Meis3,Mcm5,Bard1,Wbp11,0.9202346205711365,0.8580117225646973,0.8888882994651794,0.3025859296321869,0.28767451643943787,0.29389142990112305,,0.019100956618785858,
Havcr2,0.4297438539180296,Sell,0.4078257486331699,Rbl1,0.492704066848493,Klra6,Zfhx2,Timeless,Hells,1.5958337783813477,1.193418264389038,1.3870145082473755,1.296183466911316,0.8870795369148254,1.0835267305374146,0.07365035386592247,-0.027055183425545692,0.11329829438690683
Brip1,0.4259214248100401,Klrg1,0.407723267043532,Mcm6,0.4909144466189114,Sema7a,Smyd2,Kdm5b,Actb,178.5682373046875,141.88418579101562,159.62539672851562,50.94706344604492,33.775089263916016,42.29399490356445,,-4.11241340637207,
Ssrp1,0.4217406159947967,Tgif1,0.4067442130090275,Lgals3,0.4751521484044444,Batf,Epas1,Klrg1,Max,0.5812675952911377,0.8766305446624756,0.7318201065063477,0.3980084955692291,0.6407768726348877,0.5208503603935242,,0.06250292807817459,0.12066893003302698
Cenpk,0.4187175531751634,Zbtb20,0.4052940524482419,Prdm1,0.47187070305512374,Ddx5,Icos,Btla,Prdm1,0.3703424632549286,0.3142443299293518,0.34325090050697327,0.4214983582496643,0.3298392593860626,0.3679989278316498,0.03401825830744627,0.04902267828583717,0.04587146629091716
Baz1b,0.4160637724089507,Cd96,0.39170418183900574,Havcr2,0.46887731226385104,Cd69,Pax5,Supt16,Phc2,0.32650110125541687,0.4218643307685852,0.380607545375824,0.20906375348567963,0.2976645231246948,0.26117876172065735,0.03510046713125509,-0.005062942858785391,0.008776481120031474
