Arm_ranked,Cl13_ranked,Arm_unique,Cl13_unique,Arm-Cl13_common
Nap1l1,Uhrf1,Ifngr2,Rpa3,Uhrf1
Mcm6,Mcm7,Cops5,Hmmr,Mcm8
Hmgb2,Mcm5,Cd226,Mcm5,Aff3
Polr2f,Mcm3,Btg2,H2-Eb1,Prdm1
Snrpd1,Nap1l1,Kdm5b,Dach1,E2f2
Ezh2,Mcm4,Hmgb2,Chaf1a,Cenpk
Mcm4,Rpa3,Crtam,Tnfsf8,Dnmt1
Tcf7,Chaf1b,Srrm1,E2f8,Parp1
Hells,Trip13,Polr2f,Hnrnpab,Mcm6
Dnmt1,Brca2,Sp100,Brca1,Scml4
Cd53,Hells,Klrd1,Ebf1,Wdhd1
Mcm7,Timeless,Ruvbl2,Mcm3,Brca2
Cd226,Hnrnpab,Tnfsf4,Csf1r,Nap1l1
Ifngr2,Brca1,Lgals3,Slamf6,Havcr2
Brip1,Havcr2,Epas1,Kntc1,Mcm4
Aff3,E2f8,Foxp1,E2f1,Kdm7a
Prdm1,H2-Eb1,Lef1,Trip13,Bard1
Scml4,Kntc1,Itgb1,Selplg,Timeless
Bard1,Cenpk,Cd53,Cbx1,Mcm7
Havcr2,E2f1,Zfp36l1,Cxcr2,Tcf7
Tfdp1,Brip1,Pa2g4,Rad51,Tfdp1
Sp100,Wdhd1,Snrpd1,Cd300c2,Il7r
Kdm7a,Tcf7,Btg1,Cd28,Hells
Wdhd1,Slamf6,Itgal,Chaf1b,Ezh2
Parp1,Chaf1a,,,Zbtb20
Lgals3,Rad51,,,Brip1
Timeless,Tnfsf8,,,
Pa2g4,Hmmr,,,
Uhrf1,Aff3,,,
Zfp36l1,Tfdp1,,,
Foxp1,Mcm6,,,
Mcm8,Parp1,,,
Ruvbl2,Bard1,,,
Itgal,Ebf1,,,
Zbtb20,Scml4,,,
Crtam,Mcm8,,,
Tnfsf4,Cd28,,,
Srrm1,Dach1,,,
E2f2,Cd300c2,,,
Klrd1,Csf1r,,,
Lef1,Ezh2,,,
Il7r,Zbtb20,,,
Btg2,Il7r,,,
Epas1,Cbx1,,,
Cops5,Prdm1,,,
Itgb1,E2f2,,,
Btg1,Selplg,,,
Kdm5b,Dnmt1,,,
Brca2,Cxcr2,,,
Cenpk,Kdm7a,,,
