Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Ivns1abp,Tcf7,0.8185119119115127,Timeless,2.470306151064655,Tcf7,0.7746916384703512,Ivns1abp,Pax5,Dnajc2
Jmjd1c,Hells,0.6738428182069274,Atad2,2.4432652218624815,Uhrf1,0.7564787969238219,Zfp1,Jmjd1c,Fli1
Zfp1,Lgals3,0.6469863320711777,Mcm7,1.79629175076383,Lgals3,0.6736311305094347,Dpy30,Cd96,Klf3
Cd96,Uhrf1,0.5976884037741556,Orc1,1.741336143130596,Hells,0.6031223719733471,Suv39h1,Bop1,Tcerg1
Dpy30,Aff3,0.578474144164054,Tcf19,1.6999208188945283,Mcm5,0.5902903099714664,Cd53,Lgals3,Supt16
Pa2g4,Mcm5,0.5713889835462898,Hmgb3,1.6423582238693433,Aff3,0.5775504790135326,Dpp4,Tfdp2,Fasl
Suv39h1,Mcm3,0.5548225905029881,Mcm5,1.5569229565958993,Tnfsf8,0.5566284714628986,Coil,Cd5,Paxip1
Cd53,Il18rap,0.5544757992095485,Brip1,1.4836574368008628,Id2,0.5201090448268124,Plag1,Ly86,Itgal
Klf3,Mcm4,0.533316476494725,Aurkb,1.4314909616629752,Mcm7,0.507362008977396,Zkscan5,Nr4a3,Mcm4
Lgals3,Slamf6,0.5211956582043519,Hmmr,1.3496652575455361,Fosb,0.5000533503028067,Hdac2,Ifi204,Cbx5
Tfdp2,Foxn3,0.5195718561665303,Mcm6,1.226110269300223,Mcm4,0.49818428276070276,Ctsl,Rnf19a,Foxn3
Dpp4,Mcm7,0.4919186604056266,Rad51,1.2005451890103647,E2f8,0.49056814577037333,Prmt5,Tbc1d2b,Il18r1
Itgal,Tnfsf8,0.48048024100798276,Chaf1b,1.1744395110879373,Cd74,0.4807786777174764,Prdm5,Wbp11,Chaf1b
Cbx5,Timeless,0.4799418795483645,Uhrf1,1.1734640673341485,Atad2,0.450312360722763,Zbtb48,Ccr9,Mcm3
Foxn3,Nr4a2,0.4772839988517603,Mcm3,1.1061598754931208,Brip1,0.44957252613421217,Nfkb1,H2-Ab1,Sp100
Zkscan5,Trip13,0.47190405393145546,Zscan22,1.0286060739869891,Havcr2,0.4488545085544821,Kdm4a,Ctla4,Il1r2
Il18r1,Havcr2,0.4636650350615091,Paxip1,1.0087450643433944,Chaf1a,0.44786400979921653,Lef1,Ifngr1,Slamf6
Batf3,Kdm6b,0.4544408532858293,Hnrnpab,1.005784845238834,Ikzf2,0.44620147034668056,Kmt5a,Hat1,Mcm5
Ifi204,E2f8,0.4470000146860157,Kntc1,0.9718518535027163,Cenpk,0.4404608838920852,Ube2b,L1cam,Mcm7
Rnf19a,Snrpd1,0.44081609865488475,Mcm2,0.9647213881618893,Ifngr1,0.43130196394261744,Per1,Plaur,Atad2
Tbc1d2b,Id2,0.4316351894602252,Brca1,0.9482011133463588,Mcm3,0.43055013923794083,Klrk1,Fkbp5,Rad51
Wbp11,Espl1,0.43010692126159566,Mcm8,0.9356959998258588,Selplg,0.4296524671233568,Mef2c,Id2,Nsd2
Nfkb1,Cenpk,0.4269356824394002,Cenpk,0.9069525078069505,Cd300c2,0.42899786080005914,Bcor,Pou6f1,Eif5b
Kdm4a,Atad2,0.4238777938155158,Suv39h1,0.8840434537048077,Foxn3,0.4248994662370727,Ddx5,Cd300c2,Tcof1
Ccr9,Selplg,0.4153971816738956,Brca2,0.8822270099478637,Espl1,0.42009597102237795,Cnot6,Zbtb20,Uhrf1
Mcm5,Il10ra,0.41368764671969527,Zbtb48,0.8807728293962921,Fasl,0.41792228628035866,Polr2h,Snrpb,Kdm7a
Irf4,Zfp36l1,0.41289464173878976,Dnmt1,0.8764058459438724,Aurkb,0.41713751186959086,Fmr1,Tnfsf11,Il10ra
Atad2,Chaf1a,0.4089549921158629,Phf19,0.8745197169320157,Foxm1,0.4157552488524094,Polr2k,Zfhx2,Itga4
Ube2b,Cd300c2,0.4083232710740746,Mcm4,0.8706616727082792,Wdhd1,0.41443917610406267,Ecd,Klrd1,Mcm8
Rad51,Brca1,0.40748393445601455,Rnps1,0.8620408977963305,Actb,0.40960083115624635,Zbtb39,Etv6,Psip1
Per1,Fosb,0.4066748130987517,Bard1,0.8555795899820724,Il10ra,0.40809044874976613,Pnn,Hivep3,Atp1b3
Ctla4,Cd74,0.4049927775719168,E2f1,0.846511272485106,Slamf6,0.4057236895537643,Zdhhc13,Relb,Icos
Ifngr1,Cd69,0.4045191761573029,Hmgb2,0.8317934487566927,Klrd1,0.39597600296745783,Rsf1,Crebzf,Ccr7
Klrk1,Brca2,0.4040553879117831,Cbx5,0.8204207542347347,Hmmr,0.3955246810242373,Srrm1,Rel,Nap1l1
Hat1,Dnmt1,0.4031897884757656,Mybl2,0.8062500130191802,Trip13,0.3934534957087606,Elk3,Trbc1,Smyd2
Plaur,Actb,0.4029433877951399,Prdm5,0.7646360856054684,Zfp36l1,0.3875525273839738,Tcf12,S1pr1,Setbp1
Mef2c,Hnrnpab,0.39885004765524257,Chaf1a,0.7516824161674236,Nr4a2,0.38640985972497893,Mybl1,Zfp36l1,E2f8
Fkbp5,Nsd2,0.39729432146056104,Espl1,0.7516357378120502,Mcm6,0.3860767451174046,Mbd1,Atf7ip,Orc1
Bcor,Brip1,0.391115204831681,Hells,0.7426454222298422,Cd83,0.38582187723536693,Gtf3c4,Tox,Trip13
Ddx5,E2f1,0.38985053718220114,Hist1h2bp,0.7310383466819049,Pax5,0.38559152897830246,Mllt3,Cd86,Cd22
Id2,Fasl,0.3884993824352089,Trip13,0.7279082113316867,Snrpd1,0.38223160968006503,Top2b,Cxcr5,Sfmbt1
Cnot6,Dek,0.3863145089520519,Wdhd1,0.6800774168256961,E2f1,0.377428175298059,Hmgb3,Ikzf1,Rbbp4
Zbtb20,Hmmr,0.3844555952962348,Smyd2,0.6751254313003585,Bard1,0.37549492124745143,Ssbp2,Itga2,Bard1
Snrpb,Tfdp1,0.3815960274770604,E2f8,0.6707937222561919,Il18rap,0.3746845625081596,Phf1,Pou2af1,Batf
Kdm7a,Nap1l1,0.37932951346975474,Mybl1,0.6673179215627857,Dnmt1,0.368926682645538,Smarca2,Tnfsf8,Wdhd1
Zfhx2,Mcm6,0.37790436616548984,Il23r,0.6510755214058874,Tfdp1,0.36823938459219285,Ddb1,Runx3,Ikzf3
Etv6,Klrd1,0.3750248865189763,Sp100,0.6427612639408326,Nsd2,0.3665636156404158,Slamf1,Smad7,Fcgr2b
Polr2k,Bard1,0.37295630326218143,Pnn,0.6295941830141989,Gadd45b,0.36611324626539804,Snapc1,Csf1r,Kdm6b
Itga4,Cbx5,0.37020735074165,Rbbp4,0.6152537878548076,Rel,0.3625331731628211,Cbx1,Sp4,Espl1
Pnn,Mybl2,0.3684302743078461,Mef2c,0.6111633112328808,Mybl2,0.3588876478505842,Polr2d,Ahr,Kntc1
Rsf1,Lag3,0.36346638721965757,Zbtb39,0.6054978951313376,Zbtb38,0.3569994554675696,Klf6,Ewsr1,Chaf1a
Srrm1,Rbbp7,0.36269818409669674,Polr2k,0.58678797869576,Brca1,0.3555780213490945,Hmgb2,Cnbp,Mcm6
Psip1,Ikzf2,0.36257538264505507,Parp2,0.5719221898143821,Rad51,0.3552515459833715,Zfp213,Ep300,Il7r
Tcf12,Foxm1,0.35925975383356185,Nsd2,0.5689618863210708,Chd2,0.3541487884374961,Atf3,Tlr1,Hmmr
Mybl1,Ilf2,0.3578055571055746,Hif1a,0.5492050592472453,Brca2,0.3521291216984806,Prmt1,Cd74,Polr2f
Trbc1,Aurkb,0.35712501861059576,Eed,0.5483950192772662,E2f3,0.3520627247131205,Zmym2,Pecam1,Ebf1
S1pr1,Rfc1,0.35710928692402577,Sfmbt1,0.5315083633899101,Cd47,0.3518250934484734,Chd6,Lag3,Kdm5b
Icos,Pou6f1,0.35085848235719197,Il7r,0.5129849404442411,Cd28,0.35127326162736994,Cd226,Arid1a,Timeless
Ccr7,Cxcr6,0.35084056963978905,Fkbp2,0.512054660801227,Cd48,0.3509689709615434,Foxj2,Bcl6,Cenpk
Atf7ip,Pdcd1,0.3497574232137075,Ybx1,0.4931041503242162,Nap1l1,0.34804068776864605,Rnps1,Cd300lf,Hdac7
Hmgb3,Itga1,0.3444668335217209,Mbd4,0.49167559759551877,Batf,0.3477196324294331,Zfp275,Rbbp7,Rfc1
Phf1,Rel,0.34421651185022584,Xab2,0.4773023334906543,Timeless,0.3463213709184905,Kmt5c,Rbl1,Cd9
Smyd2,Crtam,0.34312849218339225,Ssrp1,0.473054940292689,Kdm6b,0.34506125476313704,Parp2,Apex1,Tcf7
E2f8,Wdhd1,0.3429165740959431,Gatad1,0.46764709188829745,Kntc1,0.34089996873598116,E4f1,Irf2,Hnrnpab
Trip13,Itgax,0.3428508884872687,Scml4,0.4651550563114976,Dek,0.3399415261466869,Med8,Aff3,Hells
Cxcr5,Kntc1,0.3404277968227535,Kdm4a,0.46261526515129414,Cbx5,0.33867470747378553,Brd7,Hlf,Il6ra
Cd22,Itgal,0.33947243857464215,Kmt5c,0.4611577576630692,Itgal,0.3381125140894576,Hnrnpd,Slc3a2,Scml4
Ikzf1,Mcm2,0.33808881764725857,Cbx1,0.4587996977412357,Crtam,0.33805440416736976,Sell,Nr4a2,Nap1l4
Cbx1,Rbbp4,0.33778573500517484,Foxp1,0.45767071277077437,Itgax,0.33718652182307807,Tardbp,Fhl2,Nt5e
Polr2d,Suz12,0.33695005677506884,Kdm7a,0.45266564925436875,Suz12,0.33701772999653007,Polr2i,Tfdp1,E2f3
Tnfsf8,Cd83,0.3352631169155509,Zkscan5,0.44912803392177475,Tnfsf4,0.3322363832243804,Ubn1,Tox2,Foxm1
Runx3,Baz1b,0.3332127320289792,Supt16,0.44750697176630383,Mcm2,0.33057291964194835,Tnfrsf8,Entpd1,Dnmt1
Smad7,Gadd45b,0.3330759479847789,Tnfrsf8,0.44281979726148957,Hnrnpab,0.3305293368714458,Parp1,Crtam,Brca2
Klf6,E2f3,0.33294835782218274,Zfp422,0.4347157210724829,Pou6f1,0.3293172770755507,Ahctf1,Il6st,Sub1
Csf1r,Tox,0.3322787390345065,Abcb1a,0.4337487641802724,Entpd1,0.3268931269668172,Jmy,Gadd45b,Brip1
Sfmbt1,Zbtb38,0.33038837610838717,Parp1,0.43029307370634723,E2f2,0.3259535364027781,Cxcr6,Actb,Mybl2
Ilf2,Relb,0.3265536157320842,Foxm1,0.42926844133316544,Ccr6,0.3242618064510686,Rgs14,Ikzf2,Ssrp1
Prmt1,Paxip1,0.32589929747205715,Polr2f,0.42561739130882986,Ctla4,0.32355687187072646,Ncor1,Mbd2,Aurkb
