All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
Dek,0.6132082283054604,Uhrf1,0.5886166054810631,Dek,0.7775928168449648,Cd300lf,Lair1,Brca1,Setbp1,0.0831306129693985,0.0543464832007885,0.0792153850197792,1.3966511487960815,1.3173649311065674,1.351771593093872,0.01958425442302784,0.7901276350021362,0.01952145210326756
Mcm5,0.5377578897334675,Cbx5,0.5585884224104746,Chaf1a,0.4978954636467043,Setbp1,Mef2d,Kntc1,Tcf19,0.16474618017673492,0.22036728262901306,0.17206968367099762,0.004693667870014906,0.009716267697513103,0.005784548819065094,-0.017877149196272715,-0.007992778904736042,
Hells,0.5181140493740106,Mcm5,0.55393016432907,Hells,0.4939008539450294,Brip1,Trp73,Cbx5,Gatad1,0.1712373048067093,0.258075475692749,0.18085923790931702,0.16165393590927124,0.24061639606952667,0.17523129284381866,-0.0035248019930021047,-0.006143466103821993,-0.0034815036890402545
Uhrf1,0.5172602464617384,H2-Eb1,0.5327083800891005,Mcm3,0.4887980178276058,Ifngr1,Hmg20b,Supt16,Rad51,0.027492864057421684,0.05999743938446045,0.03274186700582504,0.09651927649974823,0.22625209391117096,0.11643564701080322,0.014721368158109116,0.012613930739462376,0.004028899732821886
Il18rap,0.5123796283345426,Mcm3,0.525946082404706,Timeless,0.4768473953760189,Tcf19,Mtf2,Itgb1,Rbbp7,1.167138934135437,1.6709421873092651,1.238702654838562,0.37341323494911194,0.4417727589607239,0.38430526852607727,0.007921625405382765,-0.006295452360063791,0.05542955633805411
Mcm3,0.5042448775351548,Mcm7,0.5157247748857476,Mcm4,0.4668032541600968,Cxcr6,Klrd1,Tcf7,E2f8,0.1038239374756813,0.14009560644626617,0.10857821255922318,0.018455836921930313,0.021646276116371155,0.019149310886859894,-0.021972110615872682,0.0029733881819993258,-0.020407250189066913
Lgals3,0.4971782321901964,Hells,0.5075128074871298,Nsd2,0.4604276397596113,Gatad1,Foxp4,Snrpd1,Klra6,0.008665204048156738,0.0,0.007149170618504286,0.0033305813558399677,0.0,0.0022827526554465294,-0.0007692599847383067,0.0,0.006510647567722518
Il18r1,0.49072341088758603,Mcm6,0.4869534497171292,Atad2,0.4604054691188769,Cd226,Klf3,Mcm3,Paxip1,0.21103891730308533,0.2944831848144531,0.22509349882602692,0.11439365893602371,0.14784926176071167,0.11831376701593399,,-0.04988735169172287,
Mcm4,0.4875778745382806,E2f1,0.4707548150559727,Orc1,0.4519551799180122,Sp100,Elf1,Hnrnpd,Kdm7a,0.8610162734985352,0.34742271900177,0.779952347278595,1.8831689357757568,1.0092878341674805,1.7444044351577759,0.07200380622653024,0.3303728997707367,0.07600325996916926
H2-Eb1,0.4833007212544839,Brca1,0.4645742001101959,Mcm5,0.434629858120144,Klra6,Zbtb48,Mcm8,Taf1,0.33809593319892883,0.362530380487442,0.34242871403694153,0.5573874711990356,0.8131176829338074,0.6010110974311829,,0.008540295995771885,
Cbx5,0.47623005825526465,Ezh2,0.45306317067868496,Hat1,0.41286924081944126,Cd69,Cd160,Ezh2,Polr2a,0.9345275163650513,1.0683441162109375,0.961476743221283,1.5197901725769043,1.841424584388733,1.5682337284088135,,-0.19547605514526367,
Nap1l1,0.47539604581109757,Timeless,0.45033687451625376,Tnfsf4,0.39520634435919816,Ighm,Vax2,Wdhd1,Ighm,0.724116861820221,1.6199970245361328,0.8620426058769226,0.4386894404888153,0.9986631274223328,0.5306662917137146,0.05860381930090516,0.1869811862707138,0.1046490962973916
Ezh2,0.463705895290706,Dek,0.4501555313721006,Cd74,0.3811714150756608,Il1r2,Cd53,Klrk1,Il1r2,0.012351787649095058,0.005017697811126709,0.011217202059924603,0.05851684883236885,0.053087931126356125,0.05681199952960014,0.002970917369795757,0.03172220662236214,0.025541741767674576
Mcm7,0.452676129068119,Nap1l1,0.4331952282714514,Ezh2,0.3761449777364534,Klra4,Paxip1,Pa2g4,Klra4,0.00166260392870754,0.0,0.0014900551177561283,0.0026299755554646254,0.0,0.002307336311787367,0.0006375235481313007,0.0,0.0016111774161884386
Klra1,0.4391249676358202,Il18rap,0.4278555919041155,Dnmt1,0.37291149800275863,Eif2ak2,Ccr2,Ssrp1,Zbtb10,0.0007757229614071548,0.004299094434827566,0.0016274191439151764,0.004136924631893635,0.011446352116763592,0.0061546266078948975,,0.0030030172783881426,
Snrpd1,0.43656063657951916,Ybx1,0.4272889759236192,Wdhd1,0.3720056056180327,H2-Ab1,Ankrd10,Rad51,Zfp354c,0.002587652299553156,0.0010247319005429745,0.002345361514016986,0.015504526905715466,0.00926109030842781,0.01614236831665039,,0.0064793359488248825,
Sp100,0.43428624354684764,Brca2,0.4231895090203134,E2f3,0.3678065971603103,Cxcr2,Polr2a,Jaml,Cd74,0.029923629015684128,0.02500956878066063,0.031023891642689705,0.07010000944137573,0.08324714750051498,0.07450870424509048,-0.002395997888102041,-0.027065377682447433,-0.0026902800770088695
Timeless,0.42785683292014,E2f8,0.41851859510902156,Hnrnpd,0.36711733077507547,Klra1,Taf1,Suz12,Wbp11,0.7424187064170837,0.7319410443305969,0.748462975025177,0.2716827392578125,0.24653756618499756,0.26884984970092773,,0.008538576774299145,
Supt16,0.41296679013040116,Il18r1,0.41706570145808314,Paxip1,0.36301177203067675,Pdcd1,Smad7,Rbbp7,Hells,0.5741466879844666,1.0219790935516357,0.643187940120697,0.45677629113197327,0.772506058216095,0.5035459995269775,-0.05259635538686579,-0.08565842360258102,-0.10877885927071107
Klrd1,0.41070836221354545,Hnrnpab,0.4138622532450585,E2f1,0.3564389091758951,Cbx3,Sf1,E2f8,Nsd1,0.7235828042030334,0.4944494664669037,0.6853747963905334,1.2127206325531006,0.783497154712677,1.1496793031692505,,-0.41806191205978394,0.046129977140950205
Orc1,0.40592495205991086,Cd226,0.41280949696060926,Taf1,0.34853336117265166,Pcgf5,Brd9,Daxx,Dnmt1,0.9053707122802734,1.3903441429138184,0.97575843334198,0.22954873740673065,0.3447405993938446,0.2484579086303711,-0.058994215031360535,-0.0635056123137474,-0.10930774118412666
Kdm7a,0.40524431706813396,Bard1,0.4086106783668939,Ssrp1,0.3449121629895305,Cd86,Thrap3,Mcm4,Klra1,0.027352560311555862,0.0021540699526667595,0.02189953252673149,0.011632738634943962,0.0027413037605583668,0.009825269691646099,0.01913418145768577,-0.0013794165570288897,0.02039309661120152
