,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Aff3,10.468044,10.465706,10.482655,9.408628,9.408628,9.464157,1.2044113,1.1741875,2.7244408,1.4902916,0.81862,2.2112868,1.1515105,1.1521441,1.148293,0.9056999,0.68936265,1.3095295,0.6962309,0.51569396,0.99752426,11.018795,10.200225,11.236259,0.54491216,0.4798263,0.5464153,2.231421,2.2449467,1.3100138,0.4192159,0.4192893,0.4313488
Smarca5,0.7401343,0.7404685,0.73610055,1.1363826,1.1363826,0.50840694,1.104274,1.1141865,0.9313838,1.0240567,1.0244932,1.0235881,1.0158211,1.0196147,0.9965552,1.0660325,1.0878112,1.0253792,1.0858595,1.1062351,1.0518552,0.93413407,0.9995469,0.9167563,0.66696423,0.9294095,0.66090316,1.1378956,1.1405028,0.9917945,1.201308,1.2009584,1.203922
Sox5,0.46788025,0.4680638,0.4691402,0.12620091,0.12620091,0.0,0.20920967,0.20025176,0.2356841,0.48307204,0.2574633,0.7252481,0.27704334,0.25591615,0.38433638,0.31986424,0.2667226,0.41906196,0.13237876,0.10191911,0.18321207,1.8711876,1.282574,2.027561,0.5955972,0.38958004,0.6003551,0.3288911,0.32753545,0.4592823,0.8329048,0.83320224,1.0193106
Hdac4,1.4327887,1.432909,1.4351735,1.1895931,1.1895931,1.0818603,0.3808839,0.3812096,0.43156436,0.3930329,0.36980364,0.417968,0.3782467,0.37793335,0.37983805,0.39877477,0.39705265,0.40198943,0.31588155,0.32594076,0.299094,0.5145783,0.5385483,0.5082103,0.4270527,0.43921334,0.42677188,0.42084977,0.4219793,0.34303868,0.28947595,0.28963616,0.3013765
Smad7,0.532285,0.5324117,0.53159034,0.68975914,0.68975914,0.45181984,0.2789082,0.2888165,0.23277777,0.37710503,0.39359623,0.3594028,0.41299316,0.41622162,0.3965977,0.3351219,0.33591738,0.33363706,0.40225995,0.39193216,0.4194957,0.3907659,0.46553865,0.37090147,0.19631398,0.33326006,0.19315125,0.37845838,0.37708715,0.44788522,0.24546167,0.24540766,0.1938597
Trdv1,0.007896667,0.007905432,0.007953633,0.00017957053,0.00017957053,0.0,0.0024751262,0.0026617083,0.0006673359,0.0053430265,0.0040241852,0.006758716,0.004615847,0.004499083,0.0052088266,0.0031663065,0.0023928457,0.0046101,0.003569774,0.0036853028,0.0033769715,0.011535789,0.00564068,0.013101908,0.0035358423,0.008771429,0.003414928,0.0038471431,0.0036179505,0.01781843,0.007310729,0.0073260553,0.0
Snrpb,0.16842327,0.16841938,0.16828,0.30269486,0.30269486,0.05609008,0.32022038,0.32121488,0.26824906,0.30109462,0.30734593,0.29438424,0.3395278,0.34475136,0.31300023,0.34176847,0.35435995,0.31826434,0.33464292,0.35224918,0.3052603,0.24388413,0.24746384,0.24293312,0.19567822,0.19109125,0.19578415,0.18104963,0.18053813,0.21075024,0.18173213,0.18142974,0.28017417
Havcr2,0.022187958,0.022122797,0.021412253,0.023537805,0.023537805,0.01902028,2.5527925,2.571763,1.9176689,1.9754465,2.2551122,1.6752436,2.7326121,2.80355,2.3723588,2.4711444,2.7038124,2.0368314,2.6837668,2.8979063,2.3263953,0.32292193,0.26827258,0.33744028,2.101316,2.3931162,2.094577,0.8591955,0.84951127,1.4562849,0.8979857,0.89667183,1.2591522
Ar,0.50512165,0.50544614,0.50698906,0.44789472,0.44789472,0.26033565,0.29877895,0.286586,0.40068206,0.3365639,0.25976154,0.41900617,0.28323206,0.25610515,0.42099413,0.25257432,0.19240054,0.36489868,0.22719838,0.17040408,0.32198092,0.5708162,0.49096107,0.5920308,0.4636765,0.29893163,0.46748126,0.3017268,0.3014175,0.31466782,0.2913022,0.29103586,0.33116573
Gtf2b,0.1566314,0.15658039,0.15693316,0.17219342,0.17219342,0.16395055,0.29267645,0.2957259,0.25088745,0.3198363,0.34496152,0.292866,0.35657895,0.3619391,0.32935777,0.30290785,0.31027234,0.28916082,0.350234,0.3743354,0.31001177,0.28385168,0.2600752,0.29016826,0.12749206,0.22329313,0.12527956,0.16433188,0.16262887,0.26697364,0.16745959,0.16720076,0.23154604
Cdc5l,0.3940017,0.39414695,0.39404294,0.33220214,0.33220214,0.34408003,0.5143955,0.51391304,0.45514247,0.5098845,0.46290332,0.5603157,0.50129044,0.4951765,0.5323396,0.5149964,0.49673298,0.54908806,0.5143016,0.4939708,0.5482312,0.4420653,0.41434506,0.4494296,0.262842,0.45481437,0.25840846,0.31063676,0.30868703,0.42425573,0.31048265,0.31049323,0.29462984
Trim24,0.3388055,0.33902508,0.33779496,0.4340232,0.4340232,0.20968676,0.31232524,0.3096962,0.33731762,0.36276105,0.34098548,0.3861357,0.29042536,0.29172722,0.28381395,0.31988505,0.32821774,0.3043307,0.2849508,0.29363456,0.27045867,0.3574333,0.3811804,0.35112455,0.42080116,0.434605,0.42048237,0.4341223,0.43642777,0.29427433,0.3990793,0.39911786,0.35138038
Btla,1.1459801,1.1458088,1.14992,0.7620766,0.7620766,1.0815341,0.5408865,0.522173,0.73788875,0.49964693,0.34134656,0.66957194,0.4731576,0.44219732,0.63038725,0.47427127,0.42251858,0.57087624,0.39864781,0.35182524,0.47678882,1.6080008,1.2140199,1.7126673,0.93435824,0.5812144,0.94251394,0.32342708,0.32134914,0.4447836,0.094998024,0.09495408,0.11752599
Slamf6,0.70338,0.7025396,0.701761,0.70680165,0.70680165,0.5415201,0.44330806,0.42255044,0.6162623,0.4176074,0.33533886,0.50591725,0.39487454,0.3829616,0.4553736,0.32188368,0.28180283,0.3967013,0.39130756,0.34337008,0.47130913,1.678506,1.2434732,1.7940787,0.40140906,0.21955302,0.40560898,0.43199512,0.43276536,0.37563124,0.16042662,0.16042194,0.14181954
Ube2k,1.5872197,1.5874428,1.5854208,1.6459949,1.6459949,1.5887587,2.1097414,2.110763,1.9527557,1.9664836,1.9736373,1.9588046,2.0359552,2.0431168,1.9995857,2.0143256,2.0138676,2.0151803,1.9403738,1.9606994,1.9064527,1.9134107,1.8356324,1.9340736,1.6943434,1.6160797,1.696151,1.8009564,1.8049701,1.5624586,1.7997867,1.8001914,1.6415635
Klf6,0.12794751,0.12778115,0.12602928,0.2803389,0.2803389,0.1535171,0.23289306,0.23832345,0.1839289,0.25040522,0.31251293,0.18373671,0.26983038,0.28799236,0.17759596,0.23997882,0.26867822,0.1864066,0.19913614,0.23721284,0.1355909,0.1590024,0.24964885,0.13492088,0.12105255,0.22227272,0.1187149,0.45274514,0.455966,0.24465533,0.35784027,0.3580218,0.2705533
Timeless,0.08802422,0.08805463,0.08761627,0.047033947,0.047033947,0.0,0.29974645,0.29848653,0.24935079,0.19221486,0.21172051,0.17127684,0.27590263,0.2827905,0.24092288,0.33854952,0.34258837,0.33101037,0.24224918,0.27024454,0.19552843,0.08895084,0.12445648,0.079518266,0.13847683,0.08336956,0.13974951,0.03676749,0.036119614,0.077375405,0.041040104,0.040780704,0.13289723
