wilcoxon,t-test,t-test_overestim_var
Atp2c1,Ccl5,
Kif21b,Supt4a,
Commd8,Atp6v1g1,
P4hb,Btg1,
Ppp2r5c,Mrpl58,
Zyx,Sars,
H2-Q7,Arpc5,
Cmah,H2-Q7,
Trappc10,Fosb,
Pdlim2,Zyx,
Ccl5,Txndc17,
Cox7a2l,Zfp36l1,
Tes,Tprgl,
Kpna4,Map4k4,
Herc1,Gabarapl2,
Spata13,B2m,
Smu1,Atp2c1,
Bnip3l,Sqstm1,
Tsc22d4,Ndufa10,
Napa,Spn,
Txndc17,Smad7,
Txndc5,Rps24,
Arpc4,Tax1bp1,
Osbpl3,Ccr2,
Csde1,Selenok,
Krtcap2,Kif21b,
Nkg7,Pld3,
Gabarapl2,Slc38a2,
Arpc2,Herc1,
Ndufa10,P4hb,
Smad7,Prpf4b,
Atp6v0b,Bnip3l,
Esyt1,Mrpl30,
Ablim1,Osbpl3,
Acin1,Cuta,
Rap1b,Rac2,
Itgb2,,
Chmp4b,,
Hsd11b1,,
Rbm7,,
Mrpl30,,
Map4k4,,
Tprgl,,
Twf2,,
Slc38a2,,
Acot7,,
Smurf2,,
Mrpl58,,
H2-K1,,
Rara,,
Rbsn,,
Copb2,,
Atf4,,
Kmt2e,,
Camta2,,
Runx2,,
Ubald2,,
Tle5,,
Idnk,,
Bax,,
Rab12,,
Laptm5,,
Ptbp3,,
Selplg,,
Gbp2,,
Pdcd10,,
Btg1,,
Bicra,,
Fnip1,,
Rapgef6,,
Pex6,,
