wilcoxon,t-test,t-test_overestim_var
Ccl5,Jak1,Jak1
Jak1,Junb,Junb
Junb,Ccl5,Ccl5
Cd8b1,Klrg1,H2-Q7
H2-Q7,Arl4c,Klrg1
Arl4c,Cd8b1,Cd8b1
Gabarapl2,H2-Q7,Arl4c
Hopx,Zeb2,Zeb2
Ppp1r12a,Ccr2,Ccr2
Srsf5,Ppp1r15a,Hopx
Ier2,Gabarapl2,Gabarapl2
Ddx5,Ier5,Ppp1r15a
Itgb1,Hopx,Ier5
Rap1b,Cx3cr1,Itgb1
Klrg1,Itgb1,Ier2
Sp100,Ier2,Ppp1r12a
Laptm5,Dennd4a,Cx3cr1
Ccr2,Txk,Dennd4a
Ier5,Ppp1r12a,Txk
Ptprc,Klf3,Srsf5
Tnfaip3,S1pr5,Rap1b
Dennd4a,Srsf5,Ddx5
H2-D1,Tnfaip3,Klf3
Zeb2,Rap1b,Tnfaip3
Txk,Ddx5,H2-K1
H2-K1,Laptm5,H2-D1
Ppp1r15a,Ccdc88c,Laptm5
Btg1,H2-D1,Ptprc
Ccdc88c,H2-K1,Sp100
Pnrc1,Ptprc,Ccdc88c
Nfkbia,Sp100,Btg1
Tpt1,Fos,S1pr5
Eif1,Btg1,Ly6c2
Fth1,Klf6,Tpt1
Cx3cr1,Gzma,Ypel3
Apbb1ip,Ypel3,Klf6
Klf6,Pnrc1,S100a10
S100a10,Tpt1,Pnrc1
Krtcap2,Ly6c2,Fos
Hcst,Nfkbia,Nfkbia
Rac2,Slco3a1,Gzma
Rora,Rora,Eif1
Klf3,S100a10,Rora
Ypel3,Eif1,Slco3a1
Cyba,Vps37b,Klrd1
Ly6c2,Apbb1ip,Hcst
Rps27,Gramd3,Apbb1ip
Epsti1,Klrd1,Rac2
Klrd1,Hcst,Vps37b
Selplg,Rac2,Gramd3
Macroh2a1,As3mt,Rps27
Gramd3,Rps27,Fth1
Ahnak,Fth1,Selplg
Bcl11b,Kdm6b,Fau
Stk17b,Krtcap2,Krtcap2
Fau,Dusp5,Cyba
Arhgdib,Borcs7,Dusp5
Atp2b1,Selplg,Kdm6b
Vps37b,Cyba,As3mt
Ankrd11,Fau,Atp2b1
Atp5h,Atp2b1,Ahnak
Ubc,Fosb,Borcs7
Clk1,Bcl11b,Bcl11b
Dusp5,Ahnak,Myl6
Serf2,Rara,Il18rap
Xrn2,Acss2,Fosb
Zyx,Nr4a1,Arhgdib
Myl6,Il18rap,Epsti1
Il18rap,Myl6,Nr4a1
Dock2,Atp5h,Atp5h
Slco3a1,Epsti1,Macroh2a1
Klf2,Macroh2a1,Rara
Ostf1,Arhgdib,Acss2
Cd28,Esm1,Clk1
Ubb,Clk1,Stk17b
Lck,Dock5,Klf2
Itgb2,Stk17b,Zyx
H3f3b,Klf2,Ubc
Fos,Zyx,Dock2
Ets1,Gpr183,Dock5
Rpl13a,Slc4a7,Serf2
Fyn,Ubc,Ankrd11
Gzma,Ankrd11,Esm1
H2-Q6,Dock2,Gpr183
Ccnl1,Serf2,Ubb
Supt4a,1700025G04Rik,Slc4a7
Npc2,Cd28,Cd28
Ablim1,Xrn2,H3f3b
Eif4a2,Ugcg,Xrn2
4930523C07Rik,Ubb,Ugcg
S1pr5,Kdm7a,Ccnl1
Diaph1,H3f3b,1700025G04Rik
Ankrd44,Foxp1,Vsir
Ube2d3,Vsir,Foxp1
Ugcg,Ccnl1,Ostf1
Sept1,Klrc2,H2-Q6
Trav14-1,Itgb2,Klrc2
Il2rg,Tagap,Itgb2
S100a13,H2-Q6,Kdm7a
Jund,Chd3,Eif4a2
Saraf,St3gal6,Chd3
Rbm39,Ostf1,Ablim1
Btg2,Eif4a2,St3gal6
Lat,Runx1,Tagap
Tax1bp1,Arl5c,4930523C07Rik
Fyb,Gadd45b,Arl5c
Atp1b3,Ablim1,Runx1
Scp2,4930523C07Rik,Ets1
Spn,Fcgrt,Lck
Dnajc15,Klre1,Fyn
Gimap6,Ets1,Gadd45b
Rpl37a,Irf1,Irf1
Zfp36l2,Lck,Rpl13a
Tprgl,Ccr5,Ccr5
Vsir,Fyn,Gtf2i
Foxp1,Phf21a,Trav14-1
Tut4,Gtf2i,Smad7
Arl6ip5,Smad7,Ankrd44
Klrc2,H2-Q10,H2-Q10
Rnf138,Rpl13a,Tut4
Rps14,Cmah,Cmah
1810058I24Rik,Nhsl2,Phf21a
Ms4a4b,Tut4,Tprgl
Macf1,Stard10,Fcgrt
Kdm6b,Trav14-1,Btg2
Irf1,Ankrd44,Diaph1
Itgal,Tprgl,Ms4a4b
Nr4a1,Diaph1,Klre1
Arf4,Wdr95,Cd69
Gtf2i,Fasl,Il2rg
Cox7a2l,Cd69,Wdr95
