gene_names,A8P,C5P,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Mrpl15,0.4206181764602661,0.7068589925765991,-0.9746819734573364,2.710249728302954e-38,-13.126443862915039,-0.9746819734573364,4.366010329354158e-44,-14.46804141998291,-0.9746819734573364,9.392874674296976e-43,-14.231640815734863
Lypla1,0.30224609375,0.3751668334007263,-0.3673732578754425,4.6664737978251984e-18,-8.847803115844727,-0.3673732578754425,8.931470740074595e-05,-4.189444065093994,-0.3673732578754425,0.00011851798929277992,-4.124983787536621
Gm37988,0.0005745338858105242,0.0028187211137264967,-2.296194076538086,0.9979031040791063,-0.16184532642364502,-2.296194076538086,0.12097545167190037,-1.845000982284546,-2.296194076538086,0.13961870071257304,-1.7745449542999268
Tcea1,0.42688098549842834,0.5136465430259705,-0.3344174325466156,3.036188809168303e-11,-6.837353706359863,-0.3344174325466156,3.819297412574912e-05,-4.389118194580078,-0.3344174325466156,5.072407677205551e-05,-4.327117443084717
Atp6v1h,0.3417189121246338,0.38084274530410767,-0.1863027662038803,8.293653583776034e-11,-6.68803596496582,-0.1863027662038803,0.06846542885107486,-2.1178178787231445,-0.1863027662038803,0.07449902216227083,-2.0856809616088867
Rb1cc1,0.5737361907958984,0.3515614867210388,0.8791870474815369,3.2979833503101325e-08,5.724987983703613,0.8791870474815369,1.0143469256131311e-23,10.403268814086914,0.8791870474815369,3.2285634456701425e-23,10.283267974853516
Pcmtd1,0.296284943819046,0.1591525375843048,0.999245822429657,0.07955722069278673,2.038308620452881,0.999245822429657,8.478478509779487e-16,8.351689338684082,0.999245822429657,1.7177028924459204e-15,8.264143943786621
Rrs1,0.15368136763572693,0.251557856798172,-0.7839333415031433,3.6181615123807995e-26,-10.767874717712402,-0.7839333415031433,9.583660222932913e-12,-7.083352088928223,-0.7839333415031433,2.548707751475509e-11,-6.943896293640137
Adhfe1,0.0008459222153760493,0.00017148056940641254,2.302959680557251,0.9979031040791063,0.07456935942173004,2.302959680557251,0.553190093295905,0.7813923954963684,2.302959680557251,0.5554594334681295,0.7797898054122925
Mybl1,0.01080887671560049,0.014090548269450665,-0.38488319516181946,0.47737517258951867,-1.067147135734558,-0.38488319516181946,0.4609618713126327,-0.9338439702987671,-0.38488319516181946,0.4715059156938848,-0.9182236790657043
