wilcoxon,t-test,t-test_overestim_var
Ccl5,Ccl5,Ccl5
Hcst,Hcst,Hcst
Tpt1,Tpt1,Tpt1
Btg1,Btg1,Btg1
Fau,Ly6c2,Fau
H2-K1,Fau,Ly6c2
Ly6c2,H2-K1,H2-K1
Trav14-1,Trav14-1,Trav14-1
H2-D1,H2-D1,H2-D1
Cd8b1,Klrd1,Klrd1
Rps27,Rps27,Rps27
H2-Q7,Cd8b1,Ccr2
Ptpn18,Ccr2,Cd8b1
Klrd1,H2-Q7,Rps14
Rps14,Rps14,H2-Q7
Jak1,Ptpn18,Ptpn18
Sp100,Il18rap,Il18rap
Laptm5,Jak1,Jak1
B2m,B2m,Rpl18a
Rpl18a,Rpl18a,B2m
Il18rap,Laptm5,Sp100
Rpl17,Sp100,Laptm5
Rpl24,Klrg1,Klrg1
Ptprc,Rpl17,Rpl24
Ccr2,Rpl24,Rpl17
Rpl34,Zeb2,Zeb2
Ahnak,Ptprc,Cx3cr1
Ier2,Arl4c,Arl4c
Rpl19,Cx3cr1,Ptprc
Rpl30,Rpl34,Rpl34
Rps13,Ahnak,Ahnak
Rps24,Rps13,Rps13
Zfp36l2,Rps24,Rps24
Ppp1r12a,Rpl19,Rpl19
Rpl27,Rpl30,Ier2
Arl4c,Ier2,Rpl30
Gabarapl2,Zfp36l2,Trbv13-3
Trac,Trbv13-3,Zfp36l2
Itm2b,Rpl27,Rpl27
Dock2,Ppp1r12a,Ppp1r12a
Itgal,Ypel3,Ypel3
Klrg1,Trac,Trac
Srsf5,Gabarapl2,Gabarapl2
Fxyd5,Dock2,Dock2
Cd52,Klf2,Klf2
Klf2,Fxyd5,Ogt
Hopx,Ogt,Tm6sf1
Cx3cr1,Itm2b,Wdr95
Apbb1ip,Cd52,Itgal
Rac2,Tm6sf1,Itm2b
Zeb2,Itgal,Fxyd5
Epsti1,Ctla2a,Ctla2a
Npc2,Wdr95,Cd52
Junb,Klf3,Klf3
Selplg,Bcl11b,Bcl11b
Rsrp1,Hopx,Hopx
Bcl11b,Junb,Junb
Cox7a2l,Srsf5,Apbb1ip
Ctla2a,Apbb1ip,Srsf5
Id2,Id2,Id2
Ypel3,Selplg,Selplg
Rap1b,Rac2,Rac2
Rpl37a,Ccdc88c,Ccdc88c
Trbv13-3,Pdcd4,Pdcd4
Ogt,Rps15a,Rsrp1
