,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5386098,-0.6908941268920898,False,,,,,,,,,,,,,,,,0.1954575777053833
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.12688898,0.020807862281799316,True,0.011033389916474507,0.1040261716348829,0.08512322631177646,10.677860964006783,4.6315674751997,0.0429823100566864,0.01607811078429222,0.23812280029656513,0.0,0.0,0.10720020156727544,0.106245266067259,0.04502123841566258,0.848056045312796,3.446031366869096,0.3418653607368469
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.45615572,-1.4027583599090576,False,,,,,,,,,,,,,,,,-1.3971993923187256
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.5208078,0.5728709697723389,True,0.4731486357560082,0.8930767808011606,0.3997942707939951,11.759857327750366,0.205857040733099,0.12115850299596786,0.2780929505825043,0.5203559186759075,0.0,0.0,0.37800360405867106,0.3329569697972991,0.8983595164428497,0.20701583503403237,2.4476988859363478,0.6699318885803223
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.6460857,-0.0912705659866333,False,,,,,,,,,,,,,,,,-0.0764169692993164
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.520479,-10.022433280944824,False,,,,,,,,,,,,,,,,-5.515297889709473
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.45241407,0.08986091613769531,True,0.7673170461301946,0.6500103035039141,0.2607255370509428,10.607914096250145,0.2788198797404766,0.3397494852542877,0.5757538676261902,0.46399165219266747,0.0,0.0,0.4248707823767002,0.8839294390719001,2.0141218394554894,0.24623773467602822,2.4829532204800118,0.6217862367630005
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8837497,-0.4056568145751953,False,,,,,,,,,,,,,,,,-0.40564024448394775
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0041610133,-3.1890993118286133,False,,,,,,,,,,,,,,,,0.16698503494262695
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.7115273,-6.297499179840088,False,,,,,,,,,,,,,,,,-6.216444492340088
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07378862,-0.4890625476837158,False,,,,,,,,,,,,,,,,-0.477624773979187
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.10851946,0.9281105622649193,True,2.1849779277896895,5.418080116712115,0.4876104152969204,10.780284796658634,0.046331218723207716,0.14601191878318787,1.4890743494033813,0.7177475911313014,0.0,0.0,0.4824516172558885,0.3600565868510872,3.3377042785286903,0.1030678271116991,1.7926411725122482,0.930945374071598
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.3759797,-1.0913643836975098,False,,,,,,,,,,,,,,,,-0.8962072134017944
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,91.562996,-0.3445160388946533,False,,,,,,,,,,,,,,,,-0.2783999443054199
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.22683205,-0.20615148544311523,False,,,,,,,,,,,,,,,,0.2982243299484253
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.46314073,-1.2005622386932373,False,,,,,,,,,,,,,,,,-1.1726586818695068
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.05045728,-5.92343282699585,False,,,,,,,,,,,,,,,,0.015321731567382812
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.5366473,-0.23640525341033936,False,,,,,,,,,,,,,,,,-0.07778716087341309
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.157176,0.3394126296043396,True,0.11089677803304854,0.06548569354583934,0.15380601611528982,15.034866138817806,1.5818655860424042,0.4870706796646118,0.1454870104789734,0.3896040478974356,0.0,0.0,0.2748674680029668,1.1474591377863166,0.36694693027449576,0.25142203806213875,4.344066895226958,0.593745619058609
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.23218957,-0.3878847360610962,False,,,,,,,,,,,,,,,,0.019054532051086426
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.9416447,-2.479795455932617,False,,,,,,,,,,,,,,,,-2.0465190410614014
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.877804,-0.5059471130371094,False,,,,,,,,,,,,,,,,-0.4855763912200928
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.0026499,0.031160593032836914,True,0.06781596065428397,0.08391958080031661,0.08473161698091329,25.247962728151883,3.2040295958518983,0.20961733162403107,0.10794800519943237,0.23987412035297773,0.0,0.0,0.20309660807133345,0.8801560905542994,0.4649354438458023,0.9899963509877426,6.136547770829938,0.03277534246444702
