gene_name,0,1,2,3,4,5,6,7,8,9
Atp6v1h,-0.0070145754,-0.18106666,0.067932345,0.029585743,0.12802096,0.031377446,-0.11467655,0.08931241,0.066782996,-0.14183034
Rb1cc1,-0.082662806,0.016962068,0.0037816644,-0.028819317,-0.039224427,0.17346619,0.14537048,-0.075348586,0.12686715,-0.045991477
Pcmtd1,0.07420291,-0.13217519,0.15478404,-0.0787498,-0.020421356,0.074421845,-0.16446626,-0.08884556,0.047287297,0.024681157
Sgk3,0.05328005,-0.09341619,-0.033560142,-0.05367411,-0.029001966,0.22061993,0.042002194,-0.17581886,-0.018370531,0.106391765
Cspp1,-0.025262585,-0.10579603,-0.07666964,0.19069159,-0.08240079,0.2565682,0.026831117,-0.029047744,-0.11293651,0.032848272
Prex2,-0.024523403,-0.00067595975,-0.04454816,-0.021938901,0.022676134,-0.054818384,-0.051817182,-0.041234616,-0.033506677,-0.0019499321
Lactb2,-0.05034137,-0.17815055,0.27331555,0.047403585,-0.04849259,-0.026638344,-0.16666652,0.36162466,0.05734392,-0.21513335
Ube2w,-0.051319268,0.00057856075,0.10242256,0.031191023,-0.061132416,0.15761842,-0.05428269,-0.18561126,0.08497254,0.006655584
Mcm3,-0.14016406,-0.22951466,-0.26594794,0.22326669,1.1486453,0.09981951,-0.118031524,-0.00073588843,-0.84256953,-0.6574196
Paqr8,-0.053799972,-0.028118344,-0.065675594,-0.013828649,0.01045733,0.15108071,-0.082344726,-0.05807707,-0.040355563,0.032009523
Khdc1a,-0.061171506,-0.05900726,0.047139198,0.03308753,0.016069924,-0.06711207,-0.062558085,-0.046500243,-0.03477397,0.013109826
Gm26580,-0.016372008,-0.04281818,0.0061082747,-0.044501413,0.00486715,-0.042491704,-0.04267515,-0.043321993,-0.043794353,0.08294739
Ogfrl1,-0.12223497,-0.040327724,0.2040719,0.1337317,-0.059234936,0.15328504,-0.10295588,0.16168723,-0.13205111,-0.18264236
Lmbrd1,-0.15874709,-0.12348478,0.18491305,-0.035877436,0.026525134,0.27218157,0.06627486,-0.033599697,0.24033998,-0.15746853
Zfp451,-0.002934937,-0.000832631,-0.05780557,0.0009464715,0.017367015,0.22910015,-0.024274949,-0.14613053,-0.08442022,0.062829114
Dst,-0.06462881,-0.06129475,-0.04977305,0.0030775971,-0.011030342,0.16601624,-0.06676487,-0.042027425,-0.023962848,0.049803145
Arhgef4,0.10124822,-0.111400135,-0.008547364,-0.019885207,-0.018895265,0.011533846,0.030974496,-0.10478551,-0.071602456,0.06307148
Hs6st1,0.072817534,0.044553444,-0.17293364,-0.03951315,-0.0068304697,0.04524315,0.012407567,-0.08205067,-0.009556366,0.134782
Neurl3,0.15676983,0.1003507,-0.080113366,-0.101549864,-0.177384,-0.22955163,0.24710453,-0.3281801,-0.019117104,0.33745053
Arid5a,0.08829474,-0.07997419,-0.09602723,-0.032177392,-0.12272534,0.09138725,0.010130914,-0.14237705,0.33392963,0.065319724
Kansl3,-0.045320913,0.08107876,-0.019083789,0.054844555,0.036342036,0.08984533,0.010936376,-0.121663734,-0.017382892,-0.21700412
Lman2l,0.01745686,0.015440596,-0.13052735,-0.0057187816,-0.07990625,0.22624162,-0.021589143,0.020908687,-0.03847792,0.14582165
Cnnm3,0.0010335434,0.054646943,-0.03874922,0.0042194417,-0.028252643,-0.18257567,0.13320313,-0.0023149683,0.044936314,0.06546518
Cox5b,-0.30424327,-0.4876021,0.6458447,0.13828474,0.48068902,-0.18200351,-0.45975038,0.9445997,0.086218156,-0.8152451
Actr1b,0.036094707,-0.14226934,0.099136814,0.08516826,0.0371571,0.165293,-0.22142883,-0.01203203,-0.12278326,-0.17700422
Mgat4a,0.06207429,0.009234995,-0.100795306,0.075296104,-0.09288854,0.16887154,0.023294572,-0.20454726,-0.114944965,0.041488286
Mitd1,0.012621975,-0.025475595,-0.10137514,-0.03628519,0.12662692,0.17323637,-0.1936876,0.11884808,-0.05240895,-0.019123362
Rev1,0.014102955,0.04680003,-0.021178374,0.077343605,0.09163747,-0.19231135,0.047138367,-0.1995246,-0.18447427,0.12855281
Aff3,0.1031466,-0.15722631,-0.2524313,-0.1046588,-0.09545452,0.2653105,0.20184973,-0.25076246,0.36405003,0.2728256
Gm16152,0.041449104,-0.046635464,-0.2015314,-0.033590797,-0.1250435,0.2742297,0.21428435,-0.25515994,0.2146378,0.15958647
Rnf149,0.012652633,0.013379639,0.044643488,-0.1392806,0.07145065,0.034328673,0.029396132,-0.14881669,0.027108032,0.0027737538
Map4k4,0.10234186,-0.036470395,-0.056462135,0.0236724,-0.17667568,0.027284939,-0.039705243,-0.26275575,0.37499,0.0418212
Il1r2,-0.057386994,-0.059077606,0.033628132,-0.062940866,0.041873217,-0.052746486,-0.05630386,0.018067162,0.1535329,0.03980586
Il1rl2,-0.012298516,-0.020729668,0.027537903,0.0014761792,0.026576737,-0.038670857,-0.035011522,0.12356678,-0.116528295,-0.06933043
Il18r1,-0.2963541,-0.15784046,0.7480581,0.06151345,0.12560667,-0.27130124,-0.26810506,0.33870772,0.2730311,-0.49942714
Il18rap,-0.38250813,-0.35225582,0.8607817,0.3737592,0.13507345,-0.21334735,-0.3544288,0.6244932,0.049610186,-0.7741934
Tgfbrap1,-0.0061531393,-0.0029663749,-0.0035324062,0.013246716,0.029104328,0.0011855918,0.06899948,-0.14052477,0.030720783,-0.05093387
Nck2,-0.13334972,0.13412298,-0.0033064757,0.06359146,-0.025360372,0.2467832,-0.05765568,-0.12889156,0.068604834,-0.03644118
Slc39a10,0.07908068,-0.08575445,0.02588264,-0.019868871,0.037439138,0.027659263,-0.047701687,-0.074336484,-0.086171545,-0.0735861
Stat1,0.099292025,0.5318399,-0.35035473,-0.08003626,-0.21922241,0.40559968,-0.5230191,-0.34955925,0.050899826,0.3548152
Mfsd6,-0.04649269,0.052318916,-0.06028569,-0.044432387,0.042907864,-0.001395191,0.14600568,-0.070205025,0.085053496,0.012071158
Pgap1,-0.012384551,0.08643371,0.017363219,-0.0049752994,-0.09421932,0.020963855,-0.092128456,0.039087303,0.03109975,0.026552368
Maip1,-0.0646082,0.162878,-0.016229743,-0.09353313,0.020222511,0.02686396,-0.19034442,0.11933203,0.11742704,0.12136057
