gene_name,0_KO-NAV,1_KO-NAV,2_KO-NAV,3_KO-NAV,4_KO-NAV,5_KO-NAV,6_KO-NAV,7_KO-NAV,8_KO-NAV,9_KO-NAV,0_WT-NAV,1_WT-NAV,2_WT-NAV,3_WT-NAV,4_WT-NAV,5_WT-NAV,6_WT-NAV,7_WT-NAV,8_WT-NAV,9_WT-NAV
Atp6v1h,0.17467062,-1.016653,0.21663463,-0.142342,0.95222855,-0.41654158,-0.6037519,0.0109014055,0.65123916,-0.2278522,0.1655952,-0.11750869,0.5452703,0.2025818,0.7215888,-0.21775667,-1.0347611,0.51280755,-0.17165792,-1.1437908
Rb1cc1,-0.5789786,0.41051018,-0.31087294,-0.25371298,-0.63528615,0.69114923,1.1642965,-0.035143677,1.0415797,-0.5096007,-0.46745926,0.35900205,0.17329694,-0.29031396,0.10554941,0.545863,1.1825016,-0.4578197,-0.071731314,0.012107464
Pcmtd1,0.8244238,-0.42259318,0.2572754,-0.92739034,0.028995188,0.174018,-0.9025638,-0.46408138,0.09710001,-0.04422778,0.70361656,-0.59683156,1.1111208,-0.26091853,-0.17439914,0.013574461,-0.60435873,-0.051704958,0.420453,0.21522497
Sgk3,0.67035216,-0.36392903,-0.3806646,-0.50074404,-0.047728322,0.9018938,0.27571577,-0.4532141,-0.20654523,0.28562677,0.7121122,0.3591239,-0.025171753,-0.32370412,-0.25765955,0.7992788,0.65867436,-0.73569876,0.13169809,0.68093467
Cspp1,-0.05535273,-0.4356395,-0.4110853,0.53705615,-0.9803779,1.0299171,0.22919028,0.084291466,-0.7562607,0.387288,-0.027469866,0.28599173,-0.34895375,1.034029,-0.17841676,0.9924734,0.6499769,-0.2563232,-0.120009586,0.22039816
Prex2,-0.033540707,0.34645495,-0.19852145,-0.2060856,0.6002709,-0.6661098,-0.22224775,-0.14968306,-0.119964465,-0.020696871,-0.028947337,-0.06126943,-0.2047022,-0.24321805,-0.15776686,-0.68099415,-0.22768307,-0.12866668,-0.16362537,0.023827117
Lactb2,-0.22072618,-0.84363663,1.3034405,0.54867154,-0.45071194,-0.79332036,-0.90469575,0.8551035,-0.1009729,-1.025216,-0.38967294,-0.57910097,1.1088597,-0.17670019,-0.19857989,-0.5295477,-0.816576,1.7809342,0.8220028,-0.87534666
Ube2w,-0.23145068,0.5404668,0.07824218,-0.28224736,-0.7472983,0.5371702,-0.152716,-0.32659054,0.07785649,0.22464034,-0.2248224,0.14240307,0.6947781,0.24139245,-0.106634855,0.46069318,-0.0004873116,-0.89230174,0.868919,0.22241622
Mcm3,-1.140066,-1.2737607,-1.1682999,0.8114349,7.507461,0.27244368,-0.61574125,-0.2807152,-3.945456,-2.3359268,-1.0145353,-1.0966977,-1.2015418,1.1750464,7.4013796,0.15006773,-0.6607251,0.19104597,-3.5992818,-2.8055747
Paqr8,-0.28588447,-0.1760332,-0.28951907,-0.17829101,-0.16338167,0.46202365,-0.4230117,-0.20684701,-0.15608406,0.05280856,-0.51156867,0.85810184,-0.3074085,-0.19412522,0.27936193,0.42555797,-0.4210054,-0.18996374,-0.18725081,0.17328732
Khdc1a,-0.3515277,-0.059884686,0.27673906,-0.18788756,0.48436737,-0.73273015,-0.2930408,-0.16739197,-0.12743568,0.014141262,-0.34821644,-0.11121928,0.14874694,0.20751849,-0.14430788,-0.7470634,-0.29575896,-0.14802547,-0.166846,0.08946609
Gm26580,0.037300944,0.04508738,-0.196484,-0.30533347,-0.25208068,-0.59600884,-0.16044423,-0.15852621,-0.16571112,-0.13964997,0.041293174,-0.028306162,0.19489734,-0.36716568,0.28008747,-0.6147475,-0.16917595,-0.13415901,-0.21154337,0.6545666
Ogfrl1,-0.8642262,0.15800238,1.0394583,1.0634844,0.35055736,0.53213876,-0.51994896,0.66326183,-1.077739,-0.4910606,-0.8509541,-0.85941297,0.78291893,0.37686446,-0.9049246,0.43740457,-0.7977818,0.48338285,0.1364455,-0.9326788
Lmbrd1,-1.1652672,-0.44860357,0.5914972,-0.338445,0.08418775,1.2191089,0.662109,-0.5861919,1.3086725,-0.8442808,-1.2120546,0.44128355,0.94730836,-0.28571174,0.25292745,1.0763836,0.4512489,0.22476533,0.80376756,-0.54868174
Zfp451,0.18817975,0.42855588,0.38771948,-0.14962497,0.21723774,0.92317283,0.046673488,-0.5882792,-0.15578774,0.69362736,0.031079419,-0.054208003,-0.80494255,-0.10074129,0.053065747,0.8448536,-0.47834343,-0.45623645,-0.6791937,0.28432438
Dst,-0.38188276,-0.07494894,-0.21672301,-0.09743501,-0.058184966,0.538708,-0.3223082,-0.15053572,-0.07852592,0.1166245,-0.378238,-0.12128096,-0.23595239,-0.104987755,-0.039489,0.5058251,-0.32298356,-0.13375188,-0.11771051,0.24436215
Arhgef4,1.0741037,-0.3601164,-0.49793756,-0.18322808,-0.6358718,-0.267374,0.370257,-0.57100224,-0.069095634,0.5528169,1.0432419,-0.72118735,0.289002,-0.2461994,0.29713684,-0.32440102,0.462788,-0.20649165,-0.66287374,0.45865908
Hs6st1,0.6666173,0.77002954,-0.6397596,-0.1666517,-0.3393567,-0.085592866,0.25139555,-0.11297682,0.35570055,0.6576867,0.8627136,0.1692008,-0.90881085,-0.4229587,0.347322,-0.14323898,-0.26857793,-0.03205887,-0.59140116,0.51931846
Neurl3,1.5926749,1.0662991,-0.66413826,-0.5852773,-0.8504894,-1.8538737,1.3375801,-0.9985642,-0.52698326,1.2010319,1.4746063,2.2780638,-0.22312993,-0.6775064,-1.2588999,-1.6200533,1.7648171,-1.2679576,0.5915158,1.6095837
Arid5a,0.93766564,-0.2257604,-0.6309474,-0.033380553,-0.8183772,0.24726944,0.1493925,-0.024932202,1.5259744,0.6888202,0.96685916,0.73057586,-0.34808117,-0.46086445,-0.74074906,0.10475069,0.09419608,-0.67982185,1.5302258,0.3638356
Kansl3,-0.1687148,0.89573497,-0.21080512,0.12718847,0.934281,0.15042485,-0.03629865,-0.4124768,0.5004605,-0.7225808,-0.23308234,-0.19824217,-0.047544036,0.25276658,-0.2160004,0.09646404,0.21942154,-0.44496107,-0.89018804,-0.65678376
Lman2l,0.22646259,0.601838,-0.39933622,-0.39172503,-0.80424184,0.92752534,0.040898282,0.39016828,-0.0043227025,1.142663,0.26047882,1.2103826,-0.7671667,0.008203271,-0.26105112,0.829491,-0.35561854,0.1321785,-0.38802335,0.098866254
Cnnm3,0.2091385,0.7097132,0.2899183,-0.4794357,0.766545,-1.6531229,1.076256,0.12222588,0.6754257,0.26784316,0.23733231,0.36357382,0.04759821,0.1514209,-0.8618157,-1.367593,0.9016972,-0.10904403,-0.4506777,0.0041691717
Cox5b,-2.4302652,-2.5621896,2.4889698,0.8480132,3.4142306,-1.3256145,-2.9137223,3.3205059,0.41610837,-2.4782376,-2.4438732,-2.888136,2.998247,0.44148904,2.851793,-1.364518,-2.9498456,3.3287742,0.3886427,-3.4694295
Actr1b,0.41996306,-0.6593613,0.44955125,0.4204649,0.54218626,0.54702276,-1.4089742,-0.41586256,-0.19352792,-0.49984676,0.37051052,-0.2662659,0.59113646,0.22174987,0.008041678,0.5019382,-1.4876794,0.22330189,-1.0519695,-0.22730191
Mgat4a,0.7425343,0.39091253,-0.56266606,0.11303631,-0.52862334,0.61348283,0.34044912,-0.8383955,-0.21052971,0.16490547,0.521439,0.62256724,-0.40237483,0.35442004,-0.6150586,0.5211702,0.48162884,-0.6173835,-0.9397001,0.44789186
