gene_name,CD25KO,CD25WT,P14NAV
Atp6v1h,-0.042386286,0.6953195,-0.35197526
Rb1cc1,0.0150723215,-0.062497627,0.18288136
Pcmtd1,-1.0945277,0.23885296,0.47462663
Sgk3,-1.4226241,-0.33693713,1.053567
Cspp1,-1.3265963,0.28285727,0.5497389
Prex2,0.31285414,-0.3715032,-0.36452636
Lactb2,0.4402282,1.1237366,-0.89343756
Ube2w,-0.4082924,0.15232262,0.2202159
Mcm3,-0.11133266,1.833422,-1.1632835
Paqr8,-0.2822571,-0.0097861225,-0.34973186
Khdc1a,0.18880115,0.083058916,-0.64454234
Gm26580,-0.5194087,0.105405696,-0.26961222
Ogfrl1,1.6091362,0.141914,-0.7084957
Lmbrd1,-0.07500556,0.5579791,-0.23506813
Zfp451,0.99043196,-0.9134093,0.36065972
Dst,-0.32970947,-0.21990831,-0.18551955
Arhgef4,-1.2060424,-0.12351236,0.79061913
Hs6st1,0.17260642,-0.77864283,0.6404082
Neurl3,-0.96441954,-0.76273197,1.1563888
Arid5a,-0.6017069,-0.76124054,0.98692435
Kansl3,1.2122597,-0.3891648,-0.13075998
Lman2l,-0.11254338,-0.70159996,0.7156783
Cnnm3,0.9702106,-0.50160885,0.06491002
Cox5b,2.4439852,3.2792876,-3.4207356
Actr1b,-0.17848499,0.24462013,0.04515628
Mgat4a,-0.55402607,-0.6491655,0.88174725
Mitd1,0.22728963,0.13911134,-0.06501108
Rev1,0.13162719,0.37500545,-0.1954005
Aff3,-1.409846,-1.0090733,1.545675
Gm16152,-1.6457137,-0.6901199,1.4188192
Rnf149,0.15594567,0.04846273,0.035273205
Map4k4,-0.09420954,-0.81763923,0.793151
Il1r2,0.59377193,-0.005912023,-0.5830434
Il1rl2,0.053442217,0.6961547,-0.5689921
Il18r1,2.108555,2.6142166,-2.7722356
Il18rap,2.6154814,3.7152886,-3.8234062
Tgfbrap1,0.48791656,-0.41357467,0.22354357
Nck2,0.7491446,0.3463122,-0.46077073
Slc39a10,-0.35145834,-0.01579623,0.31840804
Stat1,2.201394,-2.2684553,0.8026324
Mfsd6,0.42115414,-0.33035123,0.1882058
Pgap1,2.0593572,-0.49969867,-0.50196326
Maip1,1.1633538,0.4185059,-0.7065271
Kctd18,1.0554166,0.3701187,-0.62057227
Gm15834,-0.34021083,0.005351057,-0.106632136
Fam126b,-0.70449984,0.035407703,0.443815
Cflar,0.24225214,0.41640544,-0.2774255
Stradb,0.31388843,-0.1948735,0.07844279
G730003C15Rik,-0.24793586,-0.16797942,0.082457334
Als2,0.8739035,-0.234617,-0.36611706
Gm973,-0.12783514,-0.11825476,-0.38056988
Nop58,-0.7884271,0.24811971,0.3256783
Bmpr2,0.37070686,-0.33340156,-0.14309394
Wdr12,0.77403015,-1.0170442,0.53789765
Carf,-0.5477544,-0.30605817,0.62460047
Nbeal1,0.30509713,-0.66709113,0.4785357
Cyp20a1,0.18582231,0.4483288,-0.30558786
Cd28,2.4585006,2.9167473,-3.158838
Gm11579,-0.1863831,-0.37658817,0.011948065
Ctla4,3.2043586,0.38918847,-1.632171
Icos,1.3653458,2.0395598,-2.0014532
Gm4208,0.012018097,1.3454394,-1.0759103
Ino80d,0.014910974,0.073243916,0.08237447
Ino80dos,0.331735,-0.18782663,-0.35768643
Gm20342,0.23446523,-0.3547375,0.29759017
Klf7,-1.0714563,-0.36700508,0.9128461
Ccnyl1,-0.048575193,-0.04488759,-0.24766625
Plekhm3,-1.145995,0.15026537,0.50183547
Pikfyve,-0.178286,-0.0066565024,0.23125482
Kansl1l,-0.572188,-0.4603516,0.7502701
Lancl1,-0.46758068,-0.31577808,0.59458876
Ikzf2,-2.2655964,-0.9376305,1.8899487
Fn1,0.10703086,-0.5290852,-0.11066581
D230017M19Rik,-0.68542576,0.21623056,-0.3157652
Rpl37a,-1.2849907,-4.661039,4.1937537
Rufy4,-0.24214445,-0.149167,-0.17444019
Cxcr2,-0.36281484,0.52726525,-0.30522898
Retreg2,-0.54835814,0.90644836,-0.273562
Ankzf1,0.112971425,-0.39001074,0.3801204
Tuba4a,-0.72000045,-0.8696565,1.1221664
A630095N17Rik,0.16663301,-0.37600505,-0.1322309
Dnajb2,0.45123044,-0.68925554,0.444846
Ptprn,-0.05401452,-0.38220417,-0.1892003
Gmppa,-0.008900809,0.17384897,0.018880866
Stk11ip,0.9362282,-0.45693097,0.04757811
Mogat1,0.4013975,-0.5515097,0.09754691
Acsl3,-0.8410923,-0.48316106,0.7825917
Utp14b,-0.6138661,-0.37024212,0.11902249
Serpine2,1.0420187,-0.66850555,-0.23425387
Col4a4,0.39615953,-0.2632994,-0.32762665
Agfg1,0.5326444,-0.73663217,0.4421614
Trip12,0.36953577,0.10843491,-0.10830648
C130026I21Rik,-2.1602242,-0.75290865,1.7041632
A530032D15Rik,-0.45980373,-0.2652614,0.103357814
Gm16094,-0.3911628,-0.307309,-0.124161534
Sp100,1.0923274,1.9146272,-1.7821544
Itm2c,-0.57139635,0.14700714,0.2998621
Armc9,0.3429739,-0.3111056,0.092674464
Ptma,-1.6606624,1.2753108,-0.030586476
Pde6d,0.5408977,-0.744207,0.4439433
Dis3l2,0.8280319,-0.76593685,0.32676634
Gigyf2,0.3571164,-0.24530615,0.15957315
Atg16l1,-0.561046,-0.04246686,0.4354542
Dgkd,-0.73672265,-0.7180963,1.0176253
Usp40,0.19071643,-1.1011021,0.870938
Arl4c,-3.0232584,-1.4851968,2.6473663
Ramp1,-4.7404675,-2.7503004,4.381854
Hdac4,-1.2514783,-0.90684366,1.396416
Gm26720,-0.26023567,-0.30860668,-0.005582488
Ankmy1,-0.22333723,-0.041047323,-0.26418227
Dusp28,-0.5928502,0.17385179,0.2899289
5033417F24Rik,-0.20562017,-0.19205046,-0.2149417
9430060I03Rik,1.1523149,0.2173992,-0.6000799
Sept2,1.0219841,-0.21934672,-0.30186987
Farp2,0.75250643,-0.2326428,-0.66036063
St8sia4,-1.255896,0.74272394,0.17617027
Gin1,0.6934577,-0.46267805,0.16452266
Pam,-0.6426645,-0.63351744,0.8371088
1810006J02Rik,0.0767493,-0.28976896,-0.31578535
Gm7967,-1.184631,-0.58043134,0.9873211
2310035C23Rik,-0.23364285,0.24853387,0.06785871
Gm7160,0.5448509,0.05218379,-0.14929491
Bcl2,2.4110956,-2.761286,1.0704736
D630008O14Rik,-0.026039604,-0.17613983,-0.27558166
Kdsr,-0.57015604,-0.29144502,0.6241706
2900060B14Rik,0.64203227,-0.13112535,-0.05728112
Tmem185b,-0.41667023,-0.6010463,0.7823358
Dbi,0.77805597,3.068836,-2.4915254
Ddx18,0.12105402,-0.47869015,0.44207835
Mgat5,-0.95790654,-0.014733308,0.59911376
R3hdm1,-0.17044994,-0.15990452,0.34117126
Mcm6,0.53422725,1.9352193,-1.5383611
Cxcr4,1.3063622,-0.12772581,-0.36816028
Cd55,0.5455386,-0.66779697,0.38517088
Gm16083,-0.39713722,-0.10524035,-0.2578055
Rassf5,-0.2608379,0.1519929,0.15201668
Ikbke,0.16784811,-0.7312811,0.60752285
Ctse,-0.87929535,0.017947625,0.52166176
Nucks1,-1.6396255,1.4474714,-0.16791856
Elk4,-0.933725,-0.29695374,0.79700917
Mfsd4a,-0.10887428,-0.504901,0.5682252
Nuak2,0.053248476,-0.44421896,0.25646198
Dstyk,-0.6898408,-0.33884665,0.61832863
Ppp1r15b,0.5387845,0.6218077,-0.567265
Plekha6,0.6219921,-0.4261075,-0.0015822822
Sox13,-0.5691047,0.06379553,-0.27699357
Zc3h11a,-0.6309112,-0.024705663,0.36193728
Btg2,-1.4138573,0.9318988,0.10931608
Klhl12,0.77040744,-0.031682983,-0.19055346
Kdm5b,-0.24817601,-0.65095603,0.7411084
Ppp1r12b,-0.09012157,-0.34790328,0.43205574
Ptpn7,-0.14716326,0.6227803,-0.24959128
Arl8a,0.47374114,0.7136007,-0.6050907
Gm15445,0.3949438,-0.32250217,-0.37026355
Shisa4,-0.59721136,-0.15901928,-0.14533505
Phlda3,0.4718593,-0.50874853,-0.06507085
Lad1,-0.05479828,-0.48519465,-0.08447541
Tmem9,-0.12684138,-0.79981303,0.7950888
Camsap2,1.0974516,-0.48792198,-0.07321336
Gm33994,-0.45140263,-0.73226684,0.8432692
Zfp281,0.25969452,-1.0233318,0.78129435
Gm19705,-2.9195979,-1.5892661,2.6763632
A430106G13Rik,-0.51727235,-0.20485865,-0.10228057
Gm28556,-0.17725118,0.101520024,-0.42499563
Trove2,0.6328701,-0.6979267,0.15457526
Rgs2,-0.14140081,0.6844936,-0.29799432
Rgs1,0.37131375,3.0021844,-2.2533414
Rgs18,0.33871642,-0.31772697,-0.42237929
BC003331,-0.24462539,0.58853704,-0.17897898
Prg4,0.10927397,-0.17194767,-0.4064943
Gm10138,-0.053677127,-0.055058666,0.20928046
Swt1,0.14847018,-0.09601724,0.14579982
Trmt1l,1.2424049,-0.9318464,0.2573636
Rnf2,0.43987718,-0.11163085,0.022107642
Rgl1,-0.49638644,0.09908777,-0.37800154
Arpc5,0.7686842,3.2752254,-2.6401055
Ncf2,0.39736703,0.16062437,-0.581073
Rgs16,1.647684,-0.12795259,-0.6598757
Gm28513,-0.3909329,-0.32162258,-0.09762881
Rnasel,-1.4634074,0.5491193,0.41594738
Glul,2.0722592,0.44799477,-1.1502619
Ier5,-0.4006327,0.88477254,-0.32606998
Mr1,-0.23077549,-0.011720344,0.21330835
Xpr1,0.6537528,0.15486659,-0.27463567
Soat1,0.8816696,-0.83576846,0.35361335
Abl2,0.4274895,0.019942444,-0.110449
Ralgps2,-0.03621607,-0.70285875,0.6811824
4930523C07Rik,1.108594,-0.34419888,-0.115960546
Rabgap1l,-2.533542,0.038239505,1.2912203
Serpinc1,0.023385813,0.30472955,-0.6358527
Zbtb37,0.24055262,-0.55640787,0.44419834
Klhl20,-0.71231335,0.44791296,0.14230601
Fasl,1.2561678,2.3736932,-2.1983624
Mettl13,-0.21607673,-0.15827166,0.3289553
Gorab,-0.9979964,0.4117398,0.19793095
Kifap3,-0.5858441,-0.25684342,0.5348277
Mettl18,-1.0719639,-0.07820169,0.6463585
Sell,-1.7199713,-4.393223,4.1972113
Selp,-0.03435722,-0.34073094,-0.23505105
F5,-0.027915956,0.06463724,-0.47559
Ccdc181,-0.723833,0.40553513,0.14788863
Atp1b1,-0.46691376,-1.1739864,1.2301941
Xcl1,0.69212615,0.76556134,-0.84767056
Dcaf6,0.15106004,-0.47832784,0.4278821
Rcsd1,-0.87508994,-1.4079219,1.5929974
Creg1,0.3724376,-0.9019035,0.6389869
Gm37469,-0.3192926,-0.28384754,-0.15856077
Pou2f1,-0.61183393,-0.10710518,0.47072163
Fam78b,1.3438478,-0.53269005,-0.5882558
Pbx1,-0.02650157,-0.09514202,-0.4258801
Sh2d1b1,-0.3199732,0.7372404,-0.7959602
Fcgr2b,1.7264686,0.4750465,-1.1201864
Fcgr4,-0.17564556,0.30482328,-0.60077006
Fcgr3,0.1556609,1.0902618,-0.995443
Fcer1g,-0.035761196,1.9895848,-1.3140749
Usp21,-0.1503708,0.02641502,0.19379216
Gm20045,-0.8152624,0.1220322,0.051531628
B930036N10Rik,1.6908488,0.2531838,-0.8288726
Cd244,1.0705131,0.724172,-0.9787729
Cd48,1.6194862,4.208997,-3.7269256
Slamf1,-0.35831827,0.8094395,-0.29796073
Cd84,-0.40320605,-0.02362387,0.34822783
Gm37065,1.6487648,-0.34607312,-0.36530143
Slamf6,1.874834,-1.5328747,0.40916064
Vangl2,-0.74491435,-0.6080748,0.56079596
Tagln2,0.05496537,0.67870605,-0.3848526
Slamf8,-0.34164113,-0.19486932,-0.12926628
Dusp23,-0.81203055,-0.26831225,0.5962013
Aim2,0.2834972,-0.7523499,0.5694539
Ifi206,1.1017349,0.9775464,-1.0921632
Ifi214,3.5871375,0.9140967,-2.1987908
Ifi213,1.5145264,0.12064159,-0.6488184
Ifi208,-0.1989282,-0.8895296,0.8950273
Ifi204,-0.5336649,0.8237748,-0.60289085
Mndal,0.026181145,1.226799,-0.77761763
Ifi211,2.0656943,-0.19301118,-0.72288996
Ifi205,0.16058129,-0.31838605,-0.273
Opn3,0.010979601,-0.3467195,-0.15601014
Cep170,0.6668271,-0.30561978,0.060506772
Zbtb18,-0.62885857,-0.385853,0.38626465
Efcab2,-0.3579154,0.53062207,-0.085132085
Smyd3,0.31521377,-0.6595699,0.48598403
Ahctf1,0.33908832,0.10604354,-0.09240179
Cdc42bpa,-0.4446997,-0.0147344535,-0.21527117
Coq8a,1.3208299,-0.48028126,-0.30515686
Itpkb,0.24384148,0.49156904,-0.33385798
Parp1,-0.1622564,0.38298956,-0.064905405
Acbd3,0.29683572,0.39420015,-0.28630778
Sde2,0.28667668,0.13110952,-0.08664742
Lefty1,-0.44567752,-0.3799834,0.022394067
Tmem63a,0.1801551,-0.33923203,0.31130993
Ephx1,-0.94885296,-0.7306667,1.1254035
Wdr26,-0.4798699,0.28015044,0.15872201
A430110L20Rik,-0.21393746,-0.36766294,-0.14052062
Lbr,0.5495353,0.7137225,-0.6403622
Enah,-0.36474818,-0.9442843,0.9720139
Brox,-0.50748897,0.7964811,-0.21104862
Mia3,-0.10357584,0.16790836,0.06722784
Taf1a,0.5611012,-0.36544505,0.13814874
Dusp10,-0.6315584,-0.9553877,1.1446396
1700056E22Rik,1.2435302,-0.40346295,-0.13468006
4930532G15Rik,-0.2522763,-0.16506414,0.05867582
Rrp15,0.3273957,-1.1015526,0.8078297
Cenpf,-0.3255112,0.85202897,-0.33667663
Ptpn14,-0.5521796,-0.37604868,0.0749147
Rps6kc1,0.16499294,0.04112422,-0.15869084
Atf3,-0.11954202,-0.21090537,-0.27379873
D730003I15Rik,0.5829196,-0.74302864,0.4235649
Nenf,-0.2485482,-0.3831843,0.54286766
Dtl,-0.08391667,1.5498581,-0.96589404
Rd3,-0.46073702,-0.26970053,-0.03454274
Gm26670,1.8205745,-0.41874155,-0.51227796
Hhat,0.2831317,-0.45445088,-0.2616125
Irf6,0.121286735,0.22710605,-0.5543345
