gene_name,CD25KO,CD25WT,P14NAV
Atp6v1h,-0.018868148,0.06479948,-0.034711815
Rb1cc1,-0.015896479,-0.0029077334,0.01572893
Pcmtd1,-0.07328326,0.024016455,0.04324256
Sgk3,-0.0902519,-0.027427549,0.09784071
Cspp1,-0.085285485,0.027948022,0.050326176
Prex2,-0.0004956661,-0.030515855,-0.03589547
Lactb2,0.00609192,0.10307644,-0.08577552
Ube2w,-0.037792243,0.016285395,0.01924984
Mcm3,-0.022433948,0.16648331,-0.111223884
Paqr8,-0.031273894,0.0018017793,-0.034500245
Khdc1a,-0.0069114943,0.010097025,-0.062302947
Gm26580,-0.043539006,0.012093599,-0.026944397
Ogfrl1,0.06654603,0.015355435,-0.0683342
Lmbrd1,-0.020555167,0.0525288,-0.023686647
Zfp451,0.034547605,-0.07893249,0.03249468
Dst,-0.033728056,-0.016971601,-0.019013867
Arhgef4,-0.07905063,-0.008359098,0.07304288
Hs6st1,-0.0077490597,-0.06689177,0.05887693
Neurl3,-0.06655427,-0.06547021,0.10753752
Arid5a,-0.04779534,-0.06533696,0.09155584
Kansl3,0.046020187,-0.03209383,-0.013849655
Lman2l,-0.022496564,-0.060008373,0.06597543
Cnnm3,0.03350179,-0.04214015,0.0046034027
Cox5b,0.10972312,0.29566428,-0.3241175
Actr1b,-0.025906961,0.024531722,0.0027404858
Mgat4a,-0.045329362,-0.055323612,0.0816369
Mitd1,-0.00492093,0.015105031,-0.007649071
Rev1,-0.009868442,0.036181007,-0.01994571
Aff3,-0.089591034,-0.08747959,0.14424996
Gm16152,-0.10178974,-0.058982685,0.13228656
Rnf149,-0.008610728,0.0070060263,0.0018084425
Map4k4,-0.021548366,-0.070375904,0.07328165
Il1r2,0.014032964,0.002147911,-0.056503166
Il1rl2,-0.013912047,0.064874105,-0.055178024
Il18r1,0.0923752,0.23624344,-0.2629594
Il18rap,0.118592635,0.3346188,-0.36209217
Tgfbrap1,0.00855829,-0.03427473,0.019563662
Nck2,0.0220686,0.033617407,-0.04497199
Slc39a10,-0.034852874,0.0012648059,0.02851005
Stat1,0.097176686,-0.19999915,0.07417581
Mfsd6,0.0051054424,-0.02683913,0.016231062
Pgap1,0.089830756,-0.041969486,-0.04885674
Maip1,0.043490857,0.040067557,-0.068148546
Kctd18,0.03790851,0.0357444,-0.0600424
Gm15834,-0.03427117,0.0031542114,-0.011574229
Fam126b,-0.053111628,0.0058396244,0.040336806
Cflar,-0.0041470914,0.039879892,-0.027681245
Stradb,-0.0004421744,-0.014734863,0.005879638
G730003C15Rik,-0.029498853,-0.01233201,0.006258238
Als2,0.028520934,-0.018285748,-0.036045484
Gm973,-0.02328743,-0.007889357,-0.037408486
Nop58,-0.05745222,0.024844391,0.029195685
Bmpr2,0.0024963866,-0.02711166,-0.015012834
Wdr12,0.023355637,-0.08819175,0.049209464
Carf,-0.045005,-0.024668664,0.05738615
Nbeal1,-0.00089684693,-0.056925174,0.043611214
Cyp20a1,-0.0070655555,0.042732086,-0.030337155
Cd28,0.11047382,0.2632731,-0.29941872
Gm11579,-0.02631544,-0.030970171,-0.00039128237
Ctla4,0.14904845,0.03744819,-0.15544328
Icos,0.05393757,0.18490072,-0.19026919
Gm4208,-0.016054438,0.12288449,-0.10298399
Ino80d,-0.015904823,0.009220103,0.006250423
Ino80dos,0.000480821,-0.014105261,-0.035250418
Gm20342,-0.004549819,-0.029017922,0.026546776
Klf7,-0.072090045,-0.03011397,0.08456974
Ccnyl1,-0.019188229,-0.0013343638,-0.02487474
Plekhm3,-0.07594507,0.01610159,0.045808543
Pikfyve,-0.02589667,0.0020813954,0.020290887
Kansl1l,-0.046268668,-0.03845402,0.06923768
Lancl1,-0.04085854,-0.02553709,0.05455583
Ikzf2,-0.13384911,-0.08109653,0.17671739
Fn1,-0.011140526,-0.04459503,-0.0119546335
D230017M19Rik,-0.05212515,0.021995254,-0.03129695
Rpl37a,-0.08313371,-0.41376466,0.3939824
Rufy4,-0.02919933,-0.010651214,-0.017969007
Cxcr2,-0.035440214,0.049784668,-0.030303309
Retreg2,-0.045036227,0.08366281,-0.027316893
Ankzf1,-0.0108332895,-0.032169413,0.03432996
Tuba4a,-0.053913295,-0.07502339,0.10431011
A630095N17Rik,-0.008057996,-0.030918073,-0.013988372
Dnajb2,0.0066609406,-0.058905456,0.040434036
Ptprn,-0.019469542,-0.031471934,-0.019360987
Gmppa,-0.017136332,0.018208668,0.0002625296
Stk11ip,0.03174427,-0.038148403,0.0029688815
Mogat1,0.0040836576,-0.046598546,0.007681291
Acsl3,-0.060175978,-0.04049193,0.07228583
Utp14b,-0.048424195,-0.030403184,0.009706589
Serpine2,0.03721559,-0.057051547,-0.023609856
Col4a4,0.0038127573,-0.02084838,-0.032415565
Agfg1,0.010871542,-0.06313832,0.040180862
Trip12,0.002435821,0.012364244,-0.011732132
C130026I21Rik,-0.12839943,-0.06459255,0.15919651
A530032D15Rik,-0.04045633,-0.021023676,0.0082293
Gm16094,-0.036906328,-0.024780419,-0.013227375
Sp100,0.03981747,0.1737386,-0.16958778
Itm2c,-0.046227727,0.015810482,0.026761035
Armc9,0.0010620803,-0.02511963,0.0072217854
Ptma,-0.10256287,0.116618834,-0.0044025886
Pde6d,0.011298395,-0.0638151,0.040348906
Dis3l2,0.026148526,-0.06575655,0.029298296
Gigyf2,0.0017935089,-0.019240772,0.013530802
Atg16l1,-0.04569242,-0.0011180833,0.039548323
Dgkd,-0.054778144,-0.061482236,0.09445115
Usp40,-0.006812438,-0.09570192,0.08061751
Arl4c,-0.17303422,-0.13001889,0.24814719
Ramp1,-0.2618456,-0.24304964,0.4117216
Hdac4,-0.081400506,-0.07834588,0.13017377
Gm26720,-0.03013498,-0.024896361,-0.0020445369
Ankmy1,-0.02822665,-0.0009912545,-0.026432317
Dusp28,-0.047337286,0.01820892,0.025824267
5033417F24Rik,-0.02731035,-0.014482639,-0.021788582
9430060I03Rik,0.042919938,0.022099666,-0.058109824
Sept2,0.03617943,-0.016921423,-0.029986521
Farp2,0.022242466,-0.018109364,-0.063794725
St8sia4,-0.08162898,0.06903484,0.015096027
Gin1,0.01918856,-0.038661875,0.013997575
Pam,-0.0499136,-0.053925533,0.07742718
1810006J02Rik,-0.012706641,-0.023213306,-0.03129885
Gm7967,-0.077943265,-0.04918255,0.09159325
2310035C23Rik,-0.02875964,0.024881396,0.004881485
Gm7160,0.011502846,0.0073384847,-0.015597629
Bcl2,0.10802212,-0.24403116,0.09943511
D630008O14Rik,-0.018022723,-0.013061103,-0.027507357
Kdsr,-0.046163578,-0.023363052,0.057345606
2900060B14Rik,0.016528914,-0.009039281,-0.0069200816
Tmem185b,-0.03822553,-0.051024396,0.0722617
Dbi,0.023563849,0.27686146,-0.23648645
Ddx18,-0.01041527,-0.04009248,0.040173028
Mgat5,-0.06621743,0.0013597726,0.054982573
R3hdm1,-0.025491402,-0.011610558,0.030656781
Mcm6,0.010953407,0.1755784,-0.14659634
Cxcr4,0.050887026,-0.008735549,-0.036238175
Cd55,0.011538412,-0.05698824,0.03480625
Gm16083,-0.037215315,-0.006726584,-0.025830941
Rassf5,-0.030166127,0.016255936,0.0128181735
Ikbke,-0.007995153,-0.06266023,0.05577561
Ctse,-0.062151786,0.0042796526,0.047678303
Nucks1,-0.10147487,0.13200054,-0.01735397
Elk4,-0.0649668,-0.023855228,0.0736455
Mfsd4a,-0.022306804,-0.042434286,0.052069563
Nuak2,-0.013922067,-0.037012648,0.022668099
Dstyk,-0.05235349,-0.027598156,0.05679467
Ppp1r15b,0.0111891,0.058231566,-0.05501515
