gene_name,0_KO-NAV,1_KO-NAV,2_KO-NAV,3_KO-NAV,4_KO-NAV,5_KO-NAV,6_KO-NAV,7_KO-NAV,8_KO-NAV,9_KO-NAV,0_WT-NAV,1_WT-NAV,2_WT-NAV,3_WT-NAV,4_WT-NAV,5_WT-NAV,6_WT-NAV,7_WT-NAV,8_WT-NAV,9_WT-NAV
Atp6v1h,-1.049343e-05,-0.20752086,0.04730441,-0.010472417,0.14587586,-0.0076583317,-0.11116043,0.0049974355,0.12863357,-0.06898866,-0.0010974273,-0.059394337,0.12048941,0.06377043,0.107975386,0.031377446,-0.18018806,0.14117931,-0.034427047,-0.2934836
Rb1cc1,-0.08781892,0.01387305,-0.068229295,-0.033649072,-0.1045076,0.20689203,0.1620741,-0.0081410855,0.21100256,-0.14542314,-0.07524806,0.028986052,0.038001373,-0.029946966,0.013373529,0.17346619,0.17208444,-0.13557819,-0.0108089745,-0.0020229581
Pcmtd1,0.0756929,-0.115365155,0.056205474,-0.1738435,0.00026311938,0.10672807,-0.15733887,-0.13053432,0.011700122,-0.019173888,0.06192183,-0.1482963,0.24597123,-0.024357831,-0.029616663,0.074421845,-0.11180694,-0.019781621,0.10552086,0.04919327
Sgk3,0.057741858,-0.106264666,-0.08351493,-0.085057035,-0.011837743,0.24771145,0.024752665,-0.12743345,-0.052374557,0.07031109,0.06291694,0.029008647,-0.00601063,-0.036295652,-0.042402513,0.22061993,0.088860236,-0.21481057,0.03727242,0.16662233
Cspp1,-0.026810745,-0.117389016,-0.09017762,0.13091251,-0.1589356,0.2725085,0.017562604,0.025938582,-0.16837454,0.097890384,-0.023711434,0.0154445255,-0.077811845,0.22185875,-0.030233627,0.2565682,0.08747841,-0.07812495,-0.022219747,0.050497696
Prex2,-0.024269404,0.003936244,-0.04362229,-0.023737663,0.090364955,-0.05599759,-0.05220271,-0.04082379,-0.034104437,-0.0127902785,-0.023884492,-0.048963413,-0.045822926,-0.020992327,-0.027062535,-0.054818384,-0.05196176,-0.04172592,-0.032528523,0.00093216106
Lactb2,-0.04607857,-0.18068106,0.28533456,0.13332972,-0.07539648,-0.080637194,-0.15766835,0.24588238,-0.030096872,-0.28530243,-0.06613683,-0.14500773,0.2454698,-0.008344859,-0.03332997,-0.026638344,-0.14552343,0.50276357,0.20042884,-0.22579516
Ube2w,-0.047328092,0.034033045,0.016993959,-0.039587174,-0.1221742,0.17706758,-0.04145726,-0.09130264,0.007639388,0.05376632,-0.046827637,-0.011187444,0.15364394,0.071149744,-0.019210467,0.15761842,-0.015865533,-0.2594632,0.21151768,0.05100655
Mcm3,-0.15319178,-0.24740563,-0.25602132,0.18801162,1.1797698,0.1257923,-0.11301327,-0.07821256,-0.8413529,-0.64088017,-0.13932791,-0.24100849,-0.26687998,0.24867131,1.1337548,0.09981951,-0.12076227,0.049434587,-0.8445604,-0.7125036
Paqr8,-0.053670228,-0.07711664,-0.06355241,-0.01795352,-0.030078635,0.16251233,-0.083228804,-0.057134975,-0.04172633,0.00715073,-0.08041466,0.12155611,-0.06859886,-0.0116579905,0.040064983,0.15108071,-0.08267627,-0.05920371,-0.03811249,0.03861866
Khdc1a,-0.061318386,-0.059098676,0.06046837,-0.019950595,0.072084606,-0.06890139,-0.06314308,-0.04587686,-0.035680998,-0.0033391742,-0.06128097,-0.058227815,0.032557216,0.064709075,-0.02499571,-0.06711207,-0.06277747,-0.04724574,-0.03328973,0.017483076
Gm26580,-0.016015572,-0.0428145,-0.043176048,-0.04439147,-0.044068277,-0.042419627,-0.042651583,-0.0433471,-0.043757815,-0.045060612,-0.015657114,-0.04284958,0.04279143,-0.044559274,0.0401764,-0.042491704,-0.042666312,-0.04329196,-0.04385414,0.15997359
Ogfrl1,-0.121053405,-0.025298148,0.22751768,0.24046394,0.050980035,0.17609304,-0.09820951,0.1911422,-0.23621231,-0.14039347,-0.120167404,-0.19699834,0.17318986,0.0969079,-0.14179952,0.15328504,-0.14253746,0.13278936,0.038394492,-0.24025151
Lmbrd1,-0.15612799,-0.119400114,0.1294061,-0.05128208,0.008968114,0.30915335,0.08446594,-0.16537738,0.267364,-0.23621722,-0.16246365,0.044247128,0.20964451,-0.029071921,0.036005583,0.27218157,0.055905055,0.059049077,0.19611886,-0.14342636
Zfp451,0.0015634687,0.016672455,0.08477509,-0.011988026,0.029952811,0.25183302,-0.010643572,-0.16597298,-0.0416638,0.18099602,-0.016853467,-0.0476537,-0.17893097,0.006097686,0.005313895,0.22910015,-0.091785975,-0.13512675,-0.15438527,0.06661674
Dst,-0.064855084,-0.061435573,-0.04760876,-0.0011271283,-0.01348697,0.17736544,-0.06766607,-0.04106709,-0.02536015,0.024463113,-0.06479744,-0.060093995,-0.0527529,0.005290277,-0.008899239,0.16601624,-0.067102835,-0.043175876,-0.021676352,0.056540232
Arhgef4,0.10478335,-0.10567322,-0.10919983,-0.018980937,-0.10459997,0.02123417,0.039363082,-0.16104317,-0.023370186,0.1427961,0.10170266,-0.17136107,0.063659884,-0.02155919,0.04279458,0.011533846,0.057738353,-0.063916355,-0.15052798,0.11057536
Hs6st1,0.057306703,0.06964481,-0.14026143,-0.015531344,-0.057833485,0.05644364,0.020994212,-0.030350024,0.06626955,0.17124581,0.080557115,-0.006217161,-0.20196459,-0.055167556,0.050501242,0.04524315,-0.05845902,-0.01417988,-0.13363513,0.12587067
Neurl3,0.1652026,0.1156047,-0.1456008,-0.102648675,-0.13844953,-0.28605744,0.18885335,-0.28304386,-0.11999282,0.31864786,0.15222903,0.3849222,-0.04990942,-0.10356632,-0.1961576,-0.22955163,0.2646011,-0.3665749,0.14595225,0.40078187
Arid5a,0.08888682,-0.08483075,-0.1383314,0.012202811,-0.1333848,0.120916255,0.005230643,-0.005227339,0.31321865,0.1796919,0.09275584,0.097903356,-0.077618346,-0.06237482,-0.11658797,0.09138725,-0.000822499,-0.19887824,0.36782032,0.086665556
Kansl3,-0.040018674,0.08914531,-0.046312634,0.04561774,0.14304516,0.10215828,-0.0234661,-0.11580946,0.09681653,-0.2032017,-0.047795136,-0.074368306,-0.010971861,0.07331238,-0.036005143,0.08984533,0.019072972,-0.13191177,-0.20425467,-0.17068437
Lman2l,0.0060238405,0.04355348,-0.08760435,-0.062369827,-0.13115536,0.25267607,-0.011536073,0.113217585,-0.009701918,0.30281317,0.010016436,0.18689506,-0.17055388,0.026812006,-0.04292334,0.22624162,-0.07228779,0.03264955,-0.085565925,0.019853335
Cnnm3,0.0040053925,0.060288012,0.063354865,-0.0806227,0.11658978,-0.24717368,0.14846829,0.036762804,0.13373739,0.06548665,0.0073052505,0.029833991,0.010126684,0.054042883,-0.13517952,-0.18257567,0.12747103,-0.03613086,-0.10037454,-0.0040246043
Cox5b,-0.30351418,-0.4472779,0.5449869,0.19562368,0.5341838,-0.18373807,-0.46814367,0.9493612,0.0790167,-0.67948717,-0.30674842,-0.57327384,0.6644563,0.10919538,0.4350994,-0.18200351,-0.48445135,0.94410324,0.09800236,-0.8798951
Actr1b,0.028568774,-0.15209468,0.09831737,0.10664951,0.081203826,0.17897594,-0.23559964,-0.11677556,-0.049627665,-0.14277703,0.022904614,-0.08698494,0.13066058,0.06741498,-0.0016002087,0.165293,-0.25214645,0.0586318,-0.24249241,-0.062390212
Mgat4a,0.06615187,0.01083289,-0.12337655,0.04267263,-0.0876847,0.1918487,0.034756567,-0.23734124,-0.053215355,0.037561074,0.0405831,0.077870555,-0.089658394,0.0926404,-0.097286366,0.16887154,0.060731735,-0.18107502,-0.21595706,0.1078604
Mitd1,0.007907565,-0.002800795,-0.0386192,-0.1056434,0.12117037,0.14747436,-0.20664062,0.066223405,-0.068433575,-0.031017333,0.016681429,-0.08577837,-0.1689204,0.0005918405,0.1352346,0.17323637,-0.20020631,0.14308636,-0.026186833,-0.050027873
Rev1,0.017419163,0.021609996,-0.08899347,0.15932362,0.08278486,-0.20479362,0.05925916,-0.23075873,-0.21992028,-0.035973165,0.0072292243,0.13281319,0.023301523,0.025041392,0.09571285,-0.19231135,0.038996074,-0.17700787,-0.12647173,0.311166
Aff3,0.10803093,-0.18166652,-0.26414442,-0.123767026,-0.11639098,0.27686,0.1837702,-0.24845994,0.3631692,0.46346834,0.10286938,-0.09167969,-0.24700752,-0.094168946,-0.06492143,0.2653105,0.26802006,-0.25351602,0.36549136,0.05103995
Gm16152,0.045649856,-0.05593339,-0.23769902,-0.04188282,-0.1566102,0.26654863,0.235089,-0.25184393,0.14069621,0.113918915,0.050965246,0.16223995,-0.18062568,-0.0064846254,-0.101024196,0.2742297,0.20490068,-0.25912553,0.3356331,0.18167515
Rnf149,0.017814804,0.0069990023,-0.029884465,-0.1035844,0.015819885,0.009049903,0.0025759041,-0.028880935,0.046731632,-0.14343001,0.02299869,-0.04185291,0.08879919,-0.16289899,0.11920789,0.034328673,0.0016141467,-0.24299873,-0.005003311,0.07046637
Map4k4,0.10830867,-0.033314776,-0.06705666,0.05810968,-0.22854824,0.04265309,-0.038659714,-0.2187853,0.4302824,0.17847863,0.11188382,0.070450164,-0.07397829,0.014497244,-0.13542704,0.027284939,-0.051962953,-0.30536777,0.28451145,-0.060898535
Il1r2,-0.05727226,-0.0590062,-0.0660174,-0.013854885,0.012964448,-0.05134875,-0.05584689,0.13123788,0.2957384,0.046527002,-0.057301488,-0.059686475,0.10841847,-0.092841044,0.06171899,-0.052746486,-0.056132488,-0.068265185,-0.079167,-0.0009332448
Il1rl2,-0.010896976,-0.0113881845,0.13123249,-0.115402475,-0.11601182,-0.11912023,-0.031451344,-0.117371544,-0.11659718,-0.034486197,-0.009443362,-0.11830959,-0.0581462,0.071588084,0.12950614,-0.038670857,-0.11865512,0.29961506,-0.11641557,-0.11255943
Il18r1,-0.29820102,-0.1483655,0.7879851,0.052328143,0.051255103,-0.2975155,-0.2873827,0.27190307,0.34839088,-0.52956516,-0.30155343,0.040949937,0.7078026,0.08393489,0.18462007,-0.27130124,-0.2486057,0.37189388,0.14971505,-0.45312798
Il18rap,-0.38045132,-0.37678337,0.8956366,0.28578424,0.20310843,-0.25130367,-0.39142638,0.63390553,0.082531095,-0.7783387,-0.38716683,-0.32210612,0.83108246,0.41951177,0.083359666,-0.21334735,-0.34627444,0.59742564,-0.0042603845,-0.7557027
Tgfbrap1,-0.008628745,0.019365644,0.22082458,-0.04092883,0.11082841,-0.027605077,0.03523733,-0.09113064,-0.08745305,-0.060378257,5.156051e-05,-0.0021153043,-0.10537824,0.044174884,-0.03296798,0.0011855918,0.1088804,-0.17940249,0.22409615,-0.09499608
Nck2,-0.13199273,0.07933256,0.019456564,0.064372525,-0.15596394,0.24065922,-0.049972672,-0.075730614,0.13833,-0.08514781,-0.13068272,0.18822715,-0.028550863,0.06070689,0.068021946,0.2467832,-0.035024673,-0.17071798,-0.045490883,-0.051806964
Slc39a10,0.08275589,-0.075451255,0.043361075,-0.11751989,-0.016928807,0.041283693,-0.060714137,-0.097486965,-0.07377618,-0.035395954,0.07193912,-0.1932786,0.0050993403,0.038063668,0.07489944,0.027659263,-0.028826395,-0.05923498,-0.10645488,-0.14467707
Stat1,0.103691705,0.541583,-0.20211296,-0.042627882,-0.118245125,0.44525033,-0.5626728,-0.3171053,0.012789124,0.41486397,0.081971705,0.6878116,-0.49775654,-0.10275974,-0.29229102,0.40559968,-0.6045744,-0.34215066,0.113262795,0.35921767
Mfsd6,-0.043808665,0.041591097,0.008829344,-0.10464881,0.1389185,0.01144467,0.11902379,-0.03370277,0.08277928,-0.03081073,-0.04065065,0.039688583,-0.046480913,-0.009366495,-0.028847286,-0.001395191,0.2006035,-0.10145149,0.08877496,0.02509013
Pgap1,-0.05304032,0.10939971,0.112415776,0.12381843,-0.10300004,0.0112226,-0.08905142,0.20559517,0.03050336,0.14443053,-0.028634835,-0.15323842,-0.061717875,-0.043726712,-0.088869825,0.020963855,-0.084518865,-0.089433864,0.03207566,-0.019342339
Maip1,-0.05902782,0.12996031,-0.11382597,0.049602542,0.062396374,-0.0030008194,-0.22955713,-0.013710061,-0.056977194,0.27749926,-0.060891304,0.16724475,0.045900933,-0.18378553,-0.005967746,0.02686396,-0.20488276,0.20802665,0.4028158,0.08231233
