gene_name,0_CD25KO,0_CD25WT,0_P14NAV,1_CD25KO,1_CD25WT,1_P14NAV,2_CD25KO,2_CD25WT,2_P14NAV,3_CD25KO,3_CD25WT,3_P14NAV,4_CD25KO,4_CD25WT,4_P14NAV,5_CD25WT,5_P14NAV,6_CD25KO,6_CD25WT,6_P14NAV,7_CD25KO,7_CD25WT,7_P14NAV,8_CD25KO,8_CD25WT,9_CD25KO,9_CD25WT,9_P14NAV
Atp6v1h,-0.6236035,-1.2046195,0.22567023,-1.0221905,0.5371287,-0.5064522,-0.0036899834,0.39052677,1.3837183,-0.21854064,0.15668596,1.1149983,1.006606,0.76248765,-1.014891,1.5581018,-0.41654158,1.4738513,-0.4380287,-1.0096216,0.07251663,0.56905323,-0.5157907,0.65123916,-0.17165792,0.4642344,-0.87083614,-1.3331497
Rb1cc1,-1.0204189,0.801878,-0.51085854,0.40050253,0.35680974,0.24869573,-0.18407005,0.28756076,-0.8482715,-0.21636917,-0.265873,-0.64603287,-0.67201585,0.07810674,0.68554044,-1.0857177,0.69114923,-0.10493037,-0.5434134,1.2917517,0.03286065,-0.41601887,-0.5815214,1.0415797,-0.071731314,-0.3747956,0.34371156,-0.6054413
Pcmtd1,1.6638881,-0.018427256,0.7112264,-0.449544,-1.0422809,-0.12153823,0.15572761,1.0670941,0.6816415,-0.9056175,-0.23738825,-0.61663955,-0.017724356,-0.20951082,0.874726,-1.2798288,0.174018,-1.9084324,-0.7446838,-0.5250664,-0.63744295,-0.17100139,1.338726,0.09710001,0.420453,0.0009861327,0.35809556,-0.108902745
Sgk3,-0.8586151,-0.6030672,0.7481924,-0.491033,0.32370648,0.270376,-0.31366357,0.038396552,-0.50854015,-0.48584205,-0.31119573,-0.38079476,-0.034981195,-0.24816892,-0.23879305,-0.710073,0.9018938,-1.0182518,1.0277202,0.5436935,-0.42309955,-0.718274,-0.37112835,-0.20654523,0.13169809,0.08182797,0.6472941,0.5549935
Cspp1,-0.18891986,0.29016352,-0.04182197,-0.5638987,0.22379202,0.23741311,-0.33432835,-0.28924936,-0.5756171,0.58523405,1.0715264,-0.5673402,-0.9388165,-0.14716032,-0.7812615,-0.1629511,1.0299171,-1.4461527,0.5677967,0.59550697,0.14212148,-0.22061895,-0.4648786,-0.7562607,-0.120009586,0.07244277,-0.13475473,0.817286
Prex2,-0.08432997,-0.032252956,-0.027657434,0.41391096,-0.027570834,-0.06410484,-0.18679184,-0.19656424,-0.125791,-0.19980659,-0.23934197,-0.1589391,0.60430866,-0.15486464,-0.07363387,-0.21233335,-0.6661098,-0.076223105,-0.0859008,-0.22353669,-0.13481009,-0.11686485,-0.1640439,-0.119964465,-0.16362537,0.035316575,0.09229324,-0.10957397
Lactb2,1.6815482,-0.81514245,-0.35380962,-0.8274482,-0.43076336,-0.49528837,1.4283439,1.2003319,-0.38685685,0.5928363,-0.15706839,-0.50273246,-0.40508613,-0.16434935,-0.8556244,2.0344741,-0.79332036,-1.061315,-0.8493784,-0.7301639,0.6010527,1.6096547,2.3603485,-0.1009729,0.8220028,-0.65942514,-0.47380581,-1.3770882
Ube2w,-0.59764904,-0.76862,-0.1896449,0.34850773,-1.2033193,0.9728053,0.1620568,0.782446,-0.4816024,-0.2573329,0.26462093,-0.46579388,-0.7166038,-0.08354007,-0.5770646,-0.54772526,0.5371702,-1.1310205,-0.7952175,0.104598016,-0.2896511,-0.87597394,-0.39570382,0.07785649,0.868919,-0.18522936,-0.15295318,0.8561914
Mcm3,-0.4561921,2.080324,-1.1252353,-1.0503398,-0.0032923578,-1.4660906,-1.2001916,-1.2304472,-0.13412568,0.78930134,1.164199,0.58642554,7.357025,7.28982,2.840759,-0.9570028,0.27244368,-0.24108167,-0.52573925,-0.61215395,-0.23628551,0.23449036,-0.4468407,-3.945456,-3.5992818,-2.0016308,-2.6606932,-2.2982984
Paqr8,2.8850207,-0.07993389,-0.5125693,-0.1486978,2.0594313,-0.18982959,-0.27316988,-0.29645646,-0.1789039,-0.1704389,-0.18897119,-0.17430554,-0.16111703,0.281169,-0.042928316,-0.23291841,0.46202365,-0.17950179,-0.12943213,-0.4172248,-0.19103584,-0.17743294,-0.1867803,-0.15608406,-0.18725081,0.13645224,0.2957272,-0.10140436
Khdc1a,-0.11119603,-0.04780637,-0.34921825,-0.038687736,-0.06364679,-0.10752699,0.3137549,0.17285512,-0.14518312,-0.18093091,0.2172055,-0.16364212,0.4876176,-0.14197727,-0.059267227,-0.21699594,-0.73273015,-0.11231631,-0.09993581,-0.2919124,-0.15212089,-0.13592564,-0.17199212,-0.12743568,-0.166846,0.08114846,0.17957461,-0.1021678
Gm26580,-0.06820306,-0.031180676,0.043201353,0.061316527,-0.0040892316,-0.03523756,-0.18857518,0.21532461,-0.10227431,-0.30086663,-0.36470124,-0.16193582,-0.24564455,0.28503627,-0.12131177,-0.23403488,-0.59600884,-0.047937233,-0.0867018,-0.16307177,-0.14466895,-0.12302397,-0.15779047,-0.16571112,-0.21154337,-0.1056515,0.9971675,-0.16096458
Ogfrl1,-0.54013574,-0.43284705,-0.83805686,0.38966203,-0.60941666,-0.754438,1.130709,0.8456223,-0.25831738,0.8579004,0.2315752,3.453922,0.37604427,-0.8861278,-0.47599402,-0.6967668,0.53213876,0.81206185,-0.47664642,-0.7600373,0.71631444,0.5176956,-0.27436835,-1.077739,0.1364455,-0.25580937,-0.8863888,-0.76057
Lmbrd1,-0.0015734799,-0.778783,-1.1858053,-0.7643579,-0.4873046,0.9075279,0.7015737,1.0464888,-0.49626338,-0.31448573,-0.2689194,-0.46856904,0.11430189,0.27558962,-0.5634887,-0.99247384,1.2191089,0.62029225,-0.8042296,0.57182395,-0.5565811,0.2649013,-0.40140924,1.3086725,0.80376756,-0.5993163,-0.20183332,-1.0394307
Zfp451,1.6143253,-0.7441229,0.0675096,0.41002673,-0.555958,0.28880143,0.48887137,-0.77233016,-0.4994647,-0.1229893,-0.082404956,-0.45113876,0.24386625,0.07303327,-0.49780115,-0.5097367,0.92317283,1.8489506,-0.7692521,-0.39181525,-0.55941856,-0.43081737,-0.3956369,-0.15578774,-0.6791937,0.26592422,-0.27124286,1.2347493
Dst,-0.115013376,-0.041795135,-0.37981823,-0.053431492,-0.07058954,-0.11648449,-0.20018372,-0.22469929,-0.15975319,-0.08898396,-0.09941039,-0.1585207,-0.057213627,-0.03876483,-0.01837408,-0.19328496,0.538708,-0.1240306,-0.09275197,-0.32094818,-0.13443539,-0.12112432,-0.17459616,-0.07852592,-0.11771051,0.2005297,0.3691964,-0.05441363
Arhgef4,0.31673923,-0.32162362,1.0688157,-0.23563087,-0.50716656,-0.6358478,-0.47373587,0.3361071,-0.2841669,-0.16873987,-0.23724496,-0.27674618,-0.62356776,0.30654377,-0.23241524,-0.50006354,-0.267374,-0.5123062,-0.3631621,0.5254342,-0.55774087,-0.18785296,-0.25985187,-0.069095634,-0.66287374,0.0012438779,-0.084762394,1.3383911
Hs6st1,-0.58664745,3.0364795,0.7234998,0.69374055,-0.68862104,0.67412657,-0.6027211,-0.8926881,-0.4008025,-0.15097076,-0.4156369,-0.28978238,-0.5101343,0.21933891,3.196002,-0.48015413,-0.085592866,2.0701714,-0.4163376,-0.22205345,-0.6077775,-0.39791352,4.135451,0.35570055,-0.59140116,0.60532284,0.41073233,0.5768727
Neurl3,1.0451255,-1.0698316,1.5406287,0.36228782,-0.06723851,3.093518,-0.5426118,-0.11554379,-0.9150557,-0.56107855,-0.6621296,-0.5482049,-0.9180875,-1.309898,1.2627238,1.6455898,-1.8538737,0.50618625,3.682473,1.3339804,-0.9622923,-1.2445587,-0.56452554,-0.52698326,0.5915158,0.9051613,1.4877913,1.3901848
Arid5a,-0.1719895,0.17680442,0.9675011,-0.5202258,0.0492393,0.9460705,-0.5428472,-0.27192095,-0.7050366,0.0017873842,-0.44292736,-0.5451078,-0.79186964,-0.72098297,-0.49891213,-1.1241288,0.24726944,0.4368536,0.29679015,0.057952065,-0.22104168,-0.83919716,1.6441981,1.5259744,1.5302258,0.16834103,-0.24297191,1.3871868
Kansl3,0.20207028,-0.9901139,-0.18722822,1.1250168,0.15144846,-0.3638433,-0.12813814,0.02110068,-0.55528426,0.030395903,0.19029228,1.5111706,0.8862195,-0.2522501,0.9028003,-0.41782764,0.15042485,-0.07813362,1.8700174,-0.020785995,-0.37092665,-0.4139049,-0.4568082,0.5004605,-0.89018804,-1.0123905,-0.88650805,-0.049711373
Lman2l,0.9491435,2.170507,0.15756792,0.07246437,-0.92641056,2.2225976,-0.34147683,-0.7382657,-0.4588379,-0.3760106,0.023919314,-0.3595857,-0.7913603,-0.2513618,-0.24377674,-0.6693359,0.92752534,1.4024215,-0.5724944,-0.29121047,0.025015753,-0.14541891,3.1748056,-0.0043227025,-0.38802335,1.3566481,-0.12675807,0.48943812
Cnnm3,-0.63904566,-0.46002278,0.2619354,0.70317584,0.1471411,0.3911012,-0.46836978,-0.53877187,4.635301,-0.4673674,0.16768323,-0.33113915,0.7816844,-0.85082376,-0.28092283,2.093302,-1.6531229,0.7320336,-0.4947304,0.9956251,0.16270977,-0.08402992,-0.30902714,0.6754257,-0.4506777,0.7206717,0.309433,-0.5623971
Cox5b,-0.5775149,-0.78683597,-2.4289887,-2.4704437,-3.3978746,-1.6579372,2.8445776,3.2958322,-1.4420521,0.817562,0.41553524,0.72417945,3.438171,2.8701935,-0.437057,-0.49798775,-1.3256145,-0.85795754,-0.5959258,-2.964455,3.3353908,3.3331642,0.7366987,0.41610837,0.3886427,-2.5187666,-3.8670635,-1.7737705
Actr1b,1.6506307,1.5122582,0.30061334,-0.6536675,0.008481558,-0.3619829,0.2680471,0.45949432,1.2154801,0.4691722,0.25105157,-0.61128557,0.5997084,0.051132362,-1.075097,-0.29129004,0.54702276,0.15112074,0.25894752,-1.5689925,-0.37476274,0.26804227,-0.4538966,-0.19352792,-1.0519695,-1.2814658,-0.82513463,0.9428514
Mgat4a,2.660595,-0.51291424,0.5513218,0.24034554,0.1346649,0.7459445,-0.5199562,-0.3652996,-0.41337606,0.13840166,0.37406787,-0.350953,-0.51345015,-0.60379565,-0.28577882,-0.6659293,0.61348283,-0.82909423,-0.544493,0.56883717,-0.8251071,-0.60116714,-0.32949227,-0.21052971,-0.9397001,-0.19204234,0.23261781,0.72280145
Mitd1,-0.35578093,0.95035344,0.2742617,0.28722614,-0.8641654,0.2139483,-0.03927519,-0.67866695,-0.86824536,-0.55893916,-0.09639957,-0.804021,0.7491114,0.864402,0.87266815,1.3548099,0.3843849,-0.40685093,0.25777283,-1.2315693,0.30956754,0.5876706,-0.64929855,-0.28264776,-0.13679408,0.17796636,0.028710715,-0.5123692
Rev1,0.8754167,-0.49070477,0.26277,0.43388495,1.3784647,0.33405498,-0.36110714,0.1594197,-0.38079572,0.70989996,0.013856474,-0.3449694,0.56921756,0.65462327,-0.3165855,-0.07972721,-1.434321,0.49194694,-0.5248416,0.42510167,-0.8028245,-0.58771884,-0.31688485,-1.0005323,-0.5610932,-0.5808384,1.3557435,0.71932733
Aff3,0.40457365,-0.55978715,1.0904363,-0.7650827,0.5481244,-0.746639,-1.1774937,-1.0905302,-0.5035586,-0.6769639,-0.62024647,-0.36037388,-0.83278924,-0.49598932,2.2845995,0.039347295,1.0523833,-0.97478557,1.4389104,1.6527036,-0.86145943,-0.8576919,-0.36161062,1.7626864,1.520372,2.4016185,0.21866928,0.16820852
Gm16152,-0.8808473,-0.58440787,0.644276,-0.3796048,0.3617132,1.2073512,-1.0400991,-0.77132666,-0.56989974,-0.46711648,-0.2798679,2.5534163,-0.96164125,-0.63647515,-0.07789813,0.85411304,0.9991473,1.1188668,-0.60363394,1.5127997,-0.8711006,-0.87585497,-0.38336143,0.7084031,1.3940437,0.5074145,0.90625364,0.22911185
Rnf149,-1.0610539,-0.82623833,0.41497833,0.51321566,0.47751218,-0.34108528,-0.058459233,0.4814918,-0.50236535,-0.56943643,-0.98055434,-0.49086404,0.063493885,0.7468417,1.2011063,0.9978812,-0.33027953,0.961732,1.5085437,-0.08637854,-0.062204644,-0.8155862,-0.41200972,0.26311177,-0.04716791,-0.34117186,0.76440513,-0.64416724
Map4k4,-0.6995863,-0.7564373,1.1776799,-0.11396487,-0.1082354,0.8502689,-0.14144391,-0.20848571,-1.070645,0.10248082,-0.11572716,1.3462852,-1.4347461,-0.87326384,0.23875219,-0.6956088,-0.15679136,0.29535285,-0.13431633,-0.21714553,-0.7116823,-1.0116937,-0.7199462,2.0807312,1.1777511,0.8363558,-0.44447172,0.25302026
Il1r2,-0.12162641,-0.085814565,-0.31307393,-0.03633921,-0.070587695,-0.11354419,-0.29695705,0.5231462,-0.10676784,-0.14944564,-0.62066126,-0.18798244,0.12048315,0.42870826,-0.20477332,-0.31358767,-0.64210856,-0.10071817,-0.14107545,-0.24332665,0.48742205,-0.21141557,-0.16934326,1.4431367,-0.3609499,0.4524956,0.17450483,-0.28090274
Il1rl2,-0.2960237,-0.20943673,0.105412856,0.39060584,-0.29976207,-0.38772914,0.66098815,-0.24483168,-0.20008495,-0.64423496,0.25691035,-0.2344692,-0.6966734,0.8708235,-0.21859893,3.0961816,-0.9920024,2.2484646,-0.25747848,-0.6339264,-0.40507564,1.1099055,-0.21687344,-0.5108916,-0.5185463,0.069837905,-0.3975845,-0.36154786
Il18r1,-0.2513683,-0.3045729,-2.4076316,-1.035245,-0.8426086,1.1146766,3.6730697,3.2453606,0.55497277,0.030780753,0.22538443,2.0056326,0.30510956,1.1856166,0.8846213,0.2949882,-1.91303,-1.376759,0.42379147,-1.5677879,1.0403814,1.3977741,-0.5462768,1.6926531,0.60743594,-2.041649,-1.8037171,-1.2360442
Il18rap,-0.57258296,-1.2128956,-3.101417,-1.8795213,-0.2126866,-1.9153563,4.123116,3.7735353,0.94108236,1.3533212,2.129811,-0.7013956,1.3257315,0.5692707,-0.1947041,0.91986436,-1.6744454,-1.3753942,1.1694279,-2.3005373,2.3365936,2.1966367,-0.44877124,0.43276283,-0.04402463,-2.874197,-3.0277886,-2.059644
Tgfbrap1,-0.653262,0.5027103,0.15266766,0.30173606,-0.7619124,0.7513739,0.61834586,-0.8247012,2.6270068,-0.27133134,0.11608462,-0.3529381,0.75166476,-0.18013574,-0.4029031,1.0623153,-0.5195236,-0.73316616,1.9692141,0.5492588,-0.29941207,-0.5970492,-0.30831447,-0.37277967,0.92213774,0.14195174,-0.11030286,-0.7142428
Nck2,-0.6410065,-0.49099094,-0.92586386,1.028361,2.9324114,-0.27602854,0.14882979,-0.08959843,-0.33148956,0.2448885,0.20409495,-0.35249197,-0.93922323,0.47842574,-0.42085966,0.7233069,0.8654841,-0.7147685,-0.52905995,-0.054986853,-0.244259,-0.5663144,-0.3042559,0.69718975,-0.21846832,0.020452544,0.13711359,-0.7313281
Slc39a10,1.1019794,-0.39985207,0.8160857,0.015326845,-0.5939833,-0.73762006,0.25475416,0.061629843,-0.28172663,-0.6492961,0.081912294,-0.3153702,-0.060225155,0.52121097,-0.37060136,-0.62278414,-0.16386136,-0.57755953,0.59609634,-0.16344646,-0.32643896,-0.16983303,-0.27411112,-0.30796596,-0.4764032,0.2235803,-0.43074697,-0.62821007
Stat1,2.3051755,-0.48182523,0.906536,3.241642,1.8495005,4.0339265,-0.68600315,-2.1157699,-1.6755038,-0.2900235,-0.6731566,-0.19534776,-0.7088699,-1.8752608,-0.2554013,-0.7792778,1.921757,0.45974642,0.9238484,-3.9453242,-1.2581781,-1.2855756,0.890224,0.10226071,0.45320866,1.3264287,1.1767089,1.5417922
Mfsd6,-0.7345696,-0.5219345,-0.14838482,0.6646682,0.8080811,0.032620754,-0.3513074,-0.5160279,2.3675065,-0.58375186,-0.1690311,-0.35251656,0.92222077,-0.15897775,-0.2610823,-0.6609142,-0.3179157,-0.85906905,1.7848686,1.1692173,-0.08864267,-0.31550688,-0.3361017,0.43393898,0.34960213,0.024842398,0.302979,-0.25303197
Pgap1,1.847373,7.355906,-0.4273589,1.3259732,-0.4374761,-0.55033535,0.5739519,-0.25936985,-0.21729347,0.20236811,-0.5725275,4.726329,-0.6064123,-0.5458503,-0.3636408,0.32464343,-0.3190622,-0.4296424,-0.36287516,-0.39833626,0.764633,-0.28082678,-0.241582,0.18620719,0.10971092,0.43550774,-0.41490003,0.6227494
Maip1,-0.55091274,-1.0862854,-0.2954327,1.3025619,2.1497467,0.08125161,-0.44692847,0.29024062,-0.5779329,0.18919477,-1.0867401,-0.60672885,0.38449347,-0.049308106,0.72114676,1.1689122,-0.39249554,-0.17744084,1.6641197,-1.4478067,0.0007916045,0.8053093,-0.48093584,-0.22835681,1.6782894,0.73947704,-0.2204489,1.3010006
Kctd18,-0.47189507,0.9307005,-0.6473128,-0.101310425,0.3772729,0.26908472,0.8428976,1.1301482,-0.4443079,0.38252705,-0.76615995,-0.42867103,-0.24221343,0.40815446,-0.5070491,-0.8941492,-0.19882268,0.13378504,-0.71071064,-0.23081128,0.23998283,0.13188106,-0.3694924,1.0116657,0.008976699,0.030026767,-0.3443783,-0.07955068
Gm15834,-0.20795639,-0.1360448,-0.12668897,-0.22395371,-0.18645659,-0.25298914,0.14270927,-0.38863903,-0.16871957,-0.46280846,-0.19167018,-0.20327222,0.80463105,0.93757886,-0.15979818,-0.3293166,0.02051934,-0.21649638,-0.18645585,0.14986987,-0.29342288,0.3276006,-0.19483851,-0.35019863,-0.37281772,-0.19615705,-0.20066118,-0.25853446
Fam126b,2.7489142,0.5915341,0.43094102,0.22614105,-0.6635194,0.50952286,-0.33655477,-0.019625433,-0.27239,-0.12460694,0.17431691,-0.35041106,-0.6698963,0.041232757,-0.5072518,-0.7378388,-0.48903248,-0.6265766,-0.51138395,0.6559105,-0.8185814,-0.08039309,-0.2848003,-0.16295536,-0.058649354,-0.63052255,0.54152364,1.7780033
Cflar,0.12985314,0.16115715,-0.78874576,-0.446261,-0.30229765,1.4741502,0.6746944,0.71514934,-0.9407954,-0.2647404,-0.25147894,-0.8241837,-0.5221394,-0.25599805,0.9304685,0.028678488,0.7814225,-0.4859808,1.7892333,-0.57645506,0.5696324,0.6730384,0.9113666,0.83033353,-0.61591643,0.33319658,0.44349253,0.08370859
Stradb,-0.611041,-0.45702574,0.08623439,-0.16626509,-0.7083569,-0.87475884,0.41665635,0.3466382,-0.33374128,-0.18920009,-0.43869844,-0.33554366,-0.31026986,0.4107462,-0.35835254,-0.6590573,0.81699836,-0.68782353,-0.49485424,-0.61709887,0.99628854,-0.18050458,-0.29837152,0.6804959,-0.5538591,-0.25241217,-0.02404565,0.14365676
G730003C15Rik,-0.26693437,-0.16332547,0.5403483,0.4357297,1.9352652,-0.35063922,-0.4326937,-0.18858026,-0.22115318,-0.3468529,-0.17907153,-0.20876336,-0.38673928,-0.37998605,-0.09582609,-0.31920514,-0.14790809,-0.3012282,-0.20960449,-0.62868094,-0.31460732,-0.3004269,-0.21351798,0.28683457,0.5542284,0.4407052,0.13888769,-0.20328921
