gene_name,0,1,2,3,4,5,6,7,8,9
Atp6v1h,0.11609608,-0.8587911,0.32822764,0.037778206,0.90086067,-0.21775667,-0.63802856,0.3432478,0.34532794,-0.5402217
Rb1cc1,-0.5356487,0.4300076,0.023092221,-0.27147415,-0.24312517,0.545863,1.0666183,-0.2633161,0.6421293,-0.14944868
Pcmtd1,0.81582266,-0.5405986,0.74134135,-0.535854,-0.11450908,0.013574461,-0.9644075,-0.31303507,0.24902388,0.13871168
Sgk3,0.6355624,-0.28834957,-0.15452565,-0.40307924,-0.17320187,0.7992788,0.38902387,-0.63341975,-0.075310096,0.47187823
Cspp1,-0.041119043,-0.3689193,-0.3595778,0.89082694,-0.5384586,0.9924734,0.28957522,-0.092757076,-0.54244345,0.17201222
Prex2,-0.034750648,0.31521684,-0.20679063,-0.23504265,0.18028483,-0.68099415,-0.22597606,-0.13765001,-0.15007903,0.030126166
Lactb2,-0.2571845,-0.8398127,1.3051416,0.13212293,-0.30652094,-0.5295477,-0.9788305,1.346368,0.2987012,-0.83910716
Ube2w,-0.26560953,0.32338145,0.49228176,0.046278097,-0.3929794,0.46069318,-0.24213783,-0.6694922,0.43517995,0.06521426
Mcm3,-1.0310489,-1.1740975,-1.2598879,1.0633107,7.8820987,0.15006773,-0.6600209,0.011535685,-4.146656,-2.6424837
Paqr8,-0.28698194,0.13661797,-0.30728418,-0.19209918,0.0967062,0.42555797,-0.42608863,-0.19969279,-0.18391088,0.16859232
Khdc1a,-0.35049117,-0.06441143,0.22932416,0.05632002,0.13509727,-0.7470634,-0.29638427,-0.15704708,-0.15633914,0.09153077
Gm26580,0.035477426,0.040949367,0.03415884,-0.35451022,0.05846845,-0.6147475,-0.16604868,-0.14533931,-0.20089768,0.3762862
Ogfrl1,-0.8765814,0.05715761,0.97578114,0.58922666,-0.38000032,0.43740457,-0.5611978,0.6098559,-0.63686496,-0.70662844
Lmbrd1,-1.1911503,-0.4840402,0.8846513,-0.3088466,0.20661262,1.0763836,0.5481348,-0.10952517,1.2026579,-0.6039848
Zfp451,0.15124407,0.3141972,-0.26985005,-0.11386555,0.14396957,0.8448536,-0.04543263,-0.5240565,-0.40157977,0.29425603
Dst,-0.38027743,-0.07929873,-0.23164302,-0.10258133,-0.050273012,0.5058251,-0.32396036,-0.14057049,-0.1029348,0.24114399
Arhgef4,1.0488306,-0.4053916,-0.03555132,-0.22416842,-0.10407037,-0.32440102,0.31673568,-0.37175328,-0.3382631,0.29524425
Hs6st1,0.80388695,0.60957617,-0.81746155,-0.32809755,-0.021545192,-0.14323898,0.19502671,-0.28800467,-0.031770222,0.5876365
Neurl3,1.5271752,0.9727126,-0.37595803,-0.6565794,-1.1881593,-1.6200533,1.7335001,-1.194675,-0.078997985,1.4139963
Arid5a,0.9372303,-0.20086715,-0.451653,-0.28925502,-0.8142851,0.10475069,0.18010291,-0.5102297,1.6649684,0.30441123
Kansl3,-0.2139309,0.8472881,-0.08566827,0.17152256,0.27376184,0.09646404,0.18538283,-0.43392783,-0.07043139,-0.846735
Lman2l,0.3269289,0.42010567,-0.61575425,-0.14915778,-0.5213955,0.829491,-0.027826777,0.09126809,-0.17463578,0.6326495
Cnnm3,0.18543437,0.675266,-0.17920773,-0.09653531,-0.16807637,-1.367593,0.9868596,0.005718807,0.23741059,0.30500433
Cox5b,-2.4446678,-2.853767,3.0770922,0.6133349,3.3131683,-1.364518,-2.9000387,3.493881,0.441333,-3.2860007
Actr1b,0.48750263,-0.6062927,0.476653,0.3320853,0.27933702,0.5019382,-1.3378056,-0.030076064,-0.591084,-0.6836395
Mgat4a,0.7113289,0.37971875,-0.47433257,0.27981266,-0.61019653,0.5211702,0.26639265,-0.7392469,-0.5523647,0.207241
Mitd1,0.28527412,0.15381736,-0.47709057,-0.31100565,0.8913253,0.5446279,-1.1559577,0.45204872,-0.24345173,-0.039896715
Rev1,0.29803348,0.62419724,-0.09563126,0.29065412,0.65199167,-1.419915,0.42269224,-0.7207449,-0.8958229,0.56223756
Aff3,1.065186,-0.7036348,-1.1955955,-0.6730411,-0.62774825,1.0394567,1.4368482,-0.90949047,1.813756,1.1504948
Gm16152,0.5336333,0.016105955,-0.953488,-0.29673895,-0.8301417,1.0873908,1.518359,-0.92568964,1.0756953,0.6887741
Rnf149,0.28553826,0.40669268,0.21745321,-0.8563621,0.51391053,-0.20189606,0.30638927,-0.5339515,0.14934313,0.04938651
Map4k4,1.0582528,0.08226165,-0.26345995,0.0064673005,-1.1833143,-0.2397508,-0.1465805,-0.9536704,1.8677968,0.20859842
Il1r2,-0.31788582,-0.06486925,0.16505821,-0.45214632,0.31159604,-0.66985923,-0.2553869,0.080800734,0.77385175,0.20038109
Il1rl2,0.070572466,0.18470451,0.13608977,-0.11106076,0.20696558,-0.5942134,-0.115812466,0.46943107,-0.56018597,-0.24461083
Il18r1,-2.376699,-0.70763177,3.5632744,0.20683408,0.88434654,-1.844426,-1.6437752,1.2619486,1.3641442,-1.9982857
Il18rap,-3.1189563,-1.9729142,4.099449,1.8601625,0.9491009,-1.5329676,-2.2096403,2.3147004,0.2604984,-3.1186166
Tgfbrap1,0.12351775,0.30031052,-0.011697464,-0.048736263,0.22425471,-0.3800151,0.5659951,-0.50340647,0.16718926,-0.16960078
Nck2,-0.9723401,1.1925073,-0.010622816,0.21783707,-0.14829277,0.9398865,-0.26424828,-0.46055302,0.3543274,-0.11050833
Slc39a10,0.8578469,-0.23848587,0.12821645,-0.22408192,0.2812662,-0.23773909,-0.19899838,-0.2595878,-0.4102309,-0.26196286
Stat1,1.031977,3.780905,-1.6613724,-0.5426657,-1.4743409,1.7934052,-3.3147745,-1.2734296,0.26686892,1.484799
Mfsd6,-0.2240263,0.66011494,-0.28164685,-0.3541447,0.3186732,-0.3938848,1.0707822,-0.2443687,0.43557987,0.0872957
Pgap1,0.06983124,0.8821388,0.08769345,-0.14522107,-0.6192993,-0.27372184,-0.49022245,0.1582329,0.16906126,0.14634134
Maip1,-0.38009986,1.379649,-0.07209288,-0.6141311,0.16350164,-0.24201323,-1.1340427,0.45383146,0.5954974,0.53291196
Kctd18,-0.6213666,0.033170305,1.000002,-0.33074042,0.12569903,-0.30550632,-0.26131183,0.16503972,0.65851724,-0.16637678
Gm15834,-0.145294,-0.26398686,-0.17555317,-0.31455046,0.93612444,-0.020355245,0.06552745,0.05486892,-0.3916816,-0.23950547
Fam126b,0.65295994,0.19968653,-0.18103956,0.047740676,-0.29380077,-0.57157934,0.39130622,-0.42443538,-0.13140447,0.42927465
Cflar,-0.75041246,-0.07439412,0.6467784,-0.28718823,-0.37232283,0.77175796,-0.40735155,0.6996348,0.2644578,0.36558595
Stradb,0.016648458,-0.43201876,0.36234206,-0.35935497,0.099771254,0.72209525,-0.7562561,0.31724784,0.1949963,-0.08116089
G730003C15Rik,0.4982786,0.553634,-0.31839433,-0.25927904,-0.411069,-0.18469445,-0.6503281,-0.32881266,0.43102446,0.19833952
Als2,-0.5857052,0.12785324,0.26945615,0.102838665,-0.004043718,-0.014624343,-0.09478294,-0.17078857,0.43117765,-0.18349612
Gm973,-0.17770518,0.21617743,-0.25758183,-0.17945668,-0.13303013,-0.3603012,0.20443782,-0.16555296,-0.15174177,0.14926684
Nop58,1.433509,0.9953909,-1.7197899,-0.44287077,2.3419318,-0.53392637,-1.7112716,0.3702058,-1.7529348,0.15083432
Bmpr2,-0.28814062,-0.043697286,-0.011956083,-0.34153497,0.05581275,-0.1297026,0.49881265,0.0021183055,-0.03590924,0.45975965
Wdr12,0.08042465,1.4115518,-0.9257176,-0.55996567,-0.13711159,-0.4585693,1.3478929,-0.57053995,0.5283283,1.0021216
Carf,-0.051160462,-0.019777939,-0.3469473,-0.030193994,-0.58582354,0.22587538,1.9556627,-0.02246869,-0.24006787,0.5024768
Nbeal1,0.4201949,0.14939478,-0.38137907,-0.04804897,-0.5913621,0.3896343,0.6849596,-0.48779738,0.115691125,0.48753446
Cyp20a1,-0.28411403,0.045364086,0.26605454,-0.028496005,0.3497211,-0.082610466,0.03843063,0.73250604,-0.69650704,-0.442154
Cd28,-3.2840452,-0.77119774,2.7853396,0.6829861,0.29660323,-0.051231448,-1.0030158,0.6787326,3.6557806,-2.345579
Gm11579,-0.28132382,0.43580133,-0.38238245,-0.28797927,-0.376926,-0.8079868,1.2316443,-0.28942782,0.16945836,1.0100592
Ctla4,-1.4604374,-0.7712372,1.2852916,-0.49488923,0.9815813,-0.8593221,-0.5760505,0.04901735,4.794275,-1.4057616
Icos,-1.5817215,-0.57252413,1.1195636,-0.409731,0.8241054,-1.043909,-0.7661625,1.2949016,3.637571,-1.0685455
Gm4208,-0.7316979,-0.19046001,1.1634831,-0.29236385,0.71066016,-0.78756994,-0.55778366,0.9882148,-0.5551606,-0.7048124
Ino80d,-0.6310355,-0.1431225,0.27291623,0.1269781,0.20301825,0.33157972,1.3206224,-0.2942117,-0.3099965,-0.051376063
