gene_name,P0,P1,P2,P3,P4,P5,P6,P7
Atp6v1h,-0.020055505,-0.18106666,-0.14183034,0.066782996,0.12802096,0.029585743,0.067932345,0.08931241
Rb1cc1,0.012662482,0.016962068,-0.045991477,0.12686715,-0.039224427,-0.028819317,0.0037816644,-0.075348586
Pcmtd1,0.028261214,-0.13217519,0.024681157,0.047287297,-0.020421356,-0.0787498,0.15478404,-0.08884556
Sgk3,0.08468165,-0.09341619,0.106391765,-0.018370531,-0.029001966,-0.05367411,-0.033560142,-0.17581886
Cspp1,0.041320246,-0.10579603,0.032848272,-0.11293651,-0.08240079,0.19069159,-0.07666964,-0.029047744
Prex2,-0.035860527,-0.00067595975,-0.0019499321,-0.033506677,0.022676134,-0.021938901,-0.04454816,-0.041234616
Lactb2,-0.06799863,-0.17815055,-0.21513335,0.05734392,-0.04849259,0.047403585,0.27331555,0.36162466
Ube2w,-0.009969628,0.00057856075,0.006655584,0.08497254,-0.061132416,0.031191023,0.10242256,-0.18561126
Mcm3,-0.08775011,-0.22951466,-0.6574196,-0.84256953,1.1486453,0.22326669,-0.26594794,-0.00073588843
Paqr8,-0.018193204,-0.028118344,0.032009523,-0.040355563,0.01045733,-0.013828649,-0.065675594,-0.05807707
Khdc1a,-0.062630564,-0.05900726,0.013109826,-0.03477397,0.016069924,0.03308753,0.047139198,-0.046500243
Gm26580,-0.026680546,-0.04281818,0.08294739,-0.043794353,0.00486715,-0.044501413,0.0061082747,-0.043321993
Ogfrl1,-0.06324088,-0.040327724,-0.18264236,-0.13205111,-0.059234936,0.1337317,0.2040719,0.16168723
Lmbrd1,-0.028930744,-0.12348478,-0.15746853,0.24033998,0.026525134,-0.035877436,0.18491305,-0.033599697
Zfp451,0.039508183,-0.000832631,0.062829114,-0.08442022,0.017367015,0.0009464715,-0.05780557,-0.14613053
Dst,-0.018764462,-0.06129475,0.049803145,-0.023962848,-0.011030342,0.0030775971,-0.04977305,-0.042027425
Arhgef4,0.069708206,-0.111400135,0.06307148,-0.071602456,-0.018895265,-0.019885207,-0.008547364,-0.10478551
Hs6st1,0.055645593,0.044553444,0.134782,-0.009556366,-0.0068304697,-0.03951315,-0.17293364,-0.08205067
Neurl3,0.09666473,0.1003507,0.33745053,-0.019117104,-0.177384,-0.101549864,-0.080113366,-0.3281801
Arid5a,0.07385498,-0.07997419,0.065319724,0.33392963,-0.12272534,-0.032177392,-0.09602723,-0.14237705
Kansl3,-0.007362189,0.08107876,-0.21700412,-0.017382892,0.036342036,0.054844555,-0.019083789,-0.121663734
Lman2l,0.051823597,0.015440596,0.14582165,-0.03847792,-0.07990625,-0.0057187816,-0.13052735,0.020908687
Cnnm3,-0.010339451,0.054646943,0.06546518,0.044936314,-0.028252643,0.0042194417,-0.03874922,-0.0023149683
Cox5b,-0.3096798,-0.4876021,-0.8152451,0.086218156,0.48068902,0.13828474,0.6458447,0.9445997
Actr1b,0.01239827,-0.14226934,-0.17700422,-0.12278326,0.0371571,0.08516826,0.099136814,-0.01203203
Mgat4a,0.076029874,0.009234995,0.041488286,-0.114944965,-0.09288854,0.075296104,-0.100795306,-0.20454726
Mitd1,0.0050964253,-0.025475595,-0.019123362,-0.05240895,0.12662692,-0.03628519,-0.10137514,0.11884808
Rev1,-0.020946277,0.04680003,0.12855281,-0.18447427,0.09163747,0.077343605,-0.021178374,-0.1995246
Aff3,0.15470031,-0.15722631,0.2728256,0.36405003,-0.09545452,-0.1046588,-0.2524313,-0.25076246
Gm16152,0.121454544,-0.046635464,0.15958647,0.2146378,-0.1250435,-0.033590797,-0.2015314,-0.25515994
Rnf149,0.020227704,0.013379639,0.0027737538,0.027108032,0.07145065,-0.1392806,0.044643488,-0.14881669
Map4k4,0.05991372,-0.036470395,0.0418212,0.37499,-0.17667568,0.0236724,-0.056462135,-0.26275575
Il1r2,-0.05624724,-0.059077606,0.03980586,0.1535329,0.041873217,-0.062940866,0.033628132,0.018067162
Il1rl2,-0.021966014,-0.020729668,-0.06933043,-0.116528295,0.026576737,0.0014761792,0.027537903,0.12356678
Il18r1,-0.28588468,-0.15784046,-0.49942714,0.2730311,0.12560667,0.06151345,0.7480581,0.33870772
Il18rap,-0.34315804,-0.35225582,-0.7741934,0.049610186,0.13507345,0.3737592,0.8607817,0.6244932
Tgfbrap1,0.009799324,-0.0029663749,-0.05093387,0.030720783,0.029104328,0.013246716,-0.0035324062,-0.14052477
Nck2,-0.04249665,0.13412298,-0.03644118,0.068604834,-0.025360372,0.06359146,-0.0033064757,-0.12889156
Slc39a10,0.04433583,-0.08575445,-0.0735861,-0.086171545,0.037439138,-0.019868871,0.02588264,-0.074336484
Stat1,0.040844765,0.5318399,0.3548152,0.050899826,-0.21922241,-0.08003626,-0.35035473,-0.34955925
Mfsd6,-0.0003548108,0.052318916,0.012071158,0.085053496,0.042907864,-0.044432387,-0.06028569,-0.070205025
Pgap1,-0.021058297,0.08643371,0.026552368,0.03109975,-0.09421932,-0.0049752994,0.017363219,0.039087303
Maip1,-0.070481755,0.162878,0.12136057,0.11742704,0.020222511,-0.09353313,-0.016229743,0.11933203
Kctd18,-0.06418964,-0.044013463,-0.05014317,0.13018471,0.014695946,-0.040012278,0.20916402,0.040935118
Gm15834,-0.010413009,-0.08967277,-0.06807832,-0.082416445,0.13317636,-0.036954664,-0.0379809,0.011027578
Fam126b,0.03479553,-0.018427625,0.09594305,-0.029726218,-0.046632964,0.031467244,-0.03913434,-0.11908686
