gene_name,P0_CD25KO,P0_CD25WT,P0_P14NAV,P1_CD25KO,P1_CD25WT,P1_P14NAV,P2_CD25KO,P2_CD25WT,P2_P14NAV,P3_CD25KO,P3_CD25WT,P4_CD25KO,P4_CD25WT,P4_P14NAV,P5_CD25KO,P5_CD25WT,P5_P14NAV,P6_CD25KO,P6_CD25WT,P6_P14NAV,P7_CD25KO,P7_CD25WT,P7_P14NAV
Atp6v1h,0.13078552,0.07147288,-0.028873507,-0.22110079,0.09523273,-0.14373638,0.11092504,-0.22974272,-0.46152765,0.12863357,-0.034427047,0.15579493,0.114864714,-0.6774085,-0.027388731,0.05413752,1.2582512,-0.0027478489,0.08454422,1.135941,0.018336654,0.15378857,-0.50189286
Rb1cc1,-0.18336271,-0.14404675,0.025215568,0.013005789,0.049225148,0.017946545,-0.11927234,0.074012265,-0.20247945,0.21100256,-0.0108089745,-0.112101115,0.008878966,0.52575374,-0.0269399,-0.025859145,-0.53683674,-0.042237945,0.061772794,-0.6335413,0.0070708795,-0.12674256,-0.58619577
Pcmtd1,-0.10994863,-0.30363634,0.043524068,-0.12687083,-0.30774668,-0.06132336,-0.016172366,0.07760966,-0.025722662,0.011700122,0.10552086,-0.007680872,-0.03566255,0.6596144,-0.16940308,-0.020466564,-0.506875,0.03215299,0.23417032,0.5793469,-0.1833541,-0.05696591,1.8766171
Sgk3,-0.31117776,-0.051754918,0.10481802,-0.13369791,0.040778995,0.022588456,0.0060075065,0.14993742,0.21060981,-0.052374557,0.03727242,-0.01043494,-0.041649286,-0.12827039,-0.082638204,-0.034439415,-0.26646918,-0.07060949,0.006668932,-0.36420825,-0.12246179,-0.21281947,-0.3163562
Cspp1,-0.28923863,0.092010595,0.053367395,-0.14568809,0.01528626,0.015530852,0.00343257,-0.045650825,0.30398017,-0.16837454,-0.022219747,-0.1546806,-0.026006721,-0.51210093,0.1387463,0.22733037,-0.45662224,-0.07513357,-0.06579153,-0.4173857,0.038110532,-0.071096115,-0.43659553
Prex2,-0.049676705,-0.039758157,-0.035182763,0.01521217,-0.04884787,-0.049026433,-0.006753421,0.011133244,-0.025961604,-0.034104437,-0.032528523,0.09159116,-0.02719984,-0.011409871,-0.023516525,-0.020836435,-0.040323038,-0.04283382,-0.045293774,-0.06077145,-0.04056231,-0.041548777,-0.050760116
Lactb2,0.031710833,0.147515,-0.07831679,-0.1890556,-0.15172067,-0.14134611,-0.19736367,-0.13044655,-0.47716877,-0.030096872,0.20042884,-0.06950104,-0.028668677,-0.56471735,0.14031765,-0.0052608247,-0.39076507,0.31076327,0.2636365,-0.2677399,0.16848722,0.45013344,3.1868987
Ube2w,-0.29375756,-0.27809203,0.009398329,0.004449956,-0.34883493,0.17298391,-0.067262694,-0.050202202,0.31782964,0.007639388,0.21151768,-0.11921704,-0.016154254,-0.36761877,-0.035406843,0.07457121,-0.3531121,0.033538625,0.17121904,-0.3428525,-0.08455072,-0.25772962,-0.3478755
Mcm3,-0.12800433,0.037252784,-0.08972446,-0.22573282,-0.042653322,-0.34920222,-0.565613,-0.67738104,-0.80509937,-0.8413529,-0.8445604,1.1692765,1.1257114,2.0507064,0.1809257,0.24487466,0.71945626,-0.26469454,-0.27394193,-0.067379035,-0.06939022,0.058510974,-0.4134611
Paqr8,0.34244576,-0.05469129,-0.031881224,-0.07736607,0.48364156,-0.07594506,0.02099429,0.062011514,-0.023053402,-0.04172633,-0.03811249,-0.03056532,0.040325936,0.010316243,-0.017446414,-0.011300501,-0.055986658,-0.061744317,-0.06738542,-0.102878414,-0.05653535,-0.058797497,-0.07992069
