wilcoxon,t-test,t-test_overestim_var
Tmsb4x,Tmsb4x,Tmsb4x
S100a10,S100a10,S100a10
Crip1,Ifi27l2a,S100a6
S100a6,Lsp1,Lsp1
Lsp1,S100a6,Crip1
Sh3bgrl3,H2az2,Ifi27l2a
Abracl,Crip1,Sh3bgrl3
Oaz1,S100a13,H2az2
Lgals1,Cd52,S100a13
Stmn1,Ctla4,Oaz1
Myl6,Sh3bgrl3,Cd52
Ifi27l2a,Abracl,Abracl
S100a4,Actb,S100a4
S100a13,Oaz1,Myl6
H2az2,Serf2,Ctla4
Nkg7,Myl6,Nkg7
Rac2,Tnfaip3,Lgals1
Sub1,Anxa2,Serf2
Anxa2,S100a4,Actb
Cd52,Bhlhe40,Anxa2
Pim1,Gnai2,Stmn1
Dnajc9,Cd28,Pim1
Calm1,Itgax,Rac2
S100a11,Ptms,Tnfaip3
Serf2,Pim1,Dnajc9
Cyba,Ctsd,Nfkbia
Gnai2,Rac2,Bhlhe40
Ctla4,Dnajc9,Tmsb10
Cd28,Sub1,Cd28
Tmsb10,Sdcbp2,Gnai2
Tnfaip3,Nkg7,Cd8b1
Cd8b1,Nfkbia,Ctsd
Arpc1b,Arpc1b,Calm1
Tle5,Cd8b1,Pfn1
Bhlhe40,Cyba,Ptms
Actb,Laptm5,Sub1
1810037I17Rik,Cfl1,Arpc1b
Ctsd,S100a11,Cfl1
Gmfg,Zbp1,Tle5
Nfkbia,Dusp5,Cyba
Ptms,Calm1,Laptm5
Plek,Pfn1,Pycard
Pfn1,Stmn1,Gmfg
Pycard,Gmfg,Thy1
Epsti1,Lgals1,S100a11
Cfl1,Thy1,Plek
Tspo,Tle5,Lgals3
Arpc3,Tmsb10,Epsti1
Sec61b,Plek,Pcna
Cdc42,Pycard,Lig1
Lig1,Vps37b,Sec61b
Dnajc15,Lag3,Ms4a6b
Pcna,Dennd4a,Top2a
Laptm5,Cotl1,1810037I17Rik
Ms4a4b,Csrp1,Tspo
Thy1,Cdc25b,Dusp5
Myl12a,Atxn1,Cotl1
Fxyd5,Lig1,Dennd4a
Clic1,Ncapd3,Dbi
Arhgdib,Vgll4,Zbp1
Ms4a6b,Ap1s2,Atxn1
Smdt1,Epsti1,Asf1b
Anxa6,Cdc42,Myl12a
Trbc2,Tspo,Trac
Lgals3,Asf1b,Gng2
Dbi,Nrm,Dnajc15
Top2a,Itgal,Arpc3
Trac,Gng2,Smdt1
Coro1a,Myl12a,Mcm6
Reep5,Top2a,Atp5j
Pnrc1,Sec61b,Cdc25b
Hpf1,Ms4a6b,Vps37b
Gnas,1810037I17Rik,Gzmb
Cotl1,Lgals3,Hpf1
Atp5j,Pcna,Itgal
Ubl5,Arsb,Trbc2
Itga4,Fhl2,Cdc42
Cox6c,Arpc3,Ncapd3
Pglyrp1,1110008P14Rik,Clic1
Ap2s1,Trac,Csrp1
Atxn1,Pola1,Ms4a4b
Gng2,Ifng,Lag3
Mcm6,Hsd11b1,Itga4
Arf5,Ppdpf,Ifng
Cd48,Clic1,mt-Co2
Dennd4a,Fxyd5,Gnas
Atp5h,Gnas,Sdcbp2
Dusp5,Dbi,Reep5
Srgn,Smap2,Fxyd5
mt-Co2,Csrnp1,Itgax
Vps37b,Hpf1,Vgll4
Itgal,Rom1,Ap2s1
Arpc5,Reep5,Itgb7
Asf1b,Smdt1,Dek
Actr3,Carhsp1,Anxa6
Cox6a1,Mcm6,Nrm
Cdc25b,Ctsc,1110008P14Rik
Ndufb7,Dnajc15,Hsd11b1
Jund,Nr4a1,Cd48
Smap2,Ctsa,Smap2
B2m,Pik3ap1,Pnrc1
Taldo1,Itga4,Gm8369
Itgb7,Ms4a4b,Ap1s2
Capzb,Anxa6,Ppdpf
Gm8369,Hjurp,Ubl5
Ctsa,Esco2,Srgn
Gzmb,Gzmb,Ctsa
Dnmt1,Gzma,Dnmt1
Ccl4,mt-Co2,Pglyrp1
Csrp1,Trbc2,Ctsc
mt-Cytb,Trappc1,Pola1
Hsd11b1,Rgs16,Phf11b
Phf11b,Ube2t,Serpinb9
Ppib,Ap2s1,Coro1a
mt-Atp6,Phf11b,Rom1
Itm2b,H2ax,Arsb
Zbp1,Arf5,Atad2
Ncapd3,Dnmt1,Hjurp
Ifng,Kremen2,mt-Cytb
Cd3g,Ccl4,mt-Atp6
Dek,Itgb7,Ly6a
Cd3e,Srgn,Hmgb2
Ctsc,Atp5j,Cox6c
Slfn2,Smim24,Prim1
Prr13,Ubl5,Fhl2
Ppdpf,Atp6v0d1,Atp5h
Stk17b,Pnrc1,Arf5
Atad2,1700020L24Rik,mt-Co3
Atp5e,Gm8369,Arpc2
mt-Co3,Serpinb9,Arhgdib
Ly6a,Wdr76,Esco2
Arpc2,Ccpg1,H2ax
H2ax,Chaf1b,Capzb
Slbp,Tcf19,Rpa2
Cd47,Cox6c,Nr4a2
1110008P14Rik,Prim1,Slbp
Clk1,Dusp2,Chaf1b
Rpa2,Coro1a,B2m
Cox8a,mt-Cytb,Ccl4
Cox5b,Atad2,H1f5
Mien1,Dnajc1,Gmnn
Prim1,4930453N24Rik,Dusp2
Serpinb9,Cd48,Cdk1
Hjurp,Pglyrp1,Dnajc1
Vgll4,Arhgdib,Carhsp1
Cd69,Spc25,Csrnp1
Gramd3,Arpc2,Trappc1
Cdk1,Haus4,Pik3ap1
Akap13,Nr4a2,Serpinb6b
Lag3,Nfkbiz,Nr4a1
Scp2,Ncapg2,mt-Co1
Nrm,Dek,4930453N24Rik
Nr4a2,Ifi213,Wdr76
mt-Co1,Tagap,Pclaf
Ctsw,Kdm5d,Cox6a1
Nfkbiz,Trbv13-3,Stk17b
Flna,AI413582,Clk1
Ptprcap,Rpa2,Ncapg2
Pola1,Brip1,Ube2t
Ripor2,Cdk1,Nfkbiz
H1f5,mt-Atp6,Clspn
Arl6ip5,Dapk2,Prr13
Glipr2,Atp5h,Glipr2
Ndufa13,Ggt1,Gzma
Selplg,Fryl,Haus4
Rom1,E2f1,Rgs16
Serpinb6b,Armc3,Ppib
Cmpk1,Dck,Arpc5
Trav14-1,H1f5,Jund
Dusp2,Hist1h2ap,Dck
Shisa5,Ly6a,Gimap7
4930453N24Rik,Rad51ap1,AI413582
Wdr76,Apobec2,Ptpn22
Myo1f,Clk1,Slfn2
Gmnn,Stil,Actr3
Dap,Capzb,Myo1f
Atox1,Mad2l2,Atp6v0d1
Ncapg2,Mis18a,Spc25
Ap1s2,Prc1,Cd69
Chaf1b,Stk17b,Cd47
Rhoh,mt-Co1,Prc1
Il2rg,mt-Co3,Mcm5
Gimap7,Arpc5,Rhoh
Ptpn22,Glipr2,Fryl
Ppp1ca,B2m,Cox5b
Sem1,Cdk2,Hist1h2ap
Ubald2,Clspn,H1f4
Sh3kbp1,Nt5c3b,Dapk2
Stk24,Gimap7,Tcf19
Cox6b1,Myo1f,Ggt1
Ppp1r15a,Rhoh,E2f1
Gabarap,Slbp,Flna
Sept1,Actr3,Trav14-1
Tpt1,Trav14-1,Tagap
Prex1,Stk24,Anapc11
Dnajc1,Ptp4a3,Nt5c3b
Nt5c3b,Prr13,Siva1
Acadl,Cox6a1,Dap
Arsb,Jund,Smim24
Smchd1,Dock5,H2ac8
Ppp1r12a,Cdca7l,Cmpk1
Rhoa,Kif11,Cd3e
Esyt1,Ptpn22,Ptp4a3
Esco2,H1f4,Tyms
Psme2,Serpinb6b,Gramd3
Trappc1,Cchcr1,Ppp1ca
H1f4,Anapc11,Itm2b
Cd2,Samd1,Stk24
Glmp,Cd69,Kif11
Psmb9,H3c11,Ppia
Clspn,Gmnn,Ppp1r15a
Anapc11,Dhrs1,Ndufb7
Mrpl33,4930579G24Rik,Rasa3
Prc1,H2ac8,Cd3g
Cd3d,Dap,Ccnl1
Hmgb2,E2f7,Kremen2
Ccnl1,Slfn2,Plac8
Haus4,Flna,Scp2
Lbh,Ppib,Ndufa13
Pclaf,Ccl3,Mis18a
Psap,Cmpk1,Luc7l2
Luc7l2,Rpain,Apobec2
Carhsp1,Ppp1r15a,Psmb9
Rasa3,Cd3e,Rad51ap1
Mcm3,Rasa3,Samd1
H2ac8,Oser1,Ripor2
Gimap6,Cenpk,Rbbp4
AI413582,Maml2,Cd8a
Ube2t,Gramd3,Ifi213
Rbbp4,Hmgb2,Fam107b
Atp5j2,Gzmk,Acadl
Fryl,Dctn4,Taldo1
Ifngr1,Klhl22,Cox6b1
Dock2,Arrdc1,Gzmk
Fus,Nelfe,Arl6ip5
Dck,Ccnl1,Sh3kbp1
Dctn4,Arl6ip5,Brip1
Birc2,Cdc45,Fbxo5
Ppia,Atp6ap1,Trbv13-3
Cd8a,Ncaph,Cenpk
Fam107b,Sh3kbp1,Cdk2
Kif11,Ankrd54,Atp5e
Hist1h2ap,Rmi2,Mki67
Ghitm,Ndc80,1700020L24Rik
Ndufa1,Dgkh,Smchd1
Peak1,Cd47,Ubald2
Tyms,Fbxo5,Mad2l2
Sri,Cox5b,Ndc80
Myl12b,Paqr4,Glmp
Arf6,Zbtb41,Psap
Spc25,Ndufb7,Ccl3
Gimap3,Map3k8,Esyt1
Raly,Mcm5,Cdca7l
Atp1b3,Itm2b,Cox8a
Pik3ap1,Mien1,Mcm2
Fbxo5,Pclaf,Cdc45
Ptp4a3,Tyms,Nsd2
Mtch1,Mctp2,Tmpo
Junb,Gins1,Atox1
Cst7,Psap,Dctn4
Tmem258,Acadl,Ctsw
Mcm5,Pask,Prex1
Emp3,Ubald2,Oser1
Dapk2,Mttp,Nelfe
Sdcbp2,Scp2,Map3k8
Fhl2,Btbd10,Dtl
H2-D1,Glmp,Akap13
Nr4a1,Fam107b,Il2rg
Klf6,Luc7l2,Ifi27
Ugcg,Haus8,Stil
Gimap4,Cnst,Calm3
Ndufv3,Esyt1,Birc2
Fkbp2,Ripor2,Sri
Cenpk,Cd8a,D16Ertd472e
Elf1,D16Ertd472e,Mtch1
Msn,Esyt2,Selplg
Jak1,Cx3cr1,Arf6
Samd1,Enho,Dhrs1
Smc6,Ppp1ca,Rrm2
Ccdc12,Ndufa13,Rpa1
Gadd45b,Hexb,Mcm3
Ifi27,Tgif1,Sept1
E2f1,Ifi27,Cox5a
Plac8,Nsd2,Ndufa1
Csrnp1,Atp5e,Gpr183
Rexo2,Rbbp4,Smc2
Itgax,Il12rb2,Txn1
Mcm2,Cd3g,Mien1
Ndc80,Ethe1,Gins4
Mki67,Mxd3,Dgkh
Gzmk,Rpa1,Gimap4
Tmem50a,Taldo1,4930579G24Rik
Rpa1,Gins4,Ghitm
Cytip,Siva1,Dock5
Ifi209,Prex1,Fkbp1a
Nsd2,Akap13,Ugcg
Gpr183,Smchd1,Kdm5d
Ablim1,Gpr183,Ywhah
Ubc,Pcdhgc4,Ccpg1
Ech1,Ghitm,Hexb
S1pr4,Ifi214,Rmi2
mt-Nd2,Dtl,Ncaph
Icos,Mcm2,Gadd45b
Tagap,Oas1a,Ppp4c
Dtl,Psmb9,Cst7
D16Ertd472e,Birc2,Icos
Aopep,Mtch1,Haus8
Cdc42se1,Nck2,Atp6ap1
Cdc45,Gnpda1,Arrdc1
Txn1,Arf6,Rexo2
Calm3,Ovol2,Tgif1
Ccl3,Plac8,Uhrf1
Oser1,Irak3,Peak1
Plgrkt,Atox1,Gimap6
Frg1,Il2rg,Rpain
Vasp,Coq10a,Esyt2
Gzma,Ndufa1,Psme2
Tceal9,Aurkb,S1pr4
Prdx5,Gadd45b,Aopep
Krtcap2,mt-Atp8,Cox17
Vsir,Ugcg,Lbh
Baz1a,Cst7,H1f2
Smc4,Icos,Atp1b3
Map3k8,Irf1,Gltp
Rgs16,Gsn,Mcm7
Ggt1,Ddx43,Arpc4
Irf2,Mki67,Gins1
Rap1b,H4c3,Topbp1
Tmpo,Sri,Irf1
Mcm7,Topbp1,Ifi214
Fosb,Selplg,Aurkb
Ly6e,Cd9,Btbd10
Ppp4c,Pkp3,Ifngr1
Clta,H1f2,Cd9
Topbp1,Sept1,Cdc42se1
Arpc4,Aopep,Incenp
Rad51ap1,Gimap4,Dock2
Tcf19,Rictor,Sem1
Smc2,Ctsw,Mctp2
Incenp,Hilpda,Plgrkt
Atp6v0d1,Cox6b1,Smc6
Mis18a,Pxmp2,Fkbp2
H1f2,Ppp4c,Armc3
Efhd2,S100a1,E2f7
Nelfe,Peak1,Hnrnpa3
Ndufa4,Nusap1,Ethe1
Hcls1,Cox8a,Fosb
Trbc1,S1pr4,Dhfr
Prdx1,Fosb,Gnpda1
Uhrf1,Psme2,Rictor
Siva1,Klc3,Rhoa
Hexb,Ppia,Prdx1
Bin2,Tmpo,Tceal9
Gins4,Cdc42se1,Raly
Bub3,Stard10,Cchcr1
Cdca7l,Plgrkt,Trbc1
Fyn,Sh3gl1,Ifi209
Tra2b,Tmem258,Pkp3
Sh2d2a,Tceal9,Vsir
H2-Q7,Mcm3,Paqr4
Rfc4,Abcb9,Cd2
Cox17,Pcbd2,Pcbd2
Plaat3,Orai1,Rap1b
Ywhah,Rbm8a2,Efhd2
Rrm2,Akip1,Mxd3
Arap2,Glrx,Nusap1
Tmbim6,Rap1gap2,Il12rb2
Stat4,Pot1b,Ccdc50
Aurkb,Ube2l6,Trir
Apobec2,Cdca2,Mrpl33
Gltp,Smc2,mt-Atp8
Cd9,Arhgap26-1,Chsy1
Klrc1,Ptprcap,Ech1
Tmem167,Incenp,Tmem258
Nxt1,Uhrf1,Ptprcap
Hnrnpa3,Dclk2,Sh3gl1
Sla,Chsy1,Nxt1
Bcl10,Lbh,Stard10
Irf1,Calm3,Baz1a
Atp2b1,Cd2,Gsn
Rfc2,Dhfr,Ptma
Wasf2,Ifngr1,Ifi206
Chsy1,Ccdc50,Ndufv3
Ndufb1-ps,Ifi206,Glrx
Dock10,Sec23b,Atp5j2
Tma7,Nxt1,Tmbim6
Saraf,Sem1,Hcls1
Capns1,Trdc,Dut
Slamf7,Fkbp2,Ankrd54
Apbb1ip,Rrm2,H3c11
Nans,Mcm7,Rfc4
Atp6v0e,Cox17,Pask
Pcbd2,Armc5,Klf6
Dhfr,Atp1b3,Gimap3
Ankrd44,Gltp,Vasp
Cdk2,Adgrl1,Shisa5
Tram1,Plpp5,Tmem167
H3f3a,Ifi209,Bcl10
Rictor,Baz1a,Trdc
B4galnt1,Rexo2,Hilpda
Pomp,Il3ra,Irf2
Mcm4,Rnf19a,Dpysl2
Hmgn2,Efhd2,Smc4
Nsmce1,Cenph,Cd3d
Ide,Acat2,Rbl1
Pkp3,Gimap6,Orai1
Cox5a,Cdca5,Frg1
Pitpnc1,Pstk,Ccdc12
Ndufa2,Vsir,Cenph
Id2,Cbarp,Mcm4
Trbv13-3,Ech1,Oas1a
Lck,H2bc6,Cbx5
Sh3gl1,Dock2,Akip1
Dpysl2,Bcl10,Rap1gap2
Ahnak,Usp18,Prdx5
Trir,Dtx1,Dtx1
Lasp1,Dpysl2,Zbtb41
Zyx,Rbl1,Krtcap2
Scand1,Arpc4,Msn
Glud1,Rhoa,Cdca2
Rbm39,Rap1b,Sla
Sec11a,Faah,mt-Nd2
Ncaph,Fkbp1a,Sh2d2a
Higd1a,Cblb,Sec11c
Npc2,Ndufv3,Rfc2
Haus8,Dnm3,Pomp
Btg2,Ywhah,Ndufa2
Gimap5,Stim2,Cblb
Ier2,Smc6,Bub3
Cbx5,Raly,Cdca5
Skap1,H4c4,Glud1
Cxcr6,Brms1l,Pstk
Fkbp1a,Cep57,Sec23b
Fen1,Tram1,Cx3cr1
Itgb2,Prpf18,Wasf2
Ifi214,Egln3,Ngly1
Ndufs8,Hcls1,Tram1
Edf1,Fam110a,Maml2
Bcl11b,Zswim8,Cep57
Ssbp4,Mrpl33,Abcb9
Ets1,E2f2,Stim2
Ccdc50,Pcyox1l,Pxmp2
Cast,Zfp758,Rnf19a
Dgkh,Ccdc71l,Fen1
