wilcoxon,t-test,t-test_overestim_var
Gzmk,Gzmk,Gzmk
Gzma,Klrg1,Klrg1
Klrg1,Gzma,Gzma
Ly6c2,Ly6c2,Ly6c2
Lat,Ccr5,Ccr5
Ccr5,Arl4c,Arl4c
Arl4c,Lat,Lat
Thy1,Thy1,Thy1
Cyba,Cyba,Cyba
Cd8b1,Cd8b1,Cd8b1
Pkm,Chchd10,Ccr2
Ccr2,Ccr2,Chchd10
Glipr2,1700025G04Rik,1700025G04Rik
Cotl1,Pkm,Pkm
1700025G04Rik,Ass1,Ass1
Ppia,Esm1,Esm1
Ctla2a,Ggh,Ggh
Chchd10,Fcgrt,Fcgrt
Wdr95,Cotl1,Cotl1
Ncald,Glipr2,Glipr2
Zyx,Ctla2a,Ctla2a
Krtcap2,Wdr95,Wdr95
Ugcg,Ncald,Ncald
Ggh,Zyx,Zyx
Slc9a3r1,Ppia,Ppia
Actb,Actb,Actb
Ass1,Ugcg,Ugcg
Esm1,Eomes,Eomes
Gzmb,Slc9a3r1,Slc9a3r1
Tagln2,Krtcap2,Krtcap2
Myl6,H2-Q7,H2-Q7
Twf2,Arhgdib,Arhgdib
H2-Q7,Emp3,Emp3
Sema4a,Gzmb,Gzmb
Emp3,Myl6,Myl6
Arhgdib,Rras2,Rras2
Rap1b,Rap1b,Rap1b
Pycard,Sema4a,Sema4a
Plac8,Grap2,Grap2
Jak1,Hsph1,Hsph1
Grap2,Epsti1,Epsti1
Ywhaq,H2-Q10,Pycard
Fcgrt,Pycard,H2-Q10
H2-Q10,Mgst2,Twf2
Cox5a,Twf2,Tagln2
Hopx,Jak1,Mgst2
Rras2,Tagln2,Jak1
Hsph1,Ywhaq,Ywhaq
Epsti1,Idh2,Hopx
Eomes,Hopx,Idh2
Ccl5,Slco3a1,Ccl5
Macroh2a1,Ccl5,Slco3a1
Slco3a1,Macroh2a1,Macroh2a1
Cd48,Samd3,Gzmm
Npc2,Gzmm,Samd3
Klf6,Capn2,Cd8a
Hspa8,Cd8a,Capn2
Saraf,Rara,Rara
Cd8a,Smpdl3b,Smpdl3b
Cmtm7,Atp5h,Atp5h
Itgb2,Itgb2,Itgb2
Capn2,Ms4a4c,Ms4a4c
Sh3bgrl3,Ogfrl1,Npc2
Txndc5,Npc2,Txndc5
Mgst2,Txndc5,Ogfrl1
Vim,Cd48,Cd48
Ms4a4c,Saraf,Saraf
Ezr,Cox5a,Cox5a
Ppp2r5a,Cmtm7,Cmtm7
Id2,Iqgap2,Iqgap2
Gimap7,Klf6,Klf6
Flna,Klf2,Klf2
Myl12a,Plac8,Flna
Iqgap2,Flna,Id2
Ccnd2,S1pr5,Sh3bgrl3
Rac1,Sh3bgrl3,Plac8
Atp5h,Id2,Ppp2r5a
Arsb,Ppp2r5a,Myl12a
Commd8,Hspa8,Hspa8
Ppp3ca,Myl12a,S1pr5
Sgk1,Gimap7,Gimap7
Klf3,Atp5b,Atp5b
Atp5b,Haus8,Haus8
Picalm,Commd8,Commd8
Idh2,Rsu1,Rsu1
H3f3b,Glrx,Glrx
Tuba1a,Fam78b,Csnk2b
Smpdl3b,Csnk2b,Tuba1a
Ccnd3,Sgk1,Arsb
Txn1,Arsb,Sgk1
Itgax,Tuba1a,Sidt1
Cd69,Sidt1,Vim
Bcl11b,Vim,Supt4a
Sidt1,Supt4a,Fam78b
Aldoa,Rac1,Rac1
Supt4a,Klf3,Klf3
Glrx,Ccnd3,Ccnd3
Eif5a,Itgax,Cd69
Haus8,Cd69,Itgax
Sec61b,Runx1,Bcl11b
Apbb1ip,Bcl11b,Runx1
U2af1,Picalm,Picalm
Klf2,Ppp3ca,Ppp3ca
Pcbp1,Gars,Gars
Calm1,Eif5a,Eif5a
Rsu1,Exosc8,Sec61b
Itm2b,Sec61b,Exosc8
Rhoa,Sec61g,Sec61g
Ppp1ca,Ccnd2,Rhoa
Csnk2b,Rhoa,Ccnd2
Sh2d1a,H3f3b,H3f3b
Plaat3,Tanc1,Calm1
Runx1,Calm1,Sh2d1a
Rara,Fdps,Ezr
Gpx1,Sh2d1a,Tanc1
Sec61g,Lair1,Fdps
Gars,Ezr,U2af1
Klrk1,U2af1,Lair1
Rrm2,Rac2,Rac2
Capzb,Apbb1ip,Apbb1ip
Exosc8,Nrarp,Aldoa
Atp5mpl,Aldoa,Plaat3
Otulinl,Unc5cl,Nrarp
Mdh1,Gngt2,Gngt2
Ifi209,Plaat3,Unc5cl
Sash3,Gpx1,Gpx1
Klrd1,Rgs1,H2-D1
Ms4a6b,Plcg1,Rgs1
H2-D1,H2-D1,Plcg1
Gm2a,Pcbp1,Pcbp1
Itgb7,Txk,Capzb
Pag1,Nhsl2,Txk
Gng2,Capzb,Phf11a
Fdps,Phf11a,Nhsl2
Gzmm,As3mt,Itgb7
Sec11a,Pag1,As3mt
Fkbp4,Itgb7,Pag1
Prdx1,Gm2a,Gm2a
Txk,Fyb,Fyb
Znrf2,Rap2a,Bsg
Rasgrp2,Ms4a6b,Ms4a6b
Dok2,Sash3,Sash3
Edem1,Bsg,Rasgrp2
Gnas,Rasgrp2,Rap2a
Rgs1,Klrk1,Klrk1
Fyb,Fos,Fos
Higd1a,Cmklr1,Otulinl
Fos,Otulinl,Klrd1
Dnajc15,Klrd1,Cmklr1
Slc25a5,Plin2,Plin2
Eno1,Hexb,Hexb
B4galt1,Ifi209,Ifi209
Rac2,Txn1,Txn1
Hexb,Fam189b,Fam189b
Eef1d,Ccdc88c,Prdx1
Fam189b,Prdx1,Ccdc88c
Runx3,Fkbp4,Fkbp4
Tkt,Itm2b,Itm2b
Malt1,Rrm2,Rrm2
Sytl2,Rcn3,Selplg
Phf11a,Selplg,Rcn3
Dnajb6,Edem1,Edem1
Cdc42,Dok2,Dok2
Ccdc88c,Tesc,Gng2
Anxa1,Ldlr,Tesc
Ndufb6,Gng2,Znrf2
Fasl,B4galt1,B4galt1
Tuba4a,Znrf2,Ldlr
Ndufb11,Ppp1ca,Ppp1ca
Plcg1,Golm1,Golm1
Bsg,Lmna,Runx3
Ankrd11,Runx3,Borcs7
Golm1,Tmprss13,Lmna
Selplg,Borcs7,Ier3
Cdc34,Ier3,Cdc42
