,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Xcl1|Tnfsf10|Cd40lg|Csf1|Il21|Il2|Areg|Ccl6|Tnfsf11,Xcl1|Il21|Tnfsf10,,Tnfsf8|Tnfsf10|Wnt4|Xcl1|Cd40lg|Il2,Xcl1|Tnfsf10|Cd40lg|Il21,Xcl1|Tnfsf10|Cd40lg,Xcl1,Xcl1|Tnfsf8|Cxcl10|Tnfsf10|C1qtnf4|Tnfsf11|Il21|Lif|Areg|Tnfsf13b|Cd40lg|Csf2|Wnt3|Il2,Tnfsf10|Csf1|Il21|Cd40lg|Il2,
P3,,,,,Ltb|Clcf1|Lta|Wnt4,,,,Ltb|Xcl1|Tnfsf8|C1qtnf4|Tnfsf11|Lif|Tnfsf4|Lta|Tnfsf13b|Wnt3,Ccl5,
P4,Ccl5,,,,Ltb|Clcf1|Wnt4,,,,Ltb|Xcl1|Tnfsf8|Cxcl10|Tnfsf11|Lif|Tnfsf4|Wnt3,Ccl5|Gdf11|Clcf1,
P10,,Hmgb1|Cmtm7|Gpi1|Cxcl10|Flt3l|Nampt|Xcl1|Tnfsf8|Tnfsf9|Ccl25|Tnfsf14|Tnfsf10|Ccl27a|Grn|Il18|Csf1|Cmtm3|Osm|Il21|Il2|C1qtnf4|Areg|Ccl6|Cd70|Csf2|Tnfsf11|Lta,Hmgb1|Mif|Cmtm7|Gpi1|Nampt|Xcl1|Cxcl10|Ccl25|Flt3l|Tnfsf9|Il21|Cmtm3|Csf2|Tnfsf10|Ccl27a|Il18|Osm|Tnfsf14,,Ltb|Tnfsf8|Flt3l|Nampt|Ccl25|Tnfsf10|Cxcl10|Osm|C1qtnf4|Lta|Wnt4|Grn|Xcl1|Ccl27a|Tnfsf14|Il2,Hmgb1|Cmtm7|Gpi1|Cxcl10|Nampt|Xcl1|Flt3l|Tnfsf9|Ccl25|Tnfsf8|Tnfsf10|Tnfsf14|Ccl27a|Cmtm3|Grn|C1qtnf4|Il18|Il21|Osm,Hmgb1|Cmtm7|Gpi1|Flt3l|Nampt|Cxcl10|Xcl1|Tnfsf9|Ccl25|Tnfsf10|Ccl27a|Tnfsf8|Tnfsf14|Cmtm3|Osm|Grn|Il18|C1qtnf4,Hmgb1|Mif|Cmtm7|Gpi1|Xcl1|Nampt|Tnfsf8|Flt3l|Cxcl10|Tnfsf9|Il21|Ccl25|Tnfsf10|Il18,Gpi1|Xcl1|Tnfsf8|Cxcl10|Nampt|Flt3l|Ccl25|Tnfsf14|Tnfsf10|Tnfsf9|C1qtnf4|Grn|Tnfsf11|Il21|Cmtm3|Lif|Tnfsf4|Lta|Il18|Ccl27a|Areg|Tnfsf13b|Osm|Csf2|Wnt3|Cd70|Il2,Gpi1|Flt3l|Nampt|Tnfsf14|Ccl25|Tnfsf9|Tnfsf8|Tnfsf10|Cmtm3|Osm|Csf1|Grn|Ccl27a|C1qtnf4|Cxcl10|Il18|Il21|Ccl6|Il2,
P0,Ccl5|Ccl4|Ifng|Pglyrp1,Hmgb1|Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Cxcl10|Fasl|Xcl1|Tnfsf9|Tnfsf14|Il18|Csf1|Cmtm3|Il21|Ccl6|Cd70|Tnfsf11,Ifng|Cmtm7|Ccl5|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Il21|Cmtm3|Il18,,,Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Cxcl10|Fasl|Xcl1|Tnfsf9|Tnfsf14|Cmtm3|Il18|Il21,Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Fasl|Xcl1|Tnfsf9|Ccl27a|Cmtm3|Il18,Ccl5|Cmtm7|Ifng|Pglyrp1|Ccl3|Ccl4|Xcl1|Tnfsf9,Ifng|Pglyrp1|Xcl1|Tnfsf8|Cxcl10|Ccl4|Ccl3|Tnfsf14|Tnfsf9|Tnfsf11|Fasl|Il21|Cmtm3|Lif|Tnfsf4|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Crlf2|Fasl|Tnfsf14|Tnfsf9|Cmtm3|Csf1|Il18,
P5,Ccl5,,,,Ltb|Clcf1|Lta|Wnt4,,,,Ltb|Xcl1|Tnfsf8|Tnfsf11|Lif|Tnfsf4|Lta|Wnt3,Ccl5|Csf1,
P6,,,,,Ltb|Clcf1,,,,Xcl1|Tnfsf8|Cxcl10|C1qtnf4|Tnfsf11|Il21|Lif|Tnfsf4|Tnfsf13b|Wnt3,Ccl5|Csf1,
P2,Ccl5,,,,Ltb|Clcf1|Lta|Wnt4,,Ccl4,,Ltb|Tnfsf8|Cxcl10|Tnfsf11|Lif|Tnfsf4|Lta|Wnt3,Ccl5|Ccl4|Ccl3|Clcf1|Csf1,
P7,Ccl5,Ccl5|Fasl,Fasl,,Clcf1|Wnt4,Ccl5|Fasl,Ccl5|Ccl4|Fasl,,,Ccl5|Ccl4|Ccl3|Fasl|Csf1,
P8,,Cxcl10|Xcl1|Tnfsf11,,,Ltb|Lta|Wnt4,Cxcl10|Xcl1,Cxcl10,Xcl1,Xcl1|Tnfsf8|Cxcl10|Tnfsf11|Lif|Tnfsf4|Lta|Areg|Wnt3,,
