,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmgb1|Mif|Cmtm7|Tgfb1|Crlf2|Cklf|Cxcl10|Xcl1|Tnfsf8|Ccl25|Tnfsf14|Tnfsf10|Tnf|Cd40lg|Csf1|Il21|Il2|Areg|Ccl6|Csf2|Tnfsf11|Wnt10b,Hmgb1|Mif|Cmtm7|Cklf|Xcl1|Ccl25|Il21|Csf2|Tnfsf10|Cd40lg|Csf1,,Ltb|Il16|Cklf|Tnfsf8|Clcf1|Ccl25|Tnfsf10|C1qtnf4|Lta|Wnt4|Xcl1|Cd40lg|Il2|Wnt5b|Il15|Lefty1,Hmgb1|Mif|Cmtm7|Gpi1|Tgfb1|Crlf2|Cklf|Xcl1|Ccl25|Tnf|Tnfsf10|Cd40lg|Il21|Areg|Ccl6|Il2,Hmgb1|Mif|Cmtm7|Crlf2|Tgfb1|Cklf|Xcl1|Ccl25|Tnfsf10|Cd40lg|Csf2|Areg|Bmp8a,Hmgb1|Mif|Cmtm7|Tgfb1|Xcl1|Cklf|Il21|Tnfsf10,Mif|Ltb|Gpi1|Xcl1|Tnfsf8|Cxcl10|Crlf2|Nampt|Cklf|Ccl25|Tnfsf14|Tnf|Tnfsf10|C1qtnf4|Grn|Tnfsf11|Il21|Lif|Lta|Areg|Tnfsf13b|Cd40lg|Csf2|Wnt3|Il2|Csf1,Ccl5|Ccl3|Gpi1|Crlf2|Tgfb1|Cklf|Fasl|Tnfsf14|Ccl25|Tnfsf10|Cmtm3|Csf1|C1qtnf4|Xcl1|Il21|Cd40lg|Wnt10b|Ccl6|Il2|Tnfsf13b|Csf2,
P3,Ccl5,,Mif,,Ltb|Il16|Tnfsf8|Clcf1|Osm|C1qtnf4|Lta|Wnt4|Wnt5b|Lefty1,Mif,Mif|Ccl4|Pglyrp1|Ltb|Aimp1,Mif|Xcl1,Ltb|Gpi1|Aimp1|Xcl1|Tnfsf8|Cxcl10|Il16|Nampt|Ccl25|Tnf|C1qtnf4|Gdf11|Tnfsf11|Il21|Lif|Tnfsf4|Lta|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Gpi1|Ltb|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Cmtm3|Osm,
P4,Ccl5|Ltb,Hmgb1|Ccl5|Ccl4|Pglyrp1|Tgfb1|Crlf2|Cxcl10|Flt3l|Tnfsf14|Clcf1|Wnt10b,,,Ltb|Il16|Tnfsf8|Clcf1|Flt3l|Tnfsf10|C1qtnf4|Wnt4|Wnt5b|Il15|Lefty1,Ccl5|Pglyrp1|Tgfb1|Cxcl10,Ccl5|Ccl4|Pglyrp1|Ccl3|Ltb|Crlf2|Flt3l|Gdf11|Bmp8a,,Ltb|Gpi1|Pglyrp1|Xcl1|Tnfsf8|Cxcl10|Il16|Nampt|Tnfsf14|Tnfsf10|C1qtnf4|Gdf11|Tnfsf11|Lif|Tnfsf4|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Ltb|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Csf1|Wnt10b,
P10,Hmgb1|Gpi1,Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Cklf|Cxcl10|Flt3l|Nampt|Xcl1|Tnfsf8|Tnfsf9|Ccl25|Tnfsf14|Tnfsf10|Ccl27a|Grn|Il18|Csf1|Cmtm3|Osm|Il21|Il2|C1qtnf4|Areg|Ccl6|Cd70|Csf2|Tnfsf11|Lta|Wnt10b|Wnt4|Tnfsf13b,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Cklf|Nampt|Xcl1|Cxcl10|Ccl25|Flt3l|Tnfsf9|Tnfsf8|Il21|Cmtm3|Grn|Csf2|Tnfsf10|Ccl27a|Il18|Osm|Tnfsf14|Csf1|Lta,,Ltb|Hmgb1|Mif|Gpi1|Aimp1|Cmtm7|Tgfb1|Tnfsf8|Flt3l|Nampt|Ccl25|Tnfsf10|Cxcl10|Osm|C1qtnf4|Lta|Wnt4|Grn|Xcl1|Ccl27a|Tnfsf14|Il2|Wnt5b|Il15|Lefty1,Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Cklf|Cxcl10|Nampt|Xcl1|Flt3l|Tnfsf9|Ccl25|Tnfsf8|Tnfsf10|Tnfsf14|Ccl27a|Cmtm3|Grn|C1qtnf4|Il18|Il21|Osm|Areg|Cd70|Ccl6|Il2|Csf2,Hmgb1|Mif|Cmtm7|Pglyrp1|Gpi1|Aimp1|Tgfb1|Cklf|Flt3l|Nampt|Cxcl10|Xcl1|Tnfsf9|Ccl25|Tnfsf10|Ccl27a|Tnfsf8|Tnfsf14|Cmtm3|Osm|Grn|Il18|Csf2|Areg|C1qtnf4|Lta|Bmp8a|Il2,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Xcl1|Nampt|Tnfsf8|Flt3l|Cxcl10|Tnfsf9|Il21|Ccl25|Tnfsf10|Osm|Il18|Tnfsf14|Csf2|Ccl27a|Cd70|Cmtm3|Ebi3,Hmgb1|Mif|Ltb|Gpi1|Pglyrp1|Aimp1|Xcl1|Tnfsf8|Cmtm7|Cxcl10|Tgfb1|Nampt|Flt3l|Ccl25|Tnfsf14|Tnfsf10|Tnfsf9|C1qtnf4|Grn|Tnfsf11|Il21|Cmtm3|Lif|Tnfsf4|Lta|Il18|Ccl27a|Areg|Tnfsf13b|Osm|Csf2|Wnt3|Cd70|Il2|Csf1,Ccl4|Hmgb1|Ccl3|Mif|Pglyrp1|Gpi1|Cmtm7|Aimp1|Tgfb1|Cklf|Flt3l|Nampt|Tnfsf14|Ccl25|Tnfsf9|Tnfsf8|Tnfsf10|Cmtm3|Osm|Csf1|Grn|Ccl27a|C1qtnf4|Xcl1|Cxcl10|Il18|Il21|Wnt10b|Ccl6|Il2|Tnfsf13b|Csf2|Spp1,
P0,Ccl5|Ccl4|Ifng|Pglyrp1,Hmgb1|Ccl5|Ifng|Mif|Cmtm7|Ccl4|Gpi1|Pglyrp1|Ccl3|Aimp1|Tgfb1|Crlf2|Cklf|Cxcl10|Fasl|Nampt|Xcl1|Tnfsf9|Tnfsf14|Ccl27a|Cd40lg|Il18|Csf1|Cmtm3|Il21|Areg|Ccl6|Cd70|Csf2|Tnfsf11,Hmgb1|Mif|Ifng|Cmtm7|Ccl5|Gpi1|Ccl4|Pglyrp1|Ccl3|Aimp1|Crlf2|Fasl|Xcl1|Tnfsf9|Il21|Cmtm3|Csf2|Il18|Csf1,,,Hmgb1|Mif|Ccl5|Ifng|Cmtm7|Gpi1|Ccl4|Pglyrp1|Ccl3|Aimp1|Tgfb1|Crlf2|Cxcl10|Fasl|Nampt|Xcl1|Tnfsf9|Tnfsf14|Cmtm3|Il18|Il21|Areg|Ccl6,Hmgb1|Ccl5|Mif|Ifng|Ccl4|Cmtm7|Pglyrp1|Ccl3|Gpi1|Aimp1|Crlf2|Tgfb1|Cklf|Fasl|Nampt|Cxcl10|Xcl1|Tnfsf9|Ccl27a|Tnfsf14|Cmtm3|Il18|Csf2|Areg|Bmp8a,Hmgb1|Mif|Ccl5|Cmtm7|Gpi1|Ifng|Aimp1|Pglyrp1|Tgfb1|Ccl3|Ccl4|Xcl1|Nampt|Tnfsf9|Fasl|Il21|Il18,Hmgb1|Mif|Ifng|Gpi1|Pglyrp1|Ccl5|Aimp1|Xcl1|Tnfsf8|Cmtm7|Cxcl10|Crlf2|Ccl4|Ccl3|Nampt|Tnfsf14|Tnf|Tnfsf9|Grn|Gdf11|Tnfsf11|Fasl|Il21|Cmtm3|Lif|Tnfsf4|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70|Csf1,Ccl5|Ccl4|Hmgb1|Ifng|Ccl3|Pglyrp1|Gpi1|Cmtm7|Aimp1|Crlf2|Tgfb1|Fasl|Flt3l|Tnfsf14|Tnfsf9|Gdf11|Cmtm3|Csf1|Ccl27a|Il18|Il21|Wnt10b|Ccl6,
P5,Ccl5,Hmgb1|Ccl5|Crlf2|Cklf|Flt3l|Ccl27a|Csf1|Tnfsf11|Wnt10b,,,Ltb|Il16|Tnfsf8|Clcf1|Tnfsf10|Osm|Lta|Wnt4|Wnt5b|Il15,,Ccl5|Ccl4|Pglyrp1|Ltb,,Ltb|Gpi1|Aimp1|Xcl1|Tnfsf8|Cxcl10|Il16|Nampt|Ccl25|Tnfsf14|Tnf|C1qtnf4|Grn|Tnfsf11|Lif|Tnfsf4|Lta|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Ltb|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Cmtm3|Osm|Csf1|Wnt10b,
P6,,Hmgb1|Tgfb1|Cxcl10|Tnfsf8|Csf1|Tnfsf11,Mif,,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,Mif|Gpi1|Cxcl10,,Mif|Xcl1,Ltb|Gpi1|Xcl1|Tnfsf8|Cxcl10|Il16|Nampt|Tnfsf14|Tnf|C1qtnf4|Grn|Tnfsf11|Il21|Lif|Tnfsf4|Lta|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Gpi1|Crlf2|Fasl|Tnfsf14|Gdf11|Clcf1|Csf1,
P2,Ccl5|Ccl4,Hmgb1|Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Crlf2|Cklf|Cxcl10|Fasl|Flt3l|Tnfsf14|Ccl27a|Clcf1|Csf1,Ifng|Cklf,,Ltb|Il16|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b|Lefty1,Hmgb1|Ifng|Ccl4|Pglyrp1|Ccl3|Crlf2|Cklf|Cxcl10|Fasl|Clcf1,Ccl5|Ifng|Ccl4|Pglyrp1|Ccl3|Ltb|Crlf2|Cklf|Fasl|Flt3l|Bmp8a,,Ltb|Ifng|Pglyrp1|Xcl1|Tnfsf8|Cxcl10|Crlf2|Il16|Ccl25|Tnfsf14|C1qtnf4|Tnfsf11|Cmtm3|Lif|Tnfsf4|Lta|Areg|Clcf1|Wnt3,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Ltb|Crlf2|Cklf|Il16|Fasl|Flt3l|Tnfsf14|Clcf1|Cmtm3|Csf1,
P7,Ccl5|Ccl4,Hmgb1|Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Crlf2|Cklf|Fasl|Flt3l|Ccl27a|Cd40lg|Csf1,Hmgb1|Mif|Ifng|Cmtm7|Ccl5|Ccl4|Ccl3|Cklf|Fasl,,Ltb|Il16|Clcf1|Osm|Wnt4|Wnt5b|Lefty1,Hmgb1|Mif|Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Cklf|Fasl,Hmgb1|Ccl5|Ifng|Ccl4|Cmtm7|Pglyrp1|Ccl3|Tgfb1|Cklf|Fasl,Hmgb1|Mif|Ccl5|Cmtm7|Tgfb1,,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Cmtm7|Crlf2|Tgfb1|Cklf|Fasl|Flt3l|Clcf1|Osm|Csf1,
P8,,Hmgb1|Mif|Cmtm7|Tgfb1|Cklf|Cxcl10|Xcl1|Cd40lg|Areg|Tnfsf11,Hmgb1|Mif|Cmtm7|Cxcl10,,Ltb|Il16|Tnfsf8|Clcf1|Cxcl10|Lta|Wnt4|Wnt5b|Lefty1,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Xcl1,Hmgb1|Mif|Cmtm7|Cxcl10|Xcl1,Hmgb1|Mif|Cmtm7|Xcl1,Mif|Ltb|Aimp1|Xcl1|Tnfsf8|Cxcl10|Il16|Nampt|Tnf|C1qtnf4|Tnfsf11|Lif|Tnfsf4|Lta|Areg|Wnt3,,
