,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
0,,Tnfrsf1b,Il2rb,,Il17ra,Tnfrsf1b,Tnfrsf1b,Tnfrsf9,Cd83,Siglecf,
1,,L1cam,Nrp1,,Tnfrsf10b,Cd48,Cd48,Tnfrsf4,Icos,Tnfrsf18,
2,,Cd48,Cd48,,Fgfr1,Thy1,Ptprcap,Il2ra,Il23r,Cd48,
3,,Ptprcap,Rae1,,Art4,Itga4,Itga4,Bsg,Cd200,L1cam,
4,,Itga4,Ctla4,,Il6ra,Havcr2,Havcr2,,Cd68,Lilrb4a,
5,,Havcr2,Havcr2,,Cd84,Icos,Icos,,Fas,Icos,
6,,Icos,Il2ra,,Itpr3,Il2ra,Thy1,,Il18r1,Klrb1b,
7,,Thy1,Cd28,,Klrd1,Ggt1,Il2ra,,Epcam,Cd3e,
8,,Il2ra,Lgals3,,Cd96,Tnfrsf21,Ggt1,,Lag3,Ccr5,
9,,Ggt1,Ggt1,,Abcg2,Il2rb,Hmmr,,Ly96,Klrd1,
10,,Hmmr,Hmmr,,Ccr7,Itgb7,Spn,,Cd274,Cd96,
11,,Spn,Tnfrsf9,,Vsir,Cxcr6,Ccr5,,Izumo1r,Il18r1,
12,,Ccr5,Itgb1,,Il6st,Itgb1,Il2rb,,Ighm,Fcgr2b,
13,,Il18rap,Pdcd1,,Sell,Epcam,Il18r1,,Lamp2,Cd160,
14,,Cd68,Cxcr3,,Dpp4,Ctla4,Icam1,,Cd3d,Cxcr6,
15,,Alcam,Ifngr1,,Pecam1,Lair1,Itgb7,,Slamf7,Cd247,
16,,Cd5,Bsg,,Ccr9,Cd28,Klrk1,,Klrc1,Slamf1,
17,,Il2rb,,,Cd7,Tnfrsf9,Itgax,,Tnfsf13b,Lag3,
18,,Il3ra,,,Ighd,Itgb2,Cxcr6,,Pdcd1,Il12rb1,
19,,Il18r1,,,Cd46,Klrc1,Itgb1,,Bst2,Igf2r,
20,,Itgb7,,,Insr,Ifngr1,Ccr2,,Il2rg,Cd3d,
21,,Klrk1,,,Ifngr2,Nrp1,Cx3cr1,,Tnfsf4,Lamp2,
22,,Itgax,,,Pdgfrb,Itgam,Fasl,,Klrk1,Slamf7,
23,,Slc3a2,,,Tlr1,Cd47,Ctla4,,Dpp4,Ifngr1,
24,,Ptprj,,,Il7r,Ly6a,Cd28,,Pecam1,Klrc1,
25,,Tnfsf9,,,Ly75,Lgals3,Tnfrsf9,,Slc3a2,Klra3,
26,,Itgb1,,,Ly6d,Igsf8,Selplg,,Pdcd1lg2,Cd47,
27,,Cd82,,,Ly6c1,Pdcd1,Ly6e,,Trbc1,Sema7a,
28,,Cd244a,,,Itga5,Tfrc,Slamf7,,Tnfrsf25,Adam8,
29,,Slamf1,,,Cd37,Bsg,Cxcr3,,Btla,Pdcd1,
30,,Lag3,,,Tlr6,,Itgb2,,Itgb1,Tigit,
31,,Cd44,,,Itgae,,Klrc1,,Il1rl1,Alcam,
32,,Ccr2,,,Notch1,,Ifngr1,,Ccr6,Il2rb,
33,,Il12rb1,,,Il21r,,Nrp1,,Cxcr5,Klrb1c,
34,,Cx3cr1,,,Cd72,,Itgam,,Cd72,Klrk1,
35,,Fasl,,,Ighm,,Cd47,,Ptprc,Slc3a2,
36,,Cd40lg,,,Cd53,,Ly6a,,Plxnc1,Cd80,
37,,Ctla4,,,Tnfrsf12a,,Sema7a,,Slamf6,Il1rl1,
38,,Cd226,,,S1pr1,,Tnfrsf13c,,Cd9,Cx3cr1,
39,,Cd28,,,Cd8b1,,Adam8,,Cd22,Selplg,
40,,Sema4d,,,Treml2,,Lgals3,,Nt5e,Itgav,
41,,Tnfrsf9,,,Igf1r,,Cd9,,Nrp1,Ptprc,
42,,Selplg,,,Cd3g,,Pdcd1,,Tnfrsf1b,Tnfrsf1b,
43,,Cd69,,,Cd8a,,Bsg,,Bsg,Cd38,
44,,Ly6e,,,Cebpb,,,,Lgals9,Thy1,
45,,Slamf7,,,Ly6k,,,,Cd5,Havcr2,
46,,Cxcr3,,,Eng,,,,Jaml,Il18rap,
47,,Itgb2,,,Cd55,,,,Tnfsf8,Jaml,
48,,Ptprc,,,Il4ra,,,,Cd82,Itgax,
49,,Klrc1,,,Il2rg,,,,Cd28,Cd86,
50,,Ifngr1,,,Plaur,,,,Cxcr3,Cd82,
51,,Cxcr4,,,,,,,Cd6,Fasl,
52,,Nrp1,,,,,,,Tnf,Cxcr3,
53,,Itgam,,,,,,,Cxcr4,Klrc2,
54,,Klrc2,,,,,,,Klrc2,Itga1,
55,,Cd47,,,,,,,Crtam,Lgals3,
56,,Ly6a,,,,,,,Tnfsf11,Cd2,
57,,Sema7a,,,,,,,Ptprcap,Ptprcap,
58,,Itga1,,,,,,,Itga4,Itga4,
59,,Adam17,,,,,,,Kit,Igkc,
60,,Lgals3,,,,,,,Lamp1,Atp1b3,
61,,Icam2,,,,,,,Il3ra,Spn,
62,,Cd9,,,,,,,Tnfsf14,Itga2,
63,,Igsf8,,,,,,,Ptprj,Adam10,
64,,Itgal,,,,,,,Cd27,Tnfsf14,
65,,Ifitm1,,,,,,,Cd44,Klrg1,
66,,Pdcd1,,,,,,,Ctla4,Cd27,
67,,Adgre5,,,,,,,Icam4,Cd44,
68,,Cd2,,,,,,,Tnfrsf13b,Cd37,
69,,Bsg,,,,,,,Tnfrsf23,Ccr2,
