,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5264027,-0.39763057231903076,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.9197577,0.16973495483398438,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.4869004,-1.5459785461425781,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.54989386,0.5468264818191528,True
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.7028974,0.003649115562438965,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.714048,-8.734941482543945,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.46103895,0.2427971363067627,True
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0196172,-0.3754528760910034,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003836487,-2.669813394546509,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.6001205,-7.265054702758789,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07628902,-0.35590052604675293,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.10798965,0.933291919529438,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.3340106,-0.9928804636001587,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,69.17925,-0.6386040449142456,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.24794826,-0.32552123069763184,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.38403374,-1.2731187343597412,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.04831594,-4.466965198516846,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,0.9426615,0.023297250270843506,True
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.6998277,-0.17866957187652588,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.19198696,-0.0968468189239502,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.91235995,-2.8001062870025635,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.8726671,-0.505102276802063,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.017128,0.011418402194976807,True
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.9991705,0.546564906835556,True
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.79107124,-1.5230293273925781,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.3731391,-1.8529903888702393,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.6314049,-0.8755557537078857,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.0,0.0,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.7256721,0.022983193397521973,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,2.0444696,-0.8340888023376465,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,2.2633276,-2.1985557079315186,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07040216,-0.717719554901123,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,2.3806462,-1.804274559020996,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,15.232528,0.43490296602249146,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.5851357,-0.6184365749359131,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.584841,-0.6537884473800659,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.4099941,0.7966857403516769,True
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,2.111755,-1.004746675491333,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.30403888,-2.7045061588287354,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.012077146,0.038495659828186035,True
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7296735,-0.6167885065078735,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.737232,-1.2648203372955322,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,5.0837917,-5.407656192779541,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.9430521,0.7039237916469574,True
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.4912941,0.19016051292419434,True
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.27814057,-0.991608738899231,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.0045342,-0.770795464515686,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.5549427,0.32826316356658936,True
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.83779585,-0.9669568538665771,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.2500077,-1.6517906188964844,False
