gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,-1.0052905,6.464438274039841e-37,-12.925033,-1.0052905,9.382199419255075e-38,-13.513216,-1.0052905,7.3077737749179825e-25,-10.746867,-0.04376965
Lypla1,-0.11435412,4.108092469653675e-09,-6.0980144,-0.11435412,0.3393039331495922,-1.1708195,-0.11435412,0.5181668397697275,-0.97810906,0.0053682253
Gm37988,-19.795372,1.0,-0.11120071,-19.795372,0.008989506173911808,-2.9087563,-19.795372,0.35932766707647446,-1.2919282,-0.00044208395
Tcea1,-0.23478939,2.674525941369377e-07,-5.367591,-0.23478939,0.011308292922321541,-2.832739,-0.23478939,0.048949483680743915,-2.3679895,0.003508514
Rgs20,,,,,,,,,,
Atp6v1h,-0.17358974,3.9966640860367716e-10,-6.4721274,-0.17358974,0.11878164159416821,-1.834925,-0.17358974,0.26092829797146544,-1.511927,-0.000720284
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,0.6345675,0.00013716993855913555,4.045506,0.6345675,3.0675894650979093e-12,7.314615,0.6345675,6.5777403092487074e-09,6.1655927,0.036929063
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,0.26826495,0.1228163220366571,-1.835278,0.26826495,0.042091838128916016,2.3236382,0.26826495,0.12593932098443536,1.9264753,-0.01688521
Sntg1,,,,,,,,,,
Rrs1,-1.1019609,2.970973709318808e-30,-11.660149,-1.1019609,3.1830137836416107e-22,-10.111126,-1.1019609,3.262404805799101e-13,-7.654689,-0.027747886
Adhfe1,0.14905968,1.0,-0.049740437,0.14905968,0.9596810892558109,0.092763744,0.14905968,0.972298182797882,0.07753101,-0.00030740356
Vxn,,,,,,,,,,
Mybl1,-0.6185763,0.18834431363151258,-1.6181749,-0.6185763,0.2684639447733948,-1.3378549,-0.6185763,0.4333362362613526,-1.143066,-0.0009191194
Vcpip1,-0.026135672,5.0979238113779804e-08,-5.668248,-0.026135672,0.8755168500614274,-0.22803934,-0.026135672,0.9079760310467431,-0.18980958,0.015114368
Sgk3,-1.9306582,8.125901301940794e-06,-4.6890163,-1.9306582,9.684794053651352e-18,-8.903871,-1.9306582,1.1484351191655587e-07,-5.6688976,-0.0068985457
