"","file","2020_mouse_CD8","CD4","CD8","Exp391_CD8","Wolski_curated_CD8"
"1","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_0h_vs_KO_24h.csv","yes","yes","yes","yes",""
"2","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_0h_vs_KO_48h.csv","yes","yes","yes","yes",""
"3","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_0h_vs_KO_6h.csv","yes","yes","yes","yes",""
"4","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_24h_vs_KO_0h.csv","yes","yes","yes","yes",""
"5","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_24h_vs_KO_48h.csv","yes","yes","yes","yes",""
"6","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_24h_vs_KO_6h.csv","yes","yes","yes","yes",""
"7","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_48h_vs_KO_0h.csv","yes","yes","yes","yes",""
"8","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_48h_vs_KO_24h.csv","yes","yes","yes","yes",""
"9","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_48h_vs_KO_6h.csv","yes","yes","yes","yes",""
"10","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_6h_vs_KO_0h.csv","yes","yes","yes","yes",""
"11","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_6h_vs_KO_24h.csv","yes","yes","yes","yes",""
"12","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/KO_6h_vs_KO_48h.csv","yes","yes","yes","yes",""
"13","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_0h_vs_KO_0h.csv","yes","yes","yes","yes",""
"14","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_0h_vs_WT_24h.csv","yes","yes","yes","yes",""
"15","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_0h_vs_WT_48h.csv","yes","yes","yes","yes",""
"16","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_0h_vs_WT_6h.csv","yes","yes","yes","yes",""
"17","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_24h_vs_KO_24h.csv","yes","yes","yes","yes",""
"18","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_24h_vs_WT_0h.csv","yes","yes","yes","yes",""
"19","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_24h_vs_WT_48h.csv","yes","yes","yes","yes",""
"20","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_24h_vs_WT_6h.csv","yes","yes","yes","yes",""
"21","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_48h_vs_KO_48h.csv","yes","yes","yes","yes",""
"22","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_48h_vs_WT_0h.csv","yes","yes","yes","yes",""
"23","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_48h_vs_WT_24h.csv","yes","yes","yes","yes",""
"24","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_48h_vs_WT_6h.csv","yes","yes","yes","yes",""
"25","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_6h_vs_KO_6h.csv","yes","yes","yes","yes",""
"26","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_6h_vs_WT_0h.csv","yes","yes","yes","yes",""
"27","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_6h_vs_WT_24h.csv","yes","yes","yes","yes",""
"28","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/2_IL2RAKO_Nascent/3_DEseq2/WT_6h_vs_WT_48h.csv","yes","yes","yes","yes",""
