,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
0,Tnfrsf18,Cd164,Tnfrsf1b,Il17ra,Fgfr1,Cd48,Cd48,Cd70,Cd160,Lag3,Tnfrsf10b
1,Cd48,Cd48,Cd48,L1cam,Art4,Rae1,Rae1,Cd48,Tnfsf8,Havcr2,Il6ra
2,Lilrb4a,Rae1,Rae1,Cd48,Il6ra,Thy1,Ptprcap,Rae1,Dpp4,,Ccr7
3,Icos,Ptprcap,Itga4,Thy1,Cd84,Havcr2,Itga4,Havcr2,Crtam,,Il6st
4,Cd3e,Itga4,Havcr2,Itga4,Itpr3,Il2ra,Havcr2,Tfrc,Ctla4,,Tnfsf8
5,Ccr5,Havcr2,Icos,Atp1b3,Cd3e,Ggt1,Icos,Il2ra,Ly6a,,Dpp4
6,Klrd1,Icos,Tfrc,Cd84,Cd96,Tnfrsf21,Thy1,Ggt1,Slamf6,,Sell
7,Fas,Thy1,Il2ra,Cd3e,Abcg2,Il2rb,Il2ra,Hmmr,Cd28,,Pecam1
8,Cd96,Il2ra,Ggt1,Spn,Ccr7,Il3ra,Ggt1,Lepr,Cd9,,Cd7
9,Il18r1,Ggt1,Hmmr,Klrd1,Il6st,Itgb7,Hmmr,Tnfrsf21,Itgb1,,Ifngr2
10,Fcgr2b,Hmmr,Alcam,Il18rap,Tnfsf8,Pdcd1lg2,Ccr5,Csf2ra,Cd69,,Tlr1
11,Cd7,Spn,Il2rb,Cd96,Dpp4,Tnfsf9,Lgals9,Plxnb2,Ly6e,,Il7r
12,Cxcr6,Ccr5,Itgb7,Klrb1c,Sell,Cd244a,Alcam,Clec12a,Ighm,,Cxcr5
13,Cd247,Cd68,Tnfsf9,Il18r1,Ccr9,Lag3,Il2rb,Alcam,Cxcr3,,Itga6
14,Slamf1,Alcam,Lag3,Vsir,Pecam1,Il12rb1,Il3ra,Lamp1,,,Cd274
15,Ly96,Cd5,Ctla4,Fcgr2b,Cd7,Ctla4,Itga2,Il2rb,,,Izumo1r
16,Cd226,Il2rb,Cd24a,Icam1,Trbc1,Lair1,Itgb7,Abcg2,,,Il21r
17,Igf2r,Il3ra,Cd28,Klrk1,Ighd,Cd24a,Klrk1,Il1r2,,,Cd69
18,Cd274,Itgb7,Sema4d,Itgax,Cd46,Cd28,Tnfsf9,Pdcd1lg2,,,Cd72
19,Cd3d,Klrk1,Tnfrsf9,Klrg1,Insr,Sema4d,Cd244a,Ptprj,,,Cd53
20,Slamf7,Adam10,Ly6e,Tnfrsf25,Ifngr2,Tnfrsf9,Lag3,Tnfsf9,,,Ighm
21,Ifngr1,Klrg1,Slamf7,Cd80,Btla,Ly6e,Il12rb1,Nectin2,,,Il2rg
22,Klrc1,Ptprj,Cxcr3,Cd247,Pdgfrb,Tnf,Ctla4,Epcam,,,Tnfrsf12a
23,Cd47,Slamf1,Ifngr1,Itgb1,Tlr1,Itgam,Cd24a,Lag3,,,S1pr1
24,Adam8,Lag3,Cxcr4,Cd82,Il7r,Cd47,Sema4d,Il12rb1,,,Cxcr4
25,Tnfsf10,Cd44,Plxnc1,Notch3,Ly75,Ly6a,Tnfrsf9,Cd24a,,,Slamf6
26,Bst2,Il12rb1,Cd47,Klra9,Cd27,Sema7a,Ly6e,Icam4,,,Treml2
27,Il2rg,Ctla4,Ly6a,Cd37,Ly6d,Lgals3,Entpd1,Sema4d,,,Igf1r
28,Alcam,Cd28,Sema7a,Ccr2,Ly6c1,Igsf8,Slamf7,Cd320,,,Cebpb
29,Icam1,Sema4d,Tnfrsf13c,Cx3cr1,Cd37,Cd9,Cxcr3,Tnfrsf9,,,Nt5e
30,Klrk1,Tnfrsf9,Adam17,Fasl,Itgae,Pdcd1,Tnf,Bst1,,,Bst2
31,Dpp4,Selplg,Lgals3,Cd226,Notch1,Cd160,Itgam,Cxcr3,,,Cd55
32,Pecam1,Il21r,Igsf8,Trdv2-2,Il21r,Tfrc,Cd47,Tnfrsf4,,,Il4ra
33,Slc3a2,Cd69,Cd9,Lair1,Cd72,Bsg,Il10ra,Tnf,,,Klra6
34,Cd101,Ly6e,Pdcd1,Tnfrsf13b,Ighm,,Ly6a,Cxcr4,,,
35,Tnfrsf25,Entpd1,Cd160,Selplg,Cd3d,,Tnfrsf13c,Ly6a,,,
36,Cd80,Slamf7,Bst2,Slamf7,S1pr1,,Sema7a,Sema7a,,,
37,Itgb1,Cxcr3,Cd79b,Itgb2,Slamf6,,Lgals3,Slamf6,,,
38,Abcb1a,Itgb2,Bsg,Ptprc,Treml2,,Adam8,Tnfrsf13c,,,
39,Itga6,Klrc1,,Cd6,Igf1r,,Cd9,Lgals3,,,
40,Selplg,Ifngr1,,Klrc1,Cd3g,,Ifitm1,Igsf8,,,
41,Itgav,Cxcr4,,Ifngr1,Cd8a,,Pdcd1,Cd9,,,
42,Ptprc,Klrc2,,Itgam,Ly6k,,Cd160,Cd22,,,
43,Pvr,Cd47,,Klra3,Eng,,Cd79b,Cebpb,,,
44,Cd8a,Ly6a,,Klrc2,Cd55,,Bsg,Pdcd1,,,
45,Cd55,Sema7a,,Crtam,Il4ra,,,Cd160,,,
46,Nrp1,Adam8,,Itga1,Plaur,,,Cd81,,,
47,Tnfrsf1b,Adam17,,Icosl,,,,Bst2,,,
48,Cd164,Lgals3,,Adam17,,,,Tnfrsf8,,,
49,Cd38,Icam2,,Cd8b1,,,,Bsg,,,
50,Thy1,Pdcd1,,Itgal,,,,,,,
51,Cd84,Cd160,,Cd8a,,,,,,,
52,Lgals9,Cd2,,Cd52,,,,,,,
53,Il18rap,Bsg,,Adgre5,,,,,,,
54,Cd5,,,Notch2,,,,,,,
55,Jaml,,,Cd2,,,,,,,
56,Itgax,,,Il2rg,,,,,,,
57,Cd86,,,Nrp1,,,,,,,
58,Cd82,,,,,,,,,,
59,Fasl,,,,,,,,,,
60,Cd28,,,,,,,,,,
61,Cxcr3,,,,,,,,,,
62,Cd6,,,,,,,,,,
63,Klrc2,,,,,,,,,,
64,Crtam,,,,,,,,,,
65,Itga1,,,,,,,,,,
66,Cd2,,,,,,,,,,
67,Ptprcap,,,,,,,,,,
68,Itga4,,,,,,,,,,
69,Igkc,,,,,,,,,,
70,Ifnar1,,,,,,,,,,
71,Spn,,,,,,,,,,
72,Lamp1,,,,,,,,,,
73,Vsir,,,,,,,,,,
74,Tnfsf14,,,,,,,,,,
75,Ptprj,,,,,,,,,,
76,Il7r,,,,,,,,,,
77,Cd27,,,,,,,,,,
78,Cd44,,,,,,,,,,
79,Cd37,,,,,,,,,,
80,Ccr2,,,,,,,,,,
81,Ctla4,,,,,,,,,,
82,Sema4d,,,,,,,,,,
83,Cd69,,,,,,,,,,
84,Il10rb,,,,,,,,,,
85,Entpd1,,,,,,,,,,
86,Cd53,,,,,,,,,,
87,Ly6e,,,,,,,,,,
88,Itgb2,,,,,,,,,,
89,Il10ra,,,,,,,,,,
90,Ly6a,,,,,,,,,,
91,Itgal,,,,,,,,,,
92,Cd8b1,,,,,,,,,,
