,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmmr|Tnfrsf9|Cd24a|Cd244a|Trgv2|Cd81|Ly6g,Hmmr|Tnfrsf9|Tnfrsf13c|Cd24a|Ccr9|Cd244a|Clec12a|Trgv2|Csf2ra|Cd81|Tnfrsf21|Cd22|Pir|Plxnb2,Cx3cr1|Klrg1|Klrb1c|Klra3|Klra9|Icosl|Notch3,Sell|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Eng|Ighd|Art4|Ly6k|Plaur|Izumo1r|Ly6d|Cd81|Fgfr1|Itga5|Pdgfrb,Hmmr|Tnfrsf9|Cd24a|Cd244a|Lepr|Trgv2|Tnfrsf21|Tnfrsf8|Cd81|Ly6g,Hmmr|Tnfrsf9|Tnfrsf13c|Cd24a|Ccr9|Cd244a|Cd81|Cdh5,Hmmr|Tnfrsf9|Il2ra|Tfrc|Cd24a|Tnfrsf13c|Tnfrsf4|Lepr|Ccr9|Epcam|Clec12a|Cd81|Csf2ra|Cd244a|Tnfrsf8|Tnfrsf21|Cd22|Trgv2|Plxnb2|Cd70|Tlr2|Bst1|Icam4|Cd83|Il13ra1|Tnfsf12|Sdc1|Ly6g|Nectin2,Cd9|Ccr7|Tnfsf8|Sell|Hmmr|Treml2|Cd200,Lag3|Havcr2,Sell|Ccr7|Il4ra|Cxcr4|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Ifngr2|Ccr9|Tlr1|Igf1r|Klra6|Ly6k|Eng|Cxcr5
P3,Il7r|Tnfrsf25|Klrb1c|Tlr1|Itga3,,Clec12a,Il18rap|Cx3cr1|Klrb1c|Fcgr2b|Tnfrsf25|Klra9|Notch3,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Plaur|Cd46|Ly6d|Ly6c1|Tnfrsf14|Fgfr1|Pirb|Itga5|Pdgfrb,Tnfrsf8,,Tnfrsf4|Clec12a|Tnfrsf8|Tnfrsf21|Pirb|Cd14|Il1r2|Tlr2|Sirpa|Tnfsf12|Itga3|Nectin2,Ighm|Il7r|Crtam|Ccr7|Tnfsf8|Sell|Btla|Tnfrsf25|Treml2|Tlr1|Cd200|Cxcr5,Lag3|Havcr2,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Ccr9|Tlr1|Igf1r|Insr|Klra6|Tnfrsf10b|Eng|Cxcr5|Tnfrsf14|Plaur
P4,Ccr2|Itga1|Cd86|Tnfrsf25|Fcgr2b|Insr,Izumo1r,,Klrd1|Il18rap|Cx3cr1|Klrg1|Klrb1c|Itga1|Fcgr2b|Tnfrsf25|Klra3|Klra9|Notch3|Klra8,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Plaur|Izumo1r|Ly6d|Ly6c1|Cd200r1|Fgfr1|Itga5|Pdgfrb|Art1,,Notch4,Tnfrsf8|Izumo1r|Notch4,Il7r|Crtam|Ccr7|Tnfsf8|Tnfrsf25|Treml2|Tlr1|Cd200|Cxcr5,Lag3|Havcr2,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5|Tnfrsf14
P10,Ly6e|Cxcr3|Ctla4|Il7r|Cd55|Ggt1|Cd79b|Cd101|Ccr7|Tlr1|Pdcd1lg2|Ddr1|Epcam|Treml2|Tnfrsf10b|Fcgr3|Cxcr5,Ly6e|Hmmr|Cxcr3|Ctla4|Ggt1|Tnfrsf9|Lag3|Il3ra|Cd79b|Ifitm1|Sema7a|Cd24a|Ccr7|Pdcd1lg2|Epcam|Csf2ra|Lepr|Treml2|Fcgr3|Ccr1|Ly6g|Cxcr5,Hmmr|Cxcr3|Ctla4|Ggt1|Tnfrsf9|Il2ra|Pdcd1|Tfrc|Cd79b|Tnfrsf13c|Tnf|Sema7a|Ifitm1|Cd24a|Sell|Ccr9|Ccr7|Tnfrsf4|Cd244a|Pdcd1lg2|Epcam|Ly6k|Clec12a|Trgv2|Csf2ra|Tnfrsf21|Lepr|Cd22|Treml2|Il1r2|Pir|Icam4|Tnfsf13b,,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Cd7|Pecam1|Treml2|Itgae|Cd55|Cd72|Tnfsf8|Ifngr2|Tlr1|Ggt1|Cd79b|Igf1r|Insr|Eng|Ighd|Art4|Ly6k|Plaur|Izumo1r|Tnfrsf10b|Ly6d|Tlr6|Ly6c1|Cd81|Csf2ra|Cxcr5|Fgfr1|Itga5|Pdgfrb|Cr2,Ctla4|Hmmr|Ggt1|Tnfrsf9|Tfrc|Il2ra|Pdcd1|Tnf|Cd79b|Sema7a|Cd24a|Ifitm1|Pdcd1lg2|Cd244a|Epcam|Tnfrsf4|Ccr7|Lepr|Csf2ra|Tnfrsf21|Treml2|Tnfrsf10b|Pir|Ly6g,Ly6a|Ly6e|Cxcr3|Hmmr|Ctla4|Ggt1|Tnfrsf9|Lag3|Il2ra|Pdcd1|Cd79b|Tnfrsf13c|Tnf|Ifitm1|Sema7a|Il3ra|Cd24a|Ccr9|Cd244a|Pdcd1lg2|Ccr7|Epcam|Treml2|Clec12a|Cd81|Csf2ra|Tnfrsf10b|Ccr1|Il1r2|Cxcr5|Cdh5|Pir,Cxcr3|Hmmr|Tnfrsf9|Il2ra|Tfrc|Ggt1|Pdcd1|Cd24a|Tnf|Cd320|Cd79b|Sema7a|Tnfrsf13c|Sell|Tnfrsf4|Ccr7|Lepr|Pdcd1lg2|Ccr9|Epcam|Clec12a|Cd81|Csf2ra|Cd244a|Treml2|Tnfrsf8|Tnfrsf21|Cd22|Fcgr3|Ly86|Pirb|Cd200|Cd14|Il1r2|Plxnb2|Ccr1|Tnfrsf10b|Cd70|Tlr2|Izumo1r|Bst1|Icam4|Cd83|Il13ra1|Tnfsf12|Pir|Tnfsf11|Fut4|Tnfsf13b|Sdc1|Ly6g|Nectin2,Ly6e|Ly6a|Ighm|Slamf6|Ctla4|Cxcr3|Cd9|Il7r|Ccr7|Tnfsf8|Cd7|Pecam1|Sell|Lag3|Cd72|Pdcd1|Btla|Plxnc1|Hmmr|Ggt1|Tnf|Tnfrsf9|Il6st|Il3ra|Treml2|Tlr1|Cd200|Cxcr5|Epcam,Lag3|Havcr2,Sell|Ccr7|Il7r|Bst2|Ighm|Slamf6|Il4ra|Cxcr4|Il6ra|Cd7|Treml2|Pecam1|Cd55|Il6st|Tnfsf8|Ggt1|Izumo1r|Ifngr2|Ccr9|Cd79b|Tlr1|Igf1r|Insr|Klra6|Ly6k|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5|Cd22
P0,Itga4|Ly6a|Cd28|Cd48|Itgb1|Ifngr1|Il18r1|Ccr2|Cxcr6|Lgals3|Itgal|Klrk1|Klrc1|Cxcr3|Il18rap|Icos|Klrc2|Il2rb|Ccr5|Ctla4|Itgax|Slamf7|Cd44|Klrg1|Igkc|Fasl|Cx3cr1|Itga1|Havcr2|Slamf1|Nrp1|Lag3|Alcam|Itgam|Il10ra|Ptprj|Fcgr2b|Adam8|Il2ra|Klrb1c|Lilrb4a|Cd38|Entpd1|Tnfsf14|Pdcd1|L1cam|Cd80|Tnfsf9|Ly96|Itga2|Sema7a|Ifitm1|Klra3|Tigit|Pdcd1lg2|Il1rl1|Ccr3,Cd48|Ly6a|Lgals3|Itga4|Cd28|Ifngr1|Hmmr|Il2rb|Klrk1|Itgb1|Klrc1|Cxcr3|Ccr5|Il18r1|Ccr2|Icos|Slamf7|Klrc2|Ctla4|Klrg1|Il18rap|Cd44|Havcr2|Itgax|Tnfrsf9|Fasl|Cx3cr1|Lag3|Igkc|Alcam|Slamf1|Il2ra|Itgam|Pdcd1|Il12rb1|Itga1|Cd68|Il10ra|Ptprj|Il3ra|Entpd1|Adam8|Ifitm1|Nrp1|Sema7a|Tnfrsf13c|L1cam|Tnfsf9|Cd38|Itga2|Cd24a|Tnfsf14|Fcgr2b|Cd80|Lilrb4a|Ly96|Klra3|Tigit|Pdcd1lg2|Il1rl1|Ccr3|Cd22|Prnp|Muc1|Plxnb2|Ccr1|Ly6g|Il1r2|Cd70,Lgals3|Cd48|Ly6a|Itga4|Cd28|Il2rb|Itgb1|Hmmr|Klrk1|Cxcr3|Icos|Klrc1|Ctla4|Slamf7|Klrc2|Cd160|Ccr5|Havcr2|Ccr2|Ggt1|Klrg1|Il18rap|Tnfrsf9|Cd44|Il2ra|Itgax|Pdcd1|Lag3|Fasl|Igkc|Alcam|Itgam|Slamf1|Ptprj|Cx3cr1|Igsf8|Tnfrsf13c|Nrp1|Tnfsf9|Sema7a|Il12rb1|Ifitm1|Cd24a|Entpd1|Adam8|Itga1|Cd38|L1cam|Ly96|Tnfsf14|Cd244a|Pdcd1lg2|Epcam|Clec12a|Tigit|Lilrb4a|Il1rl1|Fcgr2b|Tnfrsf21|Cd22|Cd80|Ccr3|Il1r2|Pir|Plxnb2|Tnfrsf8|Muc1,Itga4|Itgb1|Cd48|Il18rap|Spn|Itgb2|Itgal|Klrc1|Cx3cr1|Klrg1|Klrk1|Lgals3|Cd28|Il18r1|Klrc2|Ccr2|Slamf7|Fasl|Ccr5|Itgax|Icos|Klrb1c|Cd44|Itgam|Itga1|Igkc|Fcgr2b|Nrp1|Havcr2|Slamf1|Alcam|Klra3|Ptprj|Entpd1|L1cam|Lag3|Tnfsf14|Ly96|Cd80|Cd38|Pdcd1|Tnfsf9|Klra9|Adam8|Lilrb4a|Notch3|Il1rl1|Klra4|Tigit|Tnfrsf8,,Lgals3|Ly6a|Cd48|Itga4|Cd28|Il2rb|Itgb1|Klrk1|Klrc1|Cxcr3|Ctla4|Icos|Slamf7|Klrg1|Ccr5|Havcr2|Ccr2|Klrc2|Hmmr|Ggt1|Il18rap|Tnfrsf9|Cd44|Itgax|Lag3|Il2ra|Pdcd1|Fasl|Igkc|Itgam|Alcam|Cx3cr1|Slamf1|Il12rb1|Ptprj|Nrp1|Tnfsf9|Sema7a|Cd24a|Adam8|Ifitm1|Tnfrsf13c|Itga1|Entpd1|L1cam|Cd38|Pdcd1lg2|Cd244a|Epcam|Ly96|Il1rl1|Lepr|Tigit|Tnfrsf21|Fcgr2b|Tnfrsf8|Cd80|Cd22|Muc1|Cd70|Pir|Il1r2|Ly6g,Lgals3|Cd48|Ly6a|Itga4|Cd28|Il2rb|Klrk1|Itgb1|Cxcr3|Icos|Hmmr|Klrc1|Ccr5|Ctla4|Ccr2|Slamf7|Klrc2|Klrg1|Havcr2|Il18rap|Ggt1|Tnfrsf9|Itgax|Cd44|Fasl|Lag3|Il2ra|Itgam|Cx3cr1|Alcam|Pdcd1|Igkc|Slamf1|Tnfrsf13c|Il10ra|Tnfsf9|Il12rb1|Ifitm1|Sema7a|Itga1|Nrp1|Entpd1|Adam8|Cd24a|Ptprj|Itga2|L1cam|Cd38|Tnfsf14|Cd244a|Cd80|Pdcd1lg2|Lilrb4a|Fcgr2b|Ly96|Il1rl1|Vpreb1|Clec12a|Tigit|Muc1|Cd22|Ccr1|Il1r2|Ccr3|Tnfrsf8|Cdh5|Pir|Cd70,Ly6a|Lgals3|Cd48|Itga4|Il2rb|Itgb1|Cxcr3|Hmmr|Klrk1|Icos|Cd160|Ctla4|Klrc1|Tnfrsf9|Havcr2|Slamf7|Il2ra|Cd44|Klrc2|Il18rap|Ccr2|Ccr5|Pdcd1|Igkc|Alcam|Klrg1|Lag3|Igsf8|Cd24a|Slamf1|Nrp1|Ptprj|Tnfsf9|Itgax|Il12rb1|Sema7a|Fasl|Tnfrsf13c|Itgam|Itga1|Adam8|Lepr|Pdcd1lg2|Epcam|Clec12a|Ifitm1|Ly96|Cx3cr1|Entpd1|Tnfrsf8|Il1rl1|Tnfrsf21|Cd22|Lilrb4a|Klrb1c|Tigit|Cd14|Il1r2|Plxnb2|Ccr1|Cd80|Cd70|Bst1|Muc1|Il13ra1|Tnfsf12|Pir|Cxcr2|Tnfsf11|Prnp|Fut4|Ccr3|Ly6g|Nectin2,Ly6a|Itga4|Cd28|Itgb1|Ctla4|Cxcr3|Lgals3|Klrk1|Il18r1|Icos|Il2rb|Cd9|Klrc1|Crtam|Klrc2|Cd160|Cd44|Slamf7|Il18rap|Igkc|Lag3|Nrp1|Ccr5|Pdcd1|Alcam|Hmmr|Slamf1|Itgax|Tnfrsf9|Il10ra|Cd38|Ccr2|Cd200|Epcam|Ptprj|Il1rl1|Tnfsf9,Thy1|Lgals3|Lag3|Havcr2|Ctla4|Klrc1|Slamf7,Cd28|Cxcr4|Ctla4|Klrk1|Izumo1r|Nt5e|Il18rap|Ccr5|Klrc2|Klrc1|Ccr2|Fasl|Klra6|Lilrb4a
P5,Il18r1|Ccr2|Cd226|Il7r|Itga1|Cd86|Tnfrsf25|Fcgr2b|Klrb1c|Lilrb4a|Klra9,Hmmr,Sell,Klrd1|Itgb1|Il18rap|Cx3cr1|Klrg1|Klrb1c|Itga1|Fcgr2b|Tnfrsf25|Klra3|Trdv2-2|Klra9|Icosl|Notch3|Itgae|Cd46|Klra4|Klra8,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Plaur|Cd46|Trdv2-2|Ly6d|Tlr6|Ly6c1|Cxcr5|Fgfr1|Pdgfrb|Cr2|Art1,,Itgae|Tlr6,Sell|Pirb|Plxnb2|Tlr2|Bst1|Nectin2,Ighm|Slamf6|Il7r|Crtam|Ccr7|Tnfsf8|Pecam1|Sell|Tnfrsf25|Il6st|Treml2|Tlr1|Cd200|Cxcr5,Lag3|Havcr2,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Pecam1|Cd55|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Ccr9|Tlr1|Igf1r|Insr|Klra6|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5|Itgae
P6,Il7r|Tnfrsf25|Klrb1c|Insr|Klra6|Klra9,,Tnfsf8|Trgv2|Tnfrsf21,Itgb1|Il18rap|Cx3cr1|Klrb1c|Fcgr2b|Tnfrsf25|Klra3|Klra9|Icosl|Notch3,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Ly6k|Plaur|Cd46|Abcg2|Izumo1r|Tnfrsf12a|Ly6d|Ly6c1|Icosl|Cd200r1|Fgfr1|Itga5|Pdgfrb|Art1,Tnfrsf21,,Sell|Tnfrsf4|Lepr|Tnfsf8|Abcg2|Tnfrsf8|Tnfrsf21|Plxnb2|Bst1|Icam4|Tnfsf11|Nectin2,Ighm|Il7r|Crtam|Ccr7|Tnfsf8|Pecam1|Sell|Tnfrsf25|Il6st|Treml2|Tlr1|Cd200|Cxcr5,Lag3,Sell|Ccr7|Il7r|Il4ra|Cxcr4|Il6ra|Treml2|Pecam1|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Klra6|Ly6k|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5|Tnfrsf14|Plaur
P2,Klrd1|Ccr2|Cxcr6|Il18rap|Cd37|Cd226|Itgax|Cd96|Fasl|Cx3cr1|Itga1|Cd86|Tnfrsf25|Fcgr2b|Klrb1c,Klrd1|Klrg1|Cx3cr1|Fcgr2b,,Klrd1|Itgb1|Il18rap|Itgal|Klrc1|Cx3cr1|Klrg1|Klrc2|Ccr2|Cd226|Fasl|Itgax|Klrb1c|Itgam|Itga1|Fcgr2b|Tnfrsf25|Klra3|Trdv2-2|Klra9|Icosl|Notch3|Cd46|Klra4,Sell|Ighm|Il7r|Klrd1|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Cd55|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Cd46|Trdv2-2|Ly6d|Ly6c1|Icosl|Cxcr5|Pdgfrb,Cx3cr1,Cx3cr1|Vpreb1,,Klrd1|Crtam|Ccr7|Tnfsf8|Tnfrsf25|Il6st|Tlr1|Cd200|Cxcr5,Klrd1|Lag3|Havcr2,Sell|Ccr7|Il7r|Klrd1|Il4ra|Il6ra|Treml2|Cd55|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Cd86|Tlr1|Igf1r|Insr|Klra6|Eng|Cxcr5|Tnfrsf14|Selp|Art4
P7,Ccr2|Cxcr6|Ccr5|Itgax|Klrg1|Fasl|Cx3cr1|Itga1|Itgam|Fcgr2b|Klrb1c|Entpd1|Klra3|Cd151|Trdv5|Ly6k|Fcgr3|Ccr3|Bmpr1a|Icosl|Trdv1|Cd200r1|Klra9,Lgals3|Hmmr|Ccr5|Ccr2|Klrg1|Havcr2|Fasl|Cx3cr1|Il2ra|Itgam|Entpd1|Klra3|Cd151|Ly6k|Trdv1|Ccr3|Icosl|Trdv5|Fcgr3|Bmpr1a|Ccr1|Ly6g,Lgals3|Hmmr|Havcr2|Ccr2|Klrg1|Il2ra|Fasl|Itgam|Cx3cr1|Entpd1|Ly6k|Clec12a|Trgv2|Cd151|Trdv1|Ccr3|Pir|Trdv5,Il18rap|Cx3cr1|Klrg1|Ccr2|Cxcr6|Fasl|Klrb1c|Itgam|Itga1|Fcgr2b|Klra3|Entpd1|L1cam|Klra9|Icosl|Notch3|Cd151|Klra4|Trdv1|Klra8|Ly6k,Sell|Ccr9|Il6st|Il6ra|Itgae|Ifngr2|Igf1r|Eng|Ighd|Art4|Ly6k|Plaur|Cd151|Ly6d|Trdv1|Icosl|Cd200r1|Trdv5|Fgfr1|Pirb|Itga5|Pdgfrb|Cr2|Bmpr1a,Lgals3|Klrg1|Havcr2|Ccr2|Il2ra|Fasl|Itgam|Cx3cr1|Entpd1|Ly6k|Trgv2|Cd151|Tnfrsf8|Clec12a|Pir|Bmpr1a|Icosl|Ly6g,Lgals3|Cxcr6|Hmmr|Ccr2|Klrg1|Havcr2|Fasl|Il2ra|Itgam|Cx3cr1|Tnfrsf13c|Entpd1|Klra3|Clec12a|Ly6k|Ccr1|Ccr3|Notch4|Pir,Hmmr|Havcr2|Il2ra|Klrg1|Cd24a|Itgam|Clec12a|H2-Ab1|Entpd1|Tnfrsf8|Ly6k|Fcgr3|Ly86|Pirb|Cd14|Cd151|Plxnb2|Ccr1|Sirpa|Il13ra1|Cd200r1|Tnfsf12|Pir|Bmpr1a|Fut4|Ccr3|Icosl|Notch4|Trdv5|Ly6g|Nectin2,,Lag3|Havcr2,Sell|Ccr7|Il4ra|Il6ra|Ifngr2|Ccr9|Igf1r|Klra6|Ly6k|Eng|Tnfrsf14|Selp|Bmpr1a
P8,Itgb1|Ccr2|Il7r|Icam1|Itga1|Crtam|Cd55|Notch2|Tnfrsf25|Abcb1a|Itgam|Itpr3|Fcgr2b|Cd79b|Tnfrsf1a|Lilrb4a|Itgb3|Ly96|Nt5e|Cd101|Sell|Ifitm1|Tnfsf8|Ccr7|Hmmr|Tnfrsf13c|Cd74|Tlr1|Klra3|Tigit|Pdcd1lg2|Trdv2-2|Cd40lg|Tnfrsf23|Cd151|Insr|Il1rl1|Cd46|Ddr1|H2-Eb1|Tnfrsf12a|Tnfrsf14|Epcam|Treml2|Trdv5|Tnfrsf10b|Abcg2|Ly6k|Tlr6|Il6ra|Fcgr3|Cd24a|Ccr3|H2-Ab1|Bmpr1a|Vpreb1|Cxcr5|Icosl|Ly6c1|Trdv1|Il1r2|Klra6|Klra9|Csf2ra|Lepr|Itgae|Cd22|Ighd,Hmmr|Icam1|Itgam|Itpr3|Notch2|Abcb1a|Cd79b|Crtam|Il7r|Tnfrsf1a|Cd55|Ifitm1|Tnfrsf13c|Itgb3|Cd24a|Fcgr2b|Sell|Tnfrsf23|Ccr7|Lilrb4a|Ly96|Klra3|Cd151|Ly6k|Tigit|Cd101|Pdcd1lg2|Trgv2|Nt5e|Cd74|Epcam|Tnfrsf25|Il1rl1|Tnfrsf12a|Csf2ra|Trdv2-2|Cd81|Il6ra|Tnfsf8|Lepr|Klra6|Treml2|Trdv1|Abcg2|Ccr3|Cd40lg|Cd22|Icosl|Trdv5|Muc1|Plxnb2|Vpreb1|Itgae|Fcgr3|Tnfrsf10b|Ncam1|Tlr6|Ddr1|Bmpr1a|Ccr1|Ly6g|Cxcr5|Cd46|Tlr1|Insr|Clec12a|Il1r2|Cd70|Tlr2,Hmmr|Icam1|Il7r|Crtam|Cd79b|Itgam|Itpr3|Tnfrsf13c|Notch2|Cd74|Cd55|Ifitm1|Cd24a|Sell|Itgb3|Abcb1a|Tnfrsf1a|Ccr7|Tnfsf8|H2-Eb1|Ly96|Pdcd1lg2|Epcam|Ly6k|Clec12a|Trgv2|Tigit|Lilrb4a|Tnfrsf23|Csf2ra|Cd81|Il1rl1|Nt5e|Fcgr2b|Cd151|Fcgr3|Tnfrsf21|Cd101|Tlr1|Lepr|Cd22|Tnfrsf25|Treml2|Trdv1|Ccr3|Tlr6|Il6ra|Cd40lg|Il1r2|Abcg2|Pir|Trdv2-2|Icosl|Plxnb2|Tnfrsf12a|Tnfrsf8|Muc1|Itgae|Trdv5|Ddr1|Icam4|Tnfsf13b|Vpreb1|Tnfrsf10b|Cd70|Ly6g,Itgb1|Il18rap|Cx3cr1|Ccr2|Icam1|Klrb1c|Itgam|Itga1|Fcgr2b|Crtam|Notch2|Tnfrsf25|Tnfrsf1a|Itpr3|Klra3|Abcb1a|Il7r|Nt5e|Ly96|Itgb3|Cd55|Trdv2-2|Klra9|Lilrb4a|Icosl|Notch3|Tnfrsf13c|Il1rl1|Cd79b|Cd151|Cd74|Cd40lg|Itgae|Cd46|Ifitm1|H2-Eb1|Hmmr|Sell|Tnfsf8|Tnfrsf23|Klra4|Trdv1|Klra8|Tnfrsf14|Tigit|Tnfrsf12a|Abcg2|Ly6k|Tnfrsf8|Cd101|Trgv2|Vpreb1|Muc1|Il6ra|Insr,Sell|Ighm|Il7r|S1pr1|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Cd55|Icam1|Tnfsf8|Ifngr2|Itpr3|Tlr1|Notch2|Cd79b|Igf1r|Crtam|Insr|Tnfrsf1a|Tnfrsf25|Itgb3|Abcb1a|Eng|Ighd|Cd74|Art4|Ly6k|Plaur|Cd46|Trdv2-2|Nt5e|Abcg2|Tnfrsf12a|Cd151|Tnfrsf10b|Ly6d|Tlr6|Tnfrsf23|Ly6c1|Hmmr|Cd81|Csf2ra|Trdv1|Icosl|Cd40lg|Cxcr5|Trgv2|Tnfrsf14|Trdv5|Cd101|H2-Ab1|Fgfr1|Itgam|Tnfrsf13c|Pirb|Itga5|Epcam|Ly86|Pdgfrb|Tlr2|Cr2|Ddr1|Itga2b|Bmpr1a|Lilrb4a|Art1|Icam4|Cd24a,Hmmr|Icam1|Itgam|Itpr3|Crtam|Cd79b|Notch2|Cd24a|Il7r|Cd55|Abcb1a|Ifitm1|Itgb3|Tnfrsf13c|Tnfrsf1a|Pdcd1lg2|Epcam|Ccr7|Ly96|Tnfsf8|Ly6k|Il1rl1|Lepr|Trgv2|Lilrb4a|Tnfrsf23|Csf2ra|Tigit|Cd151|Nt5e|Cd40lg|Sell|Il6ra|Tnfrsf21|Fcgr2b|Cd74|Tnfrsf25|Klra3|Tnfrsf8|Cd81|Treml2|Clec12a|Cd22|Tnfrsf10b|Muc1|Cd101|Tnfrsf14|Abcg2|Tlr1|Ddr1|Cd70|Insr|Tnfrsf12a|Pir|Trdv2-2|Vpreb1|Il1r2|Bmpr1a|Icosl|H2-Eb1|Trdv1|Ccr3|Ly6g|Plxnb2,Hmmr|Icam1|Itgam|Cd79b|Tnfrsf13c|Itpr3|Crtam|Cd55|Ifitm1|Il7r|Abcb1a|Cd24a|Notch2|Tnfrsf1a|Itgb3|Pdcd1lg2|Nt5e|Lilrb4a|Tnfrsf23|Fcgr2b|Ly96|Ccr7|Klra3|Il1rl1|Sell|Cd74|Cd101|Epcam|Vpreb1|Treml2|Clec12a|Cd81|Itgae|Tigit|H2-Ab1|Cd151|Tlr6|Trdv2-2|Tlr1|Csf2ra|H2-Eb1|Muc1|Tnfsf8|Il6ra|Ly6k|Tnfrsf25|Tnfrsf10b|Cd40lg|Cd22|Ccr1|Lepr|Il1r2|Ccr3|Cxcr5|Trgv2|Tnfrsf8|Ddr1|Tnfrsf14|Cdh5|Notch4|Tlr2|Tnfrsf12a|Abcg2|Cd46|Pir|Cd70|Cd79a,Hmmr|Icam1|Il7r|Crtam|Cd24a|Itpr3|Notch2|Cd79b|Tnfrsf13c|Sell|Tnfrsf1a|Itgb3|Cd74|Itgam|Abcb1a|Ccr7|Cd55|Lepr|Pdcd1lg2|Tnfsf8|Epcam|Clec12a|Cd81|Ifitm1|Csf2ra|H2-Ab1|Ly96|Abcg2|Treml2|Tnfrsf8|Il1rl1|Tnfrsf21|Ly6k|H2-Eb1|Cd22|Lilrb4a|Tnfrsf23|Fcgr3|Cd40lg|Il6ra|Ly86|Nt5e|Pirb|Trgv2|Tigit|Cd14|Il1r2|Cd151|Plxnb2|Ccr1|Tnfrsf25|Tnfrsf10b|Tnfrsf12a|Cd70|Tlr2|Sirpa|Bst1|Icam4|Muc1|Insr|Cd101|Klra3|Fcgr2b|Ddr1|Ifngr2|Cd83|Il13ra1|Itgae|Trdv2-2|Tlr6|Tlr1|Tnfsf12|Pir|Cxcr2|Tnfsf11|Bmpr1a|Fut4|Ccr3|Tnfsf13b|Cd46|Tnfrsf14|Icosl|Notch4|Sdc1|Trdv5|Ly6g|Nectin2|Vpreb1|Notch3|Cd79a|Ighd|Nectin3|Cd276,Itgb1|Ighm|Slamf6|Il7r|Crtam|Ccr7|Tnfsf8|Icam1|Sell|Hmmr|Tnfrsf25|Abcb1a|Cd55|Notch2|Treml2|Itpr3|Tlr1|Tnfrsf1a|Cxcr5|Epcam|Cd79b|Il6ra|Itgb3|Nt5e|Tnfrsf23|Cd83|Il1rl1|Tnfrsf13c|Ly96,,Cd69|Sell|Ccr7|Il7r|Ighm|S1pr1|Il6ra|Treml2|Cd55|Tnfsf8|Icam1|Nt5e|Crtam|Itpr3|Ifngr2|Abcb1a|Cd79b|Notch2|Tlr1|Tnfrsf1a|Igf1r|Insr|Klra6|Lilrb4a|Ly6k|Tnfrsf12a|Tnfrsf10b|Eng|Tnfrsf25|Cxcr5|Tnfrsf23|Tnfrsf14|Hmmr|Itgae|Cd74|Klra3|Cd101|Itgb3|Cd22|Cd46|Selp|Plaur|Bmpr1a|Art4|Epcam
