,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,,Cmtm7|Xcl1|Osm|Il21|Lif,Ccl9|2610528A11Rik,Tnfsf8|Wnt5b|Lefty1,,Bmp8a,Xcl1|Osm|Il21|Wnt10b|Cd70|Ebi3|Bmp7|Tnfsf12|Wnt11|Bmp8a|Vegfa|Cmtm8,Cxcl10|Tnfsf8|Xcl1,,Tnfsf8|Xcl1
P3,Ccl5|Ccl9|Fam3b,,,Ccl5|Ccl9|2610528A11Rik,Ltb|Tnfsf8|Lta|Wnt4|Wnt5b|Lefty1,Ccl9,,Xcl1|Il21|Wnt10b|Lta|Ebi3|Csf2|Bmp7|Tnfsf12|Wnt11|Cmtm8,Ltb|Tnfsf8|Xcl1,,Tnfsf8|Lta
P4,Ccl5|Gdf11|Ccl9|Fam3b,,,Ccl5|Ccl4|Ccl9|2610528A11Rik,Ltb|Lta|Wnt4|Lefty1,Lta,,Wnt10b|Lta,Ltb|Tnfsf8,Ccl5,Tnfsf8|Lta
P10,Ltb|Il10,Hmgb1|Mif|Cmtm7|Xcl1|Il10,Mif|Cmtm7|Xcl1|Tnf|Il18|Il10|Il21|Tnfsf13b|Lif,,Ltb|Tnfsf8|C1qtnf4|Wnt5b,Mif|Cmtm7|Cxcl10|Tnf|Xcl1|Il18|Il10,Mif|Cmtm7|Tnf|Xcl1|Il18|Il10|Il21|Bmp8a|Ebi3|Il17f,Mif|Cmtm7|Nampt|Xcl1|Tnf|Il18|Il21|Wnt10b|Cd70|Ebi3|Il10|Bmp7|Tnfsf12|Tnfsf11|Wnt11|Tnfsf13b|Bmp8a|Cmtm8,Ltb|Mif|Cxcl10|Tnfsf8|Xcl1|Tnf,,Ltb|Tnfsf8|Xcl1
P0,Ccl5|Ccl4|Ifng|Pglyrp1|Ccl3|Fasl|Gdf11|Tnfsf14|Tnfsf9|Ccl9|Cmtm3|Ccl6|Il18|Il10,Ccl5|Hmgb1|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Cd70,Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Fasl|Xcl1|Tnfsf9|Il18|Tnfsf14|Cmtm3|Il10|Il21,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Pglyrp1|Ccl9|Tnfsf14|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik,,Ccl5|Cmtm7|Ifng|Ccl4|Ccl3|Pglyrp1|Fasl|Tnfsf9|Ccl27a|Il18|Cmtm3|Il10|Cd70|Wnt10b|Ccl6|Ccl9,Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Bmp8a|Cd70|Ebi3,Cmtm7|Ifng|Ccl3|Ccl4|Xcl1|Tnfsf9|Fasl|Il18|Il21|Cmtm3|Ccl6|Wnt10b|Cd70|Ebi3|Il10|Tnfsf12|Tnfsf11|Wnt11|Bmp8a|Cmtm8,Ccl5|Ifng|Pglyrp1|Cxcl10|Ccl4|Xcl1|Ccl3|Tnfsf9,Ccl5|Ccl4|Ifng|Ccl3,Xcl1|Fasl
P5,Ccl5|Ccl9|Il15,,,Ccl5|Ccl4|Ccl9|Ccl6|2610528A11Rik,Ltb|Tnfsf8|Clcf1|Wnt5b|Lefty1,,,Il21|Ebi3|Bmp7|Wnt11,Ltb|Tnfsf8|Xcl1,Ccl5,Ltb|Tnfsf8
P6,Ccl5|Ccl9|Fam3b,,Tnfsf8,Ccl5|Ccl9|2610528A11Rik,Tnfsf8|Clcf1|C1qtnf4|Wnt4|Wnt5b,,,Tnfsf8|Il21|Wnt10b|Bmp7|Tnfsf11|Wnt11,Cxcl10|Tnfsf8|Xcl1,,Tnfsf8
P2,Ccl5|Ccl4|Ltb|Fasl|Gdf11,Ccl5,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|2610528A11Rik,Ltb|Tnfsf8|Clcf1|Wnt4|Wnt5b,,Ccl5,,Ltb|Cxcl10|Tnfsf8,Ccl5,Ltb|Tnfsf8|Clcf1
P7,Ccl5|Ccl4|Fasl|Ccl9|Fam3b,Fasl|Il10,Fasl,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|Ccl6|2610528A11Rik,Wnt5b,Fasl|Wnt10b|Ccl9,Fasl|Il10|Bmp8a,Wnt10b|Tnfsf12|Bmp8a|Vegfa,,,
P8,Cxcl10|Grn|Ccl9|Tnfsf8|Ccl27a|Ccl6|Cd40lg|Xcl1|Osm|Il10|Il2|Lta|Wnt4|Fam3b|Csf2|Tgfb3|Csf1,Cxcl10|Ccl27a|Xcl1|Grn|Osm|Il2|Il10|Tnfsf8|Ccl6|Cd40lg|Cd70,Cxcl10|Xcl1|Grn|Ccl27a|Tnfsf8|Osm|Il2|Il10|Cd40lg|Tnfsf13b|Cd70|Lif|Csf2,Ccl9|Ccl27a|Cxcl10|Grn|Ccl6|2610528A11Rik|Cd40lg|Il2|Osm|Tnfsf8|Lta|Wnt4|Xcl1,Ltb|Tnfsf8|Cxcl10|Osm|Lta|Wnt4|Grn|Xcl1|Ccl27a|Cd40lg|Il2|Wnt5b|Lefty1,Cxcl10|Ccl27a|Xcl1|Osm|Grn|Tnfsf8|Cd40lg|Il2|Lta|Il10|Wnt4|Cd70|Wnt10b|Ccl6|Ccl9|Csf2,Cxcl10|Ccl27a|Grn|Xcl1|Osm|Il2|Il10|Tnfsf8|Ccl6|Cd40lg|Lta|Bmp8a|Cd70|Ebi3|Il17f,Xcl1|Cxcl10|Grn|Osm|Tnfsf8|Ccl27a|Cd40lg|Cxcl2|Ccl6|Il2|Wnt10b|Lta|Cd70|Ebi3|Il10|Csf2|Bmp7|Tnfsf12|Tnfsf11|Wnt11|Tnfsf13b|Bmp8a|Lefty1|Vegfa|Cmtm8|Areg|Wnt4,Cxcl10|Tnfsf8|Xcl1|Grn|Ccl27a,,Tnfsf8|Xcl1|Cxcl10|Grn|Lta|Ccl27a
