,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Cklf|Crlf2|Ccl27a|Xcl1|Osm,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Xcl1|Tnf|Tnfsf9|Osm|Il18|Il21|Lif,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|2610528A11Rik,Ltb|Mif|Il16|Tnfsf8|Clcf1|Osm|Lta|Wnt4|Wnt5b|Lefty1,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Nampt|Cxcl10|Tnf|Tnfsf9|Ccl27a|Xcl1|Osm,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Tnf|Tnfsf9|Osm|Bmp8a,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Osm|Il21|Wnt10b|Cd70|Ebi3|Bmp7|Tnfsf12|Wnt11|Bmp8a|Vegfa|Cmtm8,Mif|Cxcl10|Tnfsf8|Xcl1,,Tnfsf8|Xcl1
P3,Ccl5|Ccl4|Ltb|Pglyrp1|Fasl|Il16|Flt3l|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Tnfsf8|Il15|Fam3b,,Mif|Gpi1|Aimp1|Xcl1|Tnfsf9|Tnfsf8|Il18,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b|Lefty1,Mif|Nampt|Ccl9,Mif|Ltb|Aimp1|Tnfsf9,Mif|Gpi1|Aimp1|Nampt|Xcl1|Tnf|Tnfsf9|Ccl25|Grn|Osm|Tnfsf8|Il18|Il21|Cd40lg|Wnt10b|Lta|Cd70|Ebi3|Csf2|Bmp7|Tnfsf12|Wnt11|Cmtm8,Ltb|Gpi1|Il16|Cxcl10|Tnfsf8|Xcl1,,Ltb|Tnfsf8|Xcl1|Clcf1|Lta
P4,Ccl5|Ccl4|Ltb|Pglyrp1|Fasl|Il16|Crlf2|Flt3l|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Lta|Fam3b,Ccl5|Hmgb1|Ccl4|Pglyrp1|Cklf|Crlf2|Fasl|Flt3l,,Ccl5|Ccl4|Ccl3|Fasl|Flt3l|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Lefty1,Lta,Ccl5|Ccl4|Ltb|Pglyrp1|Crlf2,Mif|Aimp1|Nampt|Il21|Wnt10b|Lta|Cd70,Ltb|Pglyrp1|Il16|Cxcl10|Tnfsf8|Xcl1,Ccl5,Ltb|Tnfsf8|Clcf1|Lta
P10,Ltb|Ifng|Hmgb1|Mif|Gpi1|Pglyrp1|Cmtm7|Il16|Flt3l|Nampt|Cxcl10|Tnfsf10|Gdf11|Tnf|C1qtnf4|Il18|Il10,Hmgb1|Mif|Ifng|Cmtm7|Ltb|Pglyrp1|Aimp1|Tgfb1|Cklf|Crlf2|Cxcl10|Nampt|Tnfsf10|Tnf|Xcl1|Il10,Hmgb1|Mif|Ifng|Cmtm7|Gpi1|Ltb|Aimp1|Pglyrp1|Tgfb1|Nampt|Cxcl10|Xcl1|Tnf|Tnfsf9|Tnfsf10|Ccl25|Tnfsf8|Osm|Il18|Il10|Il21|Tnfsf13b|Lif,,Ltb|Mif|Il16|Tnfsf8|Clcf1|Nampt|Osm|C1qtnf4|Lta|Wnt4|Wnt5b,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Ltb|Pglyrp1|Tgfb1|Nampt|Cxcl10|Tnf|Tnfsf9|Xcl1|Osm|Il18|Il10,Hmgb1|Mif|Ifng|Cmtm7|Gpi1|Ltb|Aimp1|Pglyrp1|Tgfb1|Crlf2|Nampt|Tnf|Tnfsf9|Cxcl10|Xcl1|Osm|Il18|Il10|Il21|Bmp8a|Ebi3|Il17f,Hmgb1|Mif|Cmtm7|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Ccl25|Osm|Tnfsf8|Il18|Il21|Wnt10b|Cd70|Ebi3|Il10|Bmp7|Tnfsf12|Tnfsf11|Wnt11|Tnfsf13b|Bmp8a|Cmtm8,Ltb|Hmgb1|Mif|Cmtm7|Pglyrp1|Cxcl10|Tnfsf8|Xcl1|Nampt|Tnf,,Ltb|Mif|Aimp1|Tnfsf8|Xcl1|Nampt|Cxcl10
P0,Ccl5|Ccl4|Ifng|Hmgb1|Gpi1|Pglyrp1|Ccl3|Cmtm7|Fasl|Crlf2|Cklf|Flt3l|Cxcl10|Tnfsf10|Gdf11|Tnfsf14|Tnf|Tnfsf9|Grn|Ccl9|Cmtm3|Ccl6|Il18|Il10,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Gpi1|Pglyrp1|Aimp1|Ccl3|Tgfb1|Cklf|Crlf2|Fasl|Flt3l|Cxcl10|Tnf|Tnfsf9|Ccl27a|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Cd70,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Gpi1|Ccl4|Aimp1|Ccl3|Pglyrp1|Tgfb1|Cklf|Crlf2|Fasl|Nampt|Cxcl10|Xcl1|Tnf|Tnfsf9|Grn|Ccl27a|Il18|Tnfsf14|Cmtm3|Il10|Il21,Ccl5|Ccl4|Ifng|Gpi1|Ccl3|Fasl|Pglyrp1|Cklf|Crlf2|Flt3l|Ccl9|Gdf11|Tnfsf14|Ccl27a|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik,,Hmgb1|Ccl5|Mif|Cmtm7|Ifng|Gpi1|Ccl4|Aimp1|Ccl3|Pglyrp1|Tgfb1|Cklf|Crlf2|Fasl|Nampt|Cxcl10|Tnf|Tnfsf9|Ccl27a|Xcl1|Il18|Cmtm3|Tnfsf14|Il10|Cd70|Wnt10b|Ccl6|Ccl9,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Gpi1|Aimp1|Pglyrp1|Ccl3|Tgfb1|Crlf2|Cklf|Fasl|Tnf|Tnfsf9|Cxcl10|Ccl27a|Grn|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Bmp8a|Cd70|Ebi3,Hmgb1|Mif|Cmtm7|Ccl5|Ifng|Gpi1|Aimp1|Tgfb1|Ccl3|Ccl4|Pglyrp1|Cklf|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Fasl|Grn|Ccl27a|Tnfsf14|Il18|Il21|Cmtm3|Ccl6|Wnt10b|Cd70|Ebi3|Il10|Tnfsf12|Tnfsf11|Wnt11|Bmp8a|Cmtm8,Ccl5|Hmgb1|Mif|Gpi1|Ifng|Cmtm7|Pglyrp1|Cxcl10|Tnfsf8|Ccl4|Xcl1|Ccl3|Tnf|Tnfsf9,Ccl5|Ccl4|Ifng|Ccl3,Ccl5|Gpi1|Ccl4|Pglyrp1|Ifng|Xcl1|Fasl
P5,Ccl5|Ccl4|Ltb|Ifng|Pglyrp1|Fasl|Il16|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Ccl6|Il15,Ccl5|Hmgb1|Ifng|Ccl4|Ltb|Pglyrp1|Cklf|Crlf2|Il16|Fasl|Flt3l|Tnfsf10|Tnfsf14,Ifng|Cmtm7,Ccl5|Ccl4|Ccl3|Fasl|Il16|Flt3l|Ccl9|Clcf1|Gdf11|Tnfsf14|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b|Lefty1,,Ccl5|Ifng|Ccl4|Ltb|Pglyrp1|Crlf2|Il16,Mif|Cmtm7|Gpi1|Aimp1|Nampt|Xcl1|Il21|Ebi3|Bmp7|Wnt11,Ltb|Il16|Cxcl10|Tnfsf8|Xcl1,Ccl5,Ltb|Il16|Tnfsf8|Xcl1|Clcf1
P6,Ccl5|Ccl4|Ltb|Pglyrp1|Fasl|Il16|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9|Tnfsf8|Il15|Fam3b,Ccl5|Hmgb1|Tgfb1|Cklf|Flt3l,Mif|Gpi1|Tgfb1|Tnfsf8,Ccl5|Ccl4|Ccl3|Fasl|Flt3l|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,Hmgb1|Mif|Tgfb1|Nampt|Cxcl10,,Hmgb1|Mif|Gpi1|Aimp1|Tgfb1|Nampt|Xcl1|Tnfsf8|Il21|Cd40lg|Wnt10b|Cd70|Bmp7|Tnfsf11|Wnt11,Ltb|Il16|Cxcl10|Tnfsf8|Xcl1,,Ltb|Tnfsf8|Xcl1|Clcf1
P2,Ccl5|Ccl4|Ltb|Ifng|Pglyrp1|Ccl3|Fasl|Il16|Crlf2|Flt3l|Tnfsf10|Gdf11|Clcf1|Tnfsf14|C1qtnf4|Ccl9,Ccl5|Hmgb1|Ifng|Ccl4|Ltb|Pglyrp1|Ccl3|Cklf|Crlf2|Il16|Fasl|Flt3l|Cxcl10|Tnfsf10|Clcf1|Il10,Ccl5|Ifng|Ccl4|Ltb|Ccl3|Pglyrp1|Crlf2|Fasl|Flt3l|Tnfsf10,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Crlf2|Il16|Flt3l|Ccl9|Clcf1|Gdf11|Tnfsf14|2610528A11Rik,Ltb|Il16|Tnfsf8|Flt3l|Clcf1|C1qtnf4|Lta|Wnt4|Wnt5b,Ccl5|Ifng|Ccl4|Ltb|Ccl3|Pglyrp1|Crlf2|Fasl|Cxcl10,Ccl5|Ifng|Ccl4|Ltb|Pglyrp1|Ccl3|Crlf2|Il16|Fasl|Flt3l|Il10,,Ccl5|Ltb|Pglyrp1|Il16|Cxcl10|Tnfsf8|Xcl1,Ccl5,Ltb|Il16|Tnfsf8|Clcf1
P7,Ccl5|Ccl4|Ifng|Pglyrp1|Ccl3|Fasl|Crlf2|Flt3l|Gdf11|Clcf1|Ccl9|Ccl6|Il10|Fam3b,Ccl5|Hmgb1|Ifng|Cmtm7|Ccl4|Ccl3|Tgfb1|Cklf|Crlf2|Fasl|Flt3l|Ccl27a|Il10,Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Aimp1|Ccl3|Tgfb1|Cklf|Fasl|Tnfsf9|Ccl27a|Osm|Il18,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Cklf|Flt3l|Ccl9|Clcf1|Ccl27a|Ccl6|2610528A11Rik,Ltb|Clcf1|Osm|Wnt5b,Hmgb1|Ccl5|Mif|Cmtm7|Ifng|Ccl4|Aimp1|Ccl3|Tgfb1|Cklf|Fasl|Tnfsf9|Ccl27a|Osm|Il18|Wnt10b|Ccl9,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Aimp1|Ccl3|Tgfb1|Crlf2|Cklf|Fasl|Tnfsf9|Ccl27a|Osm|Il18|Il10|Bmp8a,Hmgb1|Mif|Cmtm7|Ifng|Aimp1|Tgfb1|Ccl3|Cklf|Nampt|Tnfsf9|Fasl|Osm|Il18|Il21|Wnt10b|Cd70|Tnfsf12|Bmp8a|Vegfa,,,Clcf1
P8,Ccl5|Ltb|Cxcl10|Clcf1|Tnf|Grn|Ccl9|Tnfsf8|Ccl27a|Ccl6|Cd40lg|Xcl1|Osm|Il10|Il2|Lta|Wnt4|Fam3b|Csf2|Tgfb3|Csf1,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Tnf|Ccl27a|Xcl1|Grn|Osm|Il2|Il10|Tnfsf8|Ccl6|Cd40lg|Cd70,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Xcl1|Tnf|Tnfsf9|Grn|Ccl27a|Tnfsf8|Osm|Il2|Il10|Cd40lg|Tnfsf13b|Cd70|Lif|Csf2,Ccl5|Fasl|Ccl9|Clcf1|Ccl27a|Cxcl10|Grn|Ccl6|2610528A11Rik|Cd40lg|Il2|Osm|Tnfsf8|Lta|Wnt4|Xcl1,Ltb|Il16|Tnfsf8|Clcf1|Cxcl10|Osm|Lta|Wnt4|Grn|Xcl1|Ccl27a|Cd40lg|Il2|Wnt5b|Lefty1,Hmgb1|Mif|Cmtm7|Tgfb1|Cxcl10|Tnf|Tnfsf9|Ccl27a|Xcl1|Osm|Grn|Tnfsf8|Cd40lg|Il2|Lta|Il10|Wnt4|Cd70|Wnt10b|Ccl6|Ccl9|Csf2,Hmgb1|Mif|Cmtm7|Tnf|Tnfsf9|Cxcl10|Ccl27a|Grn|Xcl1|Osm|Il2|Il10|Tnfsf8|Ccl6|Cd40lg|Lta|Bmp8a|Cd70|Ebi3|Il17f,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Grn|Osm|Tnfsf8|Ccl27a|Cd40lg|Cxcl2|Ccl6|Il2|Wnt10b|Lta|Cd70|Ebi3|Il10|Csf2|Bmp7|Tnfsf12|Tnfsf11|Wnt11|Tnfsf13b|Bmp8a|Lefty1|Vegfa|Cmtm8|Areg|Wnt4,Ltb|Mif|Il16|Cxcl10|Tnfsf8|Xcl1|Tnf|Grn|Ccl27a,,Ltb|Tnfsf8|Xcl1|Cxcl10|Clcf1|Grn|Lta|Ccl27a
