,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.3952669,-0.0396273136138916,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,2.2258983,-0.4779326915740967,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.8594138,-0.4255253076553345,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.43712038,-0.5954631567001343,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.8382168,-0.7203301191329956,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.941002,-6.3118157386779785,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4579345,-0.5896663665771484,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.7861635,-0.6830419301986694,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003997662,-3.7064104080200195,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.8892627,-3.870412826538086,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.094333604,-1.6223316192626953,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.11130758,-0.20074176788330078,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.43972665,-0.4924025535583496,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,154.93575,-3.8364009857177734,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.14758988,-0.26374638080596924,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.47570977,-0.7543962001800537,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.12118843,-4.278385162353516,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1146461,-3.121540069580078,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,5.9304376,-0.584165096282959,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.4118464,-0.26012444496154785,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.8540932,-1.8517138957977295,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.2657521,-1.1354339122772217,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.890525,-1.5106549263000488,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.5420451,-0.312339186668396,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.0201137,-2.3239827156066895,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.26650873,-1.3377020359039307,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.7849302,-0.6865823268890381,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.035762586,-7.131556510925293,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.912561,0.058074951171875,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,2.8975408,-0.42203962802886963,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,2.0019221,-1.4118781089782715,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.08817312,-3.9861178398132324,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,7.437793,-1.177133321762085,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,11.777991,0.7807837724685669,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.99149716,-0.012145757675170898,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.39515638,-0.5427393913269043,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.3163346,-0.42332184314727783,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.3048669,-1.7704849243164062,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.42227837,-0.7244253158569336,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.49250987,-0.11226403713226318,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.6919659,-0.21548473834991455,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.329562,-2.7436606884002686,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,6.421153,-4.094925403594971,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.74772847,-0.465840220451355,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.6074415,-0.2279413938522339,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.3539705,-0.19670641422271729,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.742987,-1.048837661743164,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.6782316,-0.23568427562713623,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,1.240313,-0.9845209121704102,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,2.2219267,-0.9104821681976318,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,11.230874,-1.8398313522338867,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.33543375,-0.7346658706665039,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.011119451,-0.7100446224212646,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.57109284,-0.35816001892089844,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,1.8672913,-2.3208391666412354,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.418322,-0.4856516122817993,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,2.5502121,-1.647705078125,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,2.0012238,-0.6669715642929077,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.30014253,-0.9744454622268677,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.0196543,0.07906597852706909,True
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.67198884,-0.3582425117492676,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,2.0431623,-3.045321464538574,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.61811596,-2.2024009227752686,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,5.3325443,-3.299138069152832,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,24.514782,-4.602123737335205,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.40775582,-0.0287705659866333,False
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,4.7579007,-0.9462947845458984,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,3.0477142,-3.672745704650879,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.57785916,-1.6014466285705566,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,1.3564353,-2.1529409885406494,False
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.22229156,-1.1864867210388184,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,6.486663,-0.39093518257141113,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.08563224,-0.25367701053619385,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,6.2081437,-1.1779048442840576,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.25700575,-0.7437022924423218,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.65188813,-0.44735658168792725,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,4.637754,0.645738810300827,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.6529799,-0.13011550903320312,False
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,3.184046,0.4442533850669861,True
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.20927419,-0.33431994915008545,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.058586564,-3.914553642272949,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,5.6739073,-0.9937188625335693,False
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,1.008083,-1.1190240383148193,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,1.1751584,-0.7085545063018799,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.91143334,-0.6170638799667358,False
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.11655035,-0.2601327896118164,False
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.63615805,-0.223663330078125,False
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.020431142,-2.249070405960083,False
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.052066714,-2.95544695854187,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,1.0004848,0.26111292839050293,True
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,1.9424975,-0.7599180936813354,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.8527695,-3.3352913856506348,False
