gene_names,scores
Iqgap2,11.569999694824219
Tanc1,9.0
Grap2,8.90999984741211
1700025G04Rik,8.779999732971191
Ncor1,8.729999542236328
Sidt1,8.380000114440918
Arl6ip5,8.329999923706055
Klf6,8.229999542236328
Rnf138,8.180000305175781
Ddx5,8.100000381469727
Cracr2a,7.96999979019165
Cdk19,7.900000095367432
Btbd11,7.900000095367432
Ahnak,7.769999980926514
Gpr183,7.690000057220459
Slc12a7,7.679999828338623
Stk10,7.650000095367432
Srsf5,7.639999866485596
Klf3,7.619999885559082
Sntb1,7.489999771118164
Foxp1,7.329999923706055
Znrf3,7.320000171661377
Crim1,7.190000057220459
Ifngr1,7.170000076293945
Atp2b1,7.119999885559082
Fosb,7.079999923706055
Atp1b3,7.059999942779541
Slco3a1,7.03000020980835
Usp48,6.949999809265137
Pde7a,6.829999923706055
Tnrc6c,6.829999923706055
Klrk1,6.670000076293945
Stim1,6.659999847412109
Ssbp2,6.619999885559082
Gimap6,6.559999942779541
Slc9a9,6.559999942779541
Satb1,6.550000190734863
Rbms1,6.5
Rbmxl1,6.440000057220459
Mbnl1,6.440000057220459
Klrd1,6.420000076293945
Cd53,6.420000076293945
St3gal4,6.380000114440918
Klhl6,6.300000190734863
Atp8b4,6.150000095367432
Itga6,6.130000114440918
Ugcg,6.110000133514404
Smad3,6.070000171661377
Nr3c1,6.059999942779541
Rapgef4,6.039999961853027
Maml2,5.989999771118164
Pacs1,5.96999979019165
Tgfbr2,5.869999885559082
Xrn2,5.869999885559082
Phf21a,5.860000133514404
Ccnl1,5.820000171661377
Epsti1,5.570000171661377
Zfp36l1,5.559999942779541
Ppp1r12a,5.559999942779541
Tmem71,5.519999980926514
Txk,5.510000228881836
Cd28,5.489999771118164
Jak1,5.409999847412109
Prps1,5.400000095367432
Smchd1,5.329999923706055
Fam241a,5.329999923706055
Rabac1,5.309999942779541
Ptpn22,5.289999961853027
Nedd4l,5.289999961853027
Dock5,5.289999961853027
Emp1,5.199999809265137
Fam49a,5.179999828338623
Myo1f,5.139999866485596
Dock2,5.119999885559082
Rsrp1,5.079999923706055
Ms4a4b,5.079999923706055
Ddx3x,5.039999961853027
Tut4,5.03000020980835
Elmsan1,5.010000228881836
Gramd3,4.949999809265137
Tbx21,4.909999847412109
Cmah,4.900000095367432
Bach2,4.860000133514404
Lef1,4.78000020980835
Herc3,4.730000019073486
Emb,4.71999979019165
Atp2b4,4.699999809265137
Diaph1,4.599999904632568
Ncald,4.559999942779541
Peak1,4.53000020980835
