gene_names,scores
Pdcd1,25.760000228881836
Uhrf2,25.510000228881836
Ctla4,23.270000457763672
Prkca,23.219999313354492
Tox,23.1299991607666
Ighm,21.239999771118164
Mmp16,20.75
Nrp1,20.100000381469727
Gpr55,19.959999084472656
Rora,19.34000015258789
Lclat1,18.829999923706055
Cpd,18.489999771118164
Gldc,17.790000915527344
Mfhas1,17.770000457763672
Irak2,17.600000381469727
Cxcr6,16.459999084472656
Emb,16.389999389648438
Myo1e,16.170000076293945
Eea1,15.930000305175781
Pecam1,15.8100004196167
Litaf,15.720000267028809
Ciapin1,15.550000190734863
Pim2,15.140000343322754
Cblb,15.039999961853027
Il18r1,14.829999923706055
Irak3,14.729999542236328
Tnfrsf1b,14.710000038146973
Hif1a,14.529999732971191
Ptpn11,14.489999771118164
Nab1,14.34000015258789
Rab8b,14.329999923706055
Trps1,14.3100004196167
Plxdc2,14.079999923706055
Hip1r,13.90999984741211
Srgap3,13.859999656677246
Cd80,13.760000228881836
Trbc1,13.40999984741211
Sms,13.050000190734863
Fam107b,13.020000457763672
Msi2,12.899999618530273
Nek7,12.800000190734863
Stk39,12.75
Il6st,12.699999809265137
Arap2,12.069999694824219
Batf,11.9399995803833
Fam3c,11.829999923706055
Ttc39b,11.399999618530273
Serpinb9,11.350000381469727
Clic4,11.300000190734863
Cd9,10.979999542236328
Alcam,10.729999542236328
Mndal,10.640000343322754
Trim30a,10.59000015258789
Crybg3,10.279999732971191
Ptpn13,10.140000343322754
Flnb,10.130000114440918
Ifi203,10.119999885559082
Ccdc50,9.989999771118164
Snx9,9.90999984741211
Plscr1,9.8100004196167
Dram2,9.770000457763672
Rel,9.6899995803833
Cd44,9.640000343322754
Fam169b,9.59000015258789
Ifi35,9.470000267028809
Rgs16,9.399999618530273
Icos,9.3100004196167
Stat2,9.25
Bcl2a1d,9.180000305175781
Adap1,9.170000076293945
Bcl2,9.109999656677246
Ndfip1,9.09000015258789
D16Ertd472e,9.010000228881836
Itga4,8.989999771118164
Bend4,8.9399995803833
Dennd2d,8.829999923706055
Itgb1,8.779999732971191
Mindy3,8.720000267028809
Samsn1,8.600000381469727
Ptpn6,8.5600004196167
Mmd,8.520000457763672
Arl14ep,8.510000228881836
Gimap5,8.479999542236328
Kdm5b,8.449999809265137
Cd6,8.420000076293945
Clint1,8.289999961853027
Inpp4b,8.010000228881836
Ifi206,8.010000228881836
Phf11c,7.949999809265137
Trim12c,7.900000095367432
Grap,7.789999961853027
Slfn8,7.769999980926514
Stk24,7.679999828338623
Prag1,7.650000095367432
Prdm1,7.599999904632568
Cwc15,7.579999923706055
Adk,7.46999979019165
Zeb1,7.380000114440918
Furin,7.340000152587891
Lyst,7.309999942779541
Fam53b,7.300000190734863
Fut8,7.099999904632568
Ube2b,7.010000228881836
Ikbke,6.929999828338623
Slamf6,6.929999828338623
Ifih1,6.710000038146973
Trim34a,6.690000057220459
Kdm6b,6.510000228881836
Fam129a,6.429999828338623
Tnfrsf9,6.429999828338623
Bhlhe40,6.369999885559082
Adora2a,6.349999904632568
Ubash3b,6.329999923706055
Ppm1h,6.289999961853027
Mdfic,6.170000076293945
Arntl,6.019999980926514
Ulbp1,6.010000228881836
Oas1a,5.949999809265137
Casp3,5.849999904632568
Acoxl,5.829999923706055
Ifi213,5.699999809265137
Timm17a,5.670000076293945
Zc3h15,5.659999847412109
Ddx1,5.630000114440918
Lax1,5.579999923706055
Rnf213,5.510000228881836
Eif2ak2,5.480000019073486
Dgat1,5.460000038146973
Sema7a,5.429999828338623
Dgka,5.360000133514404
Galnt3,5.320000171661377
Siah2,5.28000020980835
Jaml,5.170000076293945
Sh3bp5,5.170000076293945
Ttc39c,5.159999847412109
Gimap8,5.070000171661377
Itsn2,5.059999942779541
Arhgap30,5.0
Slc28a2,4.920000076293945
Zc3h6,4.920000076293945
Lgals3,4.900000095367432
Pitpnm2,4.860000133514404
Ubash3a,4.860000133514404
Rnf216,4.710000038146973
Crtc3,4.679999828338623
Ccr9,4.659999847412109
Dcun1d5,4.650000095367432
Rab27a,4.619999885559082
Klrc1,4.610000133514404
Bspry,4.579999923706055
Ikzf2,4.570000171661377
Ipcef1,4.539999961853027
Hacd3,4.480000019073486
Odc1,4.46999979019165
Parp14,4.46999979019165
Plac8,4.449999809265137
Pnpla7,4.429999828338623
Gpatch4,4.400000095367432
Fam102a,4.360000133514404
Atf7ip,4.360000133514404
Nlrc3,4.329999923706055
Prex1,4.309999942779541
Pcgf5,4.28000020980835
Cdk6,4.269999980926514
Aff3,4.260000228881836
Aplp2,4.260000228881836
Smn1,4.25
Trim12a,4.239999771118164
Rasa3,4.190000057220459
Gramd3,4.150000095367432
Gna15,4.110000133514404
Gpr183,4.059999942779541
Arl5c,4.039999961853027
Akap8l,4.039999961853027
Ddx24,3.950000047683716
Usp3,3.880000114440918
Itga1,3.7899999618530273
Il2rb,3.7699999809265137
Trdc,3.700000047683716
Syne1,3.700000047683716
Acsbg1,3.700000047683716
Xdh,3.6600000858306885
Agpat4,3.5999999046325684
Arhgap15,3.509999990463257
Tmem71,3.509999990463257
Hip1,3.4700000286102295
Ikbkb,3.430000066757202
Parp9,3.380000114440918
Rnf138,3.3399999141693115
