gene_names,scores
Esm1,29.1200008392334
Slc3a2,28.899999618530273
Rilpl2,24.850000381469727
Ptpn11,23.889999389648438
Rgcc,22.989999771118164
Ifrd1,22.25
Tnf,22.170000076293945
Tnfrsf1b,21.969999313354492
Irf4,21.229999542236328
Galnt3,21.049999237060547
Itga1,20.899999618530273
Gimap6,20.489999771118164
Casp3,20.100000381469727
Ddx5,19.93000030517578
Pycard,19.43000030517578
Klrg1,19.040000915527344
Icos,18.479999542236328
Dusp4,17.940000534057617
Prdm1,17.90999984741211
Rel,17.889999389648438
Trbc1,17.350000381469727
Nr4a2,17.270000457763672
Rgs16,16.959999084472656
Zmiz1,16.8799991607666
Hip1r,16.809999465942383
Grap2,16.5
Fntb,15.979999542236328
Adora2a,15.960000038146973
Ccnl1,15.869999885559082
Bcl2a1d,15.75
Pcna,15.65999984741211
Ifi214,15.479999542236328
Fam3c,15.210000038146973
Crybg3,14.779999732971191
Serpinb6b,14.75
Irak3,14.65999984741211
Tnfrsf9,14.350000381469727
Mcm7,14.319999694824219
Sp100,14.260000228881836
Dis3,14.15999984741211
Furin,14.15999984741211
Stk10,14.15999984741211
Cdkn1a,13.949999809265137
Pdcd1,13.899999618530273
Hacd3,13.84000015258789
Khsrp,13.829999923706055
Lrp6,13.779999732971191
Spcs2,13.640000343322754
Apobec2,13.479999542236328
P4hb,13.239999771118164
Srsf5,13.140000343322754
Smpdl3b,12.880000114440918
Hif1a,12.850000381469727
Nsd2,12.4399995803833
Txnl1,12.3100004196167
Batf,12.210000038146973
Ccdc18,12.130000114440918
Ifng,12.0600004196167
Ccr2,11.979999542236328
Ppm1g,11.890000343322754
Klf3,11.819999694824219
Fam102a,11.779999732971191
Ppp1r12a,11.760000228881836
Pmaip1,11.739999771118164
Galnt6,11.649999618530273
Adam19,11.579999923706055
Mcm4,11.420000076293945
Hnrnpr,11.350000381469727
Haus4,11.3100004196167
Ms4a6b,11.239999771118164
Usp1,11.170000076293945
Trps1,11.140000343322754
Lrmp,11.020000457763672
Tedc1,10.949999809265137
Snrnp40,10.899999618530273
Rbms1,10.65999984741211
Cdk6,10.65999984741211
Gzmk,10.550000190734863
Zeb2,10.4399995803833
Ptpn6,10.430000305175781
E2f1,10.40999984741211
Ctla2a,10.40999984741211
Plk4,10.390000343322754
Siah2,10.3100004196167
Mrpl20,10.149999618530273
Rap1gap2,10.029999732971191
Dusp10,9.890000343322754
Iqgap2,9.869999885559082
Rbbp7,9.859999656677246
Atad2,9.829999923706055
Slbp,9.8100004196167
Prf1,9.8100004196167
Ilf2,9.779999732971191
Hnrnpu,9.760000228881836
Serf1,9.680000305175781
Naf1,9.649999618530273
Gmnn,9.5600004196167
Hdlbp,9.489999771118164
Cd2ap,9.449999809265137
Supt16,9.4399995803833
Nasp,9.399999618530273
Nop58,9.279999732971191
Clic4,9.15999984741211
Ubash3b,9.130000114440918
Ctla4,9.079999923706055
Fam110a,8.970000267028809
Ercc6l,8.9399995803833
Slc20a1,8.869999885559082
Mboat1,8.59000015258789
Blm,8.510000228881836
Ddx58,8.5
Hnrnpd,8.489999771118164
Gem,8.4399995803833
Exo1,8.430000305175781
S100a6,8.34000015258789
Wdr95,8.319999694824219
Trappc1,8.270000457763672
Eri1,8.270000457763672
Smc1a,8.229999542236328
Nbn,8.220000267028809
Map2k3,8.220000267028809
Sytl2,8.1899995803833
Tbx21,8.15999984741211
Pask,8.039999961853027
Rif1,7.920000076293945
Bhlhe40,7.889999866485596
Reep5,7.809999942779541
Naa50,7.800000190734863
Rfc1,7.760000228881836
Pole,7.71999979019165
Dck,7.659999847412109
Osbpl3,7.630000114440918
G3bp1,7.630000114440918
Ncapg2,7.590000152587891
Pdia3,7.53000020980835
E2f8,7.53000020980835
G2e3,7.53000020980835
Mybl2,7.53000020980835
Card11,7.5
Emb,7.480000019073486
Ncaph,7.46999979019165
Id2,7.429999828338623
Nars,7.420000076293945
Caprin1,7.420000076293945
Cenpi,7.380000114440918
Ppp1r8,7.380000114440918
Calm3,7.369999885559082
Ifngr1,7.349999904632568
Ms4a4c,7.320000171661377
Klhl6,7.309999942779541
Mrpl15,7.289999961853027
Ppat,7.28000020980835
Phf11b,7.28000020980835
Dennd2d,7.28000020980835
D030056L22Rik,7.239999771118164
Rrm1,7.230000019073486
Coq7,7.130000114440918
Snrpd1,7.090000152587891
Siah1b,6.909999847412109
Mrpl28,6.909999847412109
Cct5,6.900000095367432
Ezh2,6.880000114440918
Arsb,6.840000152587891
Larp7,6.800000190734863
Mlf1,6.789999961853027
Ikzf3,6.769999980926514
Tnrc6c,6.769999980926514
Brca1,6.610000133514404
Usp14,6.570000171661377
Mcm5,6.550000190734863
Glipr1,6.539999961853027
Srsf2,6.409999847412109
Cfap20,6.349999904632568
Orc6,6.340000152587891
Dnmt1,6.340000152587891
Eif3c,6.289999961853027
Fbxo5,6.289999961853027
Nup133,6.25
Rbl1,6.230000019073486
Pif1,6.230000019073486
Rad54b,6.210000038146973
Ccl4,6.199999809265137
Ssrp1,6.079999923706055
Nup155,6.079999923706055
Hk2,6.050000190734863
Lck,6.039999961853027
Baz1b,6.010000228881836
Ints7,6.0
Cep57,5.929999828338623
Parp1,5.920000076293945
Sorl1,5.909999847412109
Cdca2,5.829999923706055
Tut4,5.769999980926514
Dscc1,5.730000019073486
Dsn1,5.659999847412109
Wdhd1,5.630000114440918
Cd47,5.619999885559082
Picalm,5.570000171661377
Hirip3,5.559999942779541
Umps,5.559999942779541
Ttc3,5.559999942779541
Kntc1,5.550000190734863
Il10ra,5.550000190734863
Zfp36l1,5.429999828338623
Mad2l1,5.429999828338623
L3mbtl3,5.409999847412109
Ubap2,5.400000095367432
Hells,5.349999904632568
Rrm2,5.329999923706055
Chek2,5.320000171661377
Polr2f,5.269999980926514
Ppih,5.269999980926514
Csrp1,5.230000019073486
Rpa1,5.199999809265137
Smchd1,5.170000076293945
Pik3ap1,5.159999847412109
Ppp1r13b,5.119999885559082
