gene_names,scores
Gldc,9.170000076293945
Smpdl3b,6.53000020980835
Cd47,6.230000019073486
Cmtm7,5.820000171661377
Wdr95,5.329999923706055
Rsrp1,5.210000038146973
Rnf213,5.070000171661377
Tnfrsf9,5.0
Slc20a1,4.960000038146973
Kmt5b,4.900000095367432
Fyb,4.840000152587891
St3gal6,4.78000020980835
Ifi203,4.699999809265137
Hip1r,4.559999942779541
Ncald,4.510000228881836
Pik3r1,4.489999771118164
Bcl2,4.489999771118164
Ncaph2,4.400000095367432
Klrc1,4.380000114440918
S100a6,4.369999885559082
Arl14ep,4.349999904632568
Top2a,4.340000152587891
Znrf1,4.260000228881836
Uhrf2,4.25
Trappc1,4.239999771118164
Fbxl20,4.230000019073486
Evl,4.199999809265137
Fam160a2,4.159999847412109
Ccr2,4.119999885559082
Ctla4,4.099999904632568
Ncapd3,4.03000020980835
Prdm1,3.990000009536743
Hk2,3.9600000381469727
Cx3cr1,3.930000066757202
Il6st,3.9200000762939453
Trim12c,3.859999895095825
Hdhd5,3.859999895095825
Ulbp1,3.8499999046325684
Senp7,3.809999942779541
Mga,3.7699999809265137
Metap2,3.7200000286102295
Tut4,3.6600000858306885
Trim30d,3.6600000858306885
Pim2,3.559999942779541
Mtbp,3.549999952316284
Fam169b,3.5299999713897705
Itgb2,3.5
Fam107b,3.440000057220459
Ski,3.440000057220459
Tecpr1,3.4200000762939453
Arhgap30,3.4200000762939453
Thoc2l,3.390000104904175
Retreg1,3.380000114440918
Emp1,3.299999952316284
Il7r,3.2899999618530273
Rora,3.2799999713897705
Lax1,3.2699999809265137
Chd3,3.259999990463257
Ctla2a,3.25
Ppp1r12a,3.1700000762939453
Nlrc3,3.1500000953674316
Gnai2,3.109999895095825
Dock2,3.109999895095825
Icos,3.109999895095825
Akap8l,3.0899999141693115
Itga4,3.069999933242798
Psmd11,3.069999933242798
Hnrnpr,3.049999952316284
Ifi213,3.0299999713897705
Batf,3.0199999809265137
Gbp3,3.0
Gpr183,2.9600000381469727
Arhgef3,2.9200000762939453
Plac8,2.9200000762939453
Rab8b,2.8499999046325684
Trim12a,2.8399999141693115
Ctss,2.7799999713897705
Sema7a,2.7699999809265137
Il10ra,2.759999990463257
Tacc3,2.75
Syne1,2.75
Ttc39b,2.7300000190734863
Cxcr6,2.7100000381469727
Klrc2,2.700000047683716
Spcs2,2.6600000858306885
Rabac1,2.630000114440918
Flnb,2.619999885559082
Phf11b,2.609999895095825
Cwc15,2.569999933242798
Ifi206,2.569999933242798
Kdm5b,2.5399999618530273
Ikzf2,2.4200000762939453
Kdm7a,2.4000000953674316
Dusp5,2.390000104904175
Grap2,2.380000114440918
Ccnd2,2.359999895095825
Snrpb,2.359999895095825
Pole,2.3499999046325684
Casp3,2.3499999046325684
Ift80,2.319999933242798
Slc14a1,2.299999952316284
Ddx24,2.240000009536743
Pdk1,2.2200000286102295
Slc12a7,2.2200000286102295
Lcn4,2.2200000286102295
Ikbke,2.2100000381469727
Rnf216,2.1600000858306885
Ube2b,2.1600000858306885
Golim4,2.1500000953674316
Tnrc6b,2.1500000953674316
Slc49a4,2.140000104904175
Ubash3a,2.130000114440918
Pde7a,2.130000114440918
Il2ra,2.0999999046325684
Klf3,2.0899999141693115
Sun1,2.059999942779541
Jaml,2.049999952316284
Il21r,2.0
Cblb,1.9900000095367432
Gimap3,1.9800000190734863
Trim34a,1.9600000381469727
Reep5,1.9299999475479126
Eif3c,1.8600000143051147
Taf15,1.8300000429153442
Atp2b4,1.8200000524520874
Cd86,1.7899999618530273
Kdm6b,1.7699999809265137
Incenp,1.7599999904632568
Sgk1,1.7599999904632568
Rel,1.75
Mndal,1.6799999475479126
Tcf7,1.6699999570846558
Lin9,1.659999966621399
Fosb,1.659999966621399
Sidt1,1.649999976158142
Dennd2d,1.6299999952316284
Prpf40a,1.6200000047683716
Rad21,1.6100000143051147
Daxx,1.590000033378601
Dhx9,1.590000033378601
Sytl2,1.5800000429153442
Il18r1,1.559999942779541
Acsbg1,1.559999942779541
Ablim1,1.559999942779541
Fosl2,1.5499999523162842
Ptpn6,1.5499999523162842
Eea1,1.5499999523162842
Kif1b,1.5
Stard10,1.4900000095367432
Cd6,1.4900000095367432
