gene_name,P1,P3,P5,P7,P6,P2,P4
Nsun2,1.6245345,-2.3819642,7.735546,-0.71371734,-0.13761586,-2.7369835,-0.52996105
Vim,-8.001531,-1.4592117,-0.19457257,-1.6399328,-0.9291027,0.43514082,-0.6973686
Bcl2l1,-7.244489,-1.3262446,0.051641766,0.22381657,0.06659887,0.38576764,-0.276003
Ybx3,-8.156788,-2.0683641,0.71182746,0.39360166,-1.23275,0.08315206,-0.114683725
Snx10,-7.5228276,0.01092415,-0.12993354,0.06430234,0.45246762,1.8778188,0.6735652
Prdm1,-5.542516,-0.71221477,-0.26458713,0.08473509,-0.8402974,0.6625652,-0.75268465
Lamc1,-6.6471305,0.08931567,0.22289039,-0.3510702,-0.7570286,0.8197646,0.3827504
Ctps,-10.028023,-2.1660852,-0.19005813,-0.15603009,2.6316383,-0.17072226,0.895018
Amd1,-11.602625,-0.21786551,1.0273602,0.9722943,0.6554603,-1.2813772,0.4067012
Pdss1,-9.884344,-0.61452436,0.82888323,0.61925256,-0.14010404,0.3037352,0.40221983
Gars,-8.755366,-0.9755747,0.059108086,1.6989836,-0.37949544,0.29869455,0.10676994
Hspa5,-9.305514,-1.1405171,0.3404778,0.7555434,1.6638533,-0.7709245,-0.048309755
Slc16a6,-9.2201395,-0.8802204,0.38289115,-0.7977253,0.75753295,-0.43343922,-0.246559
Cx3cr1,0.0,5.4529853,-0.181017,0.7737612,2.6844459,0.47035763,0.033477113
Klf6,-0.36537072,0.9445759,-2.1560733,-5.249266,-1.6309319,0.26275897,-1.2074062
Tnf,3.3906808,1.0748328,3.3535843,2.006006,-0.93918175,1.6454703,1.1866872
Slc14a1,1.5577415,2.5003633,1.364196,1.6764996,0.5967531,-0.43002182,0.19745263
Nolc1,0.30826166,-3.8626373,-0.20200104,-1.0923067,-0.34364727,-0.591397,0.645597
Rps9,0.87889296,-0.46901307,-1.2472056,1.7278262,-1.6400487,0.31087375,0.89884263
Mfhas1,1.9546015,-0.999805,-1.3779943,0.3444979,-1.3375801,-0.5422274,0.3283869
Ccdc58,-1.0743076,0.013392026,1.3755692,0.8443415,2.210731,-0.35332462,0.75240964
Clic4,-0.9269869,-2.4775558,0.81524295,0.12973486,-1.6030716,-0.40969804,-0.345659
Ube2q2,-1.4797323,-0.31440756,0.7375264,-1.0216644,-0.50269854,0.9092997,0.6364113
Suclg2,-0.9215863,-1.5014889,0.6677568,-1.8322954,-0.96623224,-0.10920814,0.6286888
Larp4,-3.79164,-0.55645084,0.09596516,-0.32877403,-0.60469663,-0.42361727,-0.3483809
D16Ertd472e,-2.7425294,-0.8925347,0.47909713,0.56000936,-0.17702566,-0.31450006,-0.051341537
Tbcd,-3.2871678,0.71637386,0.84433866,0.13746853,0.42482162,-0.318409,0.41227278
Rdx,-3.383039,0.3448867,0.32717022,-0.40678135,-0.93960655,0.27212885,0.76454777
Tes,-2.2829304,0.27725604,-0.23954652,0.089940175,-0.077188335,0.6631817,0.24086672
Atp2a2,-2.6026444,0.07684674,-0.20300439,0.0029907718,-0.27013564,0.06163653,0.33355162
Mthfd2,-2.314511,-0.08667986,-0.11399454,-0.2570391,-0.16797477,0.28078705,0.45675433
Sfi1,-0.9401819,-0.7238504,-0.13902009,-0.062579125,-0.62651986,-0.93753284,0.33802143
Ddx21,-1.1856151,0.05059782,-0.44003284,0.08808589,-0.22508368,-1.260647,-0.11835043
Prdm2,-2.0760195,-0.58593744,0.040417492,0.18928964,0.4475151,-1.3342956,-0.23715237
Exosc1,-1.4817202,0.12651984,0.47920546,0.6843758,0.43340003,-0.6015347,0.22266668
Rab10,-1.9008367,-0.086574666,0.08030846,-0.08351985,0.069037996,-0.5038879,0.03922648
Canx,-1.3854195,1.7543753,0.1505408,-0.082417496,-0.01897953,-0.22655751,0.35325372
Eif2b3,-1.3468791,1.7300099,0.28351372,-0.33004934,-0.07674769,-0.688857,0.09796877
Iars,-2.051664,0.62064034,0.037061438,-1.2961386,0.11919508,-0.7333879,-0.1753306
Notch2,-1.5846162,0.95823747,-0.48507783,-0.058975775,0.12714295,-1.5779549,-0.51157373
Elovl6,0.134867,0.70741254,-0.4484166,-0.3402511,2.1444945,-0.8036718,-0.856828
Rpl23,-0.27690133,1.528264,-0.7330179,-1.7353985,0.54930735,-0.50119585,-0.7657493
Nup160,-1.0726082,-0.20788115,-0.43718976,2.0432022,-0.2526216,-0.068864755,-0.21431297
Prrc1,-0.085318066,-0.86920744,0.384806,1.1715544,0.10384901,1.2924789,1.4558717
Eif2s2,-0.13798767,-0.32929707,0.3030367,2.4012904,0.13942192,1.1599976,0.85400647
