gene_name,P1,P2,P5,P7,P4,P3,P6
Cd74,4.732488,5.142464,1.8123647,-2.5141897,-4.5332007,2.540574,2.8557932
9930111J21Rik2,-9.312861,-0.09628444,-0.31030184,0.7998881,-0.58759695,1.4625893,-0.09011479
Oas1a,-8.502484,-1.2034706,-0.272849,-0.9159509,0.5592947,-0.9335126,-1.5400454
Pou2f2,-10.420196,-0.506553,-0.39631492,-1.1524214,-0.23384935,-0.24975233,-0.558597
Nsg2,-0.11972239,-3.7048697,1.3887295,2.1849887,-7.223606,-0.91997105,0.040734027
Dapk2,7.1545672,0.64993405,-0.42357585,0.4168882,0.030804684,0.41470355,0.3496597
Rgs10,-1.4957806,-2.923277,4.7363377,3.6294956,1.0184497,-1.1825646,0.73043054
St8sia1,-0.29857096,-2.5311177,0.55209446,4.311755,-0.84525865,0.7281138,0.92961943
Itgae,1.1719769,-1.6077701,1.207424,4.4470396,-1.7774471,-2.787031,0.036739066
Tcp11l2,0.06593377,-3.5596924,-4.3651676,-0.7899558,-0.45837656,0.082847305,1.3514308
Tmem243,-4.1517563,-0.73669624,0.007003648,1.2788281,0.2163064,0.179649,-0.071987815
Itm2b,-5.087945,0.74618244,-0.24552317,0.6550616,0.21465248,1.8005891,-0.45204702
Parp11,-3.5425491,-0.60875654,0.9635023,0.048239235,0.69020784,-2.9184978,-0.595134
Slfn8,-5.208014,-1.0064355,-1.5149088,-1.4904013,-0.8300539,-2.9826047,-1.5542431
Iigp1,0.24824668,-3.1382315,5.4803987,0.23608924,-2.9805207,0.9551466,-0.07112502
Rapgef4,0.29985794,-2.7464595,3.0944486,-0.73224974,-1.1814795,-0.15551873,0.6544376
Tnfsf8,0.6372864,-2.2452977,3.7519255,-1.1872965,-2.3616676,-1.1209122,-0.79250675
Cd163l1,2.6530058,0.49125248,-2.135536,-3.0189083,-0.6228496,2.1198783,0.50945055
Ifi214,1.4194372,-1.8883165,0.083889276,1.9758459,0.7631942,-1.1299738,3.663042
Shisa5,0.30067584,-0.740875,-0.11579146,1.4044932,-0.59540176,2.3496397,2.8224607
Inpp5k,0.8894596,0.5485502,2.3412411,2.9403737,0.13175493,3.1456602,1.366307
Klf2,0.21757941,0.38363114,-1.3396599,-1.8959949,0.5468331,-1.3471026,2.249919
Vav3,0.23453811,-1.6250453,1.8085108,0.30511057,-0.22660148,-0.9560914,-0.44596112
Crtam,1.8902693,-2.389579,0.72619945,0.44568136,-1.456561,-0.40403062,0.70953864
Zfp831,1.3449081,-2.2490237,1.5153106,0.70653534,-0.03743146,0.014825005,0.99108946
Patj,-0.3056098,-3.0744236,1.0781987,0.08625466,-1.6554677,-1.449116,0.7033604
Pacsin1,0.044498846,-3.8278115,0.61635256,-1.4408153,-0.60649705,-0.79494447,-1.124387
Aff3,0.016303498,-3.1828907,0.54548866,-1.2299211,-0.91797864,-0.11705588,-0.18968304
Pgap2,0.93538296,-1.3231683,-0.18469518,-1.5634425,-0.7477161,0.8356774,1.0522662
Ift80,1.1872327,-0.7875952,-1.3456198,-1.5879074,-0.5481084,1.6394539,1.3939351
Ccnd3,0.05697865,-2.9824238,0.23833375,1.6094686,-0.7923316,0.23745084,0.80681884
Zhx2,-0.56053686,-1.785124,0.41227704,2.0573256,-0.52392715,-0.17573665,0.9170528
Klrd1,0.1565644,-1.2363281,-0.3902023,1.9804094,-0.27471468,1.3605988,0.71713114
Dusp10,-0.0864735,-1.0620705,-0.25324428,1.1549757,0.22394145,0.14429556,1.6126521
Rab3ip,-0.5315388,-1.1521434,-0.32010922,1.6823151,0.5155379,0.013068241,1.2380321
Ctss,-0.76799667,-0.81832373,0.8621201,-0.9154709,0.37314606,0.5691479,1.1679144
Acss1,-0.15884629,-1.3481166,0.95561624,1.044953,1.0650963,1.0664058,1.0625213
