wilcoxon,t-test,t-test_overestim_var
Klrg1,Klrg1,Klrg1
Arl4c,Arl4c,Arl4c
Ly6c2,Gzma,Ly6c2
Ccr2,Ly6c2,Gzma
Gzma,Ccr2,Ccr2
Lat,Hopx,Hopx
Hopx,Zeb2,Zeb2
Cd8b1,Esm1,Cd8b1
Ccl5,Ass1,Esm1
Krtcap2,Cd8b1,Ass1
Klf2,Jak1,Jak1
Jak1,Ccl5,Ccl5
Rap1b,S1pr5,S1pr5
Ass1,Lat,Lat
Zeb2,Klf2,Klf2
H2-Q10,Chchd10,Chchd10
Esm1,Cx3cr1,Klf3
H2-Q7,Klf3,Rap1b
Ctla2a,H2-Q10,H2-Q10
Anxa1,Rap1b,Cx3cr1
Ier2,H2-Q7,H2-Q7
Klf3,Ier2,Krtcap2
Gzmk,Krtcap2,Ier2
Macroh2a1,Slco3a1,Slco3a1
Fth1,Fos,Ctla2a
Atp1b3,Gzmk,Gzmk
Tagln2,Ctla2a,Fos
Chchd10,As3mt,As3mt
Klf6,Anxa1,Anxa1
Fos,Ccdc88c,Ccdc88c
Ahnak,Rara,Rara
Ccr5,Borcs7,Borcs7
Slco3a1,Gabarapl2,Gabarapl2
Sema4a,Ccr5,Macroh2a1
Ccdc88c,Macroh2a1,Ccr5
Ywhaq,Sema4a,Klf6
H3f3b,Wdr95,Sema4a
Hspa8,Klf6,Wdr95
Zyx,Fcgrt,Fcgrt
Gabarapl2,1700025G04Rik,1700025G04Rik
Cyba,Acss2,Ahnak
Eef1d,Ahnak,Srsf5
Dnaja1,Srsf5,Acss2
Srsf5,Atp1b3,Atp1b3
Ccnd3,Bcl11b,Fth1
Rasgrp2,Fth1,Zyx
Cx3cr1,Zyx,Bcl11b
Bcl11b,Runx1,H3f3b
Klrd1,H3f3b,Klrd1
H2-Q6,Klrd1,Runx1
Ppp2r5a,Smpdl3b,Apbb1ip
Wdr95,Nhsl2,Smpdl3b
Rara,Apbb1ip,Cyba
1700025G04Rik,Cyba,Nhsl2
Apbb1ip,Slc20a1,Slc20a1
S1pr5,H2-Q6,H2-Q6
Rps14,Il18rap,Il18rap
Borcs7,Txk,Txk
Emp3,Grap2,Grap2
Ccnd2,Fcgr2b,Capn2
As3mt,Capn2,Ncald
Trav14-1,Ncald,Tagln2
Spn,Zmiz1,Rsu1
Ncald,Rsu1,Zmiz1
Eef1g,Tagln2,Trav14-1
Capn2,Trav14-1,Rps14
Grap2,Klre1,Fcgr2b
Ankrd11,Rps14,Ppp3ca
Rpl19,Idh2,Idh2
Hsph1,Ppp3ca,Hspa8
Iqgap2,Hspa8,Iqgap2
Ppp3ca,Iqgap2,Selplg
Ddx3x,Hsph1,Hsph1
Npc2,Selplg,Klre1
Hspe1,Ccnd3,Ccnd3
Selplg,Mt3,Mt3
Pycard,Gzmm,Spn
Cdc37,Spn,Emp3
Znrf2,Ppp1r12a,Gzmm
Rpl5,Emp3,Ppp1r12a
Supt4a,Cmah,Cmah
Runx1,Ddx3x,Ddx3x
Fcgrt,Dock5,Dock5
Slc20a1,Sgk1,Sgk1
Rps15,Nr4a1,Nr4a1
Smpdl3b,Znrf2,Znrf2
Rsu1,Zfp652,Rpl19
Gpx4,Rpl19,Itgb2
Klrk1,Itgb2,Zfp652
Rpl9,Ifitm10,Ppp2r5a
Rpl13a,Ppp2r5a,Ywhaq
Npm1,Sp100,Sp100
Ube2d3,Ywhaq,Rasgrp2
Itgb2,Rasgrp2,Npc2
Hnrnph1,Npc2,Ifitm10
Cmah,Itgax,Gzmb
Ppp1r12a,Selenom,Itgax
Zmiz1,Ankrd11,Ankrd11
Snrpd3,Junb,Selenom
Sp100,Egr1,Junb
S1pr4,Olfr1369-ps1,Egr1
Srp19,Slc4a7,Klrk1
Pabpc1,Fasl,Slc4a7
Idh2,Gzmb,Ccnd2
Txk,Klrk1,Olfr1369-ps1
Rps3,Phf21a,Fasl
Diaph1,Ccnd2,Phf21a
Dnajb6,Zdhhc20,Ier5
Ugcg,Ier5,Zdhhc20
Id2,Ppp1r15a,Ppp1r15a
Slc9a3r1,Il17ra,Emp1
Rpl23a,Emp1,Dnaja1
Ppp1r15a,Dnaja1,Il17ra
Tuba4a,Fam129b,Ugcg
Emp1,Ugcg,Fam129b
Il18rap,Dnph1,Ankrd44
Ankrd44,Ankrd44,Dnph1
Itgax,Otulinl,Otulinl
Acss2,Ddx5,Ddx5
Xrn2,Scd2,S1pr4
Ppp4r2,Diaph1,Scd2
Arl6ip5,S1pr4,Diaph1
Rpl24,Hid1,Usp48
Otulinl,Usp48,Hid1
Runx3,Adgre5,Adgre5
Eif5a,Pik3cd,Pik3cd
Nr4a1,Lfng,Npm1
Fkbp3,Npm1,Lfng
Cd69,Ppp4r2,Ppp4r2
Sgk1,Rps27,Rpl5
Higd1a,Galnt10,Rps27
Thy1,Rpl5,Rpl24
Mt3,Rap2a,Galnt10
Adgre5,Rpl24,Rap2a
Rpl36,Mylip,Tcf3
Ptges3,Tcf3,Pik3r1
Twf2,Pik3r1,Id2
Eif5,Tanc1,Rps15
Ostf1,Gpx8,Rpl9
Cmtm7,Id2,Mylip
Zfp652,Rps15,Supt4a
Ncl,Tuba4a,Tuba4a
Rpl37a,Supt4a,Klf13
Rpl27,Klf13,Btg2
Fus,Tesc,Tanc1
Selenom,Btg2,Xrn2
Usp48,Rap1gap2,Tesc
4930523C07Rik,Rpl9,Rpl13a
Btg2,Kdm7a,Rap1gap2
Scd2,Xrn2,Kdm7a
Pik3r1,Rpl13a,Ube2d3
Egr1,Golm1,Rora
H2-D1,Rora,Golm1
Cct6a,Cmklr1,Kif21b
Tomm20,Ube2d3,Thy1
Eif1,Kif21b,Gpx8
Fkbp4,Lair1,Lair1
Klf13,Thy1,Eif1
Tcf3,Fabp5,Cmklr1
Ddx5,Rapsn,Fabp5
Kif21b,Spata13,Rpl37a
Pik3cd,Cd24a,Rps3
Ier5,Pag1,Rapsn
Il17ra,Eif1,Pag1
Kpna4,Rpl37a,Spata13
Rbms1,Smad3,Cd24a
Txndc5,Rapgef2,Smad3
Eif4a2,Ypel3,Ypel3
Gzmm,Rps3,Rapgef2
Junb,Atp2a3,Arl6ip5
Plin2,Fgf13,Atp2a3
Aldoa,Arl6ip5,Ostf1
Eomes,Gtf2i,Gtf2i
Mgst2,Ostf1,Fgf13
Npm3,Ski,Rras2
Hsp90aa1,Plcg1,Ski
Lck,Rras2,Plcg1
Rras2,Gab3,4930523C07Rik
Epas1,Srcin1,Tprgl
Dnph1,Tprgl,Tm6sf1
Zdhhc20,Tm6sf1,Kpna4
Snx5,4930523C07Rik,Eif4a2
U2af1,Kpna4,Rcn3
Selenok,Rcn3,Txndc5
Rcn3,Atp5h,Atp5h
Lfng,Eif4a2,Cd69
Lair1,Eef1d,Gab3
Cd8a,Txndc5,Eef1d
Cdv3,Fosb,Chd7
Atp5h,Cd69,Fosb
Pag1,Chd7,Lck
Rps4x,Crim1,Epas1
Tesc,Epas1,Slc9a3r1
Chchd2,Lck,Crim1
Atf4,Slc9a3r1,Esyt2
Rack1,Ogfrl1,Pgm2l1
Manf,Pgm2l1,Srcin1
Golm1,Esyt2,Ogfrl1
Ccnl1,Chd3,Chd3
Tuba1a,Zmynd11,Zmynd11
Slc4a7,Nod1,Pik3r5
Tmed2,Pik3r5,Nod1
Olfr1369-ps1,H2-D1,Itk
Trdc,Itk,H2-D1
Rps27,H2-Q4,Pycard
Chd7,Sema4f,H2-Q4
Rpl29,Snx10,Snx10
Itk,Pycard,Rnf13
Cct8,Rnf13,Fam117a
Gm2a,Fam117a,Tut4
Gpx1,Batf3,Rbms1
Picalm,Mfsd14b,Fau
Bsg,Tut4,Sema4f
Cdc34,Fau,Mfsd14b
Fam129b,Nedd4,Nedd4
Rpl14,Fryl,Fryl
Ywhaz,Rbms1,Cdc37
Pcbp1,Itgam,Pabpc1
Rnf187,Cdc37,Trdc
Rac1,Znrf3,Itgam
Glipr2,Pabpc1,Ccnl1
Zfp36l2,Trdc,Rpl30
Rora,Ccnl1,Eomes
Mknk2,Tubb2b,Hspe1
Fasl,Eomes,Fus
Lrrfip1,Hspe1,Batf3
Dnajc3,Rpl30,Hnrnph1
Rpl30,Scarb1,Tubb2b
Tprgl,Hnrnph1,Rpl27
Tpst2,Orai2,Scarb1
Tnf,Actn2,Mgst2
Pdap1,Fus,Orai2
Zmynd11,Kcnj8,Zfp36l2
Saraf,Tle1,Znrf3
Nedd4,Mgst2,Bcl9l
Satb1,Bcl9l,Tle1
Esyt2,Zfp36l2,Fam189b
Ddx46,Rpl27,Actn2
Pik3r5,Golim4,Golim4
Cct2,Rptor,Dnajb6
Rap1gap2,Fam189b,Rptor
Itgam,Cpm,Cpm
Psip1,Dnajb6,Tbx21
Tm6sf1,Tbkbp1,Fam49a
Aqr,Fam49a,Tbkbp1
Nhsl2,Prss57,Gm2a
Itm2b,Xylt1,Kcnj8
Mt2,Tbx21,Xylt1
Fdps,Ccl9,Prss57
Dock5,Sbk1,Sbk1
Hspd1,Gm2a,Satb1
Fosb,Lats2,Arhgef18
Spata13,Arhgef18,Twf2
Srsf6,Chil5,Tnf
Tbx21,Satb1,Lats2
Gtf2i,Twf2,Card11
Cd24a,Tnf,Runx3
Ier3,Msc,Rasgrp1
Atp2a3,Card11,Ccl9
Ski,Rasgrp1,Rpl23a
Arl2bp,Runx3,Chil5
Flna,Lmna,Aqr
Atp1a1,Slc9a9,Fkbp4
Grb2,Eps8,Rpl29
Cct4,Rpl23a,Msc
Ablim1,Fkbp4,Slc9a9
Eif3a,Aqr,Eps8
Srsf11,Rpl29,Lmna
Eef2,Crybb1,Srp19
Ezr,Samd3,Gramd3
Plcg1,Srp19,Rps6ka3
Rrm2,Rps6ka3,Pepd
Tg,Gramd3,Gpx4
Fabp5,Pepd,Stard10
Dnajb11,Stard10,Crybb1
Pgm2l1,St8sia4,St8sia4
Cacybp,Gpx4,Eif5
Dpy19l1,Arhgdig,Tg
Canx,Tg,Samd3
Jun,Eif5,Arhgdig
Fam117a,Rxra,Cdc34
Cnbp,Ier3,Ier3
Galnt10,Hdhd5,Hcst
H2-K1,Hcst,Hdhd5
Rpl7,Cdc34,Mt2
Gramd3,Mt2,Plin2
Hnrnpc,Gpr180,Dusp5
Zfp706,Dusp5,Jun
H2-Q4,Slc9a7,Rxra
Timm23,Plin2,Gpr180
Rpl36al,Mbp,Ccne1
Snrpa1,Laptm5,Mbp
Serbp1,Jun,Laptm5
Pdia6,Armc7,Armc7
Lbr,Ccne1,Fdps
Ifitm10,Phf1,Slc9a7
Phf21a,Ptpn4,Ptpn4
Mfsd14b,Igfbp6,D1Ertd622e
D1Ertd622e,Fdps,Snx5
Smad3,D1Ertd622e,Rack1
Acat2,Vsir,Vsir
Tut4,Nebl,Phf1
Rab2a,Snx5,Igfbp6
Laptm5,Gm20696,Nebl
Scarb1,Rack1,Dpy19l1
Ccne2,Abi3,Sytl1
Sbk1,Sytl1,Picalm
Plin3,Mgat4a,Abi3
Uck2,Dpy19l1,Cd8a
Tbca,Picalm,Mgat4a
Gng12,B4galt1,B4galt1
Tra2b,Nck2,Rpl36
Eno1,Abhd16a,Gm20696
Rcn2,Cerk,Mknk2
Eif4b,Cd8a,Abhd16a
Golim4,Mknk2,Arl2bp
Cd47,Arl2bp,Nck2
Fam189b,Fam241a,Ablim1
Dock2,Rpl36,Cerk
Rpl6,Ablim1,Fam241a
Calm2,Hacd1,Dock2
Snx10,Dock2,Ccne2
Chd3,Vps37b,Vps37b
Fryl,Ccne2,St3gal4
Cuta,St3gal4,Atf4
Cpm,Smad7,Sidt1
Rpl17,Sidt1,Uck2
Fgf13,Atf4,Smad7
Vim,Uck2,Hacd1
Rapsn,Rcn2,Rcn2
Gcat,Rabac1,Rabac1
Ccne1,Tgfbr2,Tgfbr2
Bcl9l,Eef1g,Eef1g
Cluh,Pde4d,Rrm2
Brd1,Sorbs1,Pde4d
Pepd,Rrm2,Vps35
Rapgef2,Trat1,Dda1
Cab39,Tob1,Tob1
Card11,Vps35,Brd1
Ntpcr,Adrb2,Cbr1
Plec,Rasl11a,Adrb2
Tubb2b,Dda1,Ncln
Vps35,Cbr1,Sorbs1
Rps11,Brd1,Rangrf
Pcbp2,Ncln,Tnrc6b
