ChIP,ChIP gene #,enriched_nascent_48h_up__in__nascent_48h_dn,enriched_nascent_Il2_promoted__in__nascent_Il2_repressed,enriched_sc_d5_arm_up__in__sc_d5_cl13_up,enriched_sc_d8_arm_up__in__sc_d8_cl13_up,enriched_d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_Runx3_repressed,enriched_d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_Runx3_repressed,enriched_sc_P2_arm_up__in__sc_P2_cl13_up,enriched_sc_P3_arm_up__in__sc_P3_cl13_up,enriched_sc_P4_arm_up__in__sc_P4_cl13_up,enriched_sc_P5_arm_up__in__sc_P5_cl13_up,enriched_sc_P6_arm_up__in__sc_P6_cl13_up,enriched_sc_P9_arm_up__in__sc_P9_cl13_up
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,-,+,-,+,+,-,+,+,-,,,-
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,-,+,-,+,+,-,+,,-,-,-,-
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,-,,-,+,+,-,+,,-,,-,-
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,-,+,-,+,+,-,+,+,-,,,-
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,-,+,-,+,,-,+,+,-,,,-
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,+,+,-,+,+,,+,,,,,-
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,,,-,+,,-,+,,,,-,
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,,,,,,,,,,,,
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,,+,,+,+,,+,,,,,
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,,+,,+,+,,+,,,,,
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,,,-,+,+,-,,,,-,-,+
2017_PNAS_Li___STAT5B_noIL2-CD8,282,,,,,,,,,,,,
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,+,+,-,+,+,-,,,,-,-,
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,+,+,,+,+,-,+,,,,,-
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,,+,,+,+,-,,,,-,,
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,+,+,-,+,+,-,,,,-,-,
2017_PNAS_Li___STAT5B_IL2-CD8,2526,+,+,-,+,+,-,,-,,-,-,
2017_PNAS_Li___STAT5B_IL2-CD4,5394,+,+,-,+,+,-,+,-,,-,-,
2017_PNAS_Li___STAT3_noIL21-CD4,238,,,,,,,,,,,,
2017_PNAS_Li___STAT3_IL21-CD4,2779,-,,-,+,,-,+,,,-,-,
2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K4me3_IL2-CD4,13823,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,+,+,-,,+,,+,,-,-,,-
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,+,+,-,,+,,+,,,,,-
2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,+,+,-,,+,+,+,,,,,-
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,-,+,-,+,,,+,+,-,,,-
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,+,+,-,+,+,,+,+,-,,,-
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,,+,-,+,+,,+,+,-,,,-
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,11227,+,+,-,,+,,+,+,,,+,-
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,12275,,+,-,+,,-,+,+,,,,-
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,15671,+,+,-,,,,+,+,,,+,-
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,12083,+,+,-,+,,,+,+,,,,-
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,11565,,+,-,+,,-,+,+,,,,-
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,4470,+,,,+,+,,-,,,,,
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,8010,,,+,+,+,-,,,+,,,+
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,8024,,,+,+,+,-,,,+,,,+
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2344,+,+,+,,,-,-,,,,,
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,6290,-,+,-,+,+,,+,,-,,,-
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,11362,+,+,-,+,+,,+,+,,,,-
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,10683,+,+,-,+,+,,+,,,,,-
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,7810,-,+,-,+,+,-,+,+,-,-,-,-
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,12441,+,+,-,+,+,,+,,,,,-
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,12244,+,+,-,+,+,,+,,,,,-
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,5794,-,,-,+,-,-,+,,+,,-,
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,5983,,,+,+,+,-,,,+,,,+
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,5135,,,+,+,+,-,,+,+,,,+
