ChIP,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,650 (57.4%),482 (42.6%)
Other,7039 (19.4%),29240 (80.6%)
chisq,969.3763196450424
p-value,8.144299550120964e-213


ChIP,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,586 (51.8%),546 (48.2%)
Other,6455 (17.8%),29824 (82.2%)
chisq,827.0906940770672
p-value,6.953088377532369e-182


ChIP,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,903 (79.8%),229 (20.2%)
Other,12463 (34.4%),23816 (65.6%)
chisq,984.1069444654356
p-value,5.115297873044828e-216


ChIP,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,68 (6.0%),1064 (94.0%)
Other,702 (1.9%),35577 (98.1%)
chisq,88.28802058146755
p-value,5.658510258530875e-21


ChIP,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,5 (0.4%),1127 (99.6%)
Other,184 (0.5%),36095 (99.5%)
chisq,0.008680379241150993
p-value,0.9257696568806215


ChIP,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,395 (34.9%),737 (65.1%)
Other,4425 (12.2%),31854 (87.8%)
chisq,501.8140672501594
p-value,3.830604304840975e-111


ChIP,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,145 (12.8%),987 (87.2%)
Other,1388 (3.8%),34891 (96.2%)
chisq,223.14419148321568
p-value,1.8645620492132136e-50


ChIP,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,143 (12.6%),989 (87.4%)
Other,1396 (3.8%),34883 (96.2%)
chisq,212.5351697428665
p-value,3.8439615871927593e-48


ChIP,2017_PNAS_Li___STAT5B_noIL2-CD8
Target genes,d5_KLRG1lo_Runx3_promoted
Source genes,d5_KLRG1lo_all

,ChIP,None ChIP
Target,11 (1.0%),1121 (99.0%)
Other,236 (0.7%),36043 (99.3%)
chisq,1.2719184504667984
p-value,0.259407088221577


ChIP,2017_PNAS_Li___STAT5B_IL2-WT-CD4
