ChIP,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,1337 (63.8%),760 (36.2%)
Other,6352 (18.0%),28962 (82.0%)
chisq,2536.819246238735
p-value,0.0


ChIP,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,1260 (60.1%),837 (39.9%)
Other,5781 (16.4%),29533 (83.6%)
chisq,2473.065194189659
p-value,0.0


ChIP,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,1749 (83.4%),348 (16.6%)
Other,11617 (32.9%),23697 (67.1%)
chisq,2196.9184902189622
p-value,0.0


ChIP,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,114 (5.4%),1983 (94.6%)
Other,656 (1.9%),34658 (98.1%)
chisq,123.99066277374817
p-value,8.464095819005052e-29


ChIP,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,12 (0.6%),2085 (99.4%)
Other,177 (0.5%),35137 (99.5%)
chisq,0.08249455835249525
p-value,0.7739448997714417


ChIP,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,975 (46.5%),1122 (53.5%)
Other,3845 (10.9%),31469 (89.1%)
chisq,2232.818032223756
p-value,0.0


ChIP,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,386 (18.4%),1711 (81.6%)
Other,1147 (3.2%),34167 (96.8%)
chisq,1153.6681407056403
p-value,7.155998640567123e-253


ChIP,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,255 (12.2%),1842 (87.8%)
Other,1284 (3.6%),34030 (96.4%)
chisq,362.4832278382754
p-value,8.107245617995453e-81


ChIP,2017_PNAS_Li___STAT5B_noIL2-CD8
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,20 (1.0%),2077 (99.0%)
Other,227 (0.6%),35087 (99.4%)
chisq,2.4631066139954423
p-value,0.11654806843181477


ChIP,2017_PNAS_Li___STAT5B_IL2-WT-CD4
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,277 (13.2%),1820 (86.8%)
Other,1348 (3.8%),33966 (96.2%)
chisq,417.9942411463249
p-value,6.668464744358695e-93


ChIP,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,1229 (58.6%),868 (41.4%)
Other,6001 (17.0%),29313 (83.0%)
chisq,2195.988187099845
p-value,0.0


ChIP,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,974 (46.4%),1123 (53.6%)
Other,4224 (12.0%),31090 (88.0%)
chisq,1964.8415332390239
p-value,0.0


ChIP,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
Target genes,d5_KLRG1hi_Runx3_promoted
Source genes,d5_KLRG1hi_all

,ChIP,None ChIP
Target,276 (13.2%),1821 (86.8%)
Other,1307 (3.7%),34007 (96.3%)
chisq,434.86483910702725
p-value,1.419285952192002e-96


ChIP,2017_PNAS_Li___STAT5B_IL2-CD8
