ChIP,ChIP gene #,nascent_48h_up__in__nascent_48h_dn,nascent_Il2_promoted__in__nascent_Il2_repressed,sc_d5_arm_up__in__sc_d5_cl13_up,sc_d8_arm_up__in__sc_d8_cl13_up,d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_Runx3_repressed,d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_Runx3_repressed,sc_P2_arm_up__in__sc_P2_cl13_up,sc_P3_arm_up__in__sc_P3_cl13_up,sc_P4_arm_up__in__sc_P4_cl13_up,sc_P5_arm_up__in__sc_P5_cl13_up,sc_P6_arm_up__in__sc_P6_cl13_up,sc_P9_arm_up__in__sc_P9_cl13_up
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.0000,0.0202,0.0000,0.0000,0.0239,0.0067,0.0000,0.0000,0.0000,0.8665,0.1725,0.0000
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.0000,0.0449,0.0000,0.0000,0.0696,0.0000,0.0000,0.0000,0.0001,0.9884,0.8489,0.0000
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.0000,0.0000,0.0002,0.0095,0.0020,0.1892,0.0004,0.8567,0.8497,0.6919,0.9109,0.0000
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.3531,0.0800,0.0065,0.0000,0.6550,0.0000,0.0316,0.2682,0.0650,0.1278,0.0030,0.4452
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.1042,0.7033,0.9644,0.4586,0.0542,0.9968,0.9651,0.4612,0.6596,0.9032,0.5974,0.5970
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4727,0.0000,0.3721,0.0000,0.0000,0.6574,0.0000,0.7079,0.5591,0.5405,0.9577,0.9651
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1027,0.0000,0.9785,0.0000,0.0000,0.5074,0.0001,0.2119,0.9330,0.1496,0.9603,0.9878
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.5966,0.3354,0.0000,0.0000,0.0049,0.0000,0.3074,0.5593,0.6111,0.0001,0.0000,0.0372
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.8916,0.9537,0.1343,0.9203,0.5213,0.4428,0.4892,0.6070,0.9331,0.6703,0.1289,0.0978
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.0075,0.0000,0.0000,0.0000,0.0046,0.0000,0.1383,0.0528,0.8085,0.0000,0.0000,0.9241
