ChIP,ChIP gene #,nascent_48h_up__in__nascent_all,nascent_48h_dn__in__nascent_all,nascent_Il2_promoted__in__nascent_48h_up,nascent_Il2_repressed__in__nascent_48h_dn,sc_d5_arm_up__in__sc_all,sc_d5_cl13_up__in__sc_all,sc_d8_arm_up__in__sc_all,sc_d8_cl13_up__in__sc_all,d5_KLRG1hi_Runx3_promoted__in__d5_KLRG1hi_all,d5_KLRG1hi_Runx3_repressed__in__d5_KLRG1hi_all,d5_KLRG1lo_Runx3_promoted__in__d5_KLRG1lo_all,d5_KLRG1lo_Runx3_repressed__in__d5_KLRG1lo_all
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.0000,0.0000,0.0000,0.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.0000,0.0000,0.0000,0.1112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0000,0.0000,0.0014,0.0000,0.0007,0.0000,0.0000,0.0222,0.0000,0.0000,0.0000,0.0000
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0007,0.2435,0.3761,0.1556,0.9170,0.8623,0.9593,0.0040,0.7739,0.0377,0.9258,0.5998
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.7698,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.9282,0.8957,0.6837,0.3957,0.0576,0.5638,0.9415,0.7609,0.1165,0.8498,0.2594,0.0029
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1629,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7458,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_IL2-CD8,2526,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.7614,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT5B_IL2-CD4,5394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0658,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___STAT3_noIL21-CD4,238,0.2837,0.0011,0.4756,0.0804,0.5446,0.0000,0.3228,0.0118,0.0000,0.7338,0.1254,0.0000
2017_PNAS_Li___STAT3_IL21-CD4,2779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K4me3_IL2-CD4,13823,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,0.0000,0.0000,0.0072,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,0.0000,0.0000,0.0000,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
