Cl13,Arm
Ets1,Hnrnpu
Mgat5,Rps9
Csf1,Rpl34
Serpinb9,Tnfrsf10b
Cstad,Klf7
Arhgef3,Rplp1
Dnajc1,Setbp1
Usp3,Vim
Hmox2,Malt1
Lax1,Cenpv
Ifi27l2a,Ppp1r3b
Lgals3bp,Trim27
Gpr18,Abl2
Commd3,Rps6
Nrip1,Canx
Flnb,Eif4a1
Ifnar1,Mthfd1l
Fryl,Gzmb
Sptlc1,Slc3a2
Celf2,Naca
Limd2,Hyou1
Tox2,Tcp1
Gramd1b,Rplp2
Ptk2b,P4hb
Ccr6,Ciart
Coq8a,Mvb12b
Psmb9,Hsp90aa1
Arhgap30,Trio
Chst12,Amd2
Xdh,Irs2
Pecam1,Rap2a
Il6st,Susd1
Galm,Cct7
Stat1,Klf6
Mcoln3,Rev1
Kif13b,Tgfbr3
Ifih1,Tmed2
Mast4,Tsc22d3
Ppp1r16b,Crim1
Resf1,Dock9
Cd52,Nudc
Cd274,Znrf3
Dnajc15,Rpl30
Cd3e,Serbp1
Ms4a4b,Hsp90ab1
Xcl1,Impdh1
Gimap8,Atp13a3
Ikzf3,Ldha
Zap70,Rpl11
Zfpm1,Med7
Rab37,Trp53i11
Pip4k2a,Rpl15
Heg1,Rpl3
Asap1,Rrp12
Evl,Nsun2
Lsp1,Gadd45g
Id3,Il7r
Cxcr3,Vdac1
Fam53b,Ywhaq
Sec11c,Rgs1
Stat4,Rpl37
Bin2,Pabpc1
Ephx1,Nomo1
Gnptab,Slc2a1
Zbp1,Il2ra
Ncoa7,Prf1
Vsir,Wwp1
Pacsin1,Rffl
Tcf12,Elovl6
Gata3,Uchl5
Sla,Psmd7
Tnip1,Rmdn3
Cd84,Nme1
Ap1s3,Hnrnpab
Rasgef1b,Mrpl23
Nsmaf,Atp2b4
Gfod1,Fbl
Elk3,Kpnb1
Rora,Pcgf5
Lclat1,Mrpl1
Arl5c,Etf1
Lbh,Selp
Gimap4,Rps3a1
Tbc1d4,Rev3l
Tmem38b,Rps19
Dock2,Camsap2
Bcl2a1d,Atf4
Nfkbie,Chd7
Atg16l2,Rps14
Rasa3,Nmt2
Spry2,Rps27a
Tspan13,Slc16a6
Ptprk,Ythdf2
Cdkn1b,Znrf2
Aim2,Rpl5
Mcoln2,Ppa1
Fam3c,Rps12
Aftph,Hspa8
Nfkbiz,Tgm2
Myo1e,Hspa9
Cd9,Fgd2
Rnasel,Rps7
Stim2,Rack1
Pou2f2,Nip7
Serpinb6b,Manf
Smg6,Rps20
Tnfsf8,
Myl12b,
Ikzf2,
Synpo,
Gimap5,
Fam129a,
A630001G21Rik,
Sfxn3,
Ctsw,
Frmd4a,
Abhd2,
Ms4a6b,
Lrch1,
Tns1,
Tapbp,
Ccdc148,
Haao,
Inpp4b,
Arid5b,
Emb,
Ly6e,
Cd44,
Nfia,
Prkcb,
Ifi211,
Adora2a,
Plxdc2,
Traf1,
Cd3d,
Gramd3,
Ifi213,
Rbl2,
Ripor2,
Fyco1,
Cd226,
Aff3,
Mmd,
Zdhhc18,
Irf9,
Ms4a6d,
Lcp1,
Parp14,
Ipcef1,
B4galnt1,
Lyst,
