,Arm_P2,Arm_P4,Arm_P9,Arm_P10
Tnfsf11,0.0071087056,0.0049759075,0.002649329,0.00010767208
Gtf3c4,0.07800286,0.054606725,0.054999888,0.06571042
Bmi1,0.23099004,0.17781885,0.16220136,0.15292637
Tbl1x,0.61012495,0.5956053,0.48730505,0.44323227
Toe1,0.08393021,0.085149564,0.043962583,0.043926597
Ccr9,0.08517685,0.079304956,0.022040566,0.020621981
Tnfrsf4,0.16052853,0.06052594,0.028282883,0.017049491
Jade1,0.29571646,0.18103023,0.21060878,0.16483939
Sap30bp,0.37521008,0.38027894,0.33638975,0.31724063
Cxcr4,0.5056778,0.4612898,0.2555972,0.25217855
Sirt1,0.25360927,0.22482061,0.21035074,0.20409085
Psip1,2.1077173,1.9184464,1.165384,1.5649607
Parp2,0.5242187,0.46659306,0.20167747,0.16714802
Hnrnpul1,1.132296,1.1572013,0.85729384,0.88464624
Rnps1,0.6263679,0.53209513,0.29806378,0.35731435
Mtf2,0.5288653,0.48879308,0.32228237,0.40448076
Atf1,1.0087775,0.90756416,0.70679575,0.65785146
E2f6,0.04360465,0.02632859,0.012174757,0.0072155846
Polr2d,0.7386426,0.64529884,0.36679885,0.3945938
Cnot6,0.98243016,0.87541217,0.58459586,0.6262298
Myc,0.47973144,0.36214444,0.19601944,0.053954735
Mycbp,0.4234479,0.31925556,0.16165286,0.16621357
Prdm1,0.5044203,0.46947575,0.35004002,0.43211338
Gatad1,0.29678813,0.25858107,0.12708631,0.15717335
Nono,1.0252774,0.9366827,0.50510997,0.49503335
Fmr1,0.87669915,0.7665602,0.51267517,0.56720793
Timeless,0.58484155,0.53478837,0.08329462,0.07435989
Mcm4,1.1728517,0.99156266,0.23797113,0.17685315
Chaf1b,0.90018153,0.8393314,0.2960211,0.19489622
Kntc1,0.21611315,0.21844892,0.008394245,0.0062844255
Ttf2,0.2627032,0.2660863,0.1318683,0.11389718
Hdac3,0.54316664,0.5209914,0.32077548,0.31027856
Mcm3,3.740483,3.0147533,0.5096727,0.36923936
Mcm7,2.2851474,1.9956483,0.29047474,0.24715453
Cbx5,1.5465957,1.5078889,0.31033567,0.29429203
Papola,1.5733395,1.3686213,1.0883033,1.216342
Ddb1,1.1649069,1.0078754,0.46946162,0.47006306
Cdc5l,1.5330077,1.4740014,1.2290558,1.2125232
Brca2,0.41069594,0.3567839,0.039118398,0.0197799
Mcm6,3.4459279,2.993287,0.90581083,0.84601307
Mcm5,2.9225078,2.6252267,0.32982835,0.1956572
Pnn,3.0126383,2.5653694,2.094718,2.1474922
Plrg1,0.31621525,0.30292472,0.15970103,0.15439968
Mcm2,1.6253461,1.2523663,0.24696776,0.20333244
Zfp207,0.39210144,0.37315196,0.23873651,0.28113496
Suv39h2,0.0987476,0.07665295,0.009459682,0.005942621
Hnrnpr,1.4902906,1.4026688,1.0668318,1.0536515
Ewsr1,1.8350842,1.7538275,1.3941429,1.367656
Ecd,0.3415808,0.2730478,0.2069532,0.25926292
Cd160,1.0497444,0.9891835,0.54005516,0.42888868
Tnfrsf9,0.84926844,0.727861,0.14466062,0.06166756
Hivep3,0.05775394,0.03848921,0.016711138,0.017736245
Cd200,0.033321977,0.01908926,0.01952534,0.007821018
Tnfsf4,0.006355806,0.0037804048,0.0048929076,0.00016445958
Irf8,0.4267875,0.3890794,0.25625685,0.14567664
Coil,0.16344711,0.14272927,0.0918468,0.07198175
Wbp11,1.2295194,1.1626164,0.66455656,0.69915354
Men1,0.07631515,0.062744595,0.03232225,0.04234136
Prdm5,0.0116794575,0.002282187,5.668881e-06,0.0
Cbx3,0.27320114,0.24013603,0.09148796,0.09574947
Hmga1,0.030505074,0.0244461,0.011108338,0.007344503
Pcgf6,0.24597482,0.16178966,0.13225955,0.09314056
Hsf2,0.13899186,0.08643845,0.041290276,0.038475096
Havcr2,0.59667486,0.63029367,0.30848345,0.299618
Cenpk,0.39446777,0.31701976,0.036757737,0.041066416
Hmgb3,0.75347316,0.7261289,0.08295074,0.072803736
Phf19,0.089319594,0.062248398,0.01114531,0.007826536
Kmt5a,1.5187346,1.4469112,0.6060717,0.79042006
Dek,5.101871,4.9150553,1.8408071,1.9975889
E2f3,0.3285247,0.2323763,0.1011442,0.08932827
Ybx1,17.756771,16.005196,5.845123,5.463909
Chaf1a,0.40092885,0.3135511,0.03091029,0.028413167
Tcof1,1.8918757,1.4137683,0.99601614,0.85606146
Trip13,0.60448295,0.55678177,0.028092137,0.035731416
Polr2i,0.88812226,0.75923413,0.58976644,0.61884207
Orc1,0.22925845,0.13678879,0.014367644,0.005731894
Hdac6,0.04706267,0.044739675,0.018417113,0.031231564
Brd7,0.62953055,0.60199535,0.5023921,0.4901286
Hnrnpab,8.408287,6.8955455,2.1284192,1.9370171
Tfdp1,1.109424,0.8617275,0.18538354,0.15406516
Hnrnpk,6.585722,5.9535556,4.1805305,4.128085
Gtf3a,1.5742657,1.2695693,0.8369026,0.6782544
