,AllAct_P2,AllAct_P4,AllAct_P9,AllAct_P10
Rbbp5,0.17055205,0.1701202,0.09719909,0.09010463
Taf1,1.1451479,1.0047114,0.414936,0.41099668
Brca1,1.5419964,0.8793589,0.043746654,0.021886123
Ewsr1,1.016695,0.827383,0.69100213,0.6578704
Tfdp1,0.41070542,0.2215097,0.06353282,0.0584403
Cbx1,0.29906157,0.20509803,0.07727517,0.077716276
Cbx3,1.0828397,0.7691171,0.26342475,0.26286212
Eed,1.9752022,1.6743686,1.1210165,1.3220323
Fmr1,1.1913923,0.8966921,0.7232994,0.77743894
Hnrnpd,2.583219,1.9628465,0.77894497,0.8022129
Prdm1,0.7703811,0.5994523,0.24296251,0.21937063
Zbtb48,0.034430414,0.02340129,0.022214467,0.01335187
Atad2,1.9409789,1.2752461,0.60553145,0.5553191
Parp2,0.14594568,0.12325913,0.09326241,0.08078028
Mcm7,0.36701244,0.28681913,0.040906638,0.03197324
Paxip1,0.26919532,0.19077764,0.06349617,0.07173221
Taf15,2.3655624,2.1387477,1.0507547,1.1190681
Sirt1,0.35790583,0.2939312,0.20066385,0.19644704
Bard1,0.7990515,0.6300698,0.055622112,0.06793498
Zdhhc16,0.03156216,0.021157436,0.006543227,0.0069647077
Mcm3,0.4047132,0.32360554,0.05689159,0.047940172
Havcr2,2.6189356,2.7326121,0.85922426,0.8981636
Tnfrsf8,0.4661894,0.39774796,0.08208705,0.092692666
Polr2b,0.33644062,0.29267702,0.12319703,0.13194498
Cd40lg,0.09564741,0.038641486,0.044324636,0.027537262
Baz1b,0.71494985,0.5091709,0.25903407,0.24162282
Zbtb11,2.064572,1.8483479,1.236365,0.8454445
Khdrbs1,2.324829,2.221242,1.4344695,1.2554005
Runx3,2.7813482,2.8115618,0.8006173,1.1350809
Plxnc1,0.5533344,0.5312621,0.32687262,0.41648856
Polr2h,0.2078479,0.18389118,0.11299145,0.123120345
Gatad2a,1.510529,1.4905536,1.2814193,1.2672637
E2f1,0.31392547,0.17517008,0.018599087,0.00692149
Mybl2,0.4028551,0.22538777,0.01900789,0.026582247
Mcm8,0.22545932,0.14831832,0.008587336,0.007664306
Kntc1,0.75539255,0.46943733,0.031193744,0.022964174
Srrm1,1.9165679,1.6339219,1.1974125,1.1776849
Supt16,1.2066259,0.84646195,0.4177643,0.4235896
Mcm6,2.0796406,1.7044892,0.3393155,0.37874195
Rfc1,0.9400251,0.6254454,0.35880953,0.3197081
Hmgb2,0.8976927,0.83016664,0.34963495,0.30006167
Brip1,1.3653877,0.9716376,0.09775079,0.05235109
Mcm4,1.9584783,1.4369853,0.27759022,0.18457752
Chaf1a,0.26322404,0.18236855,0.006986735,0.0071292445
Nsd2,1.7396785,1.1322615,0.51586515,0.5595933
Jade1,0.08714959,0.054007623,0.025126964,0.02553111
Zfpm1,0.14200188,0.10213986,0.05764168,0.05820844
Gtf3c5,0.16675496,0.12272813,0.046578035,0.028013973
Irf4,1.2056782,1.2204419,0.7190665,0.26458412
Gtf2f2,1.4872674,1.3455676,1.0847455,1.1634667
Patz1,0.13600194,0.086569875,0.052585747,0.05567722
Mybl1,0.06073046,0.04808821,0.013049296,0.010848467
