,AllAct_P2,AllAct_P6,AllAct_P8,AllAct_P9,AllAct_P10
Padi4,0.012610748,0.008177078,0.007452089,0.0022300228,0.003992398
Etv6,3.2420797,2.5940683,2.3957067,2.7716358,2.809237
Fas,0.18295328,0.105304986,0.088633016,0.14209883,0.08694756
Dach1,0.03763905,0.0052145347,0.0076216743,0.004729918,0.007612189
Pbx1,0.03626512,0.006915876,0.0026869809,0.0061271386,0.010510092
Il23r,0.035820708,0.019294297,0.005671836,0.010702581,0.0032383902
Itgae,0.028285576,0.017555876,0.02977918,0.00542309,0.01808857
Id3,0.04207014,0.017115057,0.002828823,0.0075368574,0.00023249778
Fbxo17,0.016510656,0.0061791646,0.011425689,0.006122599,0.0024678437
Zdhhc13,0.21366695,0.14038295,0.1042419,0.11627945,0.122794494
Tfrc,0.31180087,0.24316137,0.14711119,0.1474462,0.119239576
Cbx5,0.6595937,0.34338534,0.2791572,0.065652244,0.04047554
Hmga1,0.044638425,0.015903316,0.0054653743,0.007483196,0.009930023
Timeless,0.30754343,0.24224918,0.13847683,0.03675885,0.041010674
Tshz2,0.09139644,0.03630983,0.06442259,0.049141288,0.0121718645
Mtf2,0.80763346,0.6193807,0.5586984,0.40396073,0.37753966
Prdm4,0.13299628,0.10549411,0.04427089,0.072939664,0.07798103
Supt16,1.2066259,0.8435184,0.43724382,0.4177643,0.4235896
Gtf3c4,0.014430501,0.0113472445,0.0047981967,0.0025872686,0.00011076136
Mybbp1a,0.03305587,0.028089657,0.029613184,0.012299428,0.014109174
Prdm1,0.7703811,0.5785641,0.3835026,0.24296251,0.21937063
Gtf2e2,0.27855206,0.184123,0.24234374,0.13024595,0.1275655
E4f1,0.07281636,0.053617585,0.04591909,0.045917023,0.039298024
Hnrnpr,0.79168475,0.48127207,0.45474744,0.40569806,0.44684938
Parp2,0.14594568,0.10249216,0.09366893,0.09326241,0.08078028
Ctcf,0.874609,0.62474376,0.47202367,0.4884916,0.45208272
Jade1,0.08714959,0.058577597,0.03926348,0.025126964,0.02553111
Nfe2l1,0.03356906,0.027437784,0.015989047,0.020550843,0.015460433
Ruvbl1,0.03279324,0.021841504,0.01097306,0.014314202,0.006277047
Tnf,0.2697469,0.17838433,0.054690614,0.13354892,0.048659105
Rnps1,0.12552479,0.1010159,0.038557146,0.056112465,0.0419325
Bclaf1,1.333444,1.0307121,0.7467606,0.81276655,0.8480608
Prmt5,0.06544322,0.057881363,0.03273696,0.01979036,0.023406954
Tlr2,0.0021913312,0.0003360524,0.00017925681,0.00094601564,0.0003797341
Cxcr2,0.0038109445,0.00058552984,0.0,0.0007778009,0.0012317012
Sirpa,0.011116079,0.0018402784,0.0022104022,0.0017673459,0.0013668933
H2-Ab1,0.0056676744,0.0006170099,0.0051995246,0.0014734464,0.00013814287
Csf1r,0.005234172,0.0017019542,0.00089731254,0.0006284734,0.00024272646
Trem1,0.0028398624,0.00072417787,0.00023795266,0.00058698194,0.00034915472
Plaur,0.048796054,0.010859902,0.008410719,0.009355519,0.0088018095
Cd36,0.019451674,0.00036809986,0.0020991634,0.0029846965,0.0008687815
Cd83,0.20693226,0.07944059,0.011412072,0.014911171,0.001458138
Csf3r,0.008758347,0.0026414946,0.00037466866,0.0013509226,0.0024830832
Cd300lf,0.008623091,0.0036982093,0.003710373,0.0029536341,0.0011863727
Cd300c2,0.003680184,0.00033164266,0.00053081283,0.0004408751,0.00015637175
Cbfa2t3,0.018860117,0.005994857,0.007666403,0.002788067,0.00024033558
C5ar1,0.0070889816,0.0027703387,0.0003248943,0.0009120322,0.004732631
Cd44,1.6690515,1.5048577,1.584439,1.543446,0.780523
Lmo2,0.0034995142,0.0016598455,0.0007567277,0.0017786544,0.0015499741
Smad1,0.03112366,0.011339678,0.02340355,0.008112312,0.011291358
Tcf7l2,0.023163006,0.021733752,0.005363333,0.0051150164,0.0015164431
Cops5,0.37185648,0.2913402,0.1716971,0.15308617,0.14050576
Trip13,0.13562259,0.044788808,0.025590718,0.0054436643,0.014407304
Cd180,0.0155206155,0.0037600547,0.0053250827,0.010021816,0.002788894
Atf1,0.8767419,0.7243364,0.5206725,0.676045,0.6778092
Il1r2,0.10790176,0.06258137,0.027330954,0.025663866,0.020009708
Atf3,0.042319626,0.024090927,0.012160165,0.022676297,0.021412376
Clec12a,0.01711586,0.0055326666,0.0032539347,0.00033095133,0.00011755898
Ly86,0.01670099,0.0027006315,0.008317923,0.003951055,0.0012311861
Ebf1,0.019326095,0.016514868,0.022214357,0.009750514,0.008672696
Maml3,0.12698708,0.048958007,0.046756253,0.030422473,0.046323307
Bcl11a,0.0041017686,0.0004904224,0.0023694467,0.00071486307,0.00015454387
Skil,0.22646444,0.20060426,0.12212518,0.18117405,0.1748596
Mef2c,0.06052426,0.018829022,0.021637527,0.027694134,0.007342434
Cd74,0.46819344,0.09804841,0.2743813,0.13469078,0.093068875
H2-Eb1,0.041008376,0.005195446,0.006924135,0.009362678,0.003292324
Il6ra,0.021100307,0.013204767,0.0049661356,0.014216471,0.025832484
