,Arm_P2,Arm_P4,Arm_P9,Arm_P10
Hnrnpk,0.31227368,0.25107452,0.17879318,0.15044196
Izumo1r,0.01760489,0.009299963,0.0019397859,6.741935e-05
Fas,0.18018672,0.12288683,0.14271297,0.08677505
Xrcc5,0.30223578,0.25233945,0.26831564,0.18242334
Pms1,0.26562384,0.17661306,0.1726246,0.18644673
Arid1a,0.5802365,0.56760114,0.49049437,0.46291158
Prdm5,0.05211298,0.018536378,0.004535318,0.008645918
Mycbp,0.1106896,0.070896216,0.016927456,0.02806163
Cbfb,1.426059,1.068425,0.9716215,1.1462404
Il23r,0.02809569,0.01460646,0.010735648,0.0032451863
Tnfsf4,0.0246281,0.011453323,0.001896145,0.0022537305
Cd68,0.008442645,0.008415168,0.0044294833,0.002441571
Prmt3,0.21972373,0.12531477,0.1541255,0.13551636
Id3,0.039177094,0.023401,0.007361908,0.00023298571
Itgae,0.029248217,0.016247138,0.005324384,0.018126532
Gtf2e2,0.27656654,0.21178296,0.1308973,0.12759738
Hnrnpab,0.15606345,0.111528404,0.05849339,0.057386026
Pnn,0.08873285,0.078934655,0.03595376,0.040826444
Elf2,0.74183786,0.64980745,0.6512821,0.6855399
Ddb2,0.547558,0.4918995,0.37590405,0.14995919
Mphosph8,0.31052008,0.24734953,0.18934323,0.21167918
Kmt5c,0.033937935,0.032149542,0.016297739,0.007594437
Pias2,0.67233866,0.50252205,0.51121694,0.58245856
Hdac3,0.053185143,0.046618972,0.02091564,0.03275779
Snapc1,0.16421792,0.15045047,0.12386546,0.10325697
Mtf2,0.8010231,0.719011,0.40376085,0.37770593
Gtf3c4,0.014174918,0.011518366,0.0026138404,0.0001109938
Atf1,0.8706552,0.82078964,0.6763679,0.677505
Lmo4,0.03541023,0.028458416,0.0038854044,0.0020423923
Irf8,0.027052365,0.026963701,0.014265348,0.012049737
Jdp2,0.041600905,0.039026085,0.03601184,0.026884424
Fosb,0.30241537,0.31206593,0.26558533,0.25979874
Pml,0.49569768,0.383673,0.35804906,0.2082317
Nfyb,0.069507554,0.05613356,0.034875125,0.037195396
Mcm5,0.2023175,0.15338172,0.010149442,0.006209413
Setdb2,0.42701808,0.35901648,0.25018948,0.20784247
Pdcd11,0.25782025,0.20765342,0.1376496,0.11809719
Ddb1,0.14035656,0.124471895,0.09962908,0.059614033
Tfrc,0.31313512,0.31110466,0.14724785,0.11924687
Rnps1,0.12691951,0.11020695,0.055979274,0.041878287
Mtf1,0.18643147,0.1633593,0.088833265,0.08765524
Gtf2h1,0.7895637,0.70247114,0.51424617,0.50306094
Phf19,0.13191476,0.09062775,0.008575347,0.011140019
Gtf2f2,1.489995,1.3308669,1.0871354,1.1641544
Tnf,0.28218275,0.23434663,0.13373221,0.04869675
Myc,0.058622397,0.041300327,0.0065527773,0.0042859656
Men1,0.2244388,0.17170212,0.0711069,0.07193341
Nfxl1,0.06022453,0.03803676,0.015815536,0.025402255
Suv39h2,0.10297783,0.07932363,0.021253938,0.02473368
Pcmt1,0.9808906,0.90685344,0.40890354,0.4618248
Orc1,0.841012,0.7563877,0.09769497,0.09228882
Cramp1l,0.5119735,0.37500244,0.22428212,0.2282266
Hmga1,0.045746826,0.025558693,0.0074851774,0.009950863
Sf1,0.9957401,0.87675166,0.79307526,0.78438276
Jade1,0.088686705,0.056079164,0.025174001,0.025427034
Cnot6,0.48603112,0.38513717,0.23204783,0.2275802
Pcgf6,0.0872164,0.07446129,0.0411672,0.024093676
Timeless,0.3071605,0.2827905,0.03611029,0.04075094
Cdc5l,0.5231126,0.4951765,0.30879796,0.31053254
Taf15,2.3782487,2.1541243,1.0497273,1.1197791
Ssrp1,0.41938955,0.30328298,0.13272944,0.08293186
Prdm1,0.7711212,0.56551707,0.23825184,0.2190069
Zfp207,1.3069943,1.1951168,0.6770738,0.6626297
Hmg20b,0.37411928,0.32537577,0.14197583,0.1929237
Nono,0.3319369,0.23934564,0.12456414,0.11749458
Brd7,0.4851134,0.39668205,0.30104277,0.25926316
Hnrnpul1,0.5358527,0.4534872,0.30847278,0.31964204
Mcm4,1.9672884,1.4798307,0.27544093,0.184509
Hells,1.785549,1.1085064,0.14857544,0.14205466
Rbbp5,0.17443885,0.16631939,0.097331725,0.09000391
Ivns1abp,0.4501498,0.3596384,0.30719432,0.21444532
Paxip1,0.26450974,0.18776888,0.0634805,0.07164725
Brip1,1.3678329,1.0041534,0.096075,0.052069247
Uhrf1,0.6376903,0.34450322,0.018621782,0.0037590673
Tbl1x,1.727439,1.3133883,1.1728958,1.0333823
Dnmt1,0.6025055,0.45962876,0.12625438,0.11776497
Med8,0.06651281,0.057283875,0.03731564,0.044115435
Prdm4,0.1363316,0.11312892,0.072940476,0.07794337
Trgv2,0.005037962,0.0046135024,0.00085070333,0.0027617454
Eaf1,0.13843992,0.12527747,0.075480156,0.090669766
Rel,4.071364,3.755026,2.6238296,2.1011488
Bop1,0.154797,0.12866658,0.12706055,0.10657414
Actl6a,0.2341891,0.16228023,0.0694058,0.063819595
Mxd3,0.0069735246,0.0048731174,0.0008995717,0.00016835681
Zfp422,0.23176596,0.15327455,0.08120778,0.10115241
Tcerg1,0.7769715,0.54011625,0.27996027,0.27948612
Zfp382,0.14618115,0.06460251,0.032440264,0.020116935
E2f6,0.074033275,0.03433634,0.010437514,0.0006901456
Gtf2a2,0.23312022,0.1978849,0.17517227,0.15215628
Lag3,0.04336988,0.038391273,0.035439502,0.008509412
Ncoa3,0.45268488,0.49010134,0.42007098,0.39394942
Crtam,0.31217998,0.30889058,0.2219784,0.12681226
Il6ra,0.021130364,0.02557539,0.014375755,0.025886696
Trps1,2.7750793,2.315379,2.2215397,2.077636
Ifngr2,0.008451874,0.0044761077,0.002107655,0.00020671054
Eng,0.0006052397,0.0,4.114034e-05,0.0
Sell,0.019289974,0.016797762,0.007866897,0.007014596
Polr2h,0.21450885,0.18310463,0.112319745,0.12315318
Zdhhc16,0.031749196,0.02166076,0.0065861563,0.006979324
Bclaf1,1.3336313,1.140372,0.8116161,0.84890157
Cd40lg,0.0940449,0.036178995,0.04447538,0.027572978
Mllt3,3.709471,3.3717468,2.952485,2.9100125
Trim27,0.10333775,0.08112172,0.051228125,0.05431565
Fmr1,1.1920718,0.9060629,0.7220884,0.7778907
Mcm3,0.40737808,0.33412117,0.057057846,0.047932386
Wdhd1,0.85415345,0.51089823,0.11930674,0.11293896
Atm,0.5815257,0.41109163,0.44351724,0.4105031
Sfmbt1,1.1069571,0.5509694,0.22708578,0.2766707
Cbx1,0.30155557,0.2039555,0.07737439,0.07787938
Zdhhc2,0.6010722,0.40031743,0.349192,0.29312885
Mcm7,0.36703125,0.29656512,0.040520277,0.031902324
Mcm2,0.09280558,0.06786663,0.010186495,0.007540685
Taf1,1.1458458,1.012727,0.4141272,0.41105062
Nsd2,1.7263045,1.1492049,0.51605,0.55988127
Phip,1.5804114,1.2545216,1.087118,1.009062
Mbd4,0.22994098,0.1675148,0.034484636,0.035461668
E2f1,0.31423002,0.1827692,0.018201755,0.0069360156
Baz1b,0.71186125,0.51811004,0.25927764,0.24178329
Chaf1a,0.26028275,0.18289158,0.0067389803,0.007144206
Igsf8,0.06190334,0.0402497,0.019099891,0.03470568
Rad51,0.55898756,0.47575706,0.03490725,0.022239827
Gtf3a,0.4123975,0.25190005,0.032567307,0.037189506
Zranb2,0.2236244,0.17640655,0.13109607,0.14726782
Epcam,0.013623886,0.008005421,0.003588877,0.0
Mybl2,0.40342468,0.23408175,0.018676559,0.02646889
Patz1,0.13823323,0.089786045,0.05269127,0.055574607
Ezh2,1.6512716,1.1029023,0.37314135,0.36853516
Hnrnpd,2.5940306,1.9877032,0.77735883,0.80234027
Suv39h1,0.08113741,0.066027,0.012424329,0.026387308
Bard1,0.8020465,0.6289657,0.05530573,0.0678268
Tfdp1,0.41194898,0.23036748,0.06337967,0.058528557
Mcm6,2.0847595,1.6976707,0.33547217,0.3784107
Cbx3,1.0915142,0.7807378,0.26401025,0.26241544
Coil,0.31404746,0.29869264,0.15564382,0.12684858
Dek,1.1639866,0.924585,0.40071633,0.39428562
Chaf1b,0.15031816,0.099409804,0.043645747,0.044438824
Hdac2,0.18064162,0.101925194,0.043349724,0.079176426
Zbtb1,0.48912895,0.45923796,0.30959633,0.31035164
Zdhhc21,0.52519035,0.4098229,0.33691323,0.30178
Alcam,5.067505,4.1551085,2.7457418,2.0052722
Prmt7,0.17118777,0.11707041,0.0902781,0.06326752
Hsf2,0.14094163,0.068338536,0.029639417,0.046619195
Ewsr1,1.0288516,0.83973074,0.6898526,0.65750813
Hif1a,3.6802852,3.2549329,2.5603333,1.8863955
Ankrd55,0.43215004,0.36893135,0.09710358,0.08397342
Ube2k,2.1328368,2.0431168,1.8048161,1.8002847
Polr2d,0.042564858,0.036216453,0.01562846,0.012589461
Asxl1,2.8597474,1.9981768,1.5253054,1.7460312
Prmt5,0.064897634,0.050290786,0.019772382,0.023456076
Pbx3,0.4916893,0.3070305,0.26626024,0.30773473
Plxnc1,0.5628992,0.5498277,0.32639304,0.41708067
Rbbp7,0.76669425,0.55592775,0.28645867,0.3000942
Il2ra,1.6935804,1.240574,0.32695526,0.17477757
Gatad1,0.363729,0.30387402,0.09915885,0.081534274
Gatad2a,1.5033482,1.4545679,1.2761611,1.2672304
Zbtb11,2.071518,1.8681623,1.2330605,0.84512275
Brd8,0.5211264,0.48064524,0.22484154,0.28338954
Tcf19,0.02510322,0.010704528,0.0031024578,0.0017425916
Khdrbs1,2.336404,2.231014,1.4336835,1.2551317
Hmgb2,0.908067,0.8355769,0.3495761,0.3002066
Foxm1,0.095417224,0.0836843,0.03395677,0.023752736
Gabpa,0.14837748,0.115181416,0.08371593,0.09243962
Irf4,1.2400057,1.2838085,0.7142284,0.26433808
Cenpk,0.87447965,0.66719985,0.06202036,0.048981175
Klf8,0.23603512,0.1859108,0.19547367,0.10926119
Ccr6,0.0027662336,0.001929953,5.4478995e-05,0.0
Xpc,0.026309341,0.013219972,0.011185555,0.019759119
Tnfrsf4,0.02107266,0.009387636,0.0012890856,0.0011735357
Aatf,0.74155873,0.5712673,0.5277158,0.53702396
Tet1,0.008184257,0.005142676,0.004145094,0.0042984406
Zfp143,0.17180695,0.14191218,0.104538895,0.11156281
Cbx7,0.042106513,0.032395955,0.023472795,0.025939392
Espl1,0.09706923,0.07266626,0.0018661835,0.0020168745
Wbp11,0.39570794,0.35298374,0.24607696,0.197829
Tox,2.7280605,2.1025364,2.24046,0.84703344
Btla,0.51190406,0.44219732,0.32146305,0.09492711
Suz12,2.153556,1.6194968,0.79358304,0.8295145
Cebpz,0.3149085,0.2748604,0.22949071,0.18039836
Smyd4,0.19878112,0.12734872,0.09535967,0.11755073
Gtf2e1,0.203239,0.16866226,0.09141833,0.066000685
Sirt1,0.3631988,0.29423165,0.20174067,0.19669141
Ms4a1,0.0007129703,0.0003429665,2.16115e-05,0.0
Cd44,1.6467264,1.5893561,1.5442216,0.7788912
Etv6,3.200032,2.693708,2.7723272,2.8099213
Lmo2,0.0036574379,0.0022785035,0.001805925,0.001553227
Pbx1,0.031648852,0.028313866,0.006221081,0.009760383
Dach1,0.03127105,0.035803884,0.0047212075,0.007628164
Ccr9,0.10317189,0.084307045,0.03960533,0.029954622
Clec12a,0.01671619,0.009005684,0.00033602555,0.00011780569
Ecd,0.16783057,0.12889461,0.12133263,0.11865514
Taf5l,0.22430784,0.19675094,0.1423908,0.14232755
Hdac9,0.04584028,0.045129634,0.011424868,0.009295554
Cxcr4,0.02883581,0.025338758,0.007299035,0.006773224
Bcor,0.30748767,0.22848108,0.20359632,0.17344294
Il1rl1,0.04005376,0.025840878,0.021390287,0.037527215
Ighm,0.5868374,0.42812487,0.47170365,0.23924683
Ncoa4,0.12583172,0.13653627,0.054720283,0.029119205
Klf10,0.13065353,0.12428251,0.08579448,0.08738057
Mbd2,1.3502972,1.0348551,1.0458121,1.0442249
Polr2i,0.12859836,0.08984431,0.039187267,0.0476596
Zfpm1,0.1367952,0.098476306,0.05772664,0.058264237
Pa2g4,0.23574395,0.13570784,0.069894634,0.058069967
Prmt6,0.042139735,0.022541523,0.025622383,0.024170162
