,Cl13_P2,Cl13_P4,Cl13_P9,Cl13_P10
Ncr1,0.005083862,0.0,0.0,0.0
C5ar1,0.0033696857,0.0,0.0,0.042602453
Cxcr2,0.00510932,0.0006850448,0.0,0.042602453
Pbx1,0.0019022756,0.0018006937,0.0,0.0
Dach1,0.0072571146,0.008337993,0.0,0.0
Gtf3c5,0.08965572,0.08438465,0.06576161,0.09729165
Kmt5a,1.449039,1.4126579,0.68609995,0.8821414
Cd22,0.057549845,0.02540408,0.027436726,0.0
Igsf8,0.14384952,0.12496538,0.07531693,0.022637237
Tcf19,0.5055422,0.4330986,0.11643983,0.08428981
Sf1,1.4206858,1.3567986,0.9209952,0.7514093
Ssbp3,0.9455469,0.93257743,0.6909846,0.36844563
Rfc1,1.3102804,1.0099818,0.48948312,0.74890614
Tle1,0.04219308,0.039789136,0.008269581,0.056182064
Suz12,2.3398585,2.0358732,1.0175946,0.69037664
Pias2,0.1842188,0.1247366,0.11441889,0.0
Rbbp5,0.1970818,0.18299645,0.15500526,0.10314068
Ybx1,18.127872,15.507246,7.703854,7.2073755
Upf1,0.6843467,0.6069786,0.5104911,0.38866875
Men1,0.075312674,0.06460107,0.043150045,0.014800229
Tcf7,0.7303552,0.27999786,0.6096497,0.31355795
Gatad1,0.303729,0.28480965,0.18603043,0.30840874
Ube2k,1.4142128,1.3781466,1.1215885,1.3990369
Taf6,0.22564475,0.23273446,0.14360605,0.12981172
Zfpm1,0.97988427,0.9186586,0.4731609,0.76169884
Parp2,0.59945756,0.52020794,0.23391631,0.05512943
Cdc5l,1.5949949,1.5979643,1.351453,1.2162387
Rad51,0.15874465,0.1467439,0.017033348,0.0
Cnot6,1.0342468,0.87432384,0.5703708,0.35314292
Cbfa2t3,0.13649169,0.10427512,0.023594186,0.0
Klra4,0.00048653636,0.0,0.00042564215,0.0
Tial1,0.9254753,0.82357126,0.488223,0.5034469
Cramp1l,0.18150431,0.1436735,0.19457294,0.28736582
Ssbp2,0.030637208,0.012750566,0.02103312,0.0
Fmr1,0.8408148,0.7631135,0.4580075,0.8579266
Abcg2,0.019458517,0.013594902,0.015103308,0.020313086
Maff,0.04040868,0.03036237,0.047101505,0.041604485
Smad1,0.05776596,0.027729504,0.015588608,0.0
Rarg,0.0344516,0.02435685,0.030232986,0.062727205
Ing3,0.38035464,0.3499353,0.37429732,0.42945832
Psip1,2.0354276,1.8169197,1.1017231,1.2870927
Dek,4.866982,4.872249,1.7969623,2.3146
Jade1,0.28603122,0.15922146,0.1401845,0.1240146
Lmo4,0.28751376,0.26852018,0.18806425,0.24893244
Zbtb10,0.008183798,0.004472479,0.0015766526,0.0
Brpf3,0.054935332,0.037136212,0.048228633,0.050969265
Atm,0.35865375,0.30658555,0.30984378,0.5613789
Padi4,0.0117650395,0.006338479,0.0,0.0
Cd244a,0.032390423,0.02607797,0.0048847888,0.040652204
Toe1,0.06405749,0.06947783,0.027971957,0.020313086
Myc,0.57406646,0.37867558,0.24956304,0.11580275
Rai1,0.08811502,0.065126985,0.077858254,0.05939758
Il23r,0.0058372472,0.0031896187,0.0,0.0
Ccr7,0.21832113,0.050455004,0.031120788,0.0
Zdhhc21,0.22058402,0.168164,0.23080824,0.30771148
Pou2af1,0.042236764,0.031019615,0.013812147,0.053886253
Zfp213,0.08085597,0.06478015,0.06189877,0.06790739
Pcgf5,0.44014695,0.31655353,0.2797795,0.14740941
Tnf,0.116426334,0.10568977,0.12980172,0.043217443
Ubn1,0.83701926,0.8351781,0.8872234,1.0620025
