,AllAct_P2,AllAct_P4,AllAct_P9,AllAct_P10
Hnrnpab,8.409473,6.892655,2.1311588,1.9377658
Brca1,0.42878348,0.33317724,0.027148567,0.022550337
Ybx1,17.79573,15.923275,5.873191,5.4675603
Plrg1,0.31740466,0.29863447,0.16045274,0.15440546
Upf1,0.6937332,0.635675,0.563279,0.5813462
Uhrf1,1.6251482,1.1144835,0.09181531,0.04826986
Hells,2.3930733,1.2552782,0.2009207,0.19069408
Smarca5,4.391671,3.5566518,1.811408,1.7330385
Cbx1,1.2764126,1.1094795,0.45156777,0.46935424
Prdm1,0.50498086,0.49579236,0.35279256,0.4323531
Cenpk,0.39678878,0.3167249,0.037072822,0.041070163
Nsd2,1.0004604,0.88844436,0.27350026,0.2815347
Rad51,0.16924573,0.13009639,0.0051491973,0.0033646151
Suz12,2.285798,1.9732994,0.8723809,0.96044
Ssrp1,3.9202926,3.4913564,1.2991914,1.0745785
Cnot6,0.98787,0.8752331,0.58438104,0.6256579
Mcm5,2.9256666,2.6084557,0.33599722,0.19650018
Cebpg,0.47704107,0.4102432,0.31594577,0.36497715
Chaf1b,0.89691526,0.8174594,0.29803783,0.19468978
Mcm4,1.1726393,0.989737,0.23946343,0.17736126
Chaf1a,0.40517494,0.3089986,0.031546917,0.028429398
Fkbp5,1.249121,1.1011467,0.40099356,0.39280295
Phf19,0.08976257,0.063405916,0.011259333,0.007810145
Cbx5,1.5460659,1.5231824,0.3119417,0.29470363
Kmt5a,1.5114177,1.441276,0.6072802,0.79061216
Tcf19,0.56484425,0.48990637,0.09490217,0.115081966
Csrp2,0.23553324,0.21493891,0.052297544,0.05446911
E2f8,0.6245932,0.5020387,0.035516065,0.021142129
Hdac2,0.89953,0.621353,0.28387204,0.31826252
Dek,5.077212,4.908013,1.840145,1.9982527
Ube2k,1.4096669,1.3131124,0.95072186,1.0157703
Gtf3c5,0.09213237,0.08303678,0.045879263,0.030188257
Hnrnpd,4.6731977,4.081963,2.3294706,2.2231665
Dpy30,2.8430579,2.4400544,1.0823102,1.077485
Snrpd1,2.434848,2.084129,0.6404687,0.46576622
Rpa3,1.8587987,1.7828553,0.5575803,0.54414546
Hsf2,0.13930327,0.08353928,0.041442286,0.038764562
Fmr1,0.8729319,0.7659932,0.51184964,0.56781673
Hmgb3,0.7602794,0.73380023,0.08382843,0.07269219
E2f3,0.32826152,0.23038167,0.10224096,0.08926711
Hnrnpk,6.5848823,5.948011,4.1890287,4.1292105
Polr2d,0.7390225,0.64844865,0.3677664,0.39509284
Mycbp,0.42233357,0.31796643,0.16263273,0.16598457
Atf1,1.013483,0.9173372,0.7064952,0.6573603
Zdhhc16,0.25932539,0.23512268,0.15310031,0.16828401
Sirt1,0.24767826,0.22256555,0.20917445,0.2038391
Toe1,0.08184393,0.082571305,0.043721113,0.043877147
Pcgf5,0.4156365,0.33199492,0.27689523,0.17680675
Rnps1,0.6277487,0.5354587,0.29846257,0.3572188
Hnrnpr,1.50666,1.4262171,1.0644889,1.0529273
Ccr9,0.09984891,0.08805706,0.022329953,0.020993503
Polr3d,0.19952212,0.12474769,0.15507537,0.10456344
Tnfrsf4,0.19516368,0.07877351,0.028560415,0.017071666
Hif1a,0.47015688,0.44241962,0.2897632,0.21633875
Izumo1r,0.0009450471,0.00066656055,0.0007690205,0.0003789624
Tbl1x,0.61813253,0.59933096,0.4875955,0.44318533
Gtf3c4,0.07894609,0.056619328,0.05478278,0.06578087
Myc,0.48963493,0.36486408,0.196828,0.05408426
Thra,0.017161356,0.012808112,0.011475792,0.00955806
Cd160,1.1008785,1.0376402,0.5452751,0.42945883
Batf,2.2941523,1.6517047,1.215452,0.80206895
Prmt3,0.33124027,0.20474946,0.13945816,0.107033186
Smarca4,1.2602589,1.2210491,0.7817879,0.73715675
Tfrc,0.48835406,0.32278037,0.122169815,0.1183058
Tnfrsf9,0.8885154,0.78091824,0.15026958,0.061575487
Hivep3,0.06342184,0.05398792,0.017875621,0.017699102
Pcgf6,0.25134563,0.15918314,0.13165656,0.09306721
Irf8,0.44285125,0.42492464,0.25954893,0.14592163
Tnfsf4,0.008008337,0.0037171028,0.0052054217,0.00016411516
Setdb1,0.2621918,0.21299583,0.18794931,0.2176172
Il1rl1,0.06927355,0.05414778,0.038877092,0.057656966
Xrcc5,0.4536988,0.39288783,0.20758086,0.13827342
Ets2,0.088034555,0.06580108,0.050622843,0.033499397
Ankrd55,0.02251202,0.017504742,0.0061527784,0.005636019
Brd7,0.6342413,0.6081745,0.5034761,0.49001676
Fubp3,0.059896495,0.04299816,0.0456767,0.02511994
Khdrbs1,0.8141397,0.7396712,0.45745298,0.45769036
Fbxo17,0.027098343,0.011510429,0.017743882,0.013846917
Tardbp,0.43319556,0.3334756,0.20449169,0.23118833
Tcof1,1.8984591,1.423709,0.99746794,0.85603905
Nap1l1,4.220003,3.2170124,1.1395724,1.2015709
Snrpb,6.3701863,5.6328206,3.2630174,3.156978
Eed,1.0385567,0.85251963,0.5946291,0.5662205
Supt16,3.8842375,3.4946775,1.1591462,1.1795944
Papola,1.5760587,1.3878753,1.0891434,1.216343
Ddb1,1.1641846,1.0070679,0.47028285,0.47024912
Parp1,0.7347562,0.55897385,0.17376426,0.26228705
Mcm8,0.173506,0.12603614,0.0074712257,0.0039104233
Wbp11,1.2324574,1.1785637,0.66225314,0.69936085
Gtf3a,1.5819328,1.273404,0.83850586,0.6786929
Ash2l,0.59423345,0.45051453,0.37393144,0.35862178
Sf1,1.416923,1.3027272,0.90076035,0.9219541
Brca2,0.41280589,0.35568434,0.03968266,0.019908406
Suv39h2,0.10012423,0.07798549,0.009468981,0.0059301755
Bop1,0.5630355,0.42839065,0.29027024,0.25410557
Pa2g4,4.0770926,2.4531438,0.86880827,0.6869091
Xrcc6,0.37522373,0.30697304,0.14200468,0.13752851
Aatf,0.4450363,0.31482944,0.2250998,0.23139283
Prmt1,2.8813298,1.8553076,0.8608137,0.7642299
Ruvbl1,0.78944707,0.45937,0.1882332,0.16708466
Cnbp,3.9094708,2.905503,3.4394624,3.615507
Gtf2h1,0.45442492,0.34835154,0.37624598,0.3484715
Polr2h,1.3229584,0.91547495,0.49410078,0.39163622
Prmt5,0.5503421,0.4030639,0.25033483,0.20849457
Tnfrsf8,0.0454815,0.013337428,0.007202701,0.020342603
Fubp1,0.9689651,0.71322685,0.48169848,0.34163213
Mybbp1a,1.0929629,0.4831895,0.34294596,0.28753212
Ssb,4.903245,4.2587395,2.6866484,2.6541786
Ruvbl2,0.3436379,0.24090515,0.091908306,0.08089691
Eif5b,2.8539186,2.2648554,1.547989,1.4781872
Apex1,0.59055406,0.27722955,0.1401965,0.060267266
Batf3,0.1786385,0.015756492,0.00047438932,0.0030528246
Prmt7,0.31706193,0.22576578,0.10637692,0.068590045
Cebpz,1.1111162,0.86654496,0.8045971,0.76251566
Gtf2a2,1.0609255,0.92358977,0.8204081,0.8554414
Dnajc2,2.7439876,2.1305857,1.1471977,1.1402847
Tcerg1,1.2906367,1.0336851,0.49468008,0.47411588
Polr2f,2.6879706,1.8852874,1.136454,0.93853915
Gtf2h2,0.18538737,0.14075503,0.11319785,0.09883704
Hdgf,3.8429344,3.0905857,1.300326,1.3714356
Mphosph8,0.84670126,0.70089877,0.54272294,0.5873582
Myb,0.3340283,0.24214426,0.077515975,0.022212032
Ddx20,0.17207016,0.15655588,0.07110375,0.07193055
Polr2b,0.8022809,0.7693701,0.429624,0.4579409
