,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Klra8,0.0,0.0,0.0,0.0,0.0
Ncr1,0.0,0.0,0.0,0.0,0.0
Trem1,0.0059462064,0.00045856208,0.0002434481,0.0,0.0
Tlr2,0.004770963,0.00036016188,0.00018339668,0.0,0.0
Cd36,0.037499946,0.0002742919,0.002147643,0.0,0.0
Cxcr2,0.008277631,0.00056412315,0.0,0.0,0.040860694
Cd300lf,0.017680762,0.0015609596,0.003796063,0.0,0.040860694
C5ar1,0.013199211,0.0008693517,0.00017901591,0.0,0.122582085
Cd300c2,0.007329775,4.4914123e-05,0.00054307183,0.0,0.0
Ly86,0.028757738,0.0017188642,0.008510023,0.011482919,0.021757362
Lair1,0.102776706,0.084761396,0.0688427,0.08834519,0.073297255
Ssrp1,0.39056557,0.20749083,0.090684935,0.12579344,0.03659845
Rfc1,0.92185926,0.5491726,0.48056328,0.33370805,0.22092238
Pcmt1,0.98712844,0.75908893,0.6230979,0.49679878,0.5097014
Tle1,0.08348373,0.06187654,0.036903992,0.024737243,0.09362905
Wdhd1,0.92867047,0.34590787,0.22429147,0.14506714,0.07741827
Dek,1.0883754,0.70380664,0.38517877,0.39576876,0.4003849
Cramp1l,0.51059246,0.40204108,0.2946911,0.24843152,0.32258004
Kntc1,0.7974731,0.24293855,0.20528083,0.068709366,0.022179676
Zdhhc21,0.610679,0.4774749,0.4427286,0.3593539,0.38754034
Men1,0.20578763,0.11682037,0.09724699,0.08107755,0.11432077
Atad2,1.8227227,0.87091136,0.47943646,0.48259008,0.55268997
Tet1,0.006583928,0.0037444525,0.00067294796,0.006253324,0.0
Kmt5a,0.1333199,0.041166324,0.0460231,0.021746475,0.0
Hnrnpul1,0.4886604,0.33280003,0.23998564,0.25633198,0.3860599
Gtf3c5,0.16250156,0.12810504,0.02724937,0.061544083,0.028594492
E2f5,0.07679262,0.04528749,0.05230282,0.05924397,0.05193479
Sfmbt1,1.093528,0.51213825,0.55107635,0.26781172,0.29434493
