,Arm_P2,Arm_P5,Arm_P3
Foxp1,-0.065808990584908,-0.0695200529905449,-0.07948607058813491
Dpp4,-0.057637006666154025,-0.06499913188118414,-0.07459540554013744
Nsd1,-0.037125657530907005,-0.04517293569483406,-0.04677342032465744
Eya2,0.011695261221593676,0.002636542026737334,-0.0008849949692173766
Ccr7,0.7890190163688653,0.46868539617489247,0.41823842651639404
E2f2,0.07470256320476201,0.04776560389917446,-0.0056615451027775595
Fcgr2b,0.06902085561717734,0.04264322817915628,0.06965742363557768
Klrk1,0.1656967209637577,-0.2102363072909,-0.026187585758221478
Cd47,0.5604157232632839,0.03219137105238858,0.4066237295420852
Tnf,0.024105093836303222,0.013767481271022095,0.014686867890216873
Lgals3,0.3387326630778803,-3.0566651984342363,-0.7229777463800766
Mcm7,0.35261350334052716,0.20271953533651757,0.10325382751226225
Sub1,1.108424862664649,0.6645528334697366,0.489485277183163
Rai1,0.0415802440576121,0.033888520956116476,0.036888343834047835
Padi4,0.021832131267183825,0.009262066980534089,0.006235719447340282
Sfmbt1,0.02238301774959219,0.01700795967310813,-0.005626283547163649
Ncor1,-0.01545837533891384,-0.029559939944417843,-0.048497025067229624
Ski,0.04721915946160571,0.030616360682495652,0.038300356922230355
Fcgr1,0.005917666083873482,0.0015297919816851116,6.398471254065064e-05
Brip1,0.11038963536641036,0.0886443417868716,-0.015091410383531872
Cd200,0.10562667570265248,0.09537191230560867,0.09563202958629723
Tnfrsf4,0.16547374920121616,0.1342563030172932,0.12465904212547133
E2f1,0.11710280950827294,0.08959758391173368,0.08731258688886379
Trip13,0.002461639825938712,-0.044980149336105196,-0.019845678815921187
Clec12a,0.03313151414066199,0.01227116100726459,0.0037966597607221137
Jaml,0.11656239645621289,0.12902331750568455,0.11818339478746666
Ddx5,1.0589685527062234,0.860030259338699,0.4369537328579377
S1pr1,0.33038049391069174,0.35755272750431644,0.314076388593375
Trbc1,1.5096463917109797,1.5168272640446319,1.1928872770639225
Taf15,0.08257096637186848,0.08732446952257909,0.05424807909264977
Hnrnpd,0.002178961186486091,-0.1313671586446156,-0.33612780020718946
Spn,0.1138583450867642,0.05048966362384998,0.08252027097377708
Tnfsf8,0.21450079058721375,0.15377716456501367,0.15018566491948276
Lair1,0.050986746524749,0.031169401807885494,-0.024192388659817092
Paxip1,0.013030414594860752,0.009600695490950011,-0.034127991130180585
Cd9,0.2473309564865562,0.12331562061600976,-0.004692773509967482
Pdcd1,0.31550594837580337,0.3206922284176836,0.29368224911277147
Id2,0.9819509125145326,0.9375107052602384,0.4998404676983453
Cd96,0.06691963347540052,-0.04211603347121503,-0.05180757850359736
Ighm,0.28354507564114345,0.23216761309995243,0.21849226311086048
Ggt1,0.09392511509928228,-0.043639820332694576,-0.06797451212452094
Klrb1c,0.09437125524931213,0.04555380927730012,0.03921356173824857
Hmgb3,-0.020215362915579845,-0.0642270367977541,-0.13628753840682115
Ppargc1b,0.02823180373468485,0.017416575810072426,0.016322625347689964
Fhl2,0.11610159618691118,0.03965331639790452,-0.03774781880793129
Cd180,8.655820937842228e-05,4.9480123263174076e-05,8.486678694491979e-05
Tshz2,0.007710094213386493,0.005385568026557441,0.005536113725653255
Ncam1,0.0027112493112921815,0.0012344595808539717,0.00036461972630865477
Lag3,0.5705154279115606,0.3091424653450358,0.06260320480987544
Cd300lf,0.005232807194066223,0.0028477099816867214,0.0004193020156948109
Il21r,0.09470122421695171,0.018311560393009296,-0.018920635166398775
Sirpa,0.0011882494474114848,0.0006723396500369404,0.00044178377846613146
Id3,0.0011684636876145727,0.0008372319321890304,0.00040332901815905354
Hdac9,0.00014321382733318162,8.524708567539971e-05,7.009811869978986e-05
Ciita,0.0015364019383059032,0.0005381854200045514,0.0
Maml3,0.0019774047361422664,0.0007471416207239867,0.000159288021383959
Foxm1,0.03352978358330572,0.025015286967555377,0.005592453747763811
Snrpd1,0.08941189263605297,0.009778937910741452,-0.10290384810755879
Ruvbl2,-0.001378160630606604,-0.029997318843167583,-0.03379616145683279
Mcm5,0.021323101288963614,-0.13961907747945773,-0.35206601993935643
Btg2,0.4569532828427602,0.36179109294128986,-0.215955061779497
