,AllAct_P2,AllAct_P7,AllAct_P9,AllAct_P10
Zdhhc2,0.10371399,0.07488087,0.08006212,0.06657979
Fosl1,0.011798257,0.004174257,0.0019270078,0.0011531203
Sema7a,0.15557207,0.10124672,0.07300109,0.038666654
Havcr2,0.59611034,0.1271597,0.31278908,0.29964724
Suv39h2,0.10012423,0.02695145,0.009468981,0.0059301755
Prmt3,0.33124027,0.21449773,0.13945816,0.107033186
Igsf8,0.15087649,0.054089412,0.068881236,0.07306856
Pdcd11,0.4080989,0.3195525,0.26823908,0.18007484
Irf4,0.35063356,0.31742167,0.27087486,0.15081657
Tsg101,0.60818124,0.4928741,0.49507,0.5161345
Bop1,0.5630355,0.42546743,0.29027024,0.25410557
Hdac3,0.54266274,0.38601017,0.3210069,0.3101994
Hnrnpr,1.50666,1.1973677,1.0644889,1.0529273
Tle1,0.054097958,0.009112168,0.034418676,0.036925282
Sfmbt1,0.13717869,0.06278563,0.048829205,0.06695622
Wbp11,1.2324574,0.6859668,0.66225314,0.69936085
Ccr9,0.09984891,0.026049167,0.022329953,0.020993503
Epas1,0.18026666,0.03492977,0.12816092,0.15733142
Tcerg1,1.2906367,0.72101045,0.49468008,0.47411588
Ctcf,0.9731718,0.7797695,0.83596885,0.893811
Ilf3,0.41686478,0.29091305,0.2763818,0.34355044
Apex1,0.59055406,0.29956913,0.1401965,0.060267266
Smyd2,0.24093382,0.1104865,0.032683387,0.022637682
Ecd,0.3460277,0.261025,0.20674254,0.25919622
Hnrnpul1,1.1338828,0.9721457,0.85627353,0.88480705
Parp2,0.5321174,0.30704138,0.20216429,0.16691343
Taf6,0.1963777,0.15561184,0.07805335,0.12375096
Fkbp1a,3.7566237,3.3032796,2.8375227,2.3464544
Mtf2,0.53656286,0.42127243,0.32235044,0.40433154
E2f6,0.043512013,0.02033172,0.012137529,0.0072004735
Maml3,0.006877524,0.0062846937,0.002916294,0.0032643587
Pax5,0.0023965903,0.0040412466,0.00047054738,0.0
Zbtb16,0.005331988,0.0025979003,0.0010265446,0.0
Ifngr2,0.008538565,0.0038254084,0.0018844436,0.00017729754
Hdac9,0.0020779197,0.001291338,0.00027565286,0.00012664005
Fcgr1,0.013053691,0.0044712415,0.005187162,0.0014176088
Ncr1,0.004329844,0.0,0.003618012,0.00272753
Cd180,0.00080563,0.0001670849,0.00015381788,4.074424e-05
Tlr2,0.015124041,0.0080823675,0.003965944,0.002530449
Csf3r,0.014509917,0.0006616675,0.00218788,0.004711828
Clec12a,0.059856225,0.009882627,0.008456651,0.008683982
Padi4,0.0070421924,0.00094967877,0.00079787703,0.0005094382
Cd300lf,0.011756464,0.004067933,0.0034729247,0.0025821724
Atf3,0.025004404,0.010476688,0.011427383,0.0039692754
Csf1r,0.018241676,0.0049042758,0.0023727617,0.00087152276
Trem1,0.0049563097,0.0006444286,0.00090300536,0.0006038552
Ly86,0.028771833,0.014736697,0.0074778204,0.0013095494
Pirb,0.033034693,0.009901976,0.012819545,0.00810753
C5ar1,0.0016022614,0.00034360803,0.00023056006,0.00072151126
H2-Eb1,0.1926739,0.074717,0.0634668,0.07322684
Cbfa2t3,0.08941732,0.084523,0.009708047,0.004210688
Sirpa,0.016913345,0.0033755424,0.008153217,0.006208274
Bcl11a,0.0018247602,0.00069335423,0.00044377302,6.0788945e-05
Il1r2,0.028752675,0.024876505,0.0055518737,0.0032841188
Plaur,0.02077923,0.013709602,0.003278967,0.0033274882
Ciita,0.007636942,0.004529932,0.004096082,0.00089119206
Cxcr2,0.002934883,6.563491e-05,0.0003917065,0.0008777426
Cd300c2,0.012595189,0.006749468,0.0064667757,0.0012142101
Lmo4,0.32931995,0.21662377,0.15967427,0.25370842
Cd74,0.23547484,0.09978031,0.064684354,0.050218925
H2-Ab1,0.19238956,0.07938279,0.0485572,0.047665216
Tcf7l2,0.0052585653,0.003973847,0.0009049549,0.0021276094
Toe1,0.08184393,0.061875664,0.043721113,0.043877147
Bard1,0.35767257,0.10340184,0.0448169,0.044542972
E2f1,0.40474626,0.14104186,0.03945298,0.017271424
Mbd4,0.16870384,0.06835373,0.05115227,0.06910367
Tcf19,0.56484425,0.18777725,0.09490217,0.115081966
Cebpg,0.47704107,0.3253948,0.31594577,0.36497715
Med21,0.08427905,0.052971065,0.049431946,0.051444646
Mybl1,0.03105946,0.005003787,0.0019443143,0.020232238
Taf15,0.9823553,0.73771966,0.7224763,0.7361918
Mcm2,1.6282175,0.5289835,0.25017515,0.20386092
Hmgb2,17.601398,7.3182993,4.193128,3.9559205
Gtf3c5,0.09213237,0.06779532,0.045879263,0.030188257
Polr2d,0.7390225,0.45953783,0.3677664,0.39509284
Fkbp5,1.249121,0.6297917,0.40099356,0.39280295
Rad51,0.16924573,0.03146458,0.0051491973,0.0033646151
Mcm4,1.1726393,0.4131445,0.23946343,0.17736126
Cops5,1.0227702,0.68740356,0.5003856,0.4523278
Kntc1,0.2158663,0.048260402,0.008535837,0.0063564
Dek,5.077212,2.1617587,1.840145,1.9982527
Psip1,2.1001282,1.1937655,1.1644228,1.5643787
Ssrp1,3.9202926,1.766656,1.2991914,1.0745785
Thrap3,1.6181651,1.3505217,1.0391593,1.0174654
Khdrbs1,0.8141397,0.6235922,0.45745298,0.45769036
Fmr1,0.8729319,0.5194142,0.51184964,0.56781673
Parp1,0.7347562,0.36004353,0.17376426,0.26228705
Cbx5,1.5460659,0.58818376,0.3119417,0.29470363
Nsd2,1.0004604,0.4480349,0.27350026,0.2815347
Nono,1.0268488,0.72046936,0.50767696,0.49516994
Polr2k,0.2375924,0.17048837,0.14025642,0.16950186
Ash2l,0.59423345,0.42517897,0.37393144,0.35862178
Cbx1,1.2764126,0.65062594,0.45156777,0.46935424
Phf19,0.08976257,0.03035614,0.011259333,0.007810145
Ssb,4.903245,3.227185,2.6866484,2.6541786
Tcof1,1.8984591,1.1978838,0.99746794,0.85603905
Trim27,1.0673567,0.6240463,0.58198106,0.5270352
Brd7,0.6342413,0.54264987,0.5034761,0.49001676
Pwp1,0.34878305,0.2402205,0.18926051,0.19175813
Hnrnpab,8.409473,3.002228,2.1311588,1.9377658
Nap1l1,4.220003,2.1322818,1.1395724,1.2015709
Hells,2.3930733,0.5745796,0.2009207,0.19069408
Pa2g4,4.0770926,1.3605092,0.86880827,0.6869091
Prmt7,0.31706193,0.16988406,0.10637692,0.068590045
Hdac2,0.89953,0.38007328,0.28387204,0.31826252
Dpy30,2.8430579,1.4383801,1.0823102,1.077485
Trim28,0.9685467,0.46086222,0.30672514,0.34492758
Srrm1,2.1538813,1.5503167,1.6248194,1.6151471
Ivns1abp,0.80419403,0.60535157,0.5988012,0.59918284
Ruvbl1,0.78944707,0.40298536,0.1882332,0.16708466
Atf1,1.013483,0.66653514,0.7064952,0.6573603
Smarca5,4.391671,2.432296,1.811408,1.7330385
Ybx1,17.79573,9.423331,5.873191,5.4675603
Ilf2,0.97010636,0.4896065,0.32228556,0.31607962
Prmt1,2.8813298,1.2806065,0.8608137,0.7642299
Zranb2,1.0843734,0.81715107,0.60036814,0.5228384
Polr2h,1.3229584,0.92754626,0.49410078,0.39163622
Trip13,0.6079801,0.14480312,0.028643806,0.035703994
Papola,1.5760587,1.10654,1.0891434,1.216343
Ruvbl2,0.3436379,0.1617411,0.091908306,0.08089691
Tfdp1,1.1272173,0.450324,0.18595439,0.15442
Hdgf,3.8429344,1.7642102,1.300326,1.3714356
Rnps1,0.6277487,0.3642881,0.29846257,0.3572188
Polr2f,2.6879706,1.3523734,1.136454,0.93853915
Gtf3a,1.5819328,1.0483618,0.83850586,0.6786929
Hmga1,0.030894585,0.017182257,0.010963201,0.0073291217
Wdr5,0.48334435,0.2000911,0.22927642,0.22231238
Mphosph8,0.84670126,0.6068856,0.54272294,0.5873582
Gatad1,0.2975168,0.18279569,0.12797642,0.15749007
Zfpm1,0.8962544,0.7448128,0.38707212,0.48520976
Suz12,2.285798,0.9574461,0.8723809,0.96044
Paxip1,0.45466235,0.21944948,0.17508672,0.19936939
Foxm1,0.08590553,0.015252851,0.010539116,0.0060232976
Cenpk,0.39678878,0.09530956,0.037072822,0.041070163
E2f8,0.6245932,0.10375561,0.035516065,0.021142129
Zfp207,0.39693022,0.3301338,0.23931615,0.28083295
Brca1,0.42878348,0.10873925,0.027148567,0.022550337
Taf1,0.46724844,0.34405702,0.33954716,0.33558255
Fus,1.598538,1.143335,1.2282214,1.0600593
E2f2,0.7168121,0.3851811,0.36092466,0.48262388
Espl1,0.1740298,0.041865535,0.012169295,0.014127606
Mcm8,0.173506,0.03762323,0.0074712257,0.0039104233
Polr2b,0.8022809,0.54236215,0.429624,0.4579409
Prdm1,0.50498086,0.09951963,0.35279256,0.4323531
Dnmt1,2.174091,1.0009487,0.6534704,0.6697392
Ezh2,2.7050936,1.259794,0.54846966,0.63402945
Hmgb3,0.7602794,0.3134415,0.08382843,0.07269219
Hmmr,1.5676786,0.3673223,0.05373704,0.036612023
Timeless,0.58813226,0.17880517,0.08419436,0.074519984
Coil,0.16364628,0.12713656,0.09184362,0.07207049
Mcm7,2.2911038,0.7073496,0.2935472,0.24814905
Cdc5l,1.5395153,1.2294966,1.230904,1.212531
Smarca4,1.2602589,0.93655,0.7817879,0.73715675
Xrcc5,0.4536988,0.39769405,0.20758086,0.13827342
Ctr9,0.4245685,0.35671076,0.34026462,0.32017043
Zdhhc16,0.25932539,0.1625737,0.15310031,0.16828401
Hdac6,0.047527634,0.022583853,0.018473867,0.031263012
Mef2c,0.010401698,0.010037026,0.0017989787,0.007206527
Lmo2,0.016960168,0.011289508,0.0073028486,0.0011274514
Gtf2ird1,0.029543173,0.011927199,0.0018732012,0.0
Pcgf5,0.4156365,0.33149004,0.27689523,0.17680675
Ggt1,0.4391136,0.27015406,0.26838383,0.04961267
Zbtb10,0.0127821425,0.013695096,0.0021313166,3.44164e-05
Baz1b,2.1157312,1.2084486,0.98747367,0.9661046
Nap1l4,1.4711875,1.2419959,1.0679191,1.1026661
Atad2,1.8560793,0.7482903,0.49724624,0.5549716
Brip1,0.3382018,0.10606451,0.02460247,0.023028966
Hat1,1.8857924,0.6952814,0.44640824,0.43465164
Rbbp4,2.5471742,1.6729455,1.3062844,1.2908779
Aurkb,0.6084091,0.1944321,0.06275723,0.03785602
Ube2k,1.4096669,1.1019605,0.95072186,1.0157703
Sin3a,0.3791373,0.28113255,0.28302062,0.3380827
Mxd3,0.4051573,0.08817989,0.019480864,0.017297143
Chaf1b,0.89691526,0.31738964,0.29803783,0.19468978
Pcmt1,0.61521316,0.47836024,0.4905279,0.48460647
Csrp2,0.23553324,0.08650795,0.052297544,0.05446911
Rfc1,1.2665081,0.71890444,0.421895,0.42709905
Pms1,0.11336665,0.09317049,0.09259072,0.04320532
Wdhd1,0.34737918,0.113795355,0.056246802,0.05983706
Actl6a,1.362931,0.83710307,0.56471485,0.45915636
Lgals3,10.052307,5.380318,5.937031,4.850208
Gtf2e1,0.14803411,0.11560681,0.08475682,0.09075249
Jade1,0.2946997,0.1364283,0.20954533,0.16475388
Aatf,0.4450363,0.31153056,0.2250998,0.23139283
Mybl2,0.14066355,0.030668398,0.011288537,0.0036725458
Setdb1,0.2621918,0.218007,0.18794931,0.2176172
Polr2i,0.89003164,0.71882737,0.5915433,0.6192843
Gtf2h2,0.18538737,0.13088658,0.11319785,0.09883704
Bcor,0.26389366,0.20319471,0.19902518,0.23094687
Elp3,0.20892073,0.1554384,0.12498628,0.1750259
Fbxo17,0.027098343,0.016739383,0.017743882,0.013846917
Cebpz,1.1111162,0.87455386,0.8045971,0.76251566
Ets2,0.088034555,0.05378422,0.050622843,0.033499397
Pcgf6,0.25134563,0.14086159,0.13165656,0.09306721
Sap30bp,0.3781685,0.27929237,0.3364824,0.31714144
Fubp1,0.9689651,0.66419166,0.48169848,0.34163213
Irf8,0.44285125,0.42418218,0.25954893,0.14592163
Tnfrsf9,0.8885154,0.55218494,0.15026958,0.061575487
Polr3d,0.19952212,0.16017531,0.15507537,0.10456344
Igf1r,0.0047519202,0.010636555,0.0017443547,0.0018103279
Cnbp,3.9094708,2.9835377,3.4394624,3.615507
Mybbp1a,1.0929629,0.51902765,0.34294596,0.28753212
Eng,0.0028740345,0.0010209145,0.0022036573,0.0012023458
Il6ra,0.030795848,0.049010072,0.019770099,0.010745206
Trgv2,0.022021685,0.013571709,0.0077478546,0.0068163243
Ctsl,0.047071673,0.055657774,0.021071473,0.02834054
Tnfrsf8,0.0454815,0.0059248116,0.007202701,0.020342603
Ddx20,0.17207016,0.07418361,0.07110375,0.07193055
Prmt5,0.5503421,0.32003203,0.25033483,0.20849457
Tfrc,0.48835406,0.23173958,0.122169815,0.1183058
Batf3,0.1786385,0.0037186549,0.00047438932,0.0030528246
Eed,1.0385567,0.5954701,0.5946291,0.5662205
Gtf2b,1.0011569,0.78675014,0.84595406,0.9163588
Foxk2,0.23361476,0.14237039,0.14689507,0.12011799
Fkbp2,1.9913512,0.89539033,0.5157723,0.3441666
Ttf2,0.266158,0.1340166,0.13121974,0.1139295
Hnrnpk,6.5848823,5.11014,4.1890287,4.1292105
Hdac1,1.8655918,1.3601395,1.0450033,0.98524565
Bclaf1,1.3402424,1.0377911,0.9031311,0.8373918
Rbbp7,2.9315004,1.2959087,0.820749,0.84548134
Baz1a,2.3728192,1.6985028,1.534679,1.5209422
Sf1,1.416923,0.925607,0.90076035,0.9219541
Hsf2,0.13930327,0.07514512,0.041442286,0.038764562
Eif5b,2.8539186,2.057932,1.547989,1.4781872
Gtf2f2,0.67441195,0.49214345,0.4064067,0.41251084
Mycbp,0.42233357,0.20134635,0.16263273,0.16598457
Tardbp,0.43319556,0.23511755,0.20449169,0.23118833
Mcm3,3.745453,1.1564733,0.5167843,0.37076223
Smarcc1,1.4948792,0.8721573,0.4297702,0.4906849
Mcm6,3.4567628,1.7297401,0.91707915,0.8472755
Uhrf1,1.6251482,0.3922064,0.09181531,0.04826986
Il2ra,0.49223197,0.06376086,0.114978544,0.07225398
Supt16,3.8842375,1.9697453,1.1591462,1.1795944
Dnajc2,2.7439876,1.598034,1.1471977,1.1402847
Safb,0.64735925,0.54068375,0.43375337,0.45057353
Pnn,3.0165093,2.2232034,2.0929632,2.147749
Gtf2h1,0.45442492,0.32175654,0.37624598,0.3484715
Ddb1,1.1641846,0.7102941,0.47028285,0.47024912
Orc1,0.23054078,0.050786838,0.014638571,0.00571989
Cnot6,0.98787,0.71011794,0.58438104,0.6256579
Brca2,0.41280589,0.119740665,0.03968266,0.019908406
Chaf1a,0.40517494,0.12409163,0.031546917,0.028429398
