,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Klra9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcr2,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.0,0.0,0.0,0.0,0.0,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.008139670391877492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.004022932052612305,0.0,0.0,0.0,0.0
Kcnip3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klra1,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.005013268689314524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.00027223552266756695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043802388633290925,0.00043802388633290925,0.00043802388633290925,0.00043802388633290925,0.00043802388633290925,0.00043802388633290925,0.00043802388633290925,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0016503605060279368,0.0012123366196950276,0.0012123366196950276,0.0012123366196950276,0.0012123366196950276,0.0012123366196950276,0.0012123366196950276,0.0012123366196950276
Ciita,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0,0.0,0.0,0.0,0.0,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0011894038567940395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0009643814836939175,0.0,0.0,0.0,0.0
Klra4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klra8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sell,0.022190701961517335,0.022190701961517335,0.023492735624313355,0.023492735624313355,0.023492735624313355,0.023492735624313355,0.023492735624313355,0.023492735624313355,0.023492735624313355,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.023894279015560946,0.001703577054043611,0.001703577054043611,0.001703577054043611,0.001703577054043611,0.001703577054043611,0.017064978492756684,0.017064978492756684,0.015762944829960664,0.015762944829960664,0.015762944829960664,0.015762944829960664,0.015762944829960664,0.015762944829960664,0.015762944829960664,0.015361401438713073,0.015361401438713073,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.01720944916208585,0.02165529405077298,0.02165529405077298,0.02165529405077298,0.02165529405077298,0.02165529405077298,0.021996936605622366,0.021996936605622366,0.021996936605622366,0.02312327340866128,0.02312327340866128,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.007761871969948212,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.005913824246575435,0.0014679793578883014,0.0014679793578883014,0.0014679793578883014,0.001753991780181726,0.001753991780181726,0.0014123492253323396,0.0014123492253323396,0.0014123492253323396,0.0002860124222934246,0.0002860124222934246,0.0002860124222934246,0.0002860124222934246,0.0002860124222934246,0.0002860124222934246,0.0055196037205557024,0.0055196037205557024,0.0055196037205557024,0.0055196037205557024,0.0055196037205557024,0.007185411235938469,0.007185411235938469,0.007858203196277221,0.007858203196277221,0.007858203196277221,0.007858203196277221,0.007858203196277221,0.009429661029328903,0.009429661029328903,0.009429661029328903,0.009429661029328903,0.009429661029328903,0.009429661029328903,0.009429661029328903,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.009143648607035478,0.0039100573087731995,0.0039100573087731995,0.0039100573087731995,0.0039100573087731995
Cd68,0.007795044034719467,0.007795044034719468,0.007795044034719468,0.008531917755802473,0.008531917755802473,0.008531917755802473,0.008908738971998294,0.008908738971998294,0.008908738971998294,0.008908738971998294,0.009389395297815403,0.009958823366711536,0.009958823366711536,0.009958823366711536,0.009958823366711536,0.009958823366711536,0.009600383695214987,0.008441772839675347,0.009255831968039275,0.009255831968039275,0.008753327621767918,0.008753327621767918,0.008753327621767918,0.008753327621767918,0.008753327621767918,0.0051581342704594135,0.004749911309530338,0.004195066137860219,0.004195066137860219,0.004195066137860219,0.0077068877406418325,0.0077068877406418325,0.0077068877406418325,0.006970014019558827,0.007839271519333123,0.007839271519333123,0.007462450303137302,0.007462450303137302,0.007462450303137302,0.007462450303137302,0.0069817939773201936,0.00641236590842406,0.00641236590842406,0.00641236590842406,0.00641236590842406,0.00641236590842406,0.00641236590842406,0.00641236590842406,0.005598306780060133,0.005598306780060133,0.006225990317761898,0.006419512070715428,0.006419512070715428,0.006419512070715428,0.006833445591231188,0.006649406130115192,0.007147883903235198,0.007147883903235198,0.007147883903235198,0.007147883903235198,0.0031906679738312954,0.0031906679738312954,0.0034178456757217642,0.0034178456757217642,0.0027757658778379364,0.0033220292224238317,0.0033220292224238317,0.004074668868755301,0.004372044326737524,0.004372044326737524,0.0048096311744302515,0.005231027724221349,0.005231027724221349,0.006018509389832616,0.006456096237525344,0.007089963819210728,0.007089963819210728,0.007772428682073951,0.007946598265940944,0.007946598265940944,0.007318914728239179,0.007400397568320235,0.008325191944216688,0.008684984299664696,0.008271050779148935,0.008266559165591996,0.00818796786479652,0.00818796786479652,0.008679538639262319,0.008679538639262319,0.008474633252869049,0.008773209651311238,0.00854603194942077,0.00854603194942077,0.00899743102490902,0.008451167680323123,0.008451167680323123,0.008145062097658714,0.008692218456417322,0.008692218456417322,0.008254631608724593,0.008618300935874382,0.008618300935874382,0.007830819270263115,0.007393232422570386,0.006759364840885003,0.006759364840885003,0.00607689997802178,0.005902730394154787,0.006635720313837131,0.00806633522734046,0.00908627954001228,0.008161485164115826,0.007801692808667818,0.007801692808667818,0.007423295918852091,0.00700340944652756,0.00700340944652756,0.006511838672061761,0.006511838672061761,0.006511838672061761,0.006213262273619572,0.006213262273619572,0.006213262273619572,0.005534685496240854,0.005534685496240855,0.005534685496240855,0.005088151432573795
