,Arm_P2,Arm_P7,Arm_P9,Arm_P10
Gtf3c4,0.07800286,0.0468791,0.054999888,0.06571042
Hdac6,0.04706267,0.022955213,0.018417113,0.031231564
Izumo1r,0.0010320455,0.002669457,0.00073309673,0.00037975772
Ccr9,0.08517685,0.024502657,0.022040566,0.020621981
Taf6,0.19294478,0.16758564,0.07704828,0.123738244
Zbtb10,0.013321511,0.02950032,0.0021398207,3.448863e-05
E2f6,0.04360465,0.020078968,0.012174757,0.0072155846
Tbl1x,0.61012495,0.6158628,0.48730505,0.44323227
Setdb1,0.2604838,0.21220754,0.18809272,0.21773498
Ctr9,0.4221066,0.36154684,0.34101868,0.32012174
Ets2,0.08675604,0.05948856,0.0506016,0.033469804
Cd244a,0.022995768,0.020251809,0.0070694815,0.009638303
Il2rb,3.084286,2.2387316,2.2440681,2.0210419
Taf15,0.992053,0.79353225,0.72202057,0.7361566
Bard1,0.35773185,0.10586138,0.044166654,0.044366386
Fkbp2,2.0065088,0.831969,0.50983626,0.34333903
Timeless,0.58484155,0.20838678,0.08329462,0.07435989
Cbfb,1.1516206,0.7806605,0.69109696,0.7059
Polr2d,0.7386426,0.43932506,0.36679885,0.3945938
Dnmt1,2.1722794,1.0918359,0.6488816,0.6692124
Thrap3,1.6170985,1.4411737,1.0369437,1.0170883
Espl1,0.17463346,0.05476078,0.012042801,0.014157254
E2f2,0.72261685,0.4231853,0.3596347,0.4823579
Ttf2,0.2627032,0.14920306,0.1318683,0.11389718
Dek,5.101871,2.3527088,1.8408071,1.9975889
Cnot6,0.98243016,0.7219168,0.58459586,0.6262298
Nsd2,0.9969814,0.44920614,0.27235073,0.28172
Foxm1,0.08648201,0.018633906,0.010428496,0.006035938
Fus,1.60018,1.3007424,1.228965,1.0595207
Atad2,1.8608603,0.89716977,0.49578902,0.55503184
Chaf1a,0.40092885,0.12384332,0.03091029,0.028413167
Mcm4,1.1728517,0.48082355,0.23797113,0.17685315
Mbd4,0.16796444,0.087272435,0.051086057,0.0692487
Cenpk,0.39446777,0.10653386,0.036757737,0.041066416
Ssbp3,0.8010416,0.68014723,0.4653494,0.43395898
Tle1,0.055494353,0.009397707,0.0348196,0.036884867
Brca2,0.41069594,0.13224776,0.039118398,0.0197799
Nap1l4,1.4720663,1.3025848,1.0690504,1.1028664
Rad51,0.17047748,0.040183228,0.0049669873,0.0033716762
Csrp2,0.2387498,0.07387534,0.05228333,0.054363433
Hmmr,1.5753254,0.40722772,0.052613985,0.03668886
Mxd3,0.41298255,0.12237566,0.01865264,0.017333442
Hmgb2,17.693544,7.780806,4.1782975,3.952743
Kntc1,0.21611315,0.060281783,0.008394245,0.0062844255
Ggt1,0.44628084,0.27884728,0.26178467,0.049620643
Fkbp5,1.2397358,0.56003404,0.39679924,0.39286974
Epas1,0.18429242,0.048352227,0.12785907,0.15758519
Sf1,1.4164817,1.014614,0.9004501,0.922312
Bclaf1,1.3395716,1.0452043,0.90367705,0.8370091
Psip1,2.1077173,1.2506759,1.165384,1.5649607
Fmr1,0.87669915,0.51292044,0.51267517,0.56720793
Hnrnpd,4.675312,2.699142,2.3300521,2.2231233
Khdrbs1,0.8146476,0.6285065,0.45660436,0.45788077
Nfyb,1.0486596,0.67094594,0.78117216,0.7929004
Hnrnpab,8.408287,3.1560462,2.1284192,1.9370171
Uhrf1,1.6293128,0.45312667,0.09002274,0.04796868
Brca1,0.4252218,0.12244136,0.026487129,0.02228858
Safb,0.64844495,0.5237887,0.43370256,0.45063326
Abcg2,0.031595957,0.026421918,0.010556268,0.017668147
Nono,1.0252774,0.68580544,0.50510997,0.49503335
Suz12,2.2794569,1.0624651,0.8701545,0.96100676
Zfp207,0.39210144,0.30961233,0.23873651,0.28113496
Baz1b,2.1116643,1.2875986,0.9864543,0.966244
Supt16,3.8727534,1.9635552,1.1545727,1.1792324
Cbx5,1.5465957,0.6189836,0.31033567,0.29429203
Prdm1,0.5044203,0.09017755,0.35004002,0.43211338
Tnfrsf9,0.84926844,0.32747447,0.14466062,0.06166756
Gtf2f2,0.67304593,0.4392239,0.40522203,0.4123394
Sema7a,0.1572908,0.06702406,0.07112473,0.038580738
Elp3,0.21080156,0.16159904,0.12430927,0.17485042
Sirt1,0.25360927,0.18728544,0.21035074,0.20409085
Irf4,0.35369667,0.3108213,0.2695556,0.15066513
Xrcc5,0.445966,0.3866882,0.20720565,0.13852645
Taf1,0.4641602,0.38443932,0.34065926,0.33597603
Cbx3,0.27320114,0.15921944,0.09148796,0.09574947
Pcgf6,0.24597482,0.15095039,0.13225955,0.09314056
Cdc5l,1.5330077,1.2038192,1.2290558,1.2125232
Men1,0.07631515,0.04656094,0.03232225,0.04234136
Zranb2,1.0836723,0.7028596,0.5971691,0.52275497
Ddx20,0.1708812,0.08981104,0.071470216,0.07193383
Polr2f,2.68484,1.2816828,1.1342456,0.93929684
Polr2i,0.88812226,0.6614056,0.58976644,0.61884207
Trim27,1.0709002,0.6278775,0.58148307,0.52737385
Gtf2h2,0.18322416,0.12854694,0.11351101,0.098993726
Mphosph8,0.8457967,0.6165084,0.5445082,0.5874976
Cops5,1.0220237,0.63476413,0.4979399,0.45202467
Plrg1,0.31621525,0.19201408,0.15970103,0.15439968
E2f8,0.63374096,0.14461523,0.034742963,0.021151619
E2f3,0.3285247,0.1194728,0.1011442,0.08932827
Med21,0.08449798,0.052299175,0.049450036,0.051414113
Snrpd1,2.4321597,1.0054299,0.63756055,0.4655404
Upf1,0.6948342,0.5503478,0.56408834,0.5817506
Dpy30,2.83139,1.4242542,1.0795653,1.0769727
Kmt5a,1.5187346,0.7199811,0.6060717,0.79042006
Rpa3,1.8591654,0.83095014,0.5547016,0.5439826
Hmgb3,0.75347316,0.30123368,0.08295074,0.072803736
Ash2l,0.5897726,0.37366724,0.37379673,0.35886797
Atf1,1.0087775,0.66886866,0.70679575,0.65785146
Eif5b,2.842603,1.9245242,1.5445838,1.4781448
Polr2b,0.7938031,0.49456188,0.4287116,0.45836097
Srrm1,2.1359398,1.6152362,1.626807,1.6162269
Papola,1.5733395,1.09742,1.0883033,1.216342
Ewsr1,1.8350842,1.641494,1.3941429,1.367656
Hnrnpk,6.585722,4.9282017,4.1805305,4.128085
Ezh2,2.6905904,1.2275677,0.5452574,0.6336764
Mcm8,0.17263818,0.041231558,0.007330921,0.0039186296
Rbbp7,2.9286237,1.3556806,0.81832844,0.84511024
Nap1l1,4.192076,1.9483389,1.1322277,1.2001154
Ddb1,1.1649069,0.67217404,0.46946162,0.47006306
Cbx1,1.2745979,0.61825234,0.44967794,0.46958798
Tial1,0.90037745,0.56799954,0.4263642,0.4574255
Smarca5,4.351453,2.3183134,1.8090204,1.7332247
Gtf2e2,0.6660417,0.42418557,0.30394903,0.27674052
Gtf3a,1.5742657,1.0317967,0.8369026,0.6782544
Hells,2.3886561,0.56870705,0.19899593,0.19066784
Baz1a,2.3665621,1.6057386,1.5207201,1.5201117
Smarcc1,1.4846365,0.7902004,0.4274767,0.49036247
Fkbp1a,3.7394443,2.9628544,2.8231497,2.3457398
Tcof1,1.8918757,1.1347564,0.99601614,0.85606146
Tfdp1,1.109424,0.43923864,0.18538354,0.15406516
Trip13,0.60448295,0.14703472,0.028092137,0.035731416
Ilf2,0.96611303,0.47261164,0.32091287,0.31614664
Snrpb,6.370525,3.7111855,3.2621653,3.1555235
Gtf2a2,1.0490184,1.0826385,0.82114553,0.8555753
Ssrp1,3.8976347,1.7924199,1.2957727,1.0737803
Ssb,4.8779087,3.2111144,2.6860511,2.653321
Tcerg1,1.2809671,0.6783562,0.49353567,0.47409508
Ybx1,17.756771,9.267515,5.845123,5.463909
Prmt7,0.3117457,0.16892654,0.1063121,0.06867671
Sap30bp,0.37521008,0.27480382,0.33638975,0.31724063
Ecd,0.3415808,0.24285081,0.2069532,0.25926292
Rnps1,0.6263679,0.3217843,0.29806378,0.35731435
Zfpm1,0.886445,0.60393715,0.38575217,0.4846295
Ilf3,0.41223213,0.28586745,0.27610174,0.34392744
Prmt1,2.85303,1.2186356,0.86094874,0.76413023
Cebpz,1.102156,0.86271363,0.8048839,0.7626265
Prmt3,0.3280999,0.18417531,0.13946098,0.10720746
Il2ra,0.49154186,0.051070437,0.11400977,0.07187718
Dnajc2,2.7173998,1.5256244,1.1463544,1.1400553
Hdgf,3.8255684,1.7676247,1.3009043,1.3705422
Xrcc6,0.3762501,0.22607897,0.1422327,0.1376304
Batf3,0.18347132,0.0043136007,0.00048166278,0.0030592314
Ruvbl1,0.77968323,0.3472287,0.18804252,0.16712838
Tnfrsf8,0.04490852,0.0047208383,0.007209151,0.020209389
Wbp11,1.2295194,0.7570091,0.66455656,0.69915354
Aatf,0.4397575,0.2721441,0.2254361,0.23129287
Polr2h,1.3127042,0.77173185,0.49139106,0.3914784
