,Arm_P2,Arm_P5,Arm_P3
Cxcr4,0.5056778,0.34574068,0.44020048
Parn,0.20824245,0.17102458,0.15420592
Tnfsf11,0.0071087056,0.00334801,0.0032654582
Hsf2,0.13899186,0.13024573,0.061192114
Tnfrsf4,0.16052853,0.056707837,0.042567153
Cnbp,3.8664782,3.250768,2.447456
Aatf,0.4397575,0.32025033,0.24699502
Polr2f,2.68484,2.0743032,1.4238734
Batf,2.186804,1.6765217,1.3967057
Prmt7,0.3117457,0.20567581,0.15924922
Pwp1,0.34441394,0.27305183,0.2031379
Jdp2,0.1778159,0.16778585,0.124526106
Actl6a,1.3654543,1.3413694,1.0988321
Foxk2,0.23209946,0.22538066,0.17166132
Suv39h2,0.0987476,0.077544235,0.07999666
Pa2g4,4.066544,2.3990889,1.8300502
Hdgf,3.8255684,2.9137125,3.1043828
Tfdp1,1.109424,0.91931164,0.67871445
Mphosph8,0.8457967,0.67336255,0.62380874
Supt16,3.8727534,3.0251994,2.9290552
Gtf2a2,1.0490184,0.9323933,0.91815144
Suz12,2.2794569,2.1063948,1.954623
Ruvbl1,0.77968323,0.42387238,0.31796116
Papola,1.5733395,1.2490102,1.3543718
Hdac2,0.8982248,0.7422881,0.45506614
Eif5b,2.842603,2.040793,1.6724445
Trim28,0.9636694,0.7310261,0.728916
Mtf2,0.5288653,0.49669844,0.5168401
Prmt5,0.5485029,0.44445288,0.2813491
Srrm1,2.1359398,1.856373,1.850819
Taf5l,0.34117773,0.3126946,0.24760996
Ruvbl2,0.34221086,0.19743258,0.2049597
Tcerg1,1.2809671,1.0680337,0.923048
Tcof1,1.8918757,1.3469825,1.144802
Prmt1,2.85303,1.6827122,1.4237548
Polr2i,0.88812226,0.81327647,0.7617443
Wbp11,1.2295194,1.0102361,1.1609877
Bmi1,0.23099004,0.20381029,0.122325614
Smarcc1,1.4846365,1.233895,1.1806537
Smyd2,0.23477499,0.13197596,0.073365666
Rnps1,0.6263679,0.5557915,0.45969263
Ilf2,0.96611303,0.76643807,0.8829367
Polr2b,0.7938031,0.57492757,0.66488546
Smarca5,4.351453,3.424984,2.8410428
Smarca4,1.2536212,1.0181049,1.121275
Dnajc2,2.7173998,2.216911,1.8595848
Nap1l1,4.192076,3.4461312,2.5059218
Zbtb11,0.42134413,0.40510038,0.37299994
Il2ra,0.49154186,0.26724556,0.20831014
Fubp1,0.94995505,0.72283995,0.49714494
Gtf2e1,0.14792015,0.09247071,0.08790603
Ilf3,0.41223213,0.3817386,0.39087057
Prdm5,0.0116794575,0.005507,0.00045978103
Zfpm1,0.886445,0.71781105,0.67752683
Sf1,1.4164817,1.2213084,1.1618764
Tnfrsf8,0.04490852,0.01733724,0.006044549
Bop1,0.5607005,0.3864552,0.32836264
Prmt3,0.3280999,0.24012074,0.1332717
Mybbp1a,1.0726418,0.4666251,0.21042158
Ahctf1,0.3016145,0.24306804,0.19356503
Dnmt3b,0.04342322,0.03527414,0.01956477
Gatad2a,1.0008258,0.9371166,1.0259736
Fubp3,0.05884078,0.027828118,0.036682017
Stat5a,0.26548198,0.22835809,0.21545571
Il23r,0.002738882,0.0006091316,0.0010773045
Gtf3c4,0.07800286,0.066328615,0.048955508
Cd22,0.038693607,0.022617402,0.015715785
Batf3,0.18347132,0.011021135,0.0074478774
Polr2h,1.3127042,0.9468975,0.59344107
Zfp280b,0.1248441,0.09248897,0.065831065
Ecd,0.3415808,0.26182777,0.24332434
Xrcc6,0.3762501,0.28497782,0.21551302
Cebpz,1.102156,0.7828526,0.59667474
Apex1,0.5814138,0.36523816,0.13328785
Myb,0.32468417,0.24307698,0.22406581
Drap1,1.0201834,0.9193502,0.853287
Elp3,0.21080156,0.1489459,0.12887661
Upf1,0.6948342,0.6376955,0.5624973
Zranb2,1.0836723,0.96565056,0.7026016
Ddx20,0.1708812,0.14235897,0.1692007
Tshz2,0.008268009,0.003333463,0.0033703595
Snrpd1,2.4321597,2.2646286,1.9871482
Gtf3c1,0.34184355,0.2692151,0.31724596
Bsg,3.4746912,3.3154325,2.9930146
Cnot6,0.98243016,0.8882977,0.8584905
Hnrnpd,4.675312,4.323976,3.64261
Csrp2,0.2387498,0.23865388,0.20220722
Ybx1,17.756771,16.09564,12.7483835
Parp2,0.5242187,0.44997928,0.40785542
Gtf2ird1,0.029525004,0.013166211,0.0059822663
Ankrd55,0.021264125,0.013073357,0.010831751
Tfrc,0.4832516,0.3542704,0.19913416
Wdr5,0.48978418,0.4126075,0.37872508
Ccr9,0.08517685,0.081741236,0.061173413
Sap30bp,0.37521008,0.34615076,0.3451988
Cramp1l,0.19410832,0.17839226,0.17259765
Abcg2,0.031595957,0.017742032,0.014259115
Igsf8,0.15170072,0.121462464,0.112781346
Mybl2,0.138071,0.13914543,0.07518478
Gtf2h1,0.45234945,0.34211606,0.29672456
Gtf2h2,0.18322416,0.15039638,0.13566896
Gtf3a,1.5742657,1.3838894,1.0786703
Setdb1,0.2604838,0.19864415,0.17577527
Zfp248,0.01758352,0.014087009,0.0060520284
Ash2l,0.5897726,0.40596524,0.33323696
Xrcc5,0.445966,0.30711403,0.2676646
Eaf1,0.16517292,0.14530684,0.12943077
Brd1,1.0556598,0.9426856,0.85931575
Sirt5,0.0472807,0.025963394,0.015765995
Zfp606,0.035343725,0.03719133,0.02608582
Cxcr5,0.0073277014,0.0040250346,0.0066995258
Prdm4,0.12810293,0.11756317,0.09002069
Nsd1,0.62256336,0.5491361,0.5694606
Zfp282,0.095043756,0.08833122,0.061665665
Pbx1,0.0010306883,0.0,0.00076769723
Mef2c,0.008372776,0.0035061701,0.0035174305
Pax5,0.0026777014,0.0,3.903312e-05
Lmo2,0.0148624405,0.0047281017,0.0028985941
Maml3,0.006874261,0.0028729413,0.0050484273
Il6ra,0.030535314,0.019495832,0.019647837
Men1,0.07631515,0.06269836,0.047899127
Tardbp,0.4342146,0.31980583,0.2552498
Klf4,0.28223565,0.25933006,0.14821413
Epas1,0.18429242,0.16858327,0.15754859
Thrap3,1.6170985,1.3517951,1.4653925
Mcm8,0.17263818,0.14204916,0.08682002
Ythdc1,1.3950273,1.2213992,1.2315367
Parp1,0.73289186,0.47800273,0.33136788
Uhrf1,1.6293128,1.6655701,0.8727974
Mcm4,1.1728517,1.1435223,0.62001306
Ddb1,1.1649069,0.8270551,0.78626573
Chaf1a,0.40092885,0.40435347,0.24521421
Smad1,0.052898232,0.0399367,0.019060181
Pnn,3.0126383,2.9914322,1.96564
Toe1,0.08393021,0.080537885,0.06254937
Klf8,0.029670099,0.023623737,0.012978927
Brd7,0.62953055,0.5150905,0.61445105
Eif2ak2,0.32698607,0.26999503,0.19871666
Hmgb3,0.75347316,0.64964783,0.7521448
Sirt1,0.25360927,0.23563275,0.2043301
Fmr1,0.87669915,0.81822026,0.7678297
Fkbp5,1.2397358,1.086048,0.720213
