,Arm_P2,Arm_P4,Arm_P9,Arm_P10
Nap1l1,-0.13909569785964856,-0.6143822332587199,-0.32786409601949607,-0.34882004191110283
Foxp1,-0.065808990584908,-0.06686853971915883,-0.1198890545733551,-0.12378990979562225
Tox2,0.05901483875634255,0.022892165013465676,0.014303209661931089,0.03764142284968245
Ikzf3,0.10639452615808749,-0.015498721836406642,0.0873127772353433,0.08541713845235613
Kntc1,0.04247125357021524,0.011106297777628834,0.01874711084500754,0.019253427890459234
Il23r,0.02149792005173885,0.015983965742806205,0.019120964038265142,0.017244143025769917
Hnrnpd,0.002178961186486091,-0.1200933775001101,-0.38373606306851554,-0.38726725241128873
Ctcf,0.04441150021609152,0.018580770044506534,-0.04495384564511158,-0.05321955240858619
Polr2f,0.02588290016965004,-0.06184412165918319,-0.16114108077597458,-0.15087168399390274
Snrpd1,0.08941189263605297,0.03931443690790652,-0.14908511298939708,-0.15160872091191424
Crtam,0.10747967348902629,0.10864999237307106,-0.1321521942436354,-0.13170130853134088
Brip1,0.11038963536641036,0.07768185291771902,0.09287347332942499,0.02812895909280059
Id2,0.9819509125145326,0.9031365054297569,-0.29719148112450855,-0.42649091659199306
Snrpb,-0.03428223139643495,-0.06977141845753855,-0.397635387542675,-0.23721261320740747
Gtf2ird1,0.016432632102426292,0.0136201793553968,0.009749800313923338,0.004362730393324607
Ctla4,0.5435039103253855,0.5462350700270608,-0.27753196978819605,-0.16050917600002473
Il21r,0.09470122421695171,0.070023139000377,-0.009012549234540507,0.08311683595564384
Cd9,0.2473309564865562,0.15125173434786474,-0.104306974653386,-0.061404797097222553
Spn,0.1138583450867642,0.09793494750892583,0.0007612461692462192,0.025967761080981658
Cd44,0.2249753259996106,0.221842982062545,0.05160390266710845,-0.13697858904220386
Btg2,0.4569532828427602,0.2305846228360135,-0.26229913408096633,-0.07925214244934485
Ighm,0.28354507564114345,0.25515972382707597,0.2780787661068547,0.17656000818530804
Ccr9,0.0819350565017788,0.07287991217093182,0.03482697360830841,0.02693302527627982
Ms4a1,0.006211192680776437,0.005224551124957308,0.0008573011578819488,0.00011647220199110682
Uhrf1,0.080620291093615,-0.18739641957050543,-0.03438330742882341,-0.01075821619643408
Clec12a,0.03313151414066199,0.0160118079753112,0.009412334430897772,0.002316630663609814
Ruvbl2,-0.001378160630606604,-0.010544671859996848,-0.01480779885870994,-0.02104756969177875
Notch3,0.001566025666447133,0.001591684345085625,-0.0002885702751263481,-0.003889785198497412
Taf15,0.08257096637186848,0.06416223598245999,-0.06712067369279029,-0.0549987050998091
Hnrnpul1,0.061973434721519574,0.052652695222706464,0.0225471301694698,0.032316033124495824
Baz1b,0.10239724592135571,-0.04317632249598863,-0.11601235159659924,-0.1700276957530751
E2f2,0.07470256320476201,0.021600781075064256,-0.10667277684766822,-0.12942298242772055
