,Cl13_P2,Cl13_P7,Cl13_P9,Cl13_P10
Foxp1,-0.06741702877755952,-0.09416951809424287,-0.10389233005515824,-0.11654338816170125
Irf8,-0.06605634043738437,-0.07789656660823743,-0.05868988058140544,0.052792534560698934
Atp1b3,-0.09958706356776849,-0.16431822068746085,-0.10885178963694636,0.053245338758724725
Ggt1,-0.010811731221717163,-0.060792484118373555,-0.06643685313786243,0.03342001052181841
Ssrp1,0.038242522347913054,-0.23942993927551787,-0.20362109936550843,-0.2965705080092244
Nap1l1,-0.08261164006684718,-0.5100762967895434,-0.41870128283671515,-0.36473502965396876
Tfdp1,0.026360922480713856,-0.10986861802296137,-0.02588136015217392,-0.04677828167231804
Sell,0.3147980218679072,-0.21212316507747941,-0.02607083737258346,0.1362309307802114
Ikzf3,0.0930540904948306,0.0017608265819381661,-0.00208226489519772,0.09841323914408165
Tnfrsf1b,0.03889824291490241,0.02796663746731038,0.0411392430425669,0.06582094036142612
Zbtb10,0.041159475572180235,0.014070161086686848,0.016859589427587283,0.0010896845088287286
E2f8,0.0679487609803418,-0.03129021406656562,-0.023987451119241658,-0.011470807739659722
Uhrf1,0.06743773333032681,-0.07111416297470015,-0.058214513997698454,-0.043519185134327884
Atad2,0.2727938687421952,0.24209485866190172,0.28825577663617097,0.37134386910122535
Ccr9,0.09897728549017941,0.03552466387814376,0.04821421550544226,0.03854844854467249
Fhl2,0.11603684114478206,0.10165373329967438,0.05460985853177019,0.03911285578421318
Cd69,0.2801075004910935,-0.3717580290500924,-0.37667668320109093,-0.47796075756140116
Brca1,0.11526710948206045,0.04306812212881077,0.05148991541991917,-0.013886163714799898
Brip1,0.11409873375317797,0.05159233550319489,0.07211390199664058,0.0666258735288869
Ruvbl2,0.0013990169445204275,-0.03134680189127915,-0.021152609653910543,0.021114574893149572
Srrm1,0.0019013778906876706,-0.025757175195532205,-0.025012368179918223,-0.0340106853722357
Rbl1,0.07468892557590688,0.00338801155959467,-0.04112116965011161,-0.06729830290657399
Ppargc1b,0.027235577425070285,0.006075276198199397,0.002491542069625698,0.025008184106917488
Pax5,0.0005553584222845609,0.00021033836220627072,0.000734324809012112,0.0001355419251678387
Gtf2ird1,0.01724113974071749,0.012577861431441198,0.010871349248600021,0.01653185053803266
Cd9,0.2943177743810533,0.07544356398754373,-0.05785985141583652,0.08711575740841931
Batf3,0.16354498224180716,0.11252781529557607,0.018486651522299613,0.0
Dnmt1,0.2744862901461969,-0.18912191168297307,-0.06342775143575134,-0.21953930011146278
Prdm1,0.05024982543856767,0.014163043155768067,0.01177824103605934,-0.057940227649130725
Bbx,0.063717090930558,0.057681013352725755,0.044255477412383545,0.06368069560803108
Nr3c1,0.0970517093203268,0.04798652102257954,0.022792737576045236,0.05968351800691628
Il2ra,0.06863415914373935,0.04217199023070993,0.0944506150695082,0.042318387101002095
Snrpd1,0.11759372250354523,-0.15090285544124749,-0.16979877015149547,-0.1607765859363226
Hells,0.1639050591594721,-0.01713050032434931,-0.1218201019876609,-0.09396909357975358
Zfp36l1,0.2938582374752454,-0.02970884471011678,-0.021774735377229532,-0.2095204632886804
Baz1b,0.11187024845632988,-0.13865470207675584,-0.08206709793263192,-0.1906191143406619
Foxm1,0.033839052252394815,0.013671725520723524,0.026223558490379044,0.03257754663394039
Ctla4,0.5840880246493216,0.2966437403814015,0.2133484764153961,-0.39867979711533247
Hnrnpul1,0.057485818515934387,-0.060932534032802216,-0.03665817068735336,0.07261569062166791
Daxx,0.07002906279760096,0.026138171468259145,0.028052732030441896,0.03653076356467268
Trbc1,1.496802592811886,1.0485372675918683,0.8381439137950184,1.2428209289324181
Cd44,0.2268340385706814,0.1474791806266932,0.1441702860491131,0.08153098167439349
Mybl1,0.01619928622793834,0.008238948996438688,0.00919107276798269,0.0
Rfc1,0.0594850879123226,-0.07390950085775251,-0.0036309499616415494,-0.0024508920028248754
Rad51,0.026781672966280864,0.016157798408398958,0.018741294050810132,0.0
Itga4,1.3233825321191535,0.7565963586811619,1.0079552472244968,0.6874957024187991
Eif2ak2,0.060569633221323756,0.03496776392877697,0.06030128385118478,0.06591145409369442
Pml,0.02850617215925107,-0.007880065723765919,0.006375581508416615,-0.027254188296055675
Cd28,0.6314350438948689,0.4753532911624234,0.37419144931112097,0.4011590521676424
Klf6,1.2423327096399965,-0.19122679930961164,-0.02538342515841611,1.0060793128662777
Ctcf,0.040954283223123875,-0.023221635790673437,0.00651933506894157,-0.021542438412231538
Ighd,0.0288365919470107,-0.011402997847303841,-0.0013831588207793089,0.0
Fcgr2b,0.06897346274982079,0.013040367590526156,0.09591366999851175,0.07512542030218529
Igf1r,0.051164390758515074,0.011823997900452025,0.05317393915500431,0.0968264975118266
Btg2,0.4881784467403611,-0.4272774871570284,-0.5371854929980294,-0.2636806338013995
Epas1,0.04362608225994732,0.03667396279681515,0.04170995267391926,0.015351132210415237
Tet1,0.03612599331917635,0.012932000209058306,0.007713057342157725,0.006019192900386661
Aurkb,0.4728536370076588,0.002246893453579215,0.423232343199985,0.08624993896565836
Spn,0.11544936180521385,0.0520140975514628,0.014198332029373302,0.040004452588469186
Il6ra,0.16020204868048618,0.04373439860465807,0.07607998618472916,0.1608873649806838
Ncam1,0.0032366838141265246,0.0010432196885820815,0.002967362748365825,0.0
Taf15,0.09400733425902176,-0.01772879518984316,-0.04547307275772416,-0.05770367764544833
Ddx5,0.1992540774962316,-1.292140932791757,-0.4800465055084351,0.5071630439852819
