,AllAct_P2,AllAct_P6,AllAct_P8,AllAct_P9,AllAct_P10
Foxp1,-0.06597780598235717,-0.08327533206392262,-0.08149656807216452,-0.1196474932970736,-0.12377473383408526
Id3,0.0012461310726157168,0.0009519434556063131,0.00018679316571701385,0.0003695356198185255,0.00019610437091533472
Fbxo17,-0.0020004011814914536,-0.002640117123138048,-0.008468690906967351,-0.0017401591892561043,-0.0012590811429863407
Batf3,0.11704324671271685,0.0661639421684692,0.018930742685465213,0.07841619385596396,0.0015800606526981515
Pdcd1,0.31597649925624105,0.29113670899825994,0.10399229797917357,0.20546022518883403,0.22550994243541092
Crtam,0.11172675426762864,0.08590520403216494,-0.11276514644884374,-0.13196364552595982,-0.13175666324562288
Btg2,0.46023136944410953,-0.2075028621286164,-0.055749759113419665,-0.266450102588103,-0.07963838012756902
Il21r,0.09560127771890588,0.039181894060104284,-0.057835448962275916,-0.008243247341813956,0.0830514117352676
Il23r,0.021051529187514656,0.01015726476077434,0.007402573247668062,0.0191646275438366,0.017266848826674
Gtf2ird1,0.016517511018189962,0.008393448936420876,0.009639277761054277,0.009766736455554363,0.004388215461690488
Hells,0.10258418786235991,-0.0053382951502493,-0.13870384209787212,-0.11291395505905724,-0.11302361644834868
Maml3,0.0019704537563857874,0.0006799241110321273,0.0003913359160668066,0.0005557810780623001,0.000489216337540326
Hnrnpd,0.011389925738729234,-0.22424008726622488,-0.3757944902366993,-0.3837010896818224,-0.3872857450764941
Spn,0.11402537353229535,0.08588468338381536,0.06084555652692433,0.0009641551839125672,0.02599715729356278
Ighm,0.28169095538574984,0.262062408125873,0.2749256453128941,0.2781884483336376,0.17673927977070403
Eng,0.00847118825364931,0.003226604053904417,0.0002251903239358124,0.00022710999197795553,8.03320615251723e-05
Kntc1,0.042580150572052826,0.025205872371055045,0.01933662759659888,0.018660607261788902,0.019268525517649775
Mbd4,0.01820798090172018,0.01026633805464304,-0.009747429484426263,-0.0072719575391567174,-0.013836797988379385
Cenpk,0.08267420528050574,0.030614948569099333,0.004489832544670801,-0.007113188812212444,-0.009242722094030617
Id2,0.9799053319826806,0.6447190311244214,0.0989705370277777,-0.30043397177617964,-0.42665299344063323
Pml,0.030529400353484736,0.026548083466944084,0.016019643392607464,-0.004596935186077663,-0.030970414827506322
Itgb2,0.4291328288825613,0.07956107372326822,0.016383175073942297,-0.3160698819676915,0.15399337931743326
Snrpd1,0.0923704833160922,-0.07720393598756235,-0.1620728370245407,-0.1493979031143281,-0.1516279206292428
Ighd,0.02554896595614048,0.01113785453965305,-0.006641267597384386,0.00012707220608783836,-8.972370460769865e-05
Fosb,0.3494758808909592,0.3642552026655786,0.23094119857424455,0.1894004367260227,0.14345208675787338
Itga4,1.281207142160138,1.2024390833363083,0.7932417116834576,0.5914671302797698,0.4128323799689256
Lair1,0.05194180191333812,0.05057055273455706,0.002842569075963629,-0.005669717293560099,-0.02283471342471716
Pcmt1,0.06035952868838736,0.04177043394631476,-0.008654069098725193,-0.02161076728530631,0.03536045001319522
Tnfsf8,0.21830786060376686,0.19988538461496785,-0.07248220572489127,-0.032105065034390666,-0.004962817422844883
S1pr1,0.3312142022316905,0.3351550261346334,0.064270695989197,-0.3391202388366452,-0.36903000266272257
Cd28,0.5999707184277686,0.4987530500188156,0.6115936734350316,0.04909563979500458,0.2179913535114183
Rbl1,0.06794594935302321,0.060040762638762124,0.04063316287959924,-0.05184027576276458,-0.05150098013786988
Dnajc2,-0.038120111427289965,-0.10567117895604312,-0.28048802187818805,-0.24145297288077308,-0.28284742713429134
Ccr7,0.8075486581974055,0.6224084883272629,0.12519008908642948,0.6989544572354791,0.17130207581858695
Tnfrsf4,0.1659474345026695,0.14668060817957224,0.09989066248934568,0.014833043537472035,0.016315061036400312
Tnf,0.024358955553690387,-0.0009580889514416738,-0.011271042761334947,-0.00048016011081678396,0.004335769131729955
