,Arm_P2,Arm_P7,Arm_P9,Arm_P10
Cd68,0.008442645,0.009045846,0.0044294833,0.002441571
Prmt3,0.21972373,0.15627761,0.1541255,0.13551636
Arid1a,0.5802365,0.5215388,0.49049437,0.46291158
Taf1a,0.31416184,0.2705768,0.15187442,0.12841687
Mybbp1a,0.03279942,0.030343398,0.012335304,0.014138784
Mxd3,0.0069735246,0.00034793728,0.0008995717,0.00016835681
Bcor,0.30748767,0.24467462,0.20359632,0.17344294
Itgae,0.029248217,0.007866819,0.005324384,0.018126532
Tet1,0.008184257,0.0016855843,0.004145094,0.0042984406
Hat1,0.9471872,0.6489259,0.5777163,0.3978998
Eomes,0.022313049,0.020048572,0.018535066,0.016973209
Hdac3,0.053185143,0.031676766,0.02091564,0.03275779
Ddb1,0.14035656,0.101880014,0.09962908,0.059614033
Zbtb48,0.03436312,0.0114568155,0.022146318,0.013316398
Ilf2,0.2401325,0.17545888,0.12237128,0.11601803
Tfrc,0.31313512,0.18567729,0.14724785,0.11924687
Rbbp5,0.17443885,0.12863767,0.097331725,0.09000391
Polr2a,1.6594429,1.6126596,1.3045151,1.5198245
Mcm5,0.2023175,0.05003137,0.010149442,0.006209413
Hmg20b,0.37411928,0.1497539,0.14197583,0.1929237
Cnot6,0.48603112,0.35255802,0.23204783,0.2275802
Nfxl1,0.06022453,0.030486654,0.015815536,0.025402255
Rpa3,0.050314356,0.021960478,0.009625916,0.0124607105
Runx3,2.8136399,1.2658898,0.7943296,1.1344744
Taf15,2.3782487,1.3570663,1.0497273,1.1197791
Tnfrsf8,0.47077584,0.14571945,0.081621796,0.092638075
Sema7a,0.5330607,0.21966049,0.11815284,0.03451124
Tcf19,0.02510322,0.0050314395,0.0031024578,0.0017425916
Cops5,0.37433562,0.22470866,0.1529178,0.14038818
Dnmt1,0.6025055,0.18488473,0.12625438,0.11776497
Rnps1,0.12691951,0.072580636,0.055979274,0.041878287
E2f2,0.44408706,0.21598108,0.08523434,0.09902
Tnf,0.28218275,0.11709166,0.13373221,0.04869675
Trim27,0.10333775,0.05483449,0.051228125,0.05431565
Mcm7,0.36703125,0.0950808,0.040520277,0.031902324
Orc1,0.841012,0.25306696,0.09769497,0.09228882
Cramp1l,0.5119735,0.24905686,0.22428212,0.2282266
Cd47,1.8168981,1.4029734,1.8064753,1.6847767
Phf19,0.13191476,0.018872429,0.008575347,0.011140019
Gtf2f2,1.489995,1.0367464,1.0871354,1.1641544
Timeless,0.3071605,0.12445648,0.03611029,0.04075094
Ggt1,0.052044194,0.011955724,0.016736746,0.010406308
Rad51,0.55898756,0.13814986,0.03490725,0.022239827
Taf1,1.1458458,0.64852667,0.4141272,0.41105062
Actb,41.9679,26.02151,23.950203,21.930737
Pdcd1,0.32522514,0.28662074,0.06478242,0.041140784
