,Cl13_P2,Cl13_P7,Cl13_P9,Cl13_P10
Trem1,0.010216042,0.00061060634,0.0,0.0
C5ar1,0.0033696857,0.000282239,0.0,0.042602453
Ncr1,0.005083862,0.0,0.0,0.0
Cd180,0.0017586778,0.000100021185,0.0,0.0
Cxcr2,0.00510932,8.3071754e-05,0.0,0.042602453
Klra4,0.00048653636,0.0,0.00042564215,0.0
Pbrm1,1.4153224,1.3145226,1.3832738,1.7621526
Padi4,0.0117650395,0.0008537329,0.0,0.0
Ing3,0.38035464,0.35408926,0.37429732,0.42945832
Plag1,0.004248148,0.0026190553,0.0,0.0
Tlr2,0.021121468,0.0055939904,0.0043927715,0.0
Irf8,0.5798016,0.47100365,0.47426733,0.26266584
Patz1,0.12887175,0.10806778,0.06407497,0.12019426
Fbxo17,0.038238637,0.016992973,0.02872667,0.0
Lmo2,0.034844182,0.012180094,0.0,0.0
Nr2c1,0.031056942,0.020284446,0.036598302,0.0
Ets2,0.09893445,0.05226878,0.05200842,0.0476018
Brd7,0.67440236,0.5468157,0.5741753,0.4367104
Ccr9,0.22493452,0.02646002,0.04120437,0.19802327
Ifngr2,0.012227783,0.0031000304,0.0,0.0
E2f6,0.042722236,0.020398868,0.009709498,0.0
Mef2c,0.027699117,0.011283193,0.00076826464,0.0
Coil,0.16534415,0.124003135,0.09163627,0.114354454
Gtf2h2,0.20382968,0.13150814,0.09277259,0.024175152
Ncoa5,0.16591972,0.09758167,0.09726461,0.0
Pwp1,0.38603145,0.25048965,0.15728602,0.22130303
Sap30bp,0.40339035,0.28048483,0.34252685,0.26987964
Trip13,0.6377948,0.14421028,0.06462486,0.022637237
Gtf2a2,1.1624393,1.0744388,0.77231276,0.79163444
Zfp213,0.08085597,0.07217602,0.06189877,0.06790739
Ecd,0.38393912,0.26585326,0.19300298,0.2274169
Pcgf6,0.29713416,0.13818136,0.09232863,0.05811646
Tial1,0.9254753,0.5613121,0.488223,0.5034469
Stat5a,0.31335238,0.2855453,0.2791012,0.17603104
Klra8,0.0019292673,0.00018048934,0.0016380664,0.0
Zdhhc2,0.11850426,0.06994644,0.1334859,0.03262689
Hnrnpr,1.6462159,1.189517,0.9116769,0.70787483
Zdhhc16,0.27564898,0.16588204,0.1812396,0.21640585
Med8,0.9259583,0.8557989,0.70987135,0.85063
