,AllAct_P2,AllAct_P6,AllAct_P8,AllAct_P9,AllAct_P10
Sfmbt1,0.13717869,0.08126496,0.07005065,0.048829205,0.06695622
Il23r,0.0030641553,0.00041556903,0.001004074,0.0006910996,0.0
Cd83,0.026699752,0.006406415,0.01004073,0.0028763977,5.1941992e-05
Lmo2,0.016960168,0.0071382136,0.0067031602,0.0073028486,0.0011274514
Dach1,0.002909528,0.00032503397,0.00044013848,0.00016114645,0.00015623134
Pbx1,0.0011221895,5.6920555e-05,0.000103562,1.680084e-05,0.0
Mef2c,0.010401698,0.006125608,0.009801508,0.0017989787,0.007206527
Tfrc,0.48835406,0.25984952,0.15742092,0.122169815,0.1183058
Mybl2,0.14066355,0.070789166,0.042185448,0.011288537,0.0036725458
Xrcc5,0.4536988,0.29226902,0.21225387,0.20758086,0.13827342
Ewsr1,1.8421211,1.7695512,1.3527545,1.3939904,1.367634
Tardbp,0.43319556,0.24508172,0.20601371,0.20449169,0.23118833
E2f6,0.043512013,0.023739355,0.017288256,0.012137529,0.0072004735
Myc,0.48963493,0.35490832,0.27370888,0.196828,0.05408426
Ilf2,0.97010636,0.7660688,0.4142781,0.32228556,0.31607962
Taf6,0.1963777,0.17946628,0.14148648,0.07805335,0.12375096
Safb,0.64735925,0.50474346,0.45974225,0.43375337,0.45057353
Nap1l4,1.4711875,1.1897659,1.0980539,1.0679191,1.1026661
Mtf2,0.53656286,0.38292384,0.46574336,0.32235044,0.40433154
Gtf2ird1,0.029543173,0.013938999,0.0037675963,0.0018732012,0.0
Ilf3,0.41686478,0.31849352,0.30888408,0.2763818,0.34355044
Izumo1r,0.0009450471,0.0010872473,0.000854244,0.0007690205,0.0003789624
Eed,1.0385567,0.7689992,0.52803785,0.5946291,0.5662205
Ube2k,1.4096669,1.3287051,1.1292732,0.95072186,1.0157703
Dnajc2,2.7439876,2.0958257,1.3788755,1.1471977,1.1402847
Igsf8,0.15087649,0.10717398,0.0585381,0.068881236,0.07306856
Lmo4,0.32931995,0.24552108,0.14757429,0.15967427,0.25370842
Pou2af1,0.039231766,0.02546571,0.01171611,0.011492365,0.0044423076
Pms1,0.11336665,0.07759706,0.08141683,0.09259072,0.04320532
Tcf7l2,0.0052585653,0.0028278022,0.0054154787,0.0009049549,0.0021276094
Csf3r,0.014509917,0.0033026224,0.0010613932,0.00218788,0.004711828
Cd180,0.00080563,0.00015598597,0.00013420722,0.00015381788,4.074424e-05
Trem1,0.0049563097,0.0035769867,0.00038411978,0.00090300536,0.0006038552
Cd300c2,0.012595189,0.0018741112,0.007194897,0.0064667757,0.0012142101
Csf1r,0.018241676,0.0032250823,0.006394319,0.0023727617,0.00087152276
C5ar1,0.0016022614,0.0005155582,0.0,0.00023056006,0.00072151126
Fcgr1,0.013053691,0.005022318,0.003580797,0.005187162,0.0014176088
Cd300lf,0.011756464,0.0025360377,0.008652927,0.0034729247,0.0025821724
Hdac9,0.0020779197,0.00030945687,0.00022236352,0.00027565286,0.00012664005
Tlr2,0.015124041,0.00823219,0.007246661,0.003965944,0.002530449
Cbfa2t3,0.08941732,0.02827798,0.0045317793,0.009708047,0.004210688
Tshz2,0.008260778,0.0034056131,0.003668351,0.001063095,0.0
Clec12a,0.059856225,0.018782597,0.009726803,0.008456651,0.008683982
Pirb,0.033034693,0.006347421,0.0077747945,0.012819545,0.00810753
Ly86,0.028771833,0.005015791,0.00936673,0.0074778204,0.0013095494
Bcl11a,0.0018247602,0.00071910984,0.0006619941,0.00044377302,6.0788945e-05
Plaur,0.02077923,0.0040337346,0.0040274304,0.003278967,0.0033274882
Atf3,0.025004404,0.007388192,0.00516221,0.011427383,0.0039692754
Ciita,0.007636942,0.0008380543,0.003623548,0.004096082,0.00089119206
Brd8,0.5126209,0.4142038,0.3259919,0.37676156,0.43796036
Zbtb16,0.005331988,0.003620739,0.011373502,0.0010265446,0.0
Ifngr2,0.008538565,0.0020195015,0.004484628,0.0018844436,0.00017729754
H2-Eb1,0.1926739,0.0329804,0.16940081,0.0634668,0.07322684
Cd74,0.23547484,0.04536134,0.18517622,0.064684354,0.050218925
Maff,0.032974515,0.027265,0.009753567,0.035201643,0.021872085
H2-Ab1,0.19238956,0.03091194,0.15994535,0.0485572,0.047665216
Ahr,0.032288644,0.020006401,0.02369962,0.009190897,0.002613922
Klra6,0.006820875,0.0061276685,0.0075981664,0.011651272,0.007018342
Zbtb10,0.0127821425,0.0030420586,0.0029427013,0.0021313166,3.44164e-05
Prmt3,0.33124027,0.18673444,0.1735795,0.13945816,0.107033186
Smad1,0.053409256,0.023536222,0.019153288,0.018475745,0.027237488
Gatad1,0.2975168,0.25210336,0.21190718,0.12797642,0.15749007
Hsf2,0.13930327,0.08135213,0.04677493,0.041442286,0.038764562
Csrp2,0.23553324,0.17938188,0.076337054,0.052297544,0.05446911
Gtf3c5,0.09213237,0.07554793,0.05162823,0.045879263,0.030188257
Cebpg,0.47704107,0.43968388,0.4345491,0.31594577,0.36497715
Hdac6,0.047527634,0.03757267,0.03991182,0.018473867,0.031263012
Ssbp3,0.8162121,0.7304318,0.6783507,0.46875665,0.4338218
Fkbp1a,3.7566237,3.4039164,3.7068205,2.8375227,2.3464544
Epcam,0.069618545,0.045226738,0.028003491,0.025695683,0.001961019
Brca2,0.41280589,0.22272827,0.19778697,0.03968266,0.019908406
Suz12,2.285798,1.3797723,1.0718669,0.8723809,0.96044
Cenpk,0.39678878,0.25941035,0.12251147,0.037072822,0.041070163
Brca1,0.42878348,0.19537784,0.11363842,0.027148567,0.022550337
Mcm8,0.173506,0.067830995,0.032800104,0.0074712257,0.0039104233
Fkbp5,1.249121,0.8740245,1.1231132,0.40099356,0.39280295
Foxm1,0.08590553,0.057622295,0.013765644,0.010539116,0.0060232976
E2f2,0.7168121,0.65976405,0.64898425,0.36092466,0.48262388
Bard1,0.35767257,0.21470356,0.14149663,0.0448169,0.044542972
Kmt5a,1.5114177,1.0926553,0.725539,0.6072802,0.79061216
Fmr1,0.8729319,0.680454,0.48856091,0.51184964,0.56781673
Cbx5,1.5460659,0.9178458,0.68769175,0.3119417,0.29470363
E2f8,0.6245932,0.24116181,0.09390414,0.035516065,0.021142129
Phf19,0.08976257,0.05453667,0.035894502,0.011259333,0.007810145
Hnrnpul1,1.1338828,1.094744,0.9022093,0.85627353,0.88480705
Zfpm1,0.8962544,0.5620818,0.66242975,0.38707212,0.48520976
Pcgf5,0.4156365,0.32368267,0.31455192,0.27689523,0.17680675
Toe1,0.08184393,0.066055976,0.043071583,0.043721113,0.043877147
Hdac3,0.54266274,0.4783805,0.38292387,0.3210069,0.3101994
Kntc1,0.2158663,0.11779727,0.061643817,0.008535837,0.0063564
Psip1,2.1001282,1.6825669,1.2085986,1.1644228,1.5643787
Plrg1,0.31740466,0.28792655,0.17301032,0.16045274,0.15440546
Coil,0.16364628,0.13704827,0.08497025,0.09184362,0.07207049
Suv39h2,0.10012423,0.044555433,0.019709475,0.009468981,0.0059301755
Parp1,0.7347562,0.36950225,0.21328682,0.17376426,0.26228705
Polr2d,0.7390225,0.66362613,0.41618824,0.3677664,0.39509284
Wbp11,1.2324574,0.8579438,0.6048141,0.66225314,0.69936085
Ddb1,1.1641846,0.89114076,0.5290541,0.47028285,0.47024912
Trim27,1.0673567,0.7752189,0.5746065,0.58198106,0.5270352
Smarca4,1.2602589,1.0364088,0.84108025,0.7817879,0.73715675
Ssrp1,3.9202926,2.6031199,1.5979624,1.2991914,1.0745785
